Category: All categories

Month,primary: (Chittagong Division),primary: (Chittagong Division),secondary: (Chittagong Division),tertiary: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,100,67,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,36,39,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,29,0,0,0,0
2010-05,26,38,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,29,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,36,49,0,0,0
2011-01,0,0,0,0,12
2011-02,8,0,0,0,12
2011-03,0,0,0,0,11
2011-04,0,0,0,0,14
2011-05,0,0,0,0,11
2011-06,0,0,0,0,15
2011-07,0,0,0,0,10
2011-08,9,12,0,0,9
2011-09,7,11,0,0,9
2011-10,6,4,0,0,11
2011-11,5,4,0,0,9
2011-12,30,29,3,0,5
2012-01,8,7,0,0,11
2012-02,12,11,0,0,12
2012-03,5,5,0,0,8
2012-04,16,17,0,0,8
2012-05,6,6,5,0,8
2012-06,0,7,3,0,13
2012-07,8,8,0,0,13
2012-08,9,9,0,0,8
2012-09,0,0,0,0,11
2012-10,0,0,0,0,7
2012-11,6,5,0,0,8
2012-12,27,27,4,0,10
2013-01,7,7,3,0,10
2013-02,8,8,4,0,9
2013-03,3,4,2,0,12
2013-04,3,3,3,0,8
2013-05,5,4,3,0,10
2013-06,18,17,3,0,11
2013-07,14,16,0,0,10
2013-08,4,4,3,0,12
2013-09,6,7,0,0,8
2013-10,10,10,0,0,9
2013-11,9,9,2,0,11
2013-12,17,16,2,0,10
2014-01,7,6,2,0,11
2014-02,6,8,0,0,11
2014-03,3,4,2,0,9
2014-04,3,3,2,0,7
2014-05,2,2,2,0,6
2014-06,2,2,1,0,5
2014-07,5,5,1,0,5
2014-08,2,2,1,0,6
2014-09,6,6,1,0,5
2014-10,6,6,1,0,6
2014-11,4,4,1,0,6
2014-12,12,13,<1,0,7
2015-01,6,6,1,0,6
2015-02,2,2,1,0,7
2015-03,4,4,1,0,7
2015-04,3,3,1,0,6
2015-05,3,3,2,0,5
2015-06,4,3,1,0,6
2015-07,2,2,1,0,6
2015-08,3,3,1,0,7
2015-09,2,2,0,0,7
2015-10,8,9,1,0,7
2015-11,9,9,0,0,7
2015-12,12,12,2,0,11
2016-01,8,8,1,0,6
2016-02,3,3,1,0,5
2016-03,2,2,1,0,4
2016-04,5,5,1,0,4
2016-05,3,3,2,0,4
2016-06,3,3,1,0,6
2016-07,2,2,<1,0,5
2016-08,3,3,1,0,5
2016-09,3,3,<1,0,5
2016-10,4,4,1,0,5
2016-11,3,3,0,0,6
2016-12,8,8,1,0,6
2017-01,3,3,<1,0,5
2017-02,3,3,1,0,6
2017-03,3,3,1,0,5
2017-04,3,3,1,0,5
2017-05,3,3,1,0,5
2017-06,3,3,1,0,4
2017-07,2,2,1,0,4
2017-08,2,2,1,0,5
2017-09,2,2,<1,0,5
2017-10,3,3,1,0,5
2017-11,3,3,1,0,6
2017-12,7,7,1,0,5
2018-01,4,4,1,0,5
2018-02,3,3,1,0,5
2018-03,3,3,1,0,6
2018-04,5,5,1,0,6
2018-05,6,6,2,0,6
2018-06,3,3,1,0,5
2018-07,7,7,1,0,5
2018-08,10,10,<1,0,6
2018-09,7,7,1,0,6
2018-10,4,4,1,0,6
2018-11,3,3,1,0,6
2018-12,8,8,1,0,4
2019-01,5,5,1,0,5
2019-02,3,3,1,0,6
2019-03,5,5,1,0,7
2019-04,4,4,1,0,7
2019-05,8,8,2,0,6
2019-06,10,10,1,0,5
2019-07,3,3,1,0,6
2019-08,3,3,1,0,7
2019-09,13,13,1,0,7
2019-10,3,3,1,<1,7
2019-11,3,3,1,0,7
2019-12,11,11,1,0,5
2020-01,3,4,1,0,5
2020-02,4,4,1,0,7
2020-03,2,2,<1,0,7
2020-04,1,1,<1,0,8
2020-05,2,2,1,0,7
2020-06,2,2,1,0,8
2020-07,2,2,1,0,9
2020-08,2,2,1,<1,8
2020-09,2,2,1,<1,8
2020-10,4,4,1,<1,6
2020-11,6,6,1,0,6
2020-12,3,3,1,<1,6
2021-01,2,2,1,0,5
2021-02,2,2,1,0,5
2021-03,2,2,1,0,6
2021-04,1,1,1,<1,6
2021-05,2,2,1,0,5
2021-06,2,2,1,<1,6
2021-07,1,1,<1,0,5
2021-08,2,2,1,<1,6
2021-09,2,2,1,0,6
2021-10,2,2,1,0,6
2021-11,2,2,1,0,11
2021-12,2,2,1,0,5
2022-01,2,2,1,0,5
2022-02,3,3,1,<1,6
2022-03,3,3,1,0,8
2022-04,5,5,1,<1,8
2022-05,5,5,1,<1,10
2022-06,4,4,1,<1,9
2022-07,2,2,1,<1,7
2022-08,2,2,1,<1,9
2022-09,2,2,1,<1,9
2022-10,2,2,1,<1,9
2022-11,2,2,1,<1,8
2022-12,3,3,1,<1,5
2023-01,2,2,1,<1,5
2023-02,3,3,1,<1,6
2023-03,3,3,1,0,6
2023-04,2,2,1,0,6
2023-05,2,2,1,<1,8
2023-06,3,3,1,<1,7
2023-07,5,5,2,<1,5
2023-08,2,2,1,<1,7
2023-09,1,1,1,<1,6
2023-10,2,2,1,<1,6
2023-11,2,2,1,<1,6
2023-12,2,2,1,0,5
2024-01,2,2,1,<1,5
2024-02,2,2,1,<1,5
2024-03,4,4,1,0,5
2024-04,3,3,<1,0,4
2024-05,2,2,1,<1,5
2024-06,1,1,1,0,4
2024-07,1,1,1,0,4
2024-08,1,1,<1,0,4
2024-09,1,1,1,<1,5
2024-10,1,1,1,0,5
2024-11,2,2,1,0,5
2024-12,1,1,1,0,4
2025-01,1,1,1,0,4
2025-02,1,1,<1,0,4
2025-03,1,1,<1,<1,5
2025-04,1,1,<1,0,5
2025-05,1,1,<1,0,5
2025-06,1,1,<1,0,5
2025-07,1,1,1,0,4
2025-08,1,1,1,<1,5
2025-09,2,2,<1,<1,5
