Category: All categories

Month,tertiary: (Chittagong Division),neglect: (Chittagong Division),settlement: (Chittagong Division),shop: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,51,80
2011-03,0,0,0,0,76
2011-04,0,0,0,53,96
2011-05,0,0,0,36,76
2011-06,0,0,0,39,100
2011-07,0,0,0,41,64
2011-08,0,0,0,36,58
2011-09,0,0,0,34,63
2011-10,0,0,0,43,74
2011-11,0,0,0,26,60
2011-12,0,0,21,37,31
2012-01,0,0,0,32,74
2012-02,0,0,0,56,82
2012-03,0,0,0,29,54
2012-04,0,0,0,26,51
2012-05,0,0,0,34,53
2012-06,0,0,0,46,89
2012-07,0,0,0,49,85
2012-08,0,0,0,29,52
2012-09,0,0,0,28,75
2012-10,0,0,0,21,49
2012-11,0,0,0,38,53
2012-12,0,0,0,31,66
2013-01,0,0,0,40,68
2013-02,0,0,0,46,62
2013-03,0,0,0,36,76
2013-04,0,0,0,29,55
2013-05,0,0,0,55,65
2013-06,0,0,0,50,73
2013-07,0,0,0,39,66
2013-08,0,0,0,32,82
2013-09,0,0,0,46,56
2013-10,0,0,0,50,58
2013-11,0,0,0,39,72
2013-12,0,0,0,35,66
2014-01,0,0,0,50,73
2014-02,0,0,0,44,76
2014-03,0,0,0,54,59
2014-04,0,0,0,36,46
2014-05,0,0,0,21,39
2014-06,0,0,0,33,32
2014-07,0,0,0,28,36
2014-08,0,0,0,16,41
2014-09,0,0,0,24,36
2014-10,0,0,0,24,38
2014-11,0,0,0,26,42
2014-12,0,0,0,25,45
2015-01,0,0,0,30,41
2015-02,0,0,0,30,49
2015-03,0,0,0,27,43
2015-04,0,0,0,22,37
2015-05,0,0,0,32,35
2015-06,0,0,0,30,39
2015-07,0,0,0,31,40
2015-08,0,0,0,26,48
2015-09,0,0,0,40,46
2015-10,0,0,0,38,44
2015-11,0,0,0,33,44
2015-12,0,0,0,34,71
2016-01,0,0,0,32,41
2016-02,0,0,0,30,35
2016-03,0,0,0,21,26
2016-04,0,0,0,21,27
2016-05,0,0,0,28,30
2016-06,0,0,0,36,42
2016-07,0,0,0,27,31
2016-08,0,0,0,30,32
2016-09,0,0,0,31,33
2016-10,0,0,0,30,36
2016-11,0,0,0,30,38
2016-12,0,0,0,31,39
2017-01,0,0,0,28,32
2017-02,0,0,0,29,38
2017-03,0,0,0,28,32
2017-04,0,0,2,25,35
2017-05,0,0,0,28,30
2017-06,0,0,0,34,28
2017-07,0,0,0,29,29
2017-08,0,0,0,29,30
2017-09,0,0,0,34,33
2017-10,0,0,3,36,35
2017-11,0,0,0,33,42
2017-12,0,0,2,35,32
2018-01,0,0,0,36,36
2018-02,0,0,0,35,36
2018-03,0,0,0,39,38
2018-04,0,0,0,38,39
2018-05,0,0,0,41,37
2018-06,0,0,0,34,33
2018-07,0,0,0,35,33
2018-08,0,0,0,39,41
2018-09,0,0,0,41,41
2018-10,0,0,2,47,37
2018-11,0,0,1,47,39
2018-12,0,0,2,40,30
2019-01,0,0,1,39,32
2019-02,0,0,1,42,38
2019-03,0,0,2,44,47
2019-04,0,1,0,39,46
2019-05,0,0,0,45,42
2019-06,0,0,0,39,34
2019-07,0,0,1,42,42
2019-08,0,0,0,45,45
2019-09,0,0,1,50,46
2019-10,1,0,1,54,49
2019-11,0,0,1,50,45
2019-12,0,0,1,48,32
2020-01,0,0,0,51,34
2020-02,0,0,0,53,47
2020-03,0,0,1,46,48
2020-04,0,0,1,54,50
2020-05,0,0,0,90,46
2020-06,0,0,1,81,54
2020-07,0,0,1,83,57
2020-08,1,0,1,94,50
2020-09,1,0,2,66,51
2020-10,1,0,1,66,43
2020-11,0,0,1,84,38
2020-12,1,0,1,73,37
2021-01,0,0,1,60,33
2021-02,0,0,1,56,35
2021-03,0,0,1,58,40
2021-04,1,0,0,66,37
2021-05,0,0,1,83,35
2021-06,1,1,1,79,41
2021-07,0,0,1,71,35
2021-08,1,0,1,65,37
2021-09,0,0,1,54,38
2021-10,0,0,1,45,40
2021-11,0,1,1,48,73
2021-12,0,0,1,47,30
2022-01,0,0,1,54,35
2022-02,<1,0,1,47,43
2022-03,0,<1,1,50,51
2022-04,1,<1,1,49,53
2022-05,<1,0,1,44,66
2022-06,<1,0,1,74,62
2022-07,<1,0,1,92,49
2022-08,1,<1,1,80,59
2022-09,1,0,1,80,59
2022-10,<1,<1,1,80,57
2022-11,<1,0,1,61,56
2022-12,<1,<1,1,83,32
2023-01,<1,0,1,82,35
2023-02,<1,0,1,79,38
2023-03,0,0,1,81,43
2023-04,0,0,1,57,39
2023-05,2,0,1,49,51
2023-06,1,0,1,53,47
2023-07,<1,<1,1,56,36
2023-08,1,0,<1,58,47
2023-09,<1,0,1,58,40
2023-10,<1,0,1,63,39
2023-11,<1,0,1,60,41
2023-12,0,0,1,64,31
2024-01,1,<1,1,61,33
2024-02,1,1,1,53,34
2024-03,0,0,<1,55,33
2024-04,0,0,<1,51,25
2024-05,<1,0,1,46,31
2024-06,0,0,<1,41,26
2024-07,0,<1,0,43,30
2024-08,0,0,1,44,29
2024-09,1,<1,0,52,35
2024-10,0,0,<1,46,35
2024-11,0,0,1,50,35
2024-12,0,0,1,42,30
2025-01,0,0,1,47,29
2025-02,0,0,1,43,30
2025-03,<1,0,1,46,32
2025-04,0,0,1,38,32
2025-05,0,0,1,40,36
2025-06,0,0,1,38,33
2025-07,0,<1,1,38,29
2025-08,<1,0,4,44,34
2025-09,<1,<1,1,42,32
