Category: All categories

Month,polling station: (Chittagong Division),office: (Chittagong Division),directorate: (Chittagong Division),sanitation: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,100,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,98,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,64,0,0,0
2010-06,0,0,0,0,0
2010-07,0,85,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,74,0,0,0
2011-01,0,49,0,0,31
2011-02,0,53,0,0,31
2011-03,0,39,0,0,29
2011-04,0,51,0,0,37
2011-05,0,59,0,0,29
2011-06,0,60,0,0,38
2011-07,0,50,0,0,25
2011-08,0,60,0,0,22
2011-09,0,57,0,0,24
2011-10,0,56,0,0,28
2011-11,0,66,0,0,23
2011-12,0,51,0,0,12
2012-01,0,61,0,0,28
2012-02,0,53,0,0,31
2012-03,0,68,0,0,21
2012-04,0,43,0,0,20
2012-05,0,40,0,0,20
2012-06,0,53,0,0,34
2012-07,0,51,0,0,32
2012-08,0,65,0,0,20
2012-09,0,61,0,0,29
2012-10,0,68,0,0,19
2012-11,0,64,0,0,20
2012-12,0,64,0,0,25
2013-01,0,59,0,0,26
2013-02,0,56,0,0,24
2013-03,0,52,0,0,29
2013-04,0,59,0,0,21
2013-05,0,68,0,0,25
2013-06,0,51,0,0,28
2013-07,0,55,8,0,25
2013-08,0,78,0,0,32
2013-09,0,51,0,0,21
2013-10,0,51,0,0,22
2013-11,0,68,0,0,27
2013-12,0,65,0,0,25
2014-01,0,64,0,0,28
2014-02,0,70,0,0,29
2014-03,0,54,0,0,23
2014-04,0,41,0,0,18
2014-05,0,30,0,0,15
2014-06,0,27,0,0,12
2014-07,0,34,0,0,14
2014-08,0,43,0,0,16
2014-09,0,30,0,0,14
2014-10,0,41,0,0,15
2014-11,0,35,1,0,16
2014-12,0,39,2,0,17
2015-01,0,36,2,0,16
2015-02,0,31,0,0,19
2015-03,0,30,0,0,17
2015-04,0,28,0,0,14
2015-05,0,34,0,0,13
2015-06,0,38,2,0,15
2015-07,0,46,2,0,15
2015-08,0,50,0,0,18
2015-09,0,48,0,0,18
2015-10,0,44,0,0,17
2015-11,0,48,0,0,17
2015-12,0,55,3,0,27
2016-01,0,37,1,0,16
2016-02,0,34,0,0,13
2016-03,0,21,0,0,10
2016-04,0,30,1,0,10
2016-05,0,31,1,0,11
2016-06,0,32,2,0,16
2016-07,0,48,0,0,12
2016-08,0,38,0,0,12
2016-09,0,29,0,0,13
2016-10,0,33,0,0,14
2016-11,0,35,0,0,15
2016-12,0,42,3,0,15
2017-01,0,50,0,0,12
2017-02,0,40,0,0,14
2017-03,0,31,1,0,12
2017-04,0,29,0,0,13
2017-05,0,35,0,0,11
2017-06,0,35,0,0,11
2017-07,0,35,1,0,11
2017-08,0,38,1,0,11
2017-09,0,42,0,0,13
2017-10,0,46,0,0,14
2017-11,0,41,1,0,16
2017-12,0,51,3,0,12
2018-01,0,54,1,0,14
2018-02,0,45,0,0,14
2018-03,0,45,0,0,14
2018-04,0,47,0,0,15
2018-05,0,41,1,0,14
2018-06,0,50,0,0,12
2018-07,0,49,1,1,13
2018-08,0,43,1,0,16
2018-09,0,40,1,0,16
2018-10,0,41,1,0,14
2018-11,0,49,0,0,15
2018-12,0,57,3,0,11
2019-01,0,48,1,0,12
2019-02,0,43,<1,0,14
2019-03,0,45,<1,0,18
2019-04,0,47,0,0,18
2019-05,0,49,0,0,16
2019-06,0,55,1,0,13
2019-07,0,52,0,0,16
2019-08,0,50,0,0,17
2019-09,0,58,1,<1,18
2019-10,0,56,<1,0,19
2019-11,0,46,<1,0,17
2019-12,0,48,4,0,12
2020-01,0,50,1,0,13
2020-02,0,47,1,0,18
2020-03,0,41,<1,<1,18
2020-04,0,28,0,0,19
2020-05,0,30,0,0,18
2020-06,0,35,<1,0,21
2020-07,0,37,<1,0,22
2020-08,0,36,<1,0,19
2020-09,0,36,<1,0,20
2020-10,0,34,<1,0,16
2020-11,0,31,1,0,14
2020-12,0,33,<1,0,14
2021-01,0,34,1,0,13
2021-02,0,31,<1,0,13
2021-03,0,33,1,<1,15
2021-04,0,29,<1,0,14
2021-05,0,32,<1,0,13
2021-06,0,32,<1,<1,16
2021-07,0,29,<1,<1,13
2021-08,0,31,1,0,14
2021-09,0,31,1,<1,15
2021-10,0,29,1,0,15
2021-11,0,32,1,<1,28
2021-12,0,34,<1,0,12
2022-01,0,34,<1,0,13
2022-02,0,30,<1,<1,16
2022-03,0,37,<1,<1,19
2022-04,0,44,1,<1,20
2022-05,0,34,<1,0,25
2022-06,0,35,<1,<1,24
2022-07,0,32,<1,0,19
2022-08,0,34,<1,<1,23
2022-09,0,34,<1,0,22
2022-10,0,33,<1,<1,22
2022-11,0,25,<1,<1,21
2022-12,0,26,<1,<1,12
2023-01,0,37,<1,<1,13
2023-02,0,37,1,<1,14
2023-03,0,29,1,<1,16
2023-04,0,30,<1,<1,15
2023-05,0,29,<1,0,19
2023-06,0,27,<1,0,18
2023-07,0,28,<1,0,14
2023-08,0,31,<1,<1,18
2023-09,0,37,<1,<1,15
2023-10,0,26,<1,<1,15
2023-11,0,32,<1,0,16
2023-12,0,44,<1,0,12
2024-01,0,32,<1,0,13
2024-02,0,27,<1,<1,13
2024-03,0,26,<1,0,13
2024-04,0,24,<1,<1,10
2024-05,0,24,<1,0,12
2024-06,0,24,<1,<1,10
2024-07,0,24,<1,<1,11
2024-08,0,24,0,0,11
2024-09,0,26,<1,<1,13
2024-10,0,22,<1,0,13
2024-11,0,26,<1,0,13
2024-12,0,30,<1,0,11
2025-01,0,33,0,0,11
2025-02,0,29,0,0,11
2025-03,0,23,0,0,12
2025-04,0,27,0,0,12
2025-05,0,28,<1,0,14
2025-06,0,27,<1,0,12
2025-07,0,27,<1,0,11
2025-08,0,26,<1,0,13
2025-09,0,30,<1,<1,12
