Category: All categories

Month,housing crisis: (Chittagong Division),crowd: (Chittagong Division),clean: (Chittagong Division),dirty: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,58
2011-02,0,0,0,0,58
2011-03,0,0,0,0,55
2011-04,0,0,0,0,69
2011-05,0,0,0,0,55
2011-06,0,0,0,0,72
2011-07,0,0,0,0,46
2011-08,0,0,0,0,42
2011-09,0,0,0,0,45
2011-10,0,0,0,31,53
2011-11,0,0,0,94,43
2011-12,0,0,0,100,23
2012-01,0,0,0,52,53
2012-02,0,0,0,51,59
2012-03,0,0,0,27,39
2012-04,0,0,0,33,37
2012-05,0,0,0,16,38
2012-06,0,0,0,0,64
2012-07,0,0,0,0,61
2012-08,0,0,0,29,38
2012-09,0,0,0,27,54
2012-10,0,0,0,0,35
2012-11,0,0,0,19,38
2012-12,0,0,0,0,47
2013-01,0,0,13,0,49
2013-02,0,0,12,0,45
2013-03,0,0,12,0,55
2013-04,0,0,0,19,39
2013-05,0,0,0,0,47
2013-06,0,0,0,16,52
2013-07,0,0,0,10,48
2013-08,0,0,0,0,60
2013-09,0,0,0,11,41
2013-10,0,0,10,20,42
2013-11,0,0,0,16,52
2013-12,0,0,8,13,48
2014-01,0,0,0,14,52
2014-02,0,0,15,13,55
2014-03,0,0,0,11,43
2014-04,0,0,7,10,33
2014-05,0,0,4,11,28
2014-06,0,0,4,9,23
2014-07,0,0,5,7,26
2014-08,0,0,6,8,30
2014-09,0,0,4,9,26
2014-10,0,0,6,8,28
2014-11,0,0,4,7,30
2014-12,0,0,5,10,32
2015-01,0,0,4,9,30
2015-02,0,0,4,9,36
2015-03,0,0,4,9,31
2015-04,0,0,4,7,27
2015-05,0,0,5,7,25
2015-06,0,0,7,11,28
2015-07,0,0,5,13,29
2015-08,0,0,6,10,35
2015-09,0,0,10,8,33
2015-10,0,0,7,11,32
2015-11,0,0,7,10,32
2015-12,0,0,7,6,51
2016-01,0,0,8,8,29
2016-02,0,0,5,6,25
2016-03,0,0,4,9,19
2016-04,0,0,4,9,20
2016-05,0,0,7,8,21
2016-06,0,0,5,7,31
2016-07,0,0,5,10,22
2016-08,0,0,7,9,23
2016-09,0,0,4,7,24
2016-10,0,0,6,6,26
2016-11,0,0,7,8,27
2016-12,0,0,4,8,28
2017-01,0,0,5,8,23
2017-02,0,0,5,8,27
2017-03,0,0,7,9,23
2017-04,0,0,5,8,25
2017-05,0,0,5,7,22
2017-06,0,0,6,7,20
2017-07,0,0,6,6,21
2017-08,0,0,6,7,22
2017-09,0,0,4,6,24
2017-10,0,0,5,7,26
2017-11,0,0,5,6,31
2017-12,0,0,6,6,23
2018-01,0,1,5,8,26
2018-02,0,0,5,6,26
2018-03,0,0,4,5,27
2018-04,0,0,5,6,28
2018-05,0,0,6,5,27
2018-06,0,0,5,5,23
2018-07,0,0,5,6,24
2018-08,0,0,7,5,29
2018-09,0,0,6,6,29
2018-10,0,0,6,6,27
2018-11,0,0,6,6,28
2018-12,0,0,5,7,21
2019-01,0,0,5,7,23
2019-02,0,0,6,5,27
2019-03,0,0,5,5,34
2019-04,0,0,5,5,33
2019-05,0,0,5,4,30
2019-06,0,0,5,5,24
2019-07,0,0,5,4,30
2019-08,0,0,7,5,33
2019-09,0,0,5,5,33
2019-10,0,0,6,5,36
2019-11,0,0,6,4,32
2019-12,0,0,6,5,23
2020-01,0,0,5,4,25
2020-02,0,0,5,4,34
2020-03,0,0,7,4,35
2020-04,0,1,7,5,36
2020-05,0,1,6,4,33
2020-06,0,1,7,5,39
2020-07,0,1,7,5,41
2020-08,0,1,7,5,36
2020-09,0,1,7,4,37
2020-10,0,1,7,4,31
2020-11,0,1,6,4,27
2020-12,0,0,6,4,27
2021-01,0,1,6,4,24
2021-02,0,1,6,4,25
2021-03,0,1,6,4,29
2021-04,0,1,6,3,27
2021-05,0,0,6,4,25
2021-06,0,1,6,4,29
2021-07,0,<1,5,4,25
2021-08,0,1,6,3,27
2021-09,0,<1,6,3,27
2021-10,0,1,6,3,29
2021-11,0,1,6,4,53
2021-12,0,1,5,4,22
2022-01,0,1,5,4,25
2022-02,0,1,5,4,31
2022-03,0,<1,6,4,37
2022-04,0,<1,6,3,38
2022-05,0,<1,6,4,48
2022-06,0,<1,5,4,45
2022-07,0,1,4,4,36
2022-08,0,<1,5,4,42
2022-09,0,<1,5,4,42
2022-10,0,<1,5,4,41
2022-11,0,<1,5,4,40
2022-12,0,<1,4,4,23
2023-01,0,1,5,4,25
2023-02,0,1,5,4,27
2023-03,0,<1,5,4,31
2023-04,0,<1,5,4,28
2023-05,0,<1,5,3,37
2023-06,0,<1,5,4,34
2023-07,0,<1,4,4,26
2023-08,0,<1,4,4,34
2023-09,0,<1,4,3,29
2023-10,0,<1,4,3,28
2023-11,0,<1,4,3,29
2023-12,0,<1,5,4,23
2024-01,0,<1,4,4,24
2024-02,0,<1,5,3,24
2024-03,0,<1,4,3,24
2024-04,0,1,4,4,18
2024-05,0,<1,4,3,22
2024-06,0,<1,4,4,19
2024-07,0,<1,4,4,21
2024-08,0,<1,4,5,21
2024-09,0,<1,5,4,25
2024-10,0,<1,5,4,25
2024-11,0,<1,4,4,25
2024-12,0,<1,4,5,22
2025-01,0,<1,4,4,21
2025-02,0,<1,4,5,21
2025-03,0,0,4,4,23
2025-04,0,<1,4,4,23
2025-05,0,1,4,5,26
2025-06,0,1,4,4,23
2025-07,0,<1,4,4,21
2025-08,0,<1,4,4,24
2025-09,0,<1,5,4,23
