Category: All categories

Month,university: (Chittagong Division),market: (Chittagong Division),station: (Chittagong Division),cafe: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,100,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,51,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,56,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,38,0,0,0,0
2008-02,32,0,0,0,0
2008-03,0,0,0,0,0
2008-04,23,0,0,0,0
2008-05,16,0,0,0,0
2008-06,15,0,0,0,0
2008-07,18,0,0,0,0
2008-08,18,0,0,0,0
2008-09,24,0,0,0,0
2008-10,18,0,0,0,0
2008-11,28,0,0,0,0
2008-12,25,0,0,0,0
2009-01,20,0,0,0,0
2009-02,24,0,0,0,0
2009-03,19,0,0,0,0
2009-04,24,0,0,0,0
2009-05,17,0,0,0,0
2009-06,19,0,0,0,0
2009-07,17,0,0,0,0
2009-08,24,9,0,0,0
2009-09,13,0,0,0,0
2009-10,27,0,0,0,0
2009-11,37,0,0,0,0
2009-12,18,0,0,0,0
2010-01,25,0,0,0,0
2010-02,26,0,0,0,0
2010-03,15,0,0,0,0
2010-04,13,0,0,4,0
2010-05,20,0,0,0,0
2010-06,12,4,0,0,0
2010-07,16,0,0,0,0
2010-08,16,0,0,0,0
2010-09,19,0,0,0,0
2010-10,30,4,0,0,0
2010-11,21,4,0,0,0
2010-12,16,0,0,0,0
2011-01,20,3,0,0,2
2011-02,16,2,0,0,2
2011-03,11,2,0,0,2
2011-04,11,3,0,0,2
2011-05,13,2,0,0,2
2011-06,12,2,0,0,2
2011-07,14,2,0,0,2
2011-08,14,2,0,0,1
2011-09,18,2,0,0,1
2011-10,18,2,1,0,2
2011-11,20,3,1,0,1
2011-12,18,1,<1,0,1
2012-01,14,2,0,0,2
2012-02,12,2,0,1,2
2012-03,11,2,0,0,1
2012-04,10,3,0,0,1
2012-05,12,2,0,0,1
2012-06,11,2,0,0,2
2012-07,13,2,0,0,2
2012-08,17,2,1,0,1
2012-09,18,2,1,0,2
2012-10,18,2,0,0,1
2012-11,25,2,0,0,1
2012-12,17,2,<1,0,2
2013-01,14,2,<1,0,2
2013-02,12,2,0,0,1
2013-03,11,2,0,0,2
2013-04,12,2,<1,0,1
2013-05,11,2,0,0,2
2013-06,14,2,<1,0,2
2013-07,11,2,0,0,2
2013-08,13,2,0,<1,2
2013-09,17,2,<1,0,1
2013-10,13,1,<1,1,1
2013-11,21,2,0,<1,2
2013-12,15,1,<1,<1,2
2014-01,18,1,<1,0,2
2014-02,13,2,<1,<1,2
2014-03,13,2,<1,<1,1
2014-04,7,1,<1,0,1
2014-05,6,1,<1,<1,1
2014-06,5,1,<1,<1,1
2014-07,4,1,<1,<1,1
2014-08,8,1,<1,<1,1
2014-09,10,1,<1,<1,1
2014-10,8,1,<1,<1,1
2014-11,9,1,<1,<1,1
2014-12,8,1,<1,<1,1
2015-01,7,1,<1,<1,1
2015-02,6,1,<1,<1,1
2015-03,6,1,<1,<1,1
2015-04,6,1,<1,<1,1
2015-05,5,1,<1,<1,1
2015-06,5,1,<1,<1,1
2015-07,4,1,<1,<1,1
2015-08,8,1,<1,<1,1
2015-09,10,2,<1,<1,1
2015-10,10,1,<1,<1,1
2015-11,13,1,<1,<1,1
2015-12,9,1,<1,<1,2
2016-01,6,1,<1,<1,1
2016-02,5,1,<1,<1,1
2016-03,3,1,<1,<1,1
2016-04,4,1,<1,<1,1
2016-05,4,1,<1,<1,1
2016-06,4,1,<1,<1,1
2016-07,4,1,<1,<1,1
2016-08,6,1,<1,<1,1
2016-09,8,1,<1,<1,1
2016-10,9,1,<1,<1,1
2016-11,9,1,<1,<1,1
2016-12,6,1,<1,<1,1
2017-01,6,2,<1,<1,1
2017-02,4,1,<1,<1,1
2017-03,4,1,<1,<1,1
2017-04,4,1,<1,<1,1
2017-05,4,1,<1,<1,1
2017-06,3,1,<1,<1,1
2017-07,4,1,<1,<1,1
2017-08,6,1,<1,<1,1
2017-09,8,2,<1,<1,1
2017-10,10,2,<1,<1,1
2017-11,8,2,<1,<1,1
2017-12,6,2,<1,<1,1
2018-01,6,2,<1,<1,1
2018-02,6,2,<1,<1,1
2018-03,5,1,<1,<1,1
2018-04,4,2,<1,<1,1
2018-05,5,2,<1,<1,1
2018-06,3,1,<1,<1,1
2018-07,5,2,<1,<1,1
2018-08,6,2,<1,<1,1
2018-09,8,2,<1,<1,1
2018-10,9,2,<1,<1,1
2018-11,7,2,<1,<1,1
2018-12,5,2,<1,<1,1
2019-01,5,2,<1,<1,1
2019-02,4,2,<1,<1,1
2019-03,4,2,<1,<1,1
2019-04,5,2,<1,<1,1
2019-05,4,2,<1,<1,1
2019-06,3,1,<1,<1,1
2019-07,5,2,<1,<1,1
2019-08,6,2,<1,<1,1
2019-09,9,2,<1,<1,1
2019-10,9,2,<1,<1,1
2019-11,8,2,<1,<1,1
2019-12,5,2,<1,<1,1
2020-01,5,2,<1,<1,1
2020-02,4,2,<1,<1,1
2020-03,3,2,<1,<1,1
2020-04,3,1,<1,<1,1
2020-05,3,1,<1,<1,1
2020-06,4,2,<1,<1,1
2020-07,3,2,<1,<1,1
2020-08,3,2,<1,<1,1
2020-09,3,3,<1,<1,1
2020-10,3,2,<1,<1,1
2020-11,3,2,1,<1,1
2020-12,3,2,<1,<1,1
2021-01,3,3,<1,<1,1
2021-02,4,2,<1,<1,1
2021-03,4,2,<1,<1,1
2021-04,3,2,<1,<1,1
2021-05,3,2,<1,<1,1
2021-06,3,3,<1,<1,1
2021-07,4,2,<1,<1,1
2021-08,4,2,<1,<1,1
2021-09,5,2,<1,<1,1
2021-10,5,2,<1,<1,1
2021-11,6,2,<1,<1,2
2021-12,5,2,<1,<1,1
2022-01,5,2,<1,<1,1
2022-02,5,2,<1,<1,1
2022-03,4,2,<1,<1,1
2022-04,4,1,<1,<1,1
2022-05,4,1,<1,<1,2
2022-06,5,2,<1,<1,1
2022-07,4,1,<1,<1,1
2022-08,5,2,<1,<1,1
2022-09,4,2,<1,<1,1
2022-10,4,1,<1,<1,1
2022-11,3,1,<1,<1,1
2022-12,3,1,<1,<1,1
2023-01,4,1,<1,<1,1
2023-02,4,1,<1,<1,1
2023-03,4,1,<1,<1,1
2023-04,4,1,<1,<1,1
2023-05,6,1,<1,<1,1
2023-06,5,1,<1,<1,1
2023-07,5,1,<1,<1,1
2023-08,4,1,<1,<1,1
2023-09,4,1,<1,<1,1
2023-10,3,1,<1,<1,1
2023-11,3,1,<1,<1,1
2023-12,4,1,<1,<1,1
2024-01,5,1,<1,<1,1
2024-02,5,1,<1,<1,1
2024-03,5,1,<1,<1,1
2024-04,4,1,<1,<1,1
2024-05,4,1,<1,<1,1
2024-06,4,1,<1,<1,1
2024-07,4,1,<1,<1,1
2024-08,3,1,<1,<1,1
2024-09,4,1,<1,<1,1
2024-10,4,1,<1,<1,1
2024-11,4,1,<1,<1,1
2024-12,3,1,<1,<1,1
2025-01,4,1,<1,<1,1
2025-02,4,1,<1,<1,1
2025-03,4,1,<1,<1,1
2025-04,4,1,<1,<1,1
2025-05,4,1,<1,<1,1
2025-06,3,1,<1,<1,1
2025-07,3,1,<1,<1,1
2025-08,3,1,<1,<1,1
2025-09,3,1,<1,<1,1
