Category: All categories

Month,internet: (Chittagong Division),phone line: (Chittagong Division),electricity generator: (Chittagong Division),generator: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,96,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,71,0,0,0,0
2009-08,82,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,100,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,52,0,0,0,0
2010-04,0,0,0,0,0
2010-05,67,0,0,0,0
2010-06,61,0,0,0,0
2010-07,52,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,39,0,0,0,0
2010-11,0,0,0,0,0
2010-12,66,0,0,0,0
2011-01,64,0,0,0,23
2011-02,78,0,0,0,23
2011-03,68,0,0,0,21
2011-04,73,0,0,24,27
2011-05,77,0,0,15,21
2011-06,75,0,0,11,28
2011-07,60,0,0,0,18
2011-08,71,0,0,11,16
2011-09,67,0,0,8,18
2011-10,62,0,0,10,21
2011-11,59,0,0,12,17
2011-12,69,0,0,11,9
2012-01,66,0,0,8,21
2012-02,61,0,0,0,23
2012-03,63,0,0,0,15
2012-04,53,0,0,10,14
2012-05,47,0,0,10,15
2012-06,56,0,0,10,25
2012-07,64,0,0,11,24
2012-08,66,0,0,10,15
2012-09,59,0,0,10,21
2012-10,60,0,0,9,14
2012-11,57,0,0,12,15
2012-12,48,0,0,9,18
2013-01,52,0,0,5,19
2013-02,63,0,0,6,17
2013-03,74,0,0,5,22
2013-04,58,0,0,8,15
2013-05,74,0,0,10,18
2013-06,67,0,0,7,20
2013-07,65,0,0,9,19
2013-08,58,0,0,7,23
2013-09,67,0,0,6,16
2013-10,70,0,0,5,16
2013-11,74,0,0,8,20
2013-12,60,0,0,10,19
2014-01,70,0,0,7,20
2014-02,64,0,0,7,21
2014-03,67,0,0,8,17
2014-04,49,0,0,6,13
2014-05,45,0,0,3,11
2014-06,41,0,0,3,9
2014-07,48,0,0,2,10
2014-08,44,0,0,3,12
2014-09,41,0,0,3,10
2014-10,45,0,0,2,11
2014-11,46,0,0,3,12
2014-12,45,0,0,3,13
2015-01,42,0,0,3,12
2015-02,44,0,0,4,14
2015-03,43,0,0,4,12
2015-04,41,0,0,4,10
2015-05,50,0,0,4,10
2015-06,53,0,0,4,11
2015-07,54,0,0,4,11
2015-08,50,0,0,4,14
2015-09,60,0,0,3,13
2015-10,51,0,0,4,12
2015-11,51,0,0,5,12
2015-12,52,0,0,4,20
2016-01,39,0,0,3,11
2016-02,36,0,0,4,10
2016-03,35,<1,0,2,7
2016-04,36,0,0,2,8
2016-05,34,0,0,3,8
2016-06,38,0,0,3,12
2016-07,35,0,0,2,9
2016-08,32,0,0,3,9
2016-09,33,0,0,2,9
2016-10,30,0,0,3,10
2016-11,31,0,0,3,11
2016-12,32,0,0,3,11
2017-01,30,0,0,3,9
2017-02,32,0,0,3,11
2017-03,29,0,0,4,9
2017-04,28,0,0,3,10
2017-05,26,0,0,3,8
2017-06,31,0,0,2,8
2017-07,26,0,0,3,8
2017-08,27,0,0,3,8
2017-09,32,0,0,4,9
2017-10,31,0,0,4,10
2017-11,33,0,0,4,12
2017-12,30,0,0,4,9
2018-01,31,0,0,4,10
2018-02,36,0,0,3,10
2018-03,33,0,0,4,11
2018-04,29,0,0,4,11
2018-05,32,0,0,4,11
2018-06,34,0,0,3,9
2018-07,32,0,0,3,9
2018-08,38,0,0,3,11
2018-09,33,0,0,4,11
2018-10,34,0,0,3,10
2018-11,33,0,0,4,11
2018-12,32,0,0,3,8
2019-01,33,0,0,3,9
2019-02,31,0,0,3,11
2019-03,30,0,0,5,13
2019-04,27,<1,0,4,13
2019-05,28,0,0,4,12
2019-06,28,0,0,3,10
2019-07,29,0,0,4,12
2019-08,31,0,0,4,13
2019-09,28,0,0,4,13
2019-10,28,0,0,5,14
2019-11,28,0,0,5,13
2019-12,30,0,0,5,9
2020-01,28,0,0,4,10
2020-02,26,0,0,5,13
2020-03,31,0,0,5,14
2020-04,36,0,0,6,14
2020-05,33,0,0,7,13
2020-06,33,0,0,7,15
2020-07,37,0,0,6,16
2020-08,30,0,0,6,14
2020-09,32,0,0,6,14
2020-10,29,0,0,6,12
2020-11,26,0,0,6,11
2020-12,27,0,0,6,10
2021-01,27,0,0,6,9
2021-02,26,0,0,6,10
2021-03,25,0,0,6,11
2021-04,22,0,0,6,11
2021-05,21,0,0,6,10
2021-06,23,0,0,6,11
2021-07,22,<1,0,6,10
2021-08,20,0,0,5,11
2021-09,19,<1,0,5,11
2021-10,17,0,0,5,11
2021-11,17,0,0,5,21
2021-12,17,0,0,6,9
2022-01,20,0,0,7,10
2022-02,17,<1,0,7,12
2022-03,18,0,0,7,14
2022-04,16,0,0,6,15
2022-05,16,<1,0,6,19
2022-06,17,0,0,6,18
2022-07,18,0,0,7,14
2022-08,16,<1,0,7,17
2022-09,17,<1,0,6,17
2022-10,15,<1,0,6,16
2022-11,14,0,0,6,16
2022-12,14,<1,0,6,9
2023-01,15,0,0,7,10
2023-02,15,0,0,8,11
2023-03,14,0,0,7,12
2023-04,14,<1,0,9,11
2023-05,14,<1,0,8,14
2023-06,17,<1,0,10,13
2023-07,15,0,0,10,10
2023-08,15,<1,0,11,13
2023-09,13,0,0,10,11
2023-10,15,<1,0,11,11
2023-11,14,<1,0,9,11
2023-12,14,<1,0,11,9
2024-01,14,0,0,11,9
2024-02,12,0,0,9,9
2024-03,12,<1,0,9,9
2024-04,11,<1,0,9,7
2024-05,10,<1,0,9,9
2024-06,10,0,0,8,7
2024-07,20,<1,0,8,8
2024-08,16,<1,0,9,8
2024-09,11,<1,0,12,10
2024-10,11,<1,0,10,10
2024-11,9,0,0,9,10
2024-12,9,0,0,9,8
2025-01,9,<1,0,10,8
2025-02,9,<1,0,10,8
2025-03,8,0,0,12,9
2025-04,8,<1,0,10,9
2025-05,9,0,0,10,10
2025-06,9,0,0,9,9
2025-07,10,<1,0,9,8
2025-08,9,<1,0,8,10
2025-09,9,<1,0,8,9
