Category: All categories

Month,college: (Chittagong Division),nursery: (Chittagong Division),dam: (Chittagong Division),desalination: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,44,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,58,0,0,0,0
2009-07,41,0,0,0,0
2009-08,44,0,0,0,0
2009-09,0,0,0,0,0
2009-10,56,0,0,0,0
2009-11,51,0,0,0,0
2009-12,40,0,0,0,0
2010-01,30,0,58,0,0
2010-02,41,0,0,0,0
2010-03,32,0,29,0,0
2010-04,0,0,61,0,0
2010-05,25,0,0,0,0
2010-06,100,0,0,0,0
2010-07,23,0,0,0,0
2010-08,38,0,0,0,0
2010-09,28,0,0,0,0
2010-10,25,0,0,0,0
2010-11,28,0,0,0,0
2010-12,0,0,0,0,0
2011-01,18,0,7,0,11
2011-02,18,0,0,0,11
2011-03,17,0,0,0,10
2011-04,15,0,6,0,13
2011-05,47,0,0,0,10
2011-06,67,0,0,0,13
2011-07,25,0,0,0,8
2011-08,26,0,0,0,8
2011-09,23,0,7,0,8
2011-10,24,0,6,0,10
2011-11,28,0,3,0,8
2011-12,29,0,0,0,4
2012-01,31,0,3,0,10
2012-02,20,0,0,0,11
2012-03,18,0,4,0,7
2012-04,25,0,5,0,7
2012-05,36,0,4,0,7
2012-06,49,0,4,0,12
2012-07,21,0,3,0,11
2012-08,21,0,0,0,7
2012-09,24,0,0,0,10
2012-10,18,0,0,0,6
2012-11,37,0,0,0,7
2012-12,36,0,0,0,9
2013-01,25,0,3,0,9
2013-02,22,0,0,0,8
2013-03,17,0,0,0,10
2013-04,17,0,0,0,7
2013-05,52,0,0,0,9
2013-06,52,0,0,0,10
2013-07,17,0,0,0,9
2013-08,22,0,0,0,11
2013-09,21,0,0,0,7
2013-10,22,0,2,0,8
2013-11,28,2,2,0,9
2013-12,31,0,2,0,9
2014-01,27,0,0,0,10
2014-02,26,0,0,0,10
2014-03,23,0,0,0,8
2014-04,19,0,2,0,6
2014-05,28,0,1,0,5
2014-06,41,0,2,0,4
2014-07,11,0,1,0,5
2014-08,18,0,1,0,5
2014-09,17,0,1,0,5
2014-10,15,<1,2,0,5
2014-11,22,<1,3,0,5
2014-12,21,0,1,0,6
2015-01,18,0,1,0,5
2015-02,16,0,2,0,6
2015-03,15,0,1,0,6
2015-04,14,1,2,0,5
2015-05,14,0,1,0,5
2015-06,42,0,1,0,5
2015-07,16,0,1,0,5
2015-08,19,1,2,0,6
2015-09,18,0,2,0,6
2015-10,21,1,1,0,6
2015-11,22,0,2,0,6
2015-12,23,1,1,0,9
2016-01,16,0,1,0,5
2016-02,15,<1,1,0,5
2016-03,11,<1,1,0,3
2016-04,12,<1,1,0,4
2016-05,25,<1,1,0,4
2016-06,30,0,1,0,6
2016-07,15,0,2,0,4
2016-08,18,0,1,0,4
2016-09,17,<1,1,0,4
2016-10,17,0,1,0,5
2016-11,22,<1,1,0,5
2016-12,20,<1,1,0,5
2017-01,15,<1,1,0,4
2017-02,16,0,1,0,5
2017-03,13,<1,1,0,4
2017-04,12,<1,1,0,5
2017-05,25,0,1,0,4
2017-06,26,0,1,0,4
2017-07,19,<1,1,0,4
2017-08,17,<1,1,0,4
2017-09,19,0,1,0,4
2017-10,22,<1,1,0,5
2017-11,25,<1,1,0,6
2017-12,28,<1,1,0,4
2018-01,19,<1,1,0,5
2018-02,17,<1,1,0,5
2018-03,16,<1,1,0,5
2018-04,16,<1,1,0,5
2018-05,33,<1,1,0,5
2018-06,31,<1,1,0,4
2018-07,23,<1,1,0,4
2018-08,19,<1,1,0,5
2018-09,21,<1,1,0,5
2018-10,22,<1,1,0,5
2018-11,24,<1,1,0,5
2018-12,26,<1,1,0,4
2019-01,19,<1,1,0,4
2019-02,18,<1,1,0,5
2019-03,16,<1,1,0,6
2019-04,17,<1,1,0,6
2019-05,32,<1,1,0,6
2019-06,34,<1,1,0,4
2019-07,23,<1,1,0,5
2019-08,20,<1,1,0,6
2019-09,25,<1,1,0,6
2019-10,23,<1,1,0,6
2019-11,27,<1,1,0,6
2019-12,28,<1,1,0,4
2020-01,21,<1,1,0,5
2020-02,19,<1,1,0,6
2020-03,14,<1,1,0,6
2020-04,11,<1,1,0,7
2020-05,14,<1,1,0,6
2020-06,22,<1,1,0,7
2020-07,16,<1,1,0,7
2020-08,37,<1,1,0,7
2020-09,30,<1,1,0,7
2020-10,17,<1,1,0,6
2020-11,16,<1,1,0,5
2020-12,19,<1,1,0,5
2021-01,18,<1,1,0,4
2021-02,17,<1,1,0,5
2021-03,15,<1,1,0,5
2021-04,13,<1,1,0,5
2021-05,12,<1,1,0,5
2021-06,14,<1,1,0,5
2021-07,13,<1,1,0,5
2021-08,20,<1,1,0,5
2021-09,19,<1,1,0,5
2021-10,16,<1,1,0,5
2021-11,22,<1,1,0,10
2021-12,25,<1,1,0,4
2022-01,42,<1,1,0,5
2022-02,36,<1,1,0,6
2022-03,22,<1,2,0,7
2022-04,18,<1,1,0,7
2022-05,21,<1,1,0,9
2022-06,22,<1,1,0,8
2022-07,18,<1,2,0,6
2022-08,19,<1,2,0,8
2022-09,20,<1,1,0,8
2022-10,18,<1,1,0,7
2022-11,19,<1,1,0,7
2022-12,30,<1,1,0,4
2023-01,34,<1,1,0,5
2023-02,21,<1,1,0,5
2023-03,17,<1,1,0,6
2023-04,17,<1,1,0,5
2023-05,20,<1,1,0,7
2023-06,21,<1,1,0,6
2023-07,22,<1,1,0,5
2023-08,31,<1,1,0,6
2023-09,30,<1,1,0,5
2023-10,19,<1,1,0,5
2023-11,21,<1,1,0,5
2023-12,19,<1,1,0,4
2024-01,20,<1,1,0,4
2024-02,21,<1,1,0,4
2024-03,19,<1,1,0,4
2024-04,17,<1,1,0,3
2024-05,31,<1,1,0,4
2024-06,28,<1,1,0,3
2024-07,29,<1,1,0,4
2024-08,19,<1,2,0,4
2024-09,15,<1,1,0,5
2024-10,17,<1,1,0,5
2024-11,18,<1,2,0,5
2024-12,14,<1,1,0,4
2025-01,16,<1,1,0,4
2025-02,17,<1,1,0,4
2025-03,11,<1,1,0,4
2025-04,12,<1,1,0,4
2025-05,12,<1,1,0,5
2025-06,13,<1,1,0,4
2025-07,23,<1,1,0,4
2025-08,23,<1,2,0,4
2025-09,25,<1,2,0,4
