Category: All categories

Month,restaurant: (Chittagong Division),restaurant: (Chittagong Division),compound: (Chittagong Division),port: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,100,67
2011-02,0,0,0,46,66
2011-03,0,0,0,56,63
2011-04,0,0,0,78,79
2011-05,0,0,0,33,63
2011-06,0,0,0,37,83
2011-07,0,0,0,42,53
2011-08,35,51,0,55,48
2011-09,0,0,0,69,52
2011-10,0,0,0,65,61
2011-11,0,0,0,74,49
2011-12,0,0,0,62,26
2012-01,0,20,0,59,61
2012-02,0,0,0,59,68
2012-03,0,0,0,30,45
2012-04,0,0,0,70,42
2012-05,0,0,0,56,44
2012-06,0,17,0,40,73
2012-07,0,0,0,47,70
2012-08,0,0,0,49,43
2012-09,0,0,0,59,62
2012-10,0,0,0,59,41
2012-11,0,0,0,53,44
2012-12,14,0,0,63,54
2013-01,0,0,0,43,56
2013-02,0,23,0,49,51
2013-03,13,0,0,39,63
2013-04,18,16,0,64,45
2013-05,18,15,0,56,54
2013-06,0,0,0,73,60
2013-07,22,19,0,48,55
2013-08,13,13,0,58,68
2013-09,0,0,0,49,47
2013-10,0,12,0,43,48
2013-11,11,13,0,58,59
2013-12,15,16,0,41,55
2014-01,13,15,0,52,60
2014-02,0,0,0,48,63
2014-03,0,11,0,53,49
2014-04,13,13,0,35,38
2014-05,8,8,0,27,33
2014-06,4,7,0,26,27
2014-07,9,10,0,21,30
2014-08,8,7,0,23,34
2014-09,6,8,0,30,30
2014-10,9,8,0,21,32
2014-11,4,5,0,24,34
2014-12,9,8,0,26,37
2015-01,4,6,0,27,34
2015-02,9,6,0,24,41
2015-03,8,6,3,26,36
2015-04,8,9,0,23,31
2015-05,7,7,0,32,29
2015-06,11,9,0,33,32
2015-07,15,18,0,32,33
2015-08,12,13,0,31,40
2015-09,13,14,0,36,38
2015-10,15,14,4,33,36
2015-11,11,10,0,29,36
2015-12,13,10,0,35,59
2016-01,10,10,0,23,34
2016-02,11,10,3,18,29
2016-03,5,4,1,9,21
2016-04,6,6,2,11,22
2016-05,10,10,2,23,25
2016-06,9,9,0,18,35
2016-07,13,14,2,20,25
2016-08,11,12,2,23,26
2016-09,11,12,0,24,27
2016-10,10,10,3,25,30
2016-11,12,12,2,21,32
2016-12,11,12,2,30,33
2017-01,11,11,0,43,26
2017-02,10,10,0,22,31
2017-03,11,11,2,20,27
2017-04,11,11,1,22,29
2017-05,11,10,0,22,25
2017-06,13,13,0,15,23
2017-07,12,12,0,22,24
2017-08,13,13,1,21,25
2017-09,15,15,3,39,27
2017-10,13,13,3,36,29
2017-11,13,13,2,39,35
2017-12,15,15,0,32,27
2018-01,16,15,2,27,30
2018-02,16,15,2,25,29
2018-03,17,17,1,24,31
2018-04,16,16,3,28,33
2018-05,19,19,3,28,31
2018-06,21,21,2,21,27
2018-07,19,19,2,24,28
2018-08,20,20,2,28,34
2018-09,21,21,2,29,34
2018-10,23,24,2,24,31
2018-11,21,20,3,27,32
2018-12,20,19,2,26,24
2019-01,20,21,2,25,27
2019-02,22,22,3,25,31
2019-03,22,22,2,28,39
2019-04,20,20,2,28,38
2019-05,28,28,2,33,35
2019-06,27,27,2,22,28
2019-07,27,27,2,31,35
2019-08,27,27,2,34,37
2019-09,26,26,2,36,38
2019-10,28,28,3,34,41
2019-11,28,28,3,30,37
2019-12,27,27,2,31,26
2020-01,27,27,3,30,29
2020-02,26,25,2,24,39
2020-03,17,17,2,24,40
2020-04,8,8,3,20,41
2020-05,10,10,2,23,38
2020-06,12,12,3,23,45
2020-07,15,15,4,25,47
2020-08,23,23,3,23,41
2020-09,28,28,4,29,43
2020-10,31,31,4,28,36
2020-11,26,26,4,29,31
2020-12,28,28,4,30,31
2021-01,26,26,4,29,28
2021-02,28,28,3,29,29
2021-03,27,27,3,28,33
2021-04,16,16,3,22,31
2021-05,25,25,3,20,29
2021-06,28,27,3,21,34
2021-07,16,16,3,19,29
2021-08,21,21,3,23,31
2021-09,27,27,4,20,32
2021-10,27,27,3,21,33
2021-11,24,24,3,23,60
2021-12,30,30,3,24,25
2022-01,25,25,3,24,29
2022-02,24,24,3,22,36
2022-03,22,22,4,22,42
2022-04,23,23,3,22,44
2022-05,28,29,3,19,55
2022-06,21,21,3,23,52
2022-07,26,26,3,19,41
2022-08,28,28,3,22,49
2022-09,25,25,3,20,49
2022-10,25,25,3,18,47
2022-11,18,18,2,17,46
2022-12,21,22,2,19,27
2023-01,23,23,3,23,29
2023-02,23,23,4,24,31
2023-03,21,21,3,21,35
2023-04,27,27,2,22,32
2023-05,23,23,3,25,42
2023-06,25,25,2,21,39
2023-07,27,27,2,21,30
2023-08,24,24,4,21,39
2023-09,21,21,3,19,33
2023-10,20,20,2,19,32
2023-11,18,18,3,19,34
2023-12,23,23,2,21,26
2024-01,20,19,3,21,27
2024-02,20,20,4,20,28
2024-03,17,17,3,19,27
2024-04,23,23,2,17,21
2024-05,20,20,3,20,25
2024-06,18,18,2,16,21
2024-07,15,15,2,19,25
2024-08,14,14,2,18,24
2024-09,19,19,2,20,29
2024-10,19,19,3,19,29
2024-11,18,18,2,16,29
2024-12,19,19,2,15,25
2025-01,19,19,2,19,24
2025-02,19,19,3,16,25
2025-03,16,16,2,15,26
2025-04,19,19,2,17,26
2025-05,17,16,2,18,30
2025-06,17,17,2,14,27
2025-07,16,16,2,17,24
2025-08,17,17,2,15,28
2025-09,17,17,2,15,27
