Category: All categories

Month,gang: (Chittagong Division),gang: (Chittagong Division),crime: (Chittagong Division),theft: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,100,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,42
2011-02,0,0,0,0,42
2011-03,0,0,0,0,40
2011-04,0,0,0,0,50
2011-05,0,0,0,0,40
2011-06,0,0,0,0,53
2011-07,0,0,0,0,34
2011-08,0,0,0,0,30
2011-09,0,0,0,0,33
2011-10,0,0,15,0,39
2011-11,0,0,0,0,31
2011-12,0,0,0,0,16
2012-01,0,0,0,0,39
2012-02,0,0,0,0,43
2012-03,0,0,0,0,28
2012-04,0,0,0,0,27
2012-05,0,0,10,0,28
2012-06,0,0,0,0,47
2012-07,0,0,0,0,44
2012-08,0,0,0,0,27
2012-09,0,0,0,0,39
2012-10,0,0,0,0,26
2012-11,0,0,0,0,28
2012-12,10,15,0,0,34
2013-01,11,0,12,0,36
2013-02,0,0,11,0,33
2013-03,0,0,0,0,40
2013-04,9,8,10,0,29
2013-05,0,0,0,0,34
2013-06,0,0,0,0,38
2013-07,0,0,0,0,35
2013-08,0,0,7,0,43
2013-09,0,7,0,0,30
2013-10,0,0,0,0,30
2013-11,0,0,0,0,38
2013-12,0,0,6,0,35
2014-01,0,0,0,0,38
2014-02,0,0,0,0,40
2014-03,6,0,0,0,31
2014-04,0,0,6,0,24
2014-05,4,4,3,0,21
2014-06,3,4,3,0,17
2014-07,4,3,3,0,19
2014-08,3,0,5,0,22
2014-09,3,3,5,0,19
2014-10,2,3,3,0,20
2014-11,3,3,6,2,22
2014-12,2,2,2,0,24
2015-01,3,4,2,0,22
2015-02,2,0,4,0,26
2015-03,3,0,5,0,23
2015-04,3,3,5,0,20
2015-05,4,5,4,2,18
2015-06,3,3,6,0,21
2015-07,0,3,4,0,21
2015-08,0,3,5,0,25
2015-09,4,4,8,0,24
2015-10,3,3,6,0,23
2015-11,2,2,6,0,23
2015-12,3,4,5,0,37
2016-01,4,4,6,0,21
2016-02,2,3,9,0,18
2016-03,3,3,7,1,14
2016-04,3,3,7,<1,14
2016-05,3,3,8,0,16
2016-06,3,3,9,0,22
2016-07,3,3,8,0,16
2016-08,3,3,9,2,17
2016-09,4,4,9,0,17
2016-10,4,4,9,1,19
2016-11,3,3,8,0,20
2016-12,4,4,8,1,21
2017-01,4,4,9,1,17
2017-02,4,4,9,0,20
2017-03,4,4,8,1,17
2017-04,4,4,9,1,18
2017-05,3,3,10,1,16
2017-06,4,3,9,1,15
2017-07,4,4,10,0,15
2017-08,3,3,9,0,16
2017-09,3,3,7,1,17
2017-10,4,4,7,1,19
2017-11,3,3,6,0,22
2017-12,5,4,5,1,17
2018-01,4,4,6,1,19
2018-02,4,4,7,1,19
2018-03,3,2,7,1,20
2018-04,3,4,6,1,21
2018-05,3,3,7,0,20
2018-06,4,4,7,0,17
2018-07,3,4,5,1,18
2018-08,4,4,6,1,21
2018-09,3,3,6,1,21
2018-10,3,3,5,1,20
2018-11,3,3,6,1,20
2018-12,3,3,5,1,16
2019-01,4,4,5,1,17
2019-02,2,2,4,0,20
2019-03,3,3,5,1,25
2019-04,3,3,6,1,24
2019-05,3,3,6,1,22
2019-06,2,2,5,1,18
2019-07,3,3,6,1,22
2019-08,3,4,6,1,24
2019-09,3,3,6,0,24
2019-10,3,3,6,1,26
2019-11,3,3,6,1,24
2019-12,3,3,5,1,17
2020-01,3,3,5,1,18
2020-02,2,2,5,1,25
2020-03,2,2,5,1,25
2020-04,3,3,6,1,26
2020-05,3,3,6,2,24
2020-06,3,3,6,1,28
2020-07,3,4,5,1,30
2020-08,3,3,5,1,26
2020-09,3,3,5,1,27
2020-10,3,3,4,1,23
2020-11,2,2,4,1,20
2020-12,3,3,4,1,19
2021-01,2,2,5,1,17
2021-02,2,2,3,1,18
2021-03,3,3,4,1,21
2021-04,2,2,4,1,20
2021-05,3,3,4,1,18
2021-06,3,3,4,1,21
2021-07,2,3,4,1,18
2021-08,3,3,4,1,20
2021-09,2,2,3,1,20
2021-10,2,2,4,1,21
2021-11,3,3,3,1,38
2021-12,3,3,4,1,16
2022-01,3,3,4,1,19
2022-02,2,2,4,1,23
2022-03,3,3,4,1,27
2022-04,2,2,3,1,28
2022-05,3,3,3,1,35
2022-06,3,3,4,1,33
2022-07,3,3,3,1,26
2022-08,4,4,4,1,31
2022-09,4,5,4,1,31
2022-10,4,4,3,1,30
2022-11,3,3,3,1,29
2022-12,3,3,3,1,17
2023-01,3,3,3,1,18
2023-02,3,3,3,1,20
2023-03,3,3,3,1,22
2023-04,3,3,3,1,20
2023-05,3,3,3,1,27
2023-06,3,4,3,1,25
2023-07,3,3,3,1,19
2023-08,3,3,3,1,25
2023-09,2,3,3,<1,21
2023-10,2,2,3,1,20
2023-11,2,2,3,1,21
2023-12,2,2,4,1,16
2024-01,2,2,3,1,17
2024-02,3,3,3,1,18
2024-03,2,2,2,1,17
2024-04,3,3,2,1,13
2024-05,3,3,3,1,16
2024-06,2,2,3,1,14
2024-07,3,3,4,1,16
2024-08,3,3,3,1,15
2024-09,2,2,3,1,19
2024-10,3,3,3,1,18
2024-11,3,3,3,1,18
2024-12,3,3,3,1,16
2025-01,3,3,3,1,15
2025-02,3,3,2,1,16
2025-03,3,3,2,1,17
2025-04,3,3,2,1,17
2025-05,3,3,3,1,19
2025-06,3,3,3,1,17
2025-07,3,3,3,1,15
2025-08,3,3,3,1,18
2025-09,3,3,2,1,17
