Category: All categories

Month,operation: (Chittagong Division),torture: (Chittagong Division),elements: (Chittagong Division),execute: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,40,0,0,0,58
2011-09,0,0,0,0,63
2011-10,0,0,0,0,74
2011-11,0,0,0,0,60
2011-12,0,0,0,0,31
2012-01,0,0,0,0,74
2012-02,0,0,0,0,82
2012-03,0,0,25,0,54
2012-04,0,0,0,0,51
2012-05,0,0,0,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,24,0,0,0,52
2012-09,0,0,0,0,75
2012-10,35,0,0,0,49
2012-11,0,0,0,0,53
2012-12,30,0,19,0,66
2013-01,27,0,0,0,68
2013-02,0,0,0,0,62
2013-03,21,0,0,0,76
2013-04,0,0,18,0,55
2013-05,23,0,0,0,65
2013-06,0,0,0,0,73
2013-07,17,0,0,0,66
2013-08,17,0,0,0,82
2013-09,13,0,0,0,56
2013-10,15,0,0,0,58
2013-11,13,0,0,0,72
2013-12,12,0,0,0,66
2014-01,17,0,16,0,73
2014-02,18,0,0,0,76
2014-03,14,0,0,0,59
2014-04,11,0,8,0,46
2014-05,7,0,5,0,39
2014-06,6,0,0,0,32
2014-07,7,0,0,0,36
2014-08,7,0,4,0,41
2014-09,7,0,4,0,36
2014-10,5,0,4,0,38
2014-11,5,0,3,0,42
2014-12,7,0,4,0,45
2015-01,8,0,0,0,41
2015-02,7,0,0,0,49
2015-03,8,0,0,0,43
2015-04,5,0,6,0,37
2015-05,5,0,0,0,35
2015-06,0,0,0,0,39
2015-07,4,0,0,0,40
2015-08,10,0,0,0,48
2015-09,10,0,6,0,46
2015-10,9,0,7,0,44
2015-11,10,0,6,0,44
2015-12,11,0,0,0,71
2016-01,7,0,0,0,41
2016-02,9,0,4,0,35
2016-03,5,1,3,0,26
2016-04,5,2,3,0,27
2016-05,11,0,3,0,30
2016-06,7,0,4,0,42
2016-07,5,3,2,0,31
2016-08,9,0,3,0,32
2016-09,5,0,4,0,33
2016-10,7,0,5,0,36
2016-11,9,3,4,0,38
2016-12,7,2,2,0,39
2017-01,10,0,4,0,32
2017-02,9,2,2,0,38
2017-03,10,0,5,0,32
2017-04,6,0,4,0,35
2017-05,7,0,4,0,30
2017-06,5,2,3,0,28
2017-07,6,0,3,0,29
2017-08,7,2,5,0,30
2017-09,6,3,4,0,33
2017-10,8,0,4,0,35
2017-11,8,0,6,0,42
2017-12,7,2,4,0,32
2018-01,6,2,3,0,36
2018-02,6,0,5,0,36
2018-03,7,1,5,0,38
2018-04,7,0,4,0,39
2018-05,9,2,5,0,37
2018-06,6,2,3,0,33
2018-07,8,0,4,0,33
2018-08,8,1,3,0,41
2018-09,9,2,4,0,41
2018-10,7,1,5,0,37
2018-11,10,2,4,0,39
2018-12,7,0,4,0,30
2019-01,6,0,3,0,32
2019-02,8,0,4,0,38
2019-03,9,1,5,0,47
2019-04,9,2,6,0,46
2019-05,5,1,3,0,42
2019-06,5,1,3,0,34
2019-07,8,0,5,0,42
2019-08,7,2,4,0,45
2019-09,7,0,5,0,46
2019-10,7,1,5,0,49
2019-11,7,0,6,0,45
2019-12,7,1,5,0,32
2020-01,7,1,4,0,34
2020-02,7,1,5,0,47
2020-03,7,2,4,0,48
2020-04,6,1,4,0,50
2020-05,6,2,3,0,46
2020-06,8,2,6,0,54
2020-07,7,1,5,0,57
2020-08,7,1,7,0,50
2020-09,7,2,7,1,51
2020-10,7,1,5,0,43
2020-11,7,1,6,0,38
2020-12,7,1,7,0,37
2021-01,7,2,6,0,33
2021-02,7,2,7,1,35
2021-03,8,1,5,0,40
2021-04,7,1,6,0,37
2021-05,4,2,4,0,35
2021-06,8,1,7,1,41
2021-07,5,1,5,<1,35
2021-08,6,1,7,0,37
2021-09,6,1,6,0,38
2021-10,6,1,5,0,40
2021-11,7,1,5,0,73
2021-12,6,1,6,0,30
2022-01,5,1,6,1,35
2022-02,8,1,7,<1,43
2022-03,8,1,8,<1,51
2022-04,7,1,6,<1,53
2022-05,7,1,5,0,66
2022-06,7,1,6,<1,62
2022-07,7,1,5,<1,49
2022-08,7,1,7,0,59
2022-09,7,1,6,<1,59
2022-10,8,1,6,0,57
2022-11,6,1,5,0,56
2022-12,5,1,5,0,32
2023-01,7,1,5,0,35
2023-02,7,1,6,0,38
2023-03,7,1,5,1,43
2023-04,5,1,3,0,39
2023-05,8,1,5,<1,51
2023-06,7,1,5,0,47
2023-07,6,1,4,0,36
2023-08,6,1,5,0,47
2023-09,5,1,4,0,40
2023-10,5,1,4,0,39
2023-11,5,1,4,0,41
2023-12,5,1,4,0,31
2024-01,5,1,4,0,33
2024-02,6,1,5,0,34
2024-03,5,1,4,0,33
2024-04,5,1,3,0,25
2024-05,6,1,5,<1,31
2024-06,4,1,3,0,26
2024-07,5,1,3,0,30
2024-08,5,1,3,<1,29
2024-09,5,1,4,<1,35
2024-10,5,1,3,<1,35
2024-11,5,1,5,0,35
2024-12,5,1,4,<1,30
2025-01,5,1,4,0,29
2025-02,6,1,4,0,30
2025-03,4,1,3,0,32
2025-04,4,2,3,0,32
2025-05,6,2,3,0,36
2025-06,5,2,2,0,33
2025-07,5,1,3,<1,29
2025-08,5,2,2,0,34
2025-09,5,1,3,<1,32
