Category: All categories

Month,resource: (Chittagong Division),shortage: (Chittagong Division),education: (Chittagong Division),health: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,100,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,39,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,29,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,46,0,0
2009-06,0,0,0,0,0
2009-07,0,0,21,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,20,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,17,0,0
2010-05,0,0,21,0,0
2010-06,0,0,13,0,0
2010-07,0,0,15,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,11,0,0
2010-11,0,0,0,0,0
2010-12,0,0,29,0,0
2011-01,0,0,7,0,5
2011-02,0,0,5,0,5
2011-03,0,0,6,4,5
2011-04,0,0,7,4,6
2011-05,0,0,26,2,5
2011-06,0,0,11,3,6
2011-07,0,0,21,2,4
2011-08,0,0,8,4,4
2011-09,0,0,7,0,4
2011-10,0,0,6,4,5
2011-11,0,0,5,3,4
2011-12,0,0,21,4,2
2012-01,0,0,9,2,5
2012-02,0,0,11,3,5
2012-03,2,0,6,3,3
2012-04,0,0,6,4,3
2012-05,0,0,35,2,3
2012-06,0,0,9,3,6
2012-07,0,0,17,3,5
2012-08,0,0,6,0,3
2012-09,0,0,4,3,5
2012-10,0,0,5,2,3
2012-11,0,0,7,3,3
2012-12,0,0,16,3,4
2013-01,0,0,9,3,4
2013-02,0,0,8,3,4
2013-03,0,0,7,4,5
2013-04,1,0,7,4,3
2013-05,2,0,19,2,4
2013-06,0,0,11,3,5
2013-07,0,0,7,3,4
2013-08,0,0,16,2,5
2013-09,0,0,6,3,4
2013-10,0,0,5,3,4
2013-11,0,0,7,2,5
2013-12,1,1,21,3,4
2014-01,0,0,8,3,5
2014-02,0,0,9,3,5
2014-03,0,0,5,2,4
2014-04,1,0,6,2,3
2014-05,<1,0,16,2,3
2014-06,<1,0,5,2,2
2014-07,0,0,4,2,2
2014-08,<1,0,9,2,3
2014-09,<1,0,5,2,2
2014-10,<1,0,4,2,2
2014-11,0,0,4,2,3
2014-12,<1,0,16,2,3
2015-01,<1,0,6,1,3
2015-02,<1,0,4,1,3
2015-03,0,0,5,2,3
2015-04,<1,0,4,2,2
2015-05,0,0,16,2,2
2015-06,<1,0,9,2,2
2015-07,0,0,4,2,3
2015-08,1,0,11,2,3
2015-09,0,0,5,2,3
2015-10,0,0,5,2,3
2015-11,<1,0,5,3,3
2015-12,<1,0,21,2,5
2016-01,<1,0,6,2,3
2016-02,<1,0,4,2,2
2016-03,<1,0,3,1,2
2016-04,<1,<1,4,1,2
2016-05,<1,0,16,2,2
2016-06,<1,0,5,2,3
2016-07,<1,0,2,1,2
2016-08,<1,0,10,2,2
2016-09,<1,0,3,2,2
2016-10,<1,0,4,2,2
2016-11,<1,0,3,2,2
2016-12,<1,0,13,2,3
2017-01,<1,0,3,2,2
2017-02,<1,0,3,2,2
2017-03,<1,0,2,2,2
2017-04,<1,0,3,1,2
2017-05,<1,0,13,1,2
2017-06,<1,0,2,1,2
2017-07,<1,0,7,1,2
2017-08,<1,0,3,1,2
2017-09,<1,0,2,2,2
2017-10,<1,0,2,2,2
2017-11,<1,0,3,2,3
2017-12,<1,0,19,1,2
2018-01,<1,0,4,1,2
2018-02,<1,0,3,2,2
2018-03,<1,0,3,2,2
2018-04,<1,0,3,2,3
2018-05,<1,0,14,2,2
2018-06,<1,0,3,1,2
2018-07,<1,0,8,2,2
2018-08,<1,0,3,2,3
2018-09,<1,0,3,2,3
2018-10,<1,0,3,2,2
2018-11,<1,0,3,2,2
2018-12,<1,0,13,2,2
2019-01,<1,0,4,2,2
2019-02,<1,0,3,2,2
2019-03,<1,0,3,2,3
2019-04,<1,0,3,2,3
2019-05,<1,0,13,2,3
2019-06,<1,0,3,2,2
2019-07,<1,0,7,2,3
2019-08,<1,0,3,2,3
2019-09,<1,0,3,2,3
2019-10,<1,0,3,2,3
2019-11,<1,0,3,2,3
2019-12,<1,0,14,2,2
2020-01,<1,0,6,2,2
2020-02,<1,0,3,2,3
2020-03,<1,0,3,3,3
2020-04,<1,0,3,3,3
2020-05,<1,0,8,2,3
2020-06,<1,0,5,2,3
2020-07,<1,0,3,2,4
2020-08,<1,0,4,2,3
2020-09,<1,0,4,2,3
2020-10,<1,0,3,2,3
2020-11,<1,0,3,2,2
2020-12,<1,0,3,2,2
2021-01,<1,0,5,1,2
2021-02,<1,0,4,2,2
2021-03,<1,0,3,2,3
2021-04,<1,0,2,2,2
2021-05,<1,0,2,1,2
2021-06,<1,0,3,2,3
2021-07,<1,<1,2,2,2
2021-08,<1,0,3,2,2
2021-09,<1,0,3,2,2
2021-10,<1,<1,3,2,3
2021-11,<1,0,3,2,5
2021-12,<1,0,7,2,2
2022-01,<1,0,5,2,2
2022-02,<1,<1,9,2,3
2022-03,<1,<1,3,2,3
2022-04,<1,<1,3,2,3
2022-05,<1,<1,3,1,4
2022-06,<1,0,3,2,4
2022-07,<1,0,2,1,3
2022-08,<1,<1,3,2,4
2022-09,<1,<1,3,2,4
2022-10,<1,0,2,2,4
2022-11,<1,0,10,2,4
2022-12,<1,0,4,1,2
2023-01,<1,<1,3,2,2
2023-02,<1,0,6,2,2
2023-03,<1,0,3,2,3
2023-04,<1,<1,2,1,2
2023-05,<1,0,3,2,3
2023-06,<1,0,2,2,3
2023-07,<1,0,14,2,2
2023-08,<1,<1,5,2,3
2023-09,<1,0,4,2,3
2023-10,<1,0,2,2,2
2023-11,<1,0,7,2,3
2023-12,<1,<1,3,1,2
2024-01,<1,0,3,1,2
2024-02,<1,0,3,1,2
2024-03,<1,0,2,1,2
2024-04,<1,0,2,1,2
2024-05,<1,0,13,1,2
2024-06,<1,0,4,1,2
2024-07,<1,0,3,1,2
2024-08,<1,0,2,1,2
2024-09,<1,0,3,1,2
2024-10,<1,<1,5,2,2
2024-11,<1,<1,3,1,2
2024-12,<1,0,2,1,2
2025-01,<1,<1,2,1,2
2025-02,<1,0,2,1,2
2025-03,<1,0,2,1,2
2025-04,<1,<1,2,1,2
2025-05,<1,<1,2,1,2
2025-06,<1,0,2,1,2
2025-07,<1,0,11,1,2
2025-08,<1,<1,3,1,2
2025-09,<1,<1,2,1,2
