Category: All categories

Month,infection: (Chittagong Division),virus: (Chittagong Division),contaminated: (Chittagong Division),death: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,100,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,27
2011-02,0,0,0,0,27
2011-03,0,0,0,28,26
2011-04,0,0,0,15,32
2011-05,0,0,0,30,26
2011-06,0,11,0,14,34
2011-07,0,14,0,14,22
2011-08,0,0,0,0,20
2011-09,0,13,0,11,21
2011-10,0,12,0,12,25
2011-11,0,18,0,0,20
2011-12,0,10,0,8,11
2012-01,0,10,0,10,25
2012-02,0,9,0,0,28
2012-03,0,12,0,9,18
2012-04,0,8,0,11,17
2012-05,0,9,0,8,18
2012-06,0,8,0,0,30
2012-07,0,0,0,15,29
2012-08,0,10,0,13,18
2012-09,0,7,0,0,25
2012-10,0,0,0,10,17
2012-11,6,7,0,8,18
2012-12,0,6,0,10,22
2013-01,0,8,0,10,23
2013-02,0,8,0,15,21
2013-03,0,7,0,10,26
2013-04,0,8,0,8,19
2013-05,0,0,0,10,22
2013-06,0,0,0,16,25
2013-07,0,6,0,13,22
2013-08,0,8,0,8,28
2013-09,0,9,0,8,19
2013-10,0,5,0,8,20
2013-11,0,13,0,9,24
2013-12,0,8,0,16,22
2014-01,0,7,0,10,25
2014-02,0,8,0,0,26
2014-03,0,6,0,7,20
2014-04,0,6,0,8,16
2014-05,0,4,0,5,13
2014-06,0,5,0,5,11
2014-07,2,4,0,5,12
2014-08,1,8,0,5,14
2014-09,0,4,0,4,12
2014-10,1,9,0,5,13
2014-11,0,6,0,6,14
2014-12,1,6,0,5,15
2015-01,0,4,0,5,14
2015-02,0,4,0,4,17
2015-03,0,3,0,4,15
2015-04,0,3,0,5,13
2015-05,0,4,0,5,12
2015-06,0,3,0,6,13
2015-07,0,3,0,6,13
2015-08,0,5,0,5,16
2015-09,0,5,0,9,16
2015-10,0,5,0,7,15
2015-11,0,4,0,5,15
2015-12,0,5,0,5,24
2016-01,1,4,0,4,14
2016-02,1,4,0,5,12
2016-03,1,3,0,5,9
2016-04,1,3,0,5,9
2016-05,2,2,0,6,10
2016-06,1,3,0,6,14
2016-07,0,2,0,5,10
2016-08,1,3,0,5,11
2016-09,1,3,0,5,11
2016-10,1,4,0,5,12
2016-11,1,2,0,5,13
2016-12,1,3,0,5,13
2017-01,1,3,0,6,11
2017-02,1,3,0,5,13
2017-03,1,3,0,5,11
2017-04,1,2,0,5,12
2017-05,1,3,0,5,10
2017-06,1,3,0,5,9
2017-07,2,3,0,6,10
2017-08,1,2,1,6,10
2017-09,1,2,0,7,11
2017-10,2,3,0,7,12
2017-11,2,3,0,6,14
2017-12,1,2,0,6,11
2018-01,1,2,0,5,12
2018-02,2,2,0,8,12
2018-03,1,2,0,8,13
2018-04,1,3,0,7,13
2018-05,1,3,0,6,13
2018-06,1,2,0,6,11
2018-07,1,3,0,6,11
2018-08,2,2,0,7,14
2018-09,2,2,0,5,14
2018-10,2,2,0,6,13
2018-11,1,2,0,6,13
2018-12,1,2,0,5,10
2019-01,2,2,0,6,11
2019-02,2,2,0,5,13
2019-03,2,3,0,7,16
2019-04,2,3,0,6,16
2019-05,2,2,0,5,14
2019-06,2,2,0,5,12
2019-07,2,2,0,5,14
2019-08,2,3,0,7,15
2019-09,2,3,0,5,16
2019-10,2,2,0,6,17
2019-11,2,3,0,6,15
2019-12,2,2,0,6,11
2020-01,2,7,0,5,12
2020-02,2,12,0,7,16
2020-03,3,49,0,22,16
2020-04,3,52,0,52,17
2020-05,3,26,0,24,16
2020-06,2,16,0,21,18
2020-07,3,9,0,12,19
2020-08,2,6,0,10,17
2020-09,2,5,<1,8,17
2020-10,2,5,0,7,15
2020-11,2,5,0,7,13
2020-12,2,4,0,7,13
2021-01,2,4,0,7,11
2021-02,2,4,0,7,12
2021-03,2,4,0,7,14
2021-04,2,5,0,11,13
2021-05,2,3,0,8,12
2021-06,2,3,0,7,14
2021-07,2,3,0,9,12
2021-08,2,3,0,7,13
2021-09,2,3,0,8,13
2021-10,2,3,0,7,14
2021-11,2,3,0,8,25
2021-12,1,3,0,7,10
2022-01,2,3,0,9,12
2022-02,2,3,0,9,15
2022-03,2,3,0,9,17
2022-04,2,2,<1,8,18
2022-05,1,3,0,9,22
2022-06,2,3,<1,9,21
2022-07,2,2,0,8,17
2022-08,2,2,0,9,20
2022-09,2,3,0,9,20
2022-10,2,3,0,7,19
2022-11,2,2,0,6,19
2022-12,2,2,0,8,11
2023-01,2,3,0,7,12
2023-02,2,3,0,7,13
2023-03,2,3,0,6,14
2023-04,2,2,0,7,13
2023-05,2,2,0,9,17
2023-06,2,2,0,11,16
2023-07,2,2,0,8,12
2023-08,2,3,<1,9,16
2023-09,2,2,0,7,13
2023-10,2,2,0,7,13
2023-11,2,2,0,8,14
2023-12,2,2,<1,9,11
2024-01,1,2,0,7,11
2024-02,1,2,0,6,11
2024-03,1,2,0,7,11
2024-04,1,2,0,6,9
2024-05,1,2,0,7,10
2024-06,1,2,0,6,9
2024-07,1,1,0,6,10
2024-08,1,2,0,6,10
2024-09,2,2,0,5,12
2024-10,2,2,0,6,12
2024-11,2,2,0,5,12
2024-12,1,2,0,5,10
2025-01,1,5,0,5,10
2025-02,1,2,0,5,10
2025-03,1,1,0,5,11
2025-04,1,1,0,4,11
2025-05,1,1,0,5,12
2025-06,1,2,0,5,11
2025-07,1,2,0,5,10
2025-08,1,1,0,5,11
2025-09,1,1,<1,6,11
