Category: All categories

Month,move: (Chittagong Division),run away from: (Chittagong Division),returnee: (Chittagong Division),returnee: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,43
2011-02,0,0,0,0,42
2011-03,0,0,0,0,40
2011-04,0,0,0,0,51
2011-05,0,0,0,0,40
2011-06,0,0,0,0,53
2011-07,15,0,0,0,34
2011-08,18,0,0,0,31
2011-09,0,0,0,0,33
2011-10,15,0,0,0,39
2011-11,15,0,0,0,32
2011-12,18,0,0,0,17
2012-01,0,0,0,0,39
2012-02,16,0,0,0,43
2012-03,0,0,0,0,28
2012-04,0,0,0,0,27
2012-05,19,0,0,0,28
2012-06,26,0,0,0,47
2012-07,23,0,0,0,45
2012-08,17,0,0,0,27
2012-09,17,0,0,0,40
2012-10,13,0,0,0,26
2012-11,0,0,0,0,28
2012-12,9,0,0,0,35
2013-01,13,0,0,0,36
2013-02,11,0,0,0,33
2013-03,24,0,0,0,40
2013-04,9,0,0,0,29
2013-05,14,0,0,0,34
2013-06,14,0,0,0,38
2013-07,15,0,0,0,35
2013-08,12,0,0,0,44
2013-09,15,0,0,0,30
2013-10,15,0,0,0,30
2013-11,14,0,0,0,38
2013-12,18,0,0,0,35
2014-01,16,0,0,0,38
2014-02,16,0,0,0,40
2014-03,27,0,0,0,31
2014-04,20,0,0,0,24
2014-05,17,0,0,0,21
2014-06,19,0,0,0,17
2014-07,23,0,0,0,19
2014-08,27,0,0,0,22
2014-09,26,0,0,0,19
2014-10,28,0,0,0,20
2014-11,26,0,0,0,22
2014-12,25,0,0,0,24
2015-01,26,0,0,0,22
2015-02,22,0,0,0,26
2015-03,21,0,0,0,23
2015-04,25,0,0,0,20
2015-05,23,0,0,0,18
2015-06,28,0,0,0,21
2015-07,28,0,0,0,21
2015-08,30,0,0,0,25
2015-09,34,0,0,0,24
2015-10,27,0,0,0,23
2015-11,25,0,0,0,23
2015-12,24,0,0,0,37
2016-01,37,0,0,0,21
2016-02,46,0,0,0,18
2016-03,59,0,0,0,14
2016-04,65,0,0,0,14
2016-05,42,0,0,0,16
2016-06,51,0,0,0,22
2016-07,62,0,0,0,16
2016-08,68,0,0,0,17
2016-09,65,0,0,0,17
2016-10,56,0,0,0,19
2016-11,58,0,0,0,20
2016-12,60,0,0,0,21
2017-01,65,0,0,0,17
2017-02,60,0,0,0,20
2017-03,67,0,0,0,17
2017-04,68,0,0,0,18
2017-05,78,0,0,0,16
2017-06,81,0,0,0,15
2017-07,100,0,0,0,15
2017-08,92,0,0,0,16
2017-09,33,0,0,0,17
2017-10,34,0,0,0,19
2017-11,30,0,0,0,22
2017-12,33,0,0,0,17
2018-01,33,0,0,0,19
2018-02,35,0,0,0,19
2018-03,38,0,0,0,20
2018-04,35,0,0,0,21
2018-05,31,0,0,0,20
2018-06,30,0,0,0,17
2018-07,34,0,0,0,18
2018-08,34,0,0,0,21
2018-09,33,0,0,0,21
2018-10,34,0,0,0,20
2018-11,35,0,0,0,21
2018-12,35,0,0,0,16
2019-01,36,0,0,0,17
2019-02,32,0,0,0,20
2019-03,33,0,0,0,25
2019-04,30,0,0,0,24
2019-05,25,0,0,0,22
2019-06,26,0,0,0,18
2019-07,29,0,0,0,22
2019-08,31,0,0,0,24
2019-09,28,0,0,0,24
2019-10,27,0,0,0,26
2019-11,23,0,0,0,24
2019-12,24,0,0,0,17
2020-01,25,0,0,0,18
2020-02,25,0,0,0,25
2020-03,24,0,0,0,26
2020-04,24,0,0,0,26
2020-05,26,0,0,0,24
2020-06,29,0,0,0,29
2020-07,27,0,0,0,30
2020-08,27,0,0,0,26
2020-09,25,0,0,0,27
2020-10,22,0,0,0,23
2020-11,19,0,0,0,20
2020-12,22,0,0,0,20
2021-01,20,0,0,0,18
2021-02,20,0,0,0,18
2021-03,19,0,0,0,21
2021-04,18,0,0,0,20
2021-05,19,0,0,0,19
2021-06,21,0,0,0,21
2021-07,21,0,0,0,18
2021-08,18,0,0,0,20
2021-09,19,0,0,0,20
2021-10,18,0,0,0,21
2021-11,19,0,0,<1,39
2021-12,23,0,0,0,16
2022-01,18,0,0,0,19
2022-02,17,0,0,0,23
2022-03,16,0,0,0,27
2022-04,15,0,0,0,28
2022-05,19,0,0,0,35
2022-06,17,0,0,0,33
2022-07,18,0,0,0,26
2022-08,17,0,0,0,31
2022-09,18,0,0,0,31
2022-10,15,0,0,0,30
2022-11,15,0,0,0,29
2022-12,15,0,0,0,17
2023-01,17,0,0,0,18
2023-02,15,0,0,0,20
2023-03,14,0,0,0,23
2023-04,13,0,0,0,20
2023-05,13,0,0,0,27
2023-06,15,0,0,0,25
2023-07,16,0,0,0,19
2023-08,15,0,0,0,25
2023-09,14,0,0,0,21
2023-10,12,0,<1,0,20
2023-11,13,0,0,0,21
2023-12,15,0,0,0,17
2024-01,15,0,0,0,17
2024-02,14,0,0,0,18
2024-03,12,0,0,0,17
2024-04,13,0,0,0,13
2024-05,14,0,0,0,16
2024-06,14,0,0,0,14
2024-07,18,0,0,0,16
2024-08,18,0,0,0,15
2024-09,16,0,0,0,19
2024-10,15,0,0,0,18
2024-11,16,0,0,0,18
2024-12,18,0,0,0,16
2025-01,16,0,0,0,16
2025-02,15,0,0,0,16
2025-03,13,0,0,0,17
2025-04,17,0,0,0,17
2025-05,17,0,0,0,19
2025-06,19,0,0,0,17
2025-07,18,0,0,0,16
2025-08,17,0,0,0,18
2025-09,16,0,0,0,17
