Category: All categories

Month,directorate: (Chittagong Division),planning: (Chittagong Division),parliament: (Chittagong Division),MP: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,76,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,63
2011-10,0,0,0,0,74
2011-11,0,0,0,0,60
2011-12,0,22,0,0,31
2012-01,0,0,0,0,74
2012-02,0,24,0,0,82
2012-03,0,0,0,33,54
2012-04,0,0,0,0,51
2012-05,0,0,0,0,53
2012-06,0,0,0,0,89
2012-07,0,0,0,0,85
2012-08,0,0,0,0,52
2012-09,0,0,0,0,75
2012-10,0,25,0,0,49
2012-11,0,0,0,20,53
2012-12,0,0,0,19,66
2013-01,0,0,0,0,68
2013-02,0,0,0,0,62
2013-03,0,0,0,0,76
2013-04,0,15,0,0,55
2013-05,0,14,0,0,65
2013-06,0,16,0,15,73
2013-07,21,15,0,0,66
2013-08,0,22,0,14,82
2013-09,0,17,0,0,56
2013-10,0,15,0,14,58
2013-11,0,0,0,12,72
2013-12,0,14,0,16,66
2014-01,0,11,0,0,73
2014-02,0,0,0,19,76
2014-03,0,0,0,0,59
2014-04,0,10,0,10,46
2014-05,0,7,0,10,39
2014-06,0,11,0,7,32
2014-07,0,5,0,10,36
2014-08,0,4,0,11,41
2014-09,0,5,0,15,36
2014-10,0,6,0,11,38
2014-11,4,6,0,11,42
2014-12,5,7,0,19,45
2015-01,5,9,0,16,41
2015-02,0,11,0,13,49
2015-03,0,7,0,12,43
2015-04,0,9,0,15,37
2015-05,0,8,0,13,35
2015-06,5,11,0,10,39
2015-07,5,5,0,11,40
2015-08,0,9,0,13,48
2015-09,0,6,0,22,46
2015-10,0,5,6,12,44
2015-11,0,5,4,12,44
2015-12,7,8,0,20,71
2016-01,3,5,0,17,41
2016-02,0,4,3,20,35
2016-03,0,4,1,23,26
2016-04,2,5,0,21,27
2016-05,2,8,0,14,30
2016-06,4,6,0,17,42
2016-07,0,3,0,16,31
2016-08,0,4,0,20,32
2016-09,0,3,2,18,33
2016-10,0,4,0,14,36
2016-11,0,5,0,16,38
2016-12,7,5,2,17,39
2017-01,0,6,2,14,32
2017-02,0,6,2,18,38
2017-03,2,4,2,14,32
2017-04,0,5,0,14,35
2017-05,0,5,0,13,30
2017-06,0,3,2,15,28
2017-07,1,8,2,15,29
2017-08,2,9,2,11,30
2017-09,0,7,2,14,33
2017-10,0,11,2,14,35
2017-11,2,7,2,11,42
2017-12,7,6,2,12,32
2018-01,2,6,2,13,36
2018-02,0,5,0,14,36
2018-03,0,6,2,13,38
2018-04,0,7,3,11,39
2018-05,2,8,2,12,37
2018-06,0,8,0,13,33
2018-07,2,8,2,8,33
2018-08,2,8,1,10,41
2018-09,2,8,2,14,41
2018-10,1,9,1,11,37
2018-11,0,7,3,15,39
2018-12,7,6,3,17,30
2019-01,1,6,3,14,32
2019-02,1,7,2,10,38
2019-03,1,6,3,11,47
2019-04,0,7,3,11,46
2019-05,0,7,4,9,42
2019-06,2,7,1,7,34
2019-07,0,7,1,7,42
2019-08,0,4,2,13,45
2019-09,2,7,2,10,46
2019-10,1,8,2,9,49
2019-11,1,7,2,9,45
2019-12,9,7,2,9,32
2020-01,2,5,1,8,34
2020-02,2,8,2,9,47
2020-03,1,7,2,8,48
2020-04,0,6,2,7,50
2020-05,0,4,1,7,46
2020-06,1,4,1,9,54
2020-07,1,5,2,7,57
2020-08,1,5,2,7,50
2020-09,1,7,1,8,51
2020-10,1,6,2,13,43
2020-11,2,9,2,7,38
2020-12,1,7,2,8,37
2021-01,1,6,2,7,33
2021-02,1,7,2,8,35
2021-03,2,5,2,6,40
2021-04,1,5,1,7,37
2021-05,1,4,1,6,35
2021-06,1,7,2,7,41
2021-07,1,7,1,6,35
2021-08,2,7,1,5,37
2021-09,2,10,1,5,38
2021-10,1,7,1,6,40
2021-11,2,6,1,6,73
2021-12,1,7,1,6,30
2022-01,1,5,1,7,35
2022-02,1,5,1,6,43
2022-03,1,7,2,6,51
2022-04,1,6,2,6,53
2022-05,1,4,1,7,66
2022-06,1,6,1,6,62
2022-07,<1,5,1,7,49
2022-08,1,6,1,6,59
2022-09,1,5,1,5,59
2022-10,1,6,1,5,57
2022-11,1,10,1,4,56
2022-12,1,5,1,5,32
2023-01,1,5,1,5,35
2023-02,1,6,1,6,38
2023-03,2,7,1,5,43
2023-04,1,3,1,5,39
2023-05,1,5,1,5,51
2023-06,1,5,1,6,47
2023-07,1,3,1,6,36
2023-08,1,4,1,6,47
2023-09,1,3,1,5,40
2023-10,1,3,1,6,39
2023-11,1,4,1,11,41
2023-12,1,3,2,8,31
2024-01,1,3,4,16,33
2024-02,1,3,1,6,34
2024-03,<1,3,1,6,33
2024-04,1,3,1,5,25
2024-05,1,3,1,7,31
2024-06,<1,2,1,7,26
2024-07,<1,2,<1,6,30
2024-08,0,2,2,10,29
2024-09,1,3,1,5,35
2024-10,<1,2,1,4,35
2024-11,<1,3,1,4,35
2024-12,1,3,1,4,30
2025-01,0,2,1,4,29
2025-02,0,2,1,4,30
2025-03,0,3,1,3,32
2025-04,0,2,1,6,32
2025-05,<1,2,1,4,36
2025-06,<1,2,1,4,33
2025-07,1,2,1,3,29
2025-08,<1,2,1,4,34
2025-09,<1,2,1,4,32
