Category: All categories

Month,MP: (Chittagong Division),union: (Chittagong Division),union: (Chittagong Division),union: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,100,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,44
2011-02,41,0,0,0,44
2011-03,0,0,0,0,41
2011-04,0,0,0,0,52
2011-05,0,0,0,0,41
2011-06,0,0,0,0,54
2011-07,0,17,22,18,35
2011-08,0,0,17,0,31
2011-09,0,0,0,17,34
2011-10,0,0,15,14,40
2011-11,0,14,0,19,32
2011-12,0,23,29,24,17
2012-01,0,17,21,20,40
2012-02,0,0,0,0,44
2012-03,18,15,14,0,29
2012-04,0,18,0,15,28
2012-05,0,0,8,0,29
2012-06,0,14,17,14,48
2012-07,0,12,0,16,46
2012-08,0,0,0,0,28
2012-09,0,0,0,0,41
2012-10,0,13,12,11,27
2012-11,11,20,15,11,29
2012-12,10,11,9,0,36
2013-01,0,0,0,0,37
2013-02,0,0,0,0,34
2013-03,0,0,0,8,42
2013-04,0,14,20,18,30
2013-05,0,27,25,25,35
2013-06,8,8,10,11,40
2013-07,0,11,9,12,36
2013-08,7,8,9,9,45
2013-09,0,10,10,10,31
2013-10,7,19,17,16,31
2013-11,7,7,7,8,39
2013-12,9,9,11,11,36
2014-01,0,12,11,8,40
2014-02,10,28,26,29,41
2014-03,0,29,29,27,32
2014-04,6,9,9,10,25
2014-05,5,8,9,9,21
2014-06,4,8,7,8,17
2014-07,5,6,6,5,20
2014-08,6,5,6,6,22
2014-09,8,6,6,5,20
2014-10,6,6,6,6,21
2014-11,6,7,6,7,23
2014-12,10,6,6,5,24
2015-01,9,5,5,5,22
2015-02,7,5,6,5,27
2015-03,7,6,6,6,23
2015-04,8,6,6,7,20
2015-05,7,5,5,5,19
2015-06,5,5,5,4,21
2015-07,6,4,4,4,22
2015-08,7,7,7,6,26
2015-09,12,7,6,6,25
2015-10,7,7,6,7,24
2015-11,6,4,5,6,24
2015-12,11,6,6,6,39
2016-01,9,5,4,4,22
2016-02,11,4,4,4,19
2016-03,12,6,6,6,14
2016-04,12,5,5,5,15
2016-05,8,5,6,6,16
2016-06,9,5,5,5,23
2016-07,9,4,4,4,17
2016-08,11,4,4,4,17
2016-09,10,5,4,4,18
2016-10,7,4,4,4,20
2016-11,9,6,6,6,21
2016-12,9,5,5,5,21
2017-01,8,4,4,5,17
2017-02,10,4,5,4,20
2017-03,8,5,4,5,17
2017-04,8,5,6,5,19
2017-05,7,3,3,3,16
2017-06,8,4,4,4,15
2017-07,8,4,4,3,16
2017-08,6,4,4,4,16
2017-09,8,5,5,5,18
2017-10,8,5,4,5,19
2017-11,6,5,5,5,23
2017-12,7,5,5,5,17
2018-01,7,5,5,5,20
2018-02,8,5,5,5,19
2018-03,7,7,6,6,20
2018-04,6,5,4,5,21
2018-05,7,7,7,7,20
2018-06,7,4,4,4,18
2018-07,4,5,6,5,18
2018-08,6,6,6,6,22
2018-09,7,6,6,6,22
2018-10,6,5,5,5,20
2018-11,8,6,6,6,21
2018-12,9,5,5,5,16
2019-01,8,4,5,4,18
2019-02,6,6,6,6,21
2019-03,6,6,6,6,26
2019-04,6,5,5,5,25
2019-05,5,5,6,6,23
2019-06,4,5,4,4,18
2019-07,4,5,5,6,23
2019-08,7,6,6,6,25
2019-09,5,8,9,9,25
2019-10,5,7,8,8,27
2019-11,5,7,7,7,24
2019-12,5,7,6,7,17
2020-01,4,6,6,6,19
2020-02,5,7,7,7,26
2020-03,4,6,6,6,26
2020-04,4,6,6,6,27
2020-05,4,6,6,6,25
2020-06,5,6,6,6,29
2020-07,4,7,7,6,31
2020-08,4,6,6,6,27
2020-09,4,7,7,7,28
2020-10,7,6,6,7,23
2020-11,4,6,6,6,20
2020-12,4,7,7,7,20
2021-01,4,8,8,8,18
2021-02,4,7,8,8,19
2021-03,3,7,7,7,22
2021-04,4,7,7,7,20
2021-05,3,10,10,10,19
2021-06,4,11,11,11,22
2021-07,3,9,9,9,19
2021-08,3,9,9,9,20
2021-09,3,8,8,8,21
2021-10,3,8,9,8,22
2021-11,3,8,8,8,40
2021-12,4,9,9,9,17
2022-01,4,9,9,9,19
2022-02,3,9,8,8,23
2022-03,3,10,10,9,28
2022-04,3,7,7,7,29
2022-05,4,7,7,7,36
2022-06,3,7,7,7,34
2022-07,4,7,7,7,27
2022-08,3,8,7,7,32
2022-09,3,7,7,7,32
2022-10,3,7,7,7,31
2022-11,2,5,5,6,30
2022-12,3,5,5,5,18
2023-01,3,7,7,7,19
2023-02,3,8,8,8,21
2023-03,3,6,6,6,23
2023-04,3,6,6,6,21
2023-05,3,5,6,6,28
2023-06,3,6,6,6,25
2023-07,3,5,5,5,20
2023-08,3,7,7,7,26
2023-09,3,12,12,12,22
2023-10,3,9,9,9,21
2023-11,6,7,7,7,22
2023-12,5,12,12,12,17
2024-01,9,8,8,8,18
2024-02,3,7,7,7,18
2024-03,3,7,7,7,18
2024-04,3,8,8,8,14
2024-05,4,6,6,6,17
2024-06,4,5,5,5,14
2024-07,3,5,5,5,16
2024-08,6,6,6,6,16
2024-09,3,6,6,6,19
2024-10,2,7,7,7,19
2024-11,2,8,8,8,19
2024-12,2,6,6,6,16
2025-01,2,6,6,6,16
2025-02,2,6,6,6,16
2025-03,2,6,6,6,17
2025-04,3,6,6,6,17
2025-05,2,6,6,5,19
2025-06,2,4,4,4,18
2025-07,2,5,5,5,16
2025-08,2,6,6,6,18
2025-09,2,6,6,6,18
