Category: All categories

Month,union: (Chittagong Division),constitution: (Chittagong Division),constitution: (Chittagong Division),delegation: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,100,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,44
2011-02,0,0,0,0,44
2011-03,0,0,0,0,41
2011-04,0,0,0,0,52
2011-05,0,0,0,0,41
2011-06,0,0,0,0,54
2011-07,22,0,0,0,35
2011-08,17,0,0,0,31
2011-09,0,0,0,0,34
2011-10,15,0,0,0,40
2011-11,0,0,0,0,32
2011-12,29,0,0,0,17
2012-01,21,0,0,0,40
2012-02,0,0,0,0,44
2012-03,14,0,0,0,29
2012-04,0,0,0,0,28
2012-05,8,0,0,0,29
2012-06,17,0,0,0,48
2012-07,0,0,0,0,46
2012-08,0,0,0,0,28
2012-09,0,0,0,0,41
2012-10,12,0,0,0,27
2012-11,15,0,0,0,29
2012-12,9,0,0,12,36
2013-01,0,0,0,0,37
2013-02,0,0,0,0,34
2013-03,0,0,0,0,42
2013-04,20,0,0,0,30
2013-05,25,0,0,0,35
2013-06,10,0,0,0,40
2013-07,9,0,0,0,36
2013-08,9,0,0,0,45
2013-09,10,0,0,0,31
2013-10,17,0,0,0,31
2013-11,7,0,0,0,39
2013-12,11,0,0,0,36
2014-01,11,0,0,0,40
2014-02,26,0,0,0,41
2014-03,29,0,0,0,32
2014-04,9,0,0,0,25
2014-05,9,2,2,0,21
2014-06,7,0,0,0,17
2014-07,6,0,0,0,20
2014-08,6,0,0,0,22
2014-09,6,0,0,0,20
2014-10,6,2,2,0,21
2014-11,6,0,0,0,23
2014-12,6,2,2,0,24
2015-01,5,2,0,0,22
2015-02,6,0,0,0,27
2015-03,6,0,0,0,23
2015-04,6,0,2,0,20
2015-05,5,0,2,0,19
2015-06,5,0,0,0,21
2015-07,4,0,0,0,22
2015-08,7,2,0,0,26
2015-09,6,0,0,0,25
2015-10,6,3,0,0,24
2015-11,5,0,0,0,24
2015-12,6,0,0,0,39
2016-01,4,2,3,0,22
2016-02,4,2,2,0,19
2016-03,6,1,1,0,14
2016-04,5,1,1,0,15
2016-05,6,0,0,0,16
2016-06,5,0,0,0,23
2016-07,4,2,0,0,17
2016-08,4,0,1,0,17
2016-09,4,1,1,0,18
2016-10,4,1,1,0,20
2016-11,6,1,0,0,21
2016-12,5,0,2,0,21
2017-01,4,0,1,0,17
2017-02,5,2,2,0,20
2017-03,4,1,1,0,17
2017-04,6,1,0,0,19
2017-05,3,1,0,0,16
2017-06,4,0,0,0,15
2017-07,4,1,1,0,16
2017-08,4,2,1,0,16
2017-09,5,1,2,0,18
2017-10,4,1,1,0,19
2017-11,5,2,2,0,23
2017-12,5,1,1,0,17
2018-01,5,2,2,0,20
2018-02,5,2,2,0,19
2018-03,6,1,1,0,20
2018-04,4,1,1,0,21
2018-05,7,1,2,0,20
2018-06,4,0,0,0,18
2018-07,6,2,1,0,18
2018-08,6,1,2,0,22
2018-09,6,2,2,0,22
2018-10,5,2,1,0,20
2018-11,6,2,2,0,21
2018-12,5,1,1,0,16
2019-01,5,1,1,0,18
2019-02,6,1,1,0,21
2019-03,6,2,2,0,26
2019-04,5,2,2,0,25
2019-05,6,2,2,0,23
2019-06,4,1,1,0,18
2019-07,5,2,2,0,23
2019-08,6,2,1,0,25
2019-09,9,2,2,0,25
2019-10,8,2,2,0,27
2019-11,7,2,2,0,24
2019-12,6,1,1,0,17
2020-01,6,1,1,0,19
2020-02,7,1,1,1,26
2020-03,6,1,1,0,26
2020-04,6,1,1,0,27
2020-05,6,1,1,0,25
2020-06,6,2,2,0,29
2020-07,7,2,2,0,31
2020-08,6,2,2,0,27
2020-09,7,1,1,0,28
2020-10,6,2,1,0,23
2020-11,6,1,2,0,20
2020-12,7,2,2,0,20
2021-01,8,1,2,0,18
2021-02,8,1,1,0,19
2021-03,7,2,2,0,22
2021-04,7,1,1,0,20
2021-05,10,1,1,0,19
2021-06,11,2,2,0,22
2021-07,9,1,1,0,19
2021-08,9,1,1,<1,20
2021-09,8,1,1,0,21
2021-10,9,1,1,1,22
2021-11,8,1,1,0,40
2021-12,9,1,1,0,17
2022-01,9,1,1,<1,19
2022-02,8,1,1,<1,23
2022-03,10,2,2,<1,28
2022-04,7,1,1,1,29
2022-05,7,1,1,<1,36
2022-06,7,1,1,<1,34
2022-07,7,1,1,0,27
2022-08,7,1,1,0,32
2022-09,7,1,1,0,32
2022-10,7,1,1,0,31
2022-11,5,1,1,0,30
2022-12,5,1,1,<1,18
2023-01,7,1,1,<1,19
2023-02,8,2,1,0,21
2023-03,6,1,1,<1,23
2023-04,6,1,1,<1,21
2023-05,6,1,1,0,28
2023-06,6,1,1,<1,25
2023-07,5,1,1,0,20
2023-08,7,1,1,0,26
2023-09,12,1,1,0,22
2023-10,9,1,1,<1,21
2023-11,7,1,1,0,22
2023-12,12,1,1,0,17
2024-01,8,1,1,0,18
2024-02,7,1,1,<1,18
2024-03,7,1,1,0,18
2024-04,8,1,1,0,14
2024-05,6,1,1,0,17
2024-06,5,1,1,0,14
2024-07,5,1,1,0,16
2024-08,6,1,1,<1,16
2024-09,6,1,1,<1,19
2024-10,7,1,1,<1,19
2024-11,8,1,1,0,19
2024-12,6,1,1,0,16
2025-01,6,1,1,0,16
2025-02,6,1,1,0,16
2025-03,6,1,1,<1,17
2025-04,6,1,1,0,17
2025-05,6,1,1,<1,19
2025-06,4,1,1,0,18
2025-07,5,1,1,0,16
2025-08,6,1,1,<1,18
2025-09,6,1,1,<1,18
