Category: All categories

Month,Ministry of the Environment: (Chittagong Division),Ministry of the Environment: (Chittagong Division),Ministry of Planning: (Chittagong Division),party: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,63,76
2011-04,0,0,0,0,96
2011-05,0,0,0,0,76
2011-06,0,0,0,36,100
2011-07,0,0,0,57,64
2011-08,0,0,0,45,58
2011-09,0,0,0,84,63
2011-10,0,0,0,46,74
2011-11,0,0,0,49,60
2011-12,0,0,0,47,31
2012-01,0,0,0,51,74
2012-02,0,0,0,36,82
2012-03,0,0,0,37,54
2012-04,0,0,0,50,51
2012-05,0,0,0,32,53
2012-06,0,0,0,37,89
2012-07,0,0,0,51,85
2012-08,0,0,0,38,52
2012-09,0,0,0,36,75
2012-10,0,0,0,45,49
2012-11,0,0,0,31,53
2012-12,0,0,0,55,66
2013-01,0,0,0,44,68
2013-02,0,0,0,54,62
2013-03,0,0,0,36,76
2013-04,0,0,0,29,55
2013-05,0,0,0,32,65
2013-06,0,0,0,40,73
2013-07,0,0,0,29,66
2013-08,0,0,0,31,82
2013-09,0,0,0,43,56
2013-10,0,0,0,46,58
2013-11,0,0,0,44,72
2013-12,0,0,0,57,66
2014-01,0,0,0,55,73
2014-02,0,0,0,42,76
2014-03,0,0,0,38,59
2014-04,0,0,0,38,46
2014-05,0,0,0,23,39
2014-06,0,0,0,30,32
2014-07,0,0,0,23,36
2014-08,0,0,0,22,41
2014-09,0,0,0,24,36
2014-10,0,0,0,32,38
2014-11,0,0,0,27,42
2014-12,0,0,0,31,45
2015-01,0,0,0,29,41
2015-02,0,0,0,24,49
2015-03,0,0,0,22,43
2015-04,0,0,0,21,37
2015-05,0,0,0,22,35
2015-06,0,0,0,20,39
2015-07,0,0,0,27,40
2015-08,0,0,0,28,48
2015-09,0,0,0,32,46
2015-10,0,0,0,32,44
2015-11,0,0,0,34,44
2015-12,0,0,0,36,71
2016-01,0,0,0,34,41
2016-02,0,0,0,33,35
2016-03,0,0,0,25,26
2016-04,0,0,0,25,27
2016-05,0,0,0,27,30
2016-06,0,0,0,26,42
2016-07,0,0,0,25,31
2016-08,0,0,0,24,32
2016-09,0,0,0,24,33
2016-10,0,0,0,29,36
2016-11,0,0,0,35,38
2016-12,0,0,0,33,39
2017-01,0,0,0,33,32
2017-02,0,0,0,30,38
2017-03,0,0,0,27,32
2017-04,0,0,0,26,35
2017-05,0,0,0,27,30
2017-06,0,0,0,26,28
2017-07,0,0,0,23,29
2017-08,0,0,0,26,30
2017-09,0,0,0,23,33
2017-10,0,0,0,24,35
2017-11,0,0,0,32,42
2017-12,0,0,0,31,32
2018-01,0,0,0,27,36
2018-02,0,0,0,24,36
2018-03,0,0,0,19,38
2018-04,0,0,0,21,39
2018-05,0,0,0,21,37
2018-06,0,0,0,22,33
2018-07,0,0,0,21,33
2018-08,0,0,0,19,41
2018-09,0,0,0,19,41
2018-10,0,0,0,23,37
2018-11,0,0,0,23,39
2018-12,0,0,0,29,30
2019-01,0,0,0,23,32
2019-02,0,0,0,20,38
2019-03,0,0,0,19,47
2019-04,0,0,0,19,46
2019-05,0,0,0,20,42
2019-06,0,0,0,17,34
2019-07,0,0,0,18,42
2019-08,0,0,0,20,45
2019-09,0,0,0,19,46
2019-10,0,0,0,20,49
2019-11,0,0,0,20,45
2019-12,0,0,0,20,32
2020-01,0,0,0,19,34
2020-02,0,0,0,19,47
2020-03,0,0,0,18,48
2020-04,0,0,0,14,50
2020-05,0,0,0,15,46
2020-06,0,0,0,17,54
2020-07,0,0,0,15,57
2020-08,0,0,0,17,50
2020-09,0,0,0,17,51
2020-10,0,0,0,18,43
2020-11,0,0,0,18,38
2020-12,0,0,0,17,37
2021-01,0,0,0,16,33
2021-02,0,0,0,18,35
2021-03,0,0,0,16,40
2021-04,0,0,0,14,37
2021-05,0,0,0,15,35
2021-06,0,0,0,15,41
2021-07,0,0,1,13,35
2021-08,0,0,0,13,37
2021-09,0,0,0,14,38
2021-10,0,0,0,14,40
2021-11,0,0,0,19,73
2021-12,0,0,0,17,30
2022-01,0,0,0,17,35
2022-02,0,0,0,14,43
2022-03,0,0,0,15,51
2022-04,0,0,0,16,53
2022-05,0,0,0,36,66
2022-06,0,0,0,30,62
2022-07,0,0,0,23,49
2022-08,0,0,0,25,59
2022-09,0,0,0,20,59
2022-10,0,0,0,22,57
2022-11,0,0,0,21,56
2022-12,0,0,0,17,32
2023-01,0,0,0,16,35
2023-02,0,0,0,20,38
2023-03,0,0,0,25,43
2023-04,0,0,0,20,39
2023-05,0,0,0,18,51
2023-06,0,0,0,18,47
2023-07,0,0,0,17,36
2023-08,0,0,0,20,47
2023-09,0,0,0,19,40
2023-10,0,0,0,15,39
2023-11,0,0,0,22,41
2023-12,0,0,0,20,31
2024-01,0,0,0,23,33
2024-02,0,0,0,20,34
2024-03,0,0,0,16,33
2024-04,0,0,0,14,25
2024-05,0,0,0,13,31
2024-06,0,0,0,23,26
2024-07,0,0,0,14,30
2024-08,0,0,0,19,29
2024-09,0,0,0,15,35
2024-10,0,0,0,14,35
2024-11,0,0,0,19,35
2024-12,0,0,0,14,30
2025-01,0,0,0,14,29
2025-02,0,0,0,17,30
2025-03,0,0,0,16,32
2025-04,0,0,0,13,32
2025-05,0,0,0,13,36
2025-06,0,0,0,13,33
2025-07,0,0,0,13,29
2025-08,0,0,0,15,34
2025-09,0,0,0,13,32
