Category: All categories

Month,department: (Chittagong Division),judge: (Chittagong Division),elections: (Chittagong Division),army: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,100,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,40,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,20,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,8
2011-02,0,0,0,0,8
2011-03,0,0,0,5,8
2011-04,0,0,0,0,10
2011-05,0,0,0,4,8
2011-06,3,0,0,3,10
2011-07,0,0,0,4,7
2011-08,0,0,0,0,6
2011-09,5,0,0,5,6
2011-10,0,0,0,4,7
2011-11,3,0,0,3,6
2011-12,3,0,0,0,3
2012-01,0,0,0,4,7
2012-02,0,0,0,5,8
2012-03,3,0,0,3,5
2012-04,3,0,0,4,5
2012-05,2,0,0,2,5
2012-06,3,0,0,5,9
2012-07,5,0,0,3,9
2012-08,0,0,0,4,5
2012-09,4,0,0,3,8
2012-10,4,0,0,3,5
2012-11,3,0,0,2,5
2012-12,2,0,0,3,7
2013-01,0,2,0,4,7
2013-02,2,0,0,6,6
2013-03,0,0,0,3,8
2013-04,3,0,0,4,6
2013-05,4,0,0,0,7
2013-06,2,0,0,3,7
2013-07,0,2,0,4,7
2013-08,2,0,0,6,8
2013-09,3,0,0,4,6
2013-10,3,0,0,3,6
2013-11,2,0,0,3,7
2013-12,2,0,0,5,7
2014-01,2,0,0,3,7
2014-02,2,0,0,3,8
2014-03,2,0,0,3,6
2014-04,2,0,0,3,5
2014-05,1,0,0,2,4
2014-06,1,0,0,3,3
2014-07,1,0,0,3,4
2014-08,1,0,0,2,4
2014-09,1,0,0,3,4
2014-10,1,0,0,2,4
2014-11,1,<1,0,2,4
2014-12,1,0,0,3,5
2015-01,1,<1,0,3,4
2015-02,1,0,0,2,5
2015-03,2,<1,0,2,4
2015-04,1,<1,0,2,4
2015-05,1,0,0,2,4
2015-06,1,1,0,3,4
2015-07,1,0,0,3,4
2015-08,2,0,0,3,5
2015-09,1,0,0,3,5
2015-10,2,1,0,4,4
2015-11,1,<1,0,3,4
2015-12,2,0,0,4,7
2016-01,1,0,0,4,4
2016-02,1,<1,0,3,3
2016-03,1,<1,0,2,3
2016-04,1,<1,0,2,3
2016-05,1,<1,0,2,3
2016-06,1,<1,0,4,4
2016-07,1,0,0,3,3
2016-08,1,<1,0,3,3
2016-09,1,0,0,3,3
2016-10,1,<1,0,3,4
2016-11,1,<1,<1,3,4
2016-12,1,<1,0,4,4
2017-01,1,<1,0,3,3
2017-02,1,<1,0,3,4
2017-03,1,1,0,3,3
2017-04,1,<1,0,3,4
2017-05,1,<1,0,3,3
2017-06,1,<1,0,3,3
2017-07,1,<1,0,3,3
2017-08,1,<1,0,3,3
2017-09,1,<1,0,5,3
2017-10,1,<1,0,3,4
2017-11,2,<1,0,3,4
2017-12,1,<1,0,4,3
2018-01,1,<1,0,3,4
2018-02,1,1,0,3,4
2018-03,1,<1,0,3,4
2018-04,1,<1,0,3,4
2018-05,1,<1,0,3,4
2018-06,1,<1,0,4,3
2018-07,2,<1,0,3,3
2018-08,1,<1,<1,3,4
2018-09,1,<1,0,3,4
2018-10,2,<1,0,3,4
2018-11,1,1,<1,3,4
2018-12,1,<1,<1,4,3
2019-01,1,<1,0,4,3
2019-02,1,<1,0,3,4
2019-03,1,1,0,3,5
2019-04,1,<1,<1,3,5
2019-05,1,<1,<1,3,4
2019-06,1,<1,0,3,3
2019-07,1,<1,0,3,4
2019-08,1,<1,0,3,5
2019-09,2,<1,0,3,5
2019-10,2,<1,<1,3,5
2019-11,2,<1,<1,3,5
2019-12,2,<1,0,3,3
2020-01,2,1,0,3,3
2020-02,1,<1,0,2,5
2020-03,1,<1,0,2,5
2020-04,1,<1,0,3,5
2020-05,1,<1,0,3,5
2020-06,1,<1,<1,3,5
2020-07,1,<1,<1,3,6
2020-08,1,<1,<1,4,5
2020-09,1,<1,0,3,5
2020-10,1,<1,<1,3,4
2020-11,1,<1,1,3,4
2020-12,1,<1,<1,4,4
2021-01,1,<1,0,4,3
2021-02,1,<1,0,3,4
2021-03,1,<1,0,3,4
2021-04,1,<1,<1,2,4
2021-05,1,<1,<1,3,4
2021-06,1,<1,0,3,4
2021-07,1,<1,0,3,4
2021-08,1,<1,<1,3,4
2021-09,1,<1,0,3,4
2021-10,1,<1,<1,2,4
2021-11,2,<1,0,3,7
2021-12,1,<1,0,3,3
2022-01,2,<1,<1,4,4
2022-02,1,<1,0,3,4
2022-03,1,<1,<1,3,5
2022-04,1,<1,<1,3,5
2022-05,1,<1,<1,3,7
2022-06,1,<1,<1,3,6
2022-07,1,<1,0,3,5
2022-08,1,<1,<1,3,6
2022-09,1,<1,<1,3,6
2022-10,1,<1,<1,2,6
2022-11,1,<1,<1,2,6
2022-12,1,<1,<1,3,3
2023-01,1,<1,0,2,4
2023-02,1,<1,<1,2,4
2023-03,1,<1,0,2,4
2023-04,1,<1,0,2,4
2023-05,2,<1,<1,2,5
2023-06,1,<1,0,2,5
2023-07,1,<1,<1,2,4
2023-08,1,<1,0,2,5
2023-09,1,<1,<1,2,4
2023-10,1,<1,<1,2,4
2023-11,1,<1,<1,2,4
2023-12,1,<1,<1,3,3
2024-01,1,<1,<1,3,3
2024-02,1,<1,<1,2,3
2024-03,1,<1,<1,2,3
2024-04,1,<1,<1,2,3
2024-05,1,<1,<1,2,3
2024-06,1,<1,<1,2,3
2024-07,1,<1,<1,2,3
2024-08,1,<1,0,4,3
2024-09,1,<1,0,2,4
2024-10,1,<1,<1,2,4
2024-11,1,<1,1,2,4
2024-12,1,<1,<1,3,3
2025-01,1,<1,<1,2,3
2025-02,1,<1,<1,2,3
2025-03,1,<1,<1,2,3
2025-04,1,<1,<1,2,3
2025-05,1,<1,<1,2,4
2025-06,1,<1,0,2,3
2025-07,1,<1,0,2,3
2025-08,1,<1,<1,2,3
2025-09,1,<1,<1,2,3
