Category: All categories

Month,ministry: (Chittagong Division),official: (Chittagong Division),candidate: (Chittagong Division),prime minister: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,100,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,62,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,20
2011-02,0,0,0,0,20
2011-03,0,16,0,0,19
2011-04,11,0,0,0,24
2011-05,14,0,0,0,19
2011-06,11,15,0,0,25
2011-07,18,8,0,0,16
2011-08,10,12,0,0,14
2011-09,12,0,0,0,15
2011-10,13,7,0,0,18
2011-11,9,9,0,0,15
2011-12,16,6,0,0,8
2012-01,11,9,0,0,18
2012-02,13,9,0,0,20
2012-03,5,10,0,0,13
2012-04,12,7,0,0,13
2012-05,11,8,0,0,13
2012-06,11,8,0,0,22
2012-07,13,12,0,0,21
2012-08,12,11,0,0,13
2012-09,15,11,0,0,18
2012-10,9,12,0,0,12
2012-11,10,12,0,0,13
2012-12,12,7,0,0,16
2013-01,12,13,0,0,17
2013-02,11,14,0,0,15
2013-03,11,9,0,0,19
2013-04,16,9,0,0,13
2013-05,13,12,0,0,16
2013-06,13,13,0,0,18
2013-07,10,8,0,0,16
2013-08,13,11,0,0,20
2013-09,12,11,0,0,14
2013-10,15,8,0,0,14
2013-11,13,8,0,0,18
2013-12,13,8,0,0,16
2014-01,13,10,0,0,18
2014-02,10,8,0,0,19
2014-03,13,12,0,0,15
2014-04,7,7,0,0,11
2014-05,6,6,0,0,10
2014-06,5,8,0,0,8
2014-07,4,7,0,0,9
2014-08,6,5,1,0,10
2014-09,5,6,0,1,9
2014-10,5,5,0,0,9
2014-11,6,6,0,0,10
2014-12,4,6,0,0,11
2015-01,5,5,0,0,10
2015-02,5,7,0,0,12
2015-03,5,7,0,0,11
2015-04,4,6,0,0,9
2015-05,6,5,0,0,9
2015-06,7,6,0,0,10
2015-07,4,5,0,1,10
2015-08,9,7,0,0,12
2015-09,6,7,0,0,11
2015-10,6,6,0,0,11
2015-11,7,7,0,0,11
2015-12,16,7,0,0,17
2016-01,7,5,0,1,10
2016-02,5,6,0,1,8
2016-03,4,5,0,1,6
2016-04,5,5,0,<1,7
2016-05,6,5,0,0,7
2016-06,6,6,0,0,10
2016-07,4,6,0,0,8
2016-08,5,10,0,1,8
2016-09,4,5,0,1,8
2016-10,5,5,1,1,9
2016-11,5,5,0,1,9
2016-12,5,6,0,1,10
2017-01,5,5,0,1,8
2017-02,5,4,0,1,9
2017-03,3,5,0,1,8
2017-04,3,4,0,0,9
2017-05,5,4,0,1,7
2017-06,3,4,0,1,7
2017-07,4,5,0,1,7
2017-08,4,4,0,<1,7
2017-09,4,4,<1,1,8
2017-10,5,4,0,1,9
2017-11,5,4,<1,1,10
2017-12,7,4,0,1,8
2018-01,5,4,0,1,9
2018-02,5,4,0,1,9
2018-03,4,5,0,1,9
2018-04,4,4,0,1,10
2018-05,6,5,0,1,9
2018-06,4,5,0,1,8
2018-07,6,5,<1,2,8
2018-08,5,4,<1,1,10
2018-09,5,4,<1,1,10
2018-10,5,4,0,1,9
2018-11,4,4,1,1,10
2018-12,4,4,1,1,7
2019-01,5,4,<1,1,8
2019-02,4,4,<1,1,9
2019-03,5,4,<1,2,12
2019-04,5,4,<1,1,11
2019-05,5,5,<1,1,10
2019-06,4,4,<1,1,8
2019-07,4,5,0,1,10
2019-08,4,6,<1,2,11
2019-09,5,5,<1,2,11
2019-10,5,6,<1,1,12
2019-11,4,6,<1,1,11
2019-12,6,6,<1,1,8
2020-01,5,6,<1,1,8
2020-02,4,5,<1,1,12
2020-03,4,7,<1,2,12
2020-04,4,6,<1,2,12
2020-05,4,8,<1,2,11
2020-06,4,9,<1,1,13
2020-07,3,10,<1,1,14
2020-08,4,10,<1,1,12
2020-09,4,10,<1,1,13
2020-10,3,11,<1,1,11
2020-11,3,10,<1,1,9
2020-12,3,11,<1,1,9
2021-01,4,10,<1,1,8
2021-02,3,9,<1,2,9
2021-03,4,8,<1,2,10
2021-04,2,8,<1,1,9
2021-05,2,9,<1,2,9
2021-06,3,11,<1,2,10
2021-07,2,10,1,1,9
2021-08,2,12,1,1,9
2021-09,2,10,1,1,9
2021-10,2,9,<1,1,10
2021-11,3,8,<1,1,18
2021-12,3,10,<1,1,7
2022-01,3,11,<1,1,9
2022-02,4,11,<1,1,11
2022-03,2,12,1,1,12
2022-04,2,11,<1,3,13
2022-05,2,10,<1,1,16
2022-06,2,10,1,1,15
2022-07,2,10,<1,1,12
2022-08,2,10,<1,1,14
2022-09,2,9,<1,2,14
2022-10,2,9,<1,1,14
2022-11,3,9,<1,1,14
2022-12,3,8,<1,1,8
2023-01,3,7,<1,1,9
2023-02,3,7,<1,1,9
2023-03,2,7,<1,1,11
2023-04,2,7,<1,1,10
2023-05,2,7,<1,1,13
2023-06,2,7,<1,1,12
2023-07,3,7,<1,1,9
2023-08,3,7,<1,1,12
2023-09,3,6,<1,1,10
2023-10,2,6,<1,1,10
2023-11,2,6,<1,1,10
2023-12,2,7,1,1,8
2024-01,2,7,<1,2,8
2024-02,2,6,<1,1,8
2024-03,1,6,<1,1,8
2024-04,2,7,<1,1,6
2024-05,2,6,<1,1,8
2024-06,2,7,<1,1,6
2024-07,2,6,<1,1,7
2024-08,2,7,<1,6,7
2024-09,2,7,<1,1,9
2024-10,2,7,<1,1,9
2024-11,2,6,<1,<1,9
2024-12,2,6,<1,1,7
2025-01,2,7,<1,1,7
2025-02,2,7,<1,<1,7
2025-03,1,7,<1,1,8
2025-04,1,7,<1,1,8
2025-05,1,7,<1,1,9
2025-06,1,6,<1,<1,8
2025-07,2,7,<1,<1,7
2025-08,2,7,<1,<1,8
2025-09,1,8,1,2,8
