Category: All categories

Month,province: (Chittagong Division),governorate: (Chittagong Division),district: (Chittagong Division),government: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,50,76
2011-06,0,0,0,51,100
2011-07,0,0,0,0,64
2011-08,0,0,0,0,58
2011-09,0,0,0,0,63
2011-10,0,0,0,27,74
2011-11,0,0,0,38,60
2011-12,0,0,0,36,31
2012-01,0,0,0,43,74
2012-02,0,0,29,50,82
2012-03,0,0,25,22,54
2012-04,0,0,0,41,51
2012-05,0,0,13,40,53
2012-06,0,0,0,36,89
2012-07,0,0,25,33,85
2012-08,0,0,0,29,52
2012-09,0,0,21,49,75
2012-10,0,0,0,28,49
2012-11,0,0,21,41,53
2012-12,0,0,0,50,66
2013-01,0,0,25,26,68
2013-02,0,0,0,28,62
2013-03,0,0,0,35,76
2013-04,0,0,17,38,55
2013-05,0,0,31,22,65
2013-06,0,0,14,26,73
2013-07,0,0,24,28,66
2013-08,0,0,15,21,82
2013-09,0,0,19,30,56
2013-10,0,0,17,29,58
2013-11,0,0,11,36,72
2013-12,0,0,18,39,66
2014-01,0,0,0,29,73
2014-02,0,0,13,32,76
2014-03,0,0,16,21,59
2014-04,0,0,11,24,46
2014-05,0,0,9,17,39
2014-06,0,0,9,17,32
2014-07,0,0,8,11,36
2014-08,0,0,10,13,41
2014-09,0,0,11,20,36
2014-10,0,0,9,15,38
2014-11,0,0,12,20,42
2014-12,0,0,13,27,45
2015-01,0,0,11,17,41
2015-02,0,0,9,18,49
2015-03,0,0,11,16,43
2015-04,0,0,11,15,37
2015-05,0,0,14,19,35
2015-06,0,0,12,19,39
2015-07,0,0,10,16,40
2015-08,0,0,11,20,48
2015-09,6,0,15,20,46
2015-10,0,0,12,20,44
2015-11,0,0,16,29,44
2015-12,0,0,18,41,71
2016-01,0,0,12,18,41
2016-02,0,0,10,19,35
2016-03,0,0,9,10,26
2016-04,1,0,10,12,27
2016-05,0,0,10,21,30
2016-06,0,0,9,17,42
2016-07,0,0,7,14,31
2016-08,0,0,12,15,32
2016-09,0,0,8,13,33
2016-10,0,0,11,18,36
2016-11,0,0,12,21,38
2016-12,0,0,17,37,39
2017-01,0,0,13,19,32
2017-02,0,0,12,16,38
2017-03,0,0,10,14,32
2017-04,0,0,12,13,35
2017-05,0,0,10,17,30
2017-06,0,0,8,17,28
2017-07,0,0,12,18,29
2017-08,0,0,13,16,30
2017-09,0,0,12,20,33
2017-10,0,0,12,20,35
2017-11,0,0,14,24,42
2017-12,0,0,16,41,32
2018-01,0,0,17,24,36
2018-02,0,0,12,21,36
2018-03,0,0,17,19,38
2018-04,0,0,16,19,39
2018-05,0,0,15,25,37
2018-06,0,0,13,18,33
2018-07,1,0,16,20,33
2018-08,0,0,15,19,41
2018-09,0,0,13,21,41
2018-10,1,0,15,22,37
2018-11,0,0,15,21,39
2018-12,0,0,19,34,30
2019-01,0,0,14,20,32
2019-02,1,0,13,17,38
2019-03,0,0,17,19,47
2019-04,2,0,15,22,46
2019-05,0,0,16,28,42
2019-06,0,0,15,22,34
2019-07,0,0,14,25,42
2019-08,0,0,12,25,45
2019-09,1,0,18,26,46
2019-10,1,0,15,26,49
2019-11,1,0,17,25,45
2019-12,0,0,15,37,32
2020-01,1,0,15,28,34
2020-02,1,0,16,20,47
2020-03,2,0,13,20,48
2020-04,2,0,23,14,50
2020-05,1,0,18,17,46
2020-06,1,0,15,19,54
2020-07,1,0,12,17,57
2020-08,1,0,15,26,50
2020-09,1,0,14,21,51
2020-10,1,0,12,19,43
2020-11,2,0,18,23,38
2020-12,1,0,15,27,37
2021-01,1,0,14,39,33
2021-02,0,0,14,21,35
2021-03,1,0,15,25,40
2021-04,2,0,12,16,37
2021-05,1,0,12,15,35
2021-06,1,0,14,21,41
2021-07,1,0,12,17,35
2021-08,1,0,12,21,37
2021-09,1,0,14,23,38
2021-10,1,0,14,21,40
2021-11,1,0,13,24,73
2021-12,1,0,14,35,30
2022-01,1,0,15,30,35
2022-02,1,0,15,30,43
2022-03,1,0,18,23,51
2022-04,1,0,16,16,53
2022-05,1,0,15,18,66
2022-06,1,0,17,21,62
2022-07,1,0,13,19,49
2022-08,1,0,13,20,59
2022-09,1,0,12,20,59
2022-10,1,0,13,18,57
2022-11,1,0,13,22,56
2022-12,1,0,14,34,32
2023-01,1,0,13,26,35
2023-02,1,0,13,22,38
2023-03,1,0,15,20,43
2023-04,1,0,14,15,39
2023-05,1,0,16,20,51
2023-06,1,0,14,20,47
2023-07,1,0,13,23,36
2023-08,1,0,13,25,47
2023-09,1,0,13,24,40
2023-10,2,0,12,21,39
2023-11,1,0,13,25,41
2023-12,1,0,14,18,31
2024-01,1,0,15,23,33
2024-02,1,0,12,22,34
2024-03,1,0,14,20,33
2024-04,1,0,13,15,25
2024-05,1,0,15,25,31
2024-06,1,0,11,19,26
2024-07,1,0,12,25,30
2024-08,1,0,31,28,29
2024-09,1,0,13,18,35
2024-10,1,0,11,18,35
2024-11,1,0,11,19,35
2024-12,1,0,11,17,30
2025-01,1,0,11,14,29
2025-02,1,0,10,16,30
2025-03,1,0,11,13,32
2025-04,1,0,11,13,32
2025-05,1,0,12,14,36
2025-06,1,0,11,14,33
2025-07,1,0,15,19,29
2025-08,1,0,12,20,34
2025-09,1,0,11,22,32
