Category: All categories

Month,operation: (Chittagong Division),nutrition: (Chittagong Division),malnourishment: (Chittagong Division),malnutrition: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,100,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,51
2011-02,0,0,0,0,51
2011-03,0,0,0,0,48
2011-04,0,0,0,0,61
2011-05,0,0,0,0,48
2011-06,0,0,0,0,63
2011-07,0,0,0,0,41
2011-08,25,0,0,0,37
2011-09,0,0,0,0,40
2011-10,0,0,0,0,47
2011-11,0,0,0,0,38
2011-12,0,0,0,0,20
2012-01,0,0,0,0,47
2012-02,0,29,0,0,52
2012-03,0,0,0,0,34
2012-04,0,0,0,0,32
2012-05,0,0,0,0,34
2012-06,0,0,0,0,56
2012-07,0,0,0,0,54
2012-08,15,0,0,0,33
2012-09,0,0,0,0,48
2012-10,22,0,0,0,31
2012-11,0,0,0,0,33
2012-12,19,0,0,0,41
2013-01,17,0,0,0,43
2013-02,0,0,15,0,39
2013-03,13,11,0,0,48
2013-04,0,0,0,0,35
2013-05,15,0,0,0,41
2013-06,0,0,0,0,46
2013-07,11,0,0,0,42
2013-08,11,0,0,0,52
2013-09,8,0,0,0,36
2013-10,9,0,0,0,36
2013-11,8,0,0,0,45
2013-12,7,0,0,0,42
2014-01,11,0,0,0,46
2014-02,11,0,0,0,48
2014-03,9,0,0,0,37
2014-04,7,5,0,0,29
2014-05,5,3,0,0,25
2014-06,4,0,0,0,20
2014-07,5,0,0,0,23
2014-08,4,0,0,0,26
2014-09,4,0,0,0,23
2014-10,3,0,0,0,24
2014-11,3,2,0,0,26
2014-12,4,2,0,0,28
2015-01,5,2,0,0,26
2015-02,4,0,0,0,31
2015-03,5,0,0,0,27
2015-04,3,0,0,0,24
2015-05,3,3,0,0,22
2015-06,0,0,0,0,25
2015-07,3,0,0,0,25
2015-08,7,0,0,0,30
2015-09,7,5,0,0,29
2015-10,6,0,0,0,28
2015-11,6,3,0,0,28
2015-12,7,0,0,0,45
2016-01,5,3,0,0,26
2016-02,6,0,0,0,22
2016-03,3,1,0,0,16
2016-04,3,1,0,0,17
2016-05,7,0,0,0,19
2016-06,4,2,0,0,27
2016-07,3,2,0,0,19
2016-08,5,0,0,0,20
2016-09,3,1,0,0,21
2016-10,4,1,0,0,23
2016-11,5,2,0,0,24
2016-12,5,2,0,0,25
2017-01,6,0,0,0,20
2017-02,6,0,0,0,24
2017-03,6,2,0,0,20
2017-04,4,2,0,0,22
2017-05,5,2,0,0,19
2017-06,3,1,0,0,17
2017-07,4,1,0,0,18
2017-08,4,1,0,0,19
2017-09,4,0,0,0,21
2017-10,5,2,0,0,22
2017-11,5,2,0,0,27
2017-12,4,1,0,0,20
2018-01,4,2,0,0,23
2018-02,4,3,0,0,22
2018-03,4,3,0,0,24
2018-04,5,3,0,0,25
2018-05,5,2,0,0,24
2018-06,4,2,0,0,21
2018-07,5,3,0,0,21
2018-08,5,2,0,0,26
2018-09,5,3,0,0,26
2018-10,5,3,0,1,24
2018-11,6,2,0,0,25
2018-12,5,2,0,0,19
2019-01,4,3,0,0,21
2019-02,5,2,0,0,24
2019-03,6,3,0,0,30
2019-04,5,3,0,0,29
2019-05,3,3,0,0,27
2019-06,3,2,0,0,21
2019-07,5,2,0,0,27
2019-08,5,3,0,0,29
2019-09,4,4,0,1,29
2019-10,5,4,0,0,31
2019-11,5,4,0,0,28
2019-12,5,4,0,0,20
2020-01,5,4,0,0,22
2020-02,4,3,0,0,30
2020-03,4,3,0,0,31
2020-04,4,3,0,0,32
2020-05,4,4,0,0,29
2020-06,5,5,0,0,34
2020-07,5,3,0,0,36
2020-08,4,3,0,0,32
2020-09,4,4,0,0,33
2020-10,4,3,0,0,27
2020-11,4,4,0,<1,24
2020-12,5,3,0,0,23
2021-01,4,3,0,0,21
2021-02,4,3,0,0,22
2021-03,5,3,0,0,25
2021-04,4,3,0,0,24
2021-05,3,3,0,0,22
2021-06,5,3,0,0,26
2021-07,3,3,0,0,22
2021-08,4,3,0,0,24
2021-09,4,2,0,0,24
2021-10,4,2,0,1,26
2021-11,4,3,0,1,46
2021-12,4,2,0,0,19
2022-01,3,3,0,0,22
2022-02,5,3,0,<1,27
2022-03,5,3,0,0,32
2022-04,4,3,0,<1,33
2022-05,4,2,0,<1,42
2022-06,5,2,0,0,39
2022-07,4,2,0,<1,31
2022-08,4,2,0,0,37
2022-09,5,3,0,<1,37
2022-10,5,2,0,<1,36
2022-11,4,2,0,<1,35
2022-12,3,2,0,<1,21
2023-01,5,2,0,<1,22
2023-02,5,3,0,<1,24
2023-03,5,2,0,<1,27
2023-04,3,2,0,<1,25
2023-05,5,3,0,<1,32
2023-06,4,3,0,<1,30
2023-07,4,3,0,<1,23
2023-08,4,2,0,<1,30
2023-09,3,2,0,<1,25
2023-10,3,2,0,<1,25
2023-11,3,2,0,<1,26
2023-12,3,2,0,<1,20
2024-01,3,2,0,<1,21
2024-02,4,2,0,<1,21
2024-03,3,2,0,<1,21
2024-04,3,2,0,0,16
2024-05,4,2,0,0,19
2024-06,3,2,0,<1,16
2024-07,3,2,0,0,19
2024-08,3,2,0,0,18
2024-09,3,2,0,0,22
2024-10,3,2,0,<1,22
2024-11,3,2,0,0,22
2024-12,3,2,0,<1,19
2025-01,3,2,0,0,19
2025-02,4,2,0,0,19
2025-03,3,2,0,0,20
2025-04,3,2,0,0,20
2025-05,4,2,0,0,23
2025-06,3,2,0,0,21
2025-07,3,2,0,0,19
2025-08,3,2,0,<1,21
2025-09,3,1,0,<1,20
