Category: All categories

Month,cash assistance: (Chittagong Division),medicine: (Chittagong Division),medicine: (Chittagong Division),medicine: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,40,41,50,76
2011-06,0,0,0,0,100
2011-07,0,40,0,0,64
2011-08,0,0,0,0,58
2011-09,0,57,42,0,63
2011-10,0,26,38,31,74
2011-11,0,0,0,0,60
2011-12,0,0,0,0,31
2012-01,0,28,22,30,74
2012-02,0,34,25,0,82
2012-03,0,29,24,24,54
2012-04,0,38,29,27,51
2012-05,0,15,17,21,53
2012-06,0,23,0,24,89
2012-07,0,34,48,31,85
2012-08,0,37,32,37,52
2012-09,0,33,34,26,75
2012-10,0,27,23,34,49
2012-11,0,23,26,28,53
2012-12,0,31,25,17,66
2013-01,0,33,30,28,68
2013-02,0,41,45,44,62
2013-03,0,28,37,26,76
2013-04,0,27,24,28,55
2013-05,0,23,19,24,65
2013-06,0,41,28,28,73
2013-07,0,32,33,26,66
2013-08,0,34,22,28,82
2013-09,0,39,24,35,56
2013-10,0,25,22,21,58
2013-11,0,21,20,23,72
2013-12,0,26,31,28,66
2014-01,0,24,30,26,73
2014-02,0,31,26,28,76
2014-03,0,40,35,37,59
2014-04,0,23,22,23,46
2014-05,0,19,15,18,39
2014-06,0,15,15,14,32
2014-07,0,18,16,15,36
2014-08,0,15,14,16,41
2014-09,0,16,14,13,36
2014-10,0,15,13,15,38
2014-11,0,14,17,15,42
2014-12,0,13,13,12,45
2015-01,0,19,20,23,41
2015-02,0,12,13,13,49
2015-03,0,17,16,17,43
2015-04,0,13,13,14,37
2015-05,0,18,18,18,35
2015-06,0,17,20,17,39
2015-07,0,15,15,13,40
2015-08,0,23,17,22,48
2015-09,0,23,24,23,46
2015-10,0,22,24,22,44
2015-11,0,20,21,21,44
2015-12,0,25,26,25,71
2016-01,0,15,17,16,41
2016-02,0,22,22,21,35
2016-03,0,13,13,13,26
2016-04,0,14,14,15,27
2016-05,0,17,17,17,30
2016-06,0,15,15,15,42
2016-07,0,18,17,17,31
2016-08,0,19,20,19,32
2016-09,0,18,19,18,33
2016-10,0,19,19,19,36
2016-11,0,15,15,15,38
2016-12,0,18,17,17,39
2017-01,0,21,21,21,32
2017-02,0,20,21,20,38
2017-03,0,24,23,23,32
2017-04,0,19,18,17,35
2017-05,0,17,18,19,30
2017-06,0,14,14,14,28
2017-07,0,22,22,21,29
2017-08,0,20,19,20,30
2017-09,0,22,22,22,33
2017-10,0,23,23,24,35
2017-11,0,25,25,25,42
2017-12,0,22,22,22,32
2018-01,0,24,24,24,36
2018-02,0,29,29,29,36
2018-03,0,27,27,27,38
2018-04,0,27,27,26,39
2018-05,0,26,26,27,37
2018-06,0,22,22,22,33
2018-07,0,28,28,28,33
2018-08,0,31,30,32,41
2018-09,0,27,28,28,41
2018-10,0,29,28,28,37
2018-11,0,25,26,26,39
2018-12,0,25,25,25,30
2019-01,0,25,25,25,32
2019-02,0,29,28,28,38
2019-03,0,32,32,32,47
2019-04,0,30,31,31,46
2019-05,0,29,29,29,42
2019-06,0,31,31,31,34
2019-07,0,28,29,28,42
2019-08,0,36,37,36,45
2019-09,0,35,36,36,46
2019-10,0,34,34,34,49
2019-11,0,30,30,30,45
2019-12,0,26,26,26,32
2020-01,0,30,30,30,34
2020-02,0,33,33,33,47
2020-03,0,40,41,40,48
2020-04,0,45,45,45,50
2020-05,0,45,45,45,46
2020-06,0,49,49,49,54
2020-07,0,37,37,37,57
2020-08,0,37,37,37,50
2020-09,0,34,35,34,51
2020-10,0,31,31,32,43
2020-11,0,33,33,33,38
2020-12,0,31,31,31,37
2021-01,0,32,32,32,33
2021-02,0,32,32,32,35
2021-03,0,33,33,33,40
2021-04,0,30,30,30,37
2021-05,0,28,28,28,35
2021-06,0,29,29,29,41
2021-07,0,31,31,31,35
2021-08,0,31,31,31,37
2021-09,0,29,30,29,38
2021-10,0,26,26,26,40
2021-11,0,28,28,28,73
2021-12,0,26,26,27,30
2022-01,0,31,31,31,35
2022-02,0,29,29,29,43
2022-03,0,32,32,32,51
2022-04,0,28,28,28,53
2022-05,0,28,28,28,66
2022-06,0,30,30,30,62
2022-07,0,28,28,28,49
2022-08,0,28,29,28,59
2022-09,0,28,28,28,59
2022-10,0,28,28,28,57
2022-11,0,25,25,25,56
2022-12,0,25,25,25,32
2023-01,0,30,30,30,35
2023-02,0,30,30,31,38
2023-03,0,28,28,28,43
2023-04,0,28,28,28,39
2023-05,0,28,29,28,51
2023-06,0,29,29,29,47
2023-07,0,32,32,32,36
2023-08,0,30,30,30,47
2023-09,0,30,30,30,40
2023-10,0,27,27,27,39
2023-11,0,26,26,26,41
2023-12,0,29,28,28,31
2024-01,0,26,26,26,33
2024-02,0,25,25,25,34
2024-03,0,25,25,25,33
2024-04,0,23,23,23,25
2024-05,0,23,23,23,31
2024-06,0,20,20,20,26
2024-07,0,20,21,21,30
2024-08,0,20,21,21,29
2024-09,0,24,24,24,35
2024-10,0,24,24,24,35
2024-11,0,24,25,25,35
2024-12,0,22,22,22,30
2025-01,0,23,23,23,29
2025-02,0,22,22,22,30
2025-03,0,23,24,23,32
2025-04,0,22,22,22,32
2025-05,0,21,21,21,36
2025-06,0,24,23,23,33
2025-07,0,22,22,23,29
2025-08,0,25,25,25,34
2025-09,0,22,23,23,32
