Category: All categories

Month,suffering: (Chittagong Division),pregnant: (Chittagong Division),basket: (Chittagong Division),container: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,51,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,0,0,0,32,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,0,0,0,34,58
2011-09,0,0,0,30,63
2011-10,0,31,0,29,74
2011-11,0,0,0,0,60
2011-12,0,24,0,23,31
2012-01,0,0,0,47,74
2012-02,0,0,0,26,82
2012-03,0,25,0,32,54
2012-04,0,0,0,37,51
2012-05,0,19,0,15,53
2012-06,0,0,0,32,89
2012-07,0,0,0,28,85
2012-08,0,26,0,26,52
2012-09,0,44,0,29,75
2012-10,0,0,0,28,49
2012-11,0,0,0,28,53
2012-12,0,25,0,31,66
2013-01,0,0,0,23,68
2013-02,0,0,0,36,62
2013-03,0,17,0,0,76
2013-04,0,22,0,41,55
2013-05,0,21,0,25,65
2013-06,0,14,0,48,73
2013-07,0,0,0,42,66
2013-08,0,0,0,22,82
2013-09,0,17,0,50,56
2013-10,0,17,0,38,58
2013-11,0,22,0,36,72
2013-12,0,14,0,43,66
2014-01,0,11,0,47,73
2014-02,0,14,0,30,76
2014-03,0,17,0,62,59
2014-04,0,12,0,34,46
2014-05,0,12,0,19,39
2014-06,0,15,0,18,32
2014-07,0,9,0,13,36
2014-08,0,8,0,17,41
2014-09,0,8,0,15,36
2014-10,0,10,0,12,38
2014-11,0,9,0,10,42
2014-12,0,6,0,12,45
2015-01,0,14,0,10,41
2015-02,0,9,0,15,49
2015-03,0,10,0,11,43
2015-04,0,10,0,10,37
2015-05,0,9,0,16,35
2015-06,0,10,0,19,39
2015-07,0,14,0,23,40
2015-08,0,9,0,20,48
2015-09,0,13,0,26,46
2015-10,0,11,0,21,44
2015-11,0,13,0,20,44
2015-12,0,10,0,24,71
2016-01,0,12,0,13,41
2016-02,0,14,0,13,35
2016-03,0,10,1,4,26
2016-04,0,10,0,5,27
2016-05,0,15,2,11,30
2016-06,0,10,0,9,42
2016-07,0,13,0,15,31
2016-08,0,10,0,15,32
2016-09,0,13,3,11,33
2016-10,0,10,0,14,36
2016-11,0,9,0,15,38
2016-12,0,12,0,12,39
2017-01,0,12,2,13,32
2017-02,0,12,0,11,38
2017-03,0,11,0,12,32
2017-04,0,11,0,10,35
2017-05,0,9,0,11,30
2017-06,0,10,0,10,28
2017-07,0,13,0,9,29
2017-08,0,12,2,9,30
2017-09,0,13,3,11,33
2017-10,0,12,0,12,35
2017-11,0,11,0,13,42
2017-12,0,12,0,11,32
2018-01,0,13,1,10,36
2018-02,0,13,2,10,36
2018-03,0,11,0,9,38
2018-04,0,11,1,10,39
2018-05,0,10,1,12,37
2018-06,0,11,0,10,33
2018-07,0,10,1,9,33
2018-08,0,10,2,9,41
2018-09,0,13,1,9,41
2018-10,0,12,0,9,37
2018-11,0,11,2,9,39
2018-12,0,12,2,8,30
2019-01,0,12,2,10,32
2019-02,0,10,2,10,38
2019-03,0,11,1,9,47
2019-04,0,12,2,7,46
2019-05,0,9,2,10,42
2019-06,0,11,2,8,34
2019-07,0,12,0,10,42
2019-08,0,12,2,7,45
2019-09,1,10,2,9,46
2019-10,1,10,2,8,49
2019-11,1,10,2,8,45
2019-12,1,10,2,7,32
2020-01,1,11,3,10,34
2020-02,1,11,2,8,47
2020-03,1,9,3,7,48
2020-04,1,10,5,6,50
2020-05,0,15,4,8,46
2020-06,1,13,4,7,54
2020-07,2,12,4,8,57
2020-08,1,12,3,8,50
2020-09,1,12,3,9,51
2020-10,0,10,3,9,43
2020-11,1,9,2,9,38
2020-12,1,12,3,12,37
2021-01,1,12,3,9,33
2021-02,1,10,2,9,35
2021-03,1,12,2,9,40
2021-04,1,8,3,10,37
2021-05,1,11,3,8,35
2021-06,1,11,3,9,41
2021-07,1,12,3,7,35
2021-08,1,11,2,8,37
2021-09,1,11,2,8,38
2021-10,1,9,2,8,40
2021-11,1,11,3,8,73
2021-12,0,10,3,8,30
2022-01,1,11,3,9,35
2022-02,1,11,2,9,43
2022-03,1,11,2,9,51
2022-04,1,10,2,8,53
2022-05,1,11,2,6,66
2022-06,1,12,2,13,62
2022-07,1,11,2,7,49
2022-08,1,11,3,6,59
2022-09,1,10,2,6,59
2022-10,1,10,2,5,57
2022-11,1,8,2,5,56
2022-12,1,9,2,4,32
2023-01,1,10,2,6,35
2023-02,1,10,2,6,38
2023-03,1,9,2,6,43
2023-04,1,9,2,6,39
2023-05,1,9,2,6,51
2023-06,1,10,1,5,47
2023-07,1,9,1,6,36
2023-08,1,9,2,6,47
2023-09,1,8,1,5,40
2023-10,1,8,1,5,39
2023-11,<1,9,1,5,41
2023-12,1,9,2,6,31
2024-01,1,8,1,6,33
2024-02,1,8,2,6,34
2024-03,1,8,2,6,33
2024-04,<1,8,2,5,25
2024-05,1,9,2,6,31
2024-06,1,8,2,5,26
2024-07,1,8,2,5,30
2024-08,1,9,2,4,29
2024-09,1,9,2,6,35
2024-10,1,9,2,6,35
2024-11,1,8,2,5,35
2024-12,1,9,2,5,30
2025-01,1,9,2,6,29
2025-02,0,9,2,6,30
2025-03,1,9,1,6,32
2025-04,<1,9,2,5,32
2025-05,1,8,2,7,36
2025-06,1,8,1,5,33
2025-07,1,8,1,5,29
2025-08,1,9,1,6,34
2025-09,1,9,2,6,32
