Category: All categories

Month,container: (Chittagong Division),container: (Chittagong Division),carton: (Chittagong Division),clothes: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,51,51,0,0,81
2011-02,0,0,0,0,80
2011-03,0,0,0,0,76
2011-04,0,0,0,0,96
2011-05,32,32,0,0,76
2011-06,0,0,0,0,100
2011-07,0,0,0,0,64
2011-08,34,34,0,0,58
2011-09,30,30,0,0,63
2011-10,29,29,0,0,74
2011-11,0,0,0,0,60
2011-12,23,23,0,0,31
2012-01,47,47,0,0,74
2012-02,26,26,0,0,82
2012-03,32,32,0,0,54
2012-04,37,37,0,0,51
2012-05,15,15,0,0,53
2012-06,32,32,0,0,89
2012-07,28,28,0,0,85
2012-08,26,26,0,0,52
2012-09,29,29,0,0,75
2012-10,28,28,0,0,49
2012-11,28,28,0,0,53
2012-12,31,31,0,0,66
2013-01,23,23,0,0,68
2013-02,36,36,0,0,62
2013-03,0,0,0,18,76
2013-04,41,41,0,0,55
2013-05,25,25,0,16,65
2013-06,48,48,0,21,73
2013-07,42,42,0,0,66
2013-08,22,22,0,0,82
2013-09,50,50,0,0,56
2013-10,38,38,0,15,58
2013-11,36,36,0,0,72
2013-12,43,43,0,14,66
2014-01,47,47,11,0,73
2014-02,30,30,25,0,76
2014-03,62,62,0,0,59
2014-04,34,34,0,0,46
2014-05,19,19,5,5,39
2014-06,18,18,0,7,32
2014-07,13,13,6,12,36
2014-08,17,17,4,5,41
2014-09,15,15,8,5,36
2014-10,12,12,5,7,38
2014-11,10,10,5,6,42
2014-12,12,12,5,6,45
2015-01,10,10,0,5,41
2015-02,15,15,6,0,49
2015-03,11,11,4,6,43
2015-04,10,10,7,7,37
2015-05,16,16,4,4,35
2015-06,19,19,5,13,39
2015-07,23,23,0,5,40
2015-08,20,20,0,0,48
2015-09,26,26,5,0,46
2015-10,21,21,4,4,44
2015-11,20,20,5,0,44
2015-12,24,24,0,8,71
2016-01,13,13,7,6,41
2016-02,13,13,8,8,35
2016-03,4,4,8,5,26
2016-04,5,5,9,5,27
2016-05,11,11,8,7,30
2016-06,9,9,8,9,42
2016-07,15,15,8,9,31
2016-08,15,15,9,6,32
2016-09,11,11,11,6,33
2016-10,14,14,7,6,36
2016-11,15,15,5,4,38
2016-12,12,12,6,7,39
2017-01,13,13,7,8,32
2017-02,11,11,6,6,38
2017-03,12,12,7,6,32
2017-04,10,10,7,5,35
2017-05,11,11,8,5,30
2017-06,10,10,9,4,28
2017-07,9,9,9,5,29
2017-08,9,9,8,3,30
2017-09,11,11,7,4,33
2017-10,12,12,7,5,35
2017-11,13,13,4,4,42
2017-12,11,11,7,4,32
2018-01,10,10,7,4,36
2018-02,10,10,7,5,36
2018-03,9,9,6,4,38
2018-04,10,10,5,4,39
2018-05,12,12,6,5,37
2018-06,10,10,6,4,33
2018-07,9,9,6,4,33
2018-08,9,9,6,4,41
2018-09,9,9,6,5,41
2018-10,9,9,6,5,37
2018-11,9,9,6,4,39
2018-12,8,8,6,5,30
2019-01,10,10,7,4,32
2019-02,10,10,5,6,38
2019-03,9,9,7,5,47
2019-04,7,7,4,5,46
2019-05,10,10,5,5,42
2019-06,8,8,5,4,34
2019-07,10,10,5,4,42
2019-08,7,7,5,5,45
2019-09,9,9,6,4,46
2019-10,8,8,5,5,49
2019-11,8,8,5,6,45
2019-12,7,7,5,6,32
2020-01,10,10,6,5,34
2020-02,8,8,5,4,47
2020-03,7,7,6,3,48
2020-04,6,6,6,5,50
2020-05,8,8,6,7,46
2020-06,7,7,5,5,54
2020-07,8,8,5,5,57
2020-08,8,8,4,5,50
2020-09,9,9,5,6,51
2020-10,9,9,4,5,43
2020-11,9,9,4,6,38
2020-12,12,12,4,6,37
2021-01,9,9,4,5,33
2021-02,9,9,4,6,35
2021-03,9,9,4,6,40
2021-04,10,10,4,6,37
2021-05,8,8,4,5,35
2021-06,9,9,4,5,41
2021-07,7,7,4,5,35
2021-08,8,8,4,6,37
2021-09,8,8,4,5,38
2021-10,8,8,4,5,40
2021-11,8,8,4,6,73
2021-12,8,8,5,5,30
2022-01,9,9,4,4,35
2022-02,9,9,4,4,43
2022-03,9,9,4,5,51
2022-04,8,8,5,6,53
2022-05,6,6,4,4,66
2022-06,13,13,5,4,62
2022-07,7,7,5,4,49
2022-08,6,6,4,4,59
2022-09,6,6,4,4,59
2022-10,5,5,4,4,57
2022-11,5,5,3,4,56
2022-12,4,4,4,4,32
2023-01,6,6,3,5,35
2023-02,6,6,3,5,38
2023-03,6,6,4,4,43
2023-04,6,6,4,4,39
2023-05,6,6,4,4,51
2023-06,5,5,4,4,47
2023-07,6,6,4,5,36
2023-08,6,6,4,9,47
2023-09,5,5,4,4,40
2023-10,5,5,3,4,39
2023-11,5,5,4,4,41
2023-12,6,6,4,5,31
2024-01,6,6,4,5,33
2024-02,6,6,4,3,34
2024-03,6,6,4,5,33
2024-04,5,5,3,4,25
2024-05,6,6,4,3,31
2024-06,5,5,3,4,26
2024-07,5,5,4,3,30
2024-08,4,4,3,4,29
2024-09,6,6,4,5,35
2024-10,6,6,4,4,35
2024-11,5,5,3,5,35
2024-12,5,5,4,5,30
2025-01,6,6,4,5,29
2025-02,6,6,3,5,30
2025-03,6,6,4,6,32
2025-04,5,5,4,4,32
2025-05,7,7,3,4,36
2025-06,5,5,3,4,33
2025-07,5,5,4,4,29
2025-08,6,6,3,4,34
2025-09,6,6,3,4,32
