division_iso_two,topic,keywords[list],query url
BD-B,Demographic,ethnic; ethnic; sunni; shia,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=ethnic,ethnic,sunni,shia,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,shias; alawi; alawi; shiite,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=shias,alawi,alawi,shiite,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,Kurd; Faili Kurd; Fayli Kurd; Christian,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=Kurd,Faili%20Kurd,Fayli%20Kurd,Christian,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,Christian; Yezidi; Turkmen; Shabak,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=Christian,Yezidi,Turkmen,Shabak,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,Mandean; Armenian; Chaldeans; Chaldeans,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=Mandean,Armenian,Chaldeans,Chaldeans,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,Syriacs; Assyrian; Circassian; Baha'i,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=Syriacs,Assyrian,Circassian,Baha%27i,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,Roma; Roma; Marsh Arabs; Jews,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=Roma,Roma,Marsh%20Arabs,Jews,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,Sabeans; Gypsy; Black Iraqis; religion,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=Sabeans,Gypsy,Black%20Iraqis,religion,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,sect; minorit; shrine; mosque,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=sect,minorit,shrine,mosque,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,temple; procession; funeral; funeral,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=temple,procession,funeral,funeral,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,church; men; women; young men,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=church,men,women,young%20men,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,elderly; elderly; pilgrim; pilgrims,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=elderly,elderly,pilgrim,pilgrims,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,sectarian; discrimination; marginalisation; threat,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=sectarian,discrimination,marginalisation,threat,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,threats; harassment; identity; priest,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=threats,harassment,identity,priest,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,priest; priest; priest; persecution,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=priest,priest,priest,persecution,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,civilian; civilian; sheikh; ayatollah,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=civilian,civilian,sheikh,ayatollah,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,imam; tribe; clan; clan,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=imam,tribe,clan,clan,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,teacher; lawyer; businessman; professor,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=teacher,lawyer,businessman,professor,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,officer; officers; judge; judge,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=officer,officers,judge,judge,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,minister; employee; employee; worker,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=minister,employee,employee,worker,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,doctor; nurse; nurse; engineer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=doctor,nurse,nurse,engineer,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,director; journalist; human rights; children,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=director,journalist,human%20rights,children,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,children; child; security guard; security guard,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=children,child,security%20guard,security%20guard,%2Fm%2F02nf_&hl=en-US"
BD-B,Demographic,factory; guard; racism,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=factory,guard,racism,%2Fm%2F02nf_&hl=en-US"
