division_iso_two,topic,keywords[list],query url
BD-B,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,desertification; livestock; cattle; land,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=desertification,livestock,cattle,land,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,land; fertile; grains; cereals,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=land,fertile,grains,cereals,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,cereals; cereals; sheep; horticulture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=cereals,cereals,sheep,horticulture,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,dairy; dairy; poultry; poultry,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=dairy,dairy,poultry,poultry,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,equipment; production; cooperative; honey,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=equipment,production,cooperative,honey,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,beekeeper; pesticide; animal; breeder,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=beekeeper,pesticide,animal,breeder,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,fish; wheat; plough; vehicle,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=fish,wheat,plough,vehicle,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,machinery; subsidy; subsidies; subsidise,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=machinery,subsidy,subsidies,subsidise,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,subsidize; natural fertilizer; chemical fertilizer; fertiliser,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=subsidize,natural%20fertilizer,chemical%20fertilizer,fertiliser,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,seed; potato; tomato; irrigation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=seed,potato,tomato,irrigation,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,drip irrigation; drip irrigation; technique; labourer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=drip%20irrigation,drip%20irrigation,technique,labourer,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,"pasture, grazing land; fodder; pest; arid","https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=pasture%2C%20grazing%20land,fodder,pest,arid,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,erratic; erratic; management; soil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=erratic,erratic,management,soil,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,marsh; vegetation; drainage; drainage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=marsh,vegetation,drainage,drainage,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,drainage; moderate; organic; dust,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=drainage,moderate,organic,dust,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,storm; sand; summer; summer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=storm,sand,summer,summer,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,summer; winter; winter; autumn,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=summer,winter,winter,autumn,%2Fm%2F02nf_&hl=en-US"
BD-B,Environmental,autumn; autumn; spring; spring,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=autumn,autumn,spring,spring,%2Fm%2F02nf_&hl=en-US"
