division_iso_two,topic,keywords[list],query url
BD-B,Relief,relief efforts; disaster; emergency situation; complex humanitarian emergency situation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=relief%20efforts,disaster,emergency%20situation,complex%20humanitarian%20emergency%20situation,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,humanitarian organisations; humanitarian organisations; humanitarian organisations; humanitarian agencies,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=humanitarian%20organisations,humanitarian%20organisations,humanitarian%20organisations,humanitarian%20agencies,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,humanitarian agencies; humanitarian agencies; refugee camp; tent,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=humanitarian%20agencies,humanitarian%20agencies,refugee%20camp,tent,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,host community; refugee camps; tents; host communities,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=host%20community,refugee%20camps,tents,host%20communities,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,coping strategies; coping strategies; aid; aid,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=coping%20strategies,coping%20strategies,aid,aid,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,aid; relief; outbreak; outbreak,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=aid,relief,outbreak,outbreak,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,infectious diseases; epidemic; disease; contagious,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=infectious%20diseases,epidemic,disease,contagious,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,donor; donor; donor; vaccination,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=donor,donor,donor,vaccination,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,vaccination; campaign; campaign; campaign,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=vaccination,campaign,campaign,campaign,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,polio; cholera; operation; operation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=polio,cholera,operation,operation,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,operation; nutrition; malnourishment; malnutrition,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=operation,nutrition,malnourishment,malnutrition,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,reconstruction; supplies; medical; grant,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=reconstruction,supplies,medical,grant,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,workshop; rationing; PDS; PDS,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=workshop,rationing,PDS,PDS,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,charity; charity; organisation; shelter,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=charity,charity,organisation,shelter,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,refuge; refuge; temporary; temporary,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=refuge,refuge,temporary,temporary,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,death; immunisation; protection; faeces,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=death,immunisation,protection,faeces,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,cash assistance; medicine; medicine; medicine,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=cash%20assistance,medicine,medicine,medicine,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,suffering; pregnant; basket; container,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=suffering,pregnant,basket,container,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,container; container; carton; clothes,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=container,container,carton,clothes,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,emergency; food parcels; money; voucher,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=emergency,food%20parcels,money,voucher,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,voucher; dehydration; undernutrition; cash grant,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=voucher,dehydration,undernutrition,cash%20grant,%2Fm%2F02nf_&hl=en-US"
BD-B,Relief,cash grant; cash grant; army,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-B&q=cash%20grant,cash%20grant,army,%2Fm%2F02nf_&hl=en-US"
