Category: All categories

Month,টাকা: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,65
2004-06,0,62
2004-07,0,100
2004-08,0,72
2004-09,0,68
2004-10,0,69
2004-11,0,0
2004-12,0,57
2005-01,0,59
2005-02,0,0
2005-03,0,71
2005-04,0,0
2005-05,0,56
2005-06,0,51
2005-07,0,37
2005-08,0,48
2005-09,0,39
2005-10,0,62
2005-11,0,0
2005-12,0,35
2006-01,0,0
2006-02,0,56
2006-03,0,0
2006-04,0,41
2006-05,0,52
2006-06,0,56
2006-07,0,42
2006-08,0,48
2006-09,0,21
2006-10,0,30
2006-11,0,55
2006-12,0,42
2007-01,0,41
2007-02,0,48
2007-03,0,30
2007-04,0,30
2007-05,0,30
2007-06,0,43
2007-07,0,29
2007-08,0,32
2007-09,0,31
2007-10,0,29
2007-11,0,36
2007-12,0,37
2008-01,0,30
2008-02,0,39
2008-03,0,39
2008-04,0,40
2008-05,0,34
2008-06,0,35
2008-07,0,32
2008-08,0,34
2008-09,0,34
2008-10,0,32
2008-11,0,27
2008-12,0,28
2009-01,0,24
2009-02,0,36
2009-03,0,33
2009-04,0,31
2009-05,0,34
2009-06,0,35
2009-07,0,42
2009-08,0,32
2009-09,0,35
2009-10,0,32
2009-11,0,33
2009-12,0,25
2010-01,0,31
2010-02,8,36
2010-03,5,28
2010-04,5,28
2010-05,5,25
2010-06,0,27
2010-07,0,30
2010-08,0,34
2010-09,0,25
2010-10,0,29
2010-11,0,32
2010-12,0,32
2011-01,2,32
2011-02,1,31
2011-03,1,28
2011-04,1,31
2011-05,2,28
2011-06,3,30
2011-07,3,31
2011-08,2,32
2011-09,2,29
2011-10,2,27
2011-11,3,27
2011-12,2,28
2012-01,2,29
2012-02,2,27
2012-03,2,27
2012-04,2,25
2012-05,1,27
2012-06,0,33
2012-07,1,28
2012-08,2,27
2012-09,1,29
2012-10,1,26
2012-11,1,28
2012-12,1,26
2013-01,1,29
2013-02,1,28
2013-03,1,26
2013-04,1,27
2013-05,1,25
2013-06,1,25
2013-07,2,27
2013-08,2,22
2013-09,1,23
2013-10,1,23
2013-11,2,23
2013-12,1,22
2014-01,2,22
2014-02,1,24
2014-03,2,22
2014-04,2,23
2014-05,2,22
2014-06,2,22
2014-07,3,21
2014-08,3,23
2014-09,3,23
2014-10,3,22
2014-11,2,24
2014-12,3,24
2015-01,3,28
2015-02,3,27
2015-03,3,24
2015-04,3,24
2015-05,3,24
2015-06,4,24
2015-07,4,21
2015-08,4,24
2015-09,4,22
2015-10,4,23
2015-11,4,23
2015-12,4,32
2016-01,5,24
2016-02,5,18
2016-03,5,19
2016-04,5,20
2016-05,5,17
2016-06,6,18
2016-07,6,17
2016-08,6,17
2016-09,6,16
2016-10,5,17
2016-11,6,17
2016-12,6,17
2017-01,6,17
2017-02,6,18
2017-03,6,17
2017-04,6,17
2017-05,7,16
2017-06,8,16
2017-07,8,17
2017-08,8,16
2017-09,8,17
2017-10,8,18
2017-11,7,19
2017-12,8,18
2018-01,8,19
2018-02,7,19
2018-03,8,22
2018-04,8,20
2018-05,8,19
2018-06,8,19
2018-07,9,20
2018-08,8,19
2018-09,9,20
2018-10,9,20
2018-11,9,21
2018-12,8,16
2019-01,9,19
2019-02,8,20
2019-03,9,23
2019-04,9,24
2019-05,10,22
2019-06,9,18
2019-07,10,21
2019-08,11,22
2019-09,12,22
2019-10,11,23
2019-11,10,22
2019-12,11,19
2020-01,10,21
2020-02,11,23
2020-03,11,24
2020-04,15,24
2020-05,17,23
2020-06,13,29
2020-07,15,31
2020-08,13,27
2020-09,13,28
2020-10,12,25
2020-11,12,22
2020-12,13,23
2021-01,13,22
2021-02,13,21
2021-03,15,22
2021-04,13,21
2021-05,16,19
2021-06,13,21
2021-07,13,19
2021-08,16,20
2021-09,16,20
2021-10,14,19
2021-11,14,25
2021-12,15,18
2022-01,15,20
2022-02,18,24
2022-03,19,29
2022-04,23,25
2022-05,21,26
2022-06,24,27
2022-07,24,24
2022-08,28,27
2022-09,26,29
2022-10,24,25
2022-11,22,27
2022-12,23,20
2023-01,27,22
2023-02,28,23
2023-03,29,22
2023-04,30,19
2023-05,28,24
2023-06,31,23
2023-07,30,20
2023-08,32,26
2023-09,27,21
2023-10,25,20
2023-11,25,22
2023-12,27,18
2024-01,28,20
2024-02,26,21
2024-03,32,20
2024-04,29,18
2024-05,26,20
2024-06,26,15
2024-07,26,19
2024-08,32,20
2024-09,34,22
2024-10,31,20
2024-11,31,23
2024-12,29,19
2025-01,30,21
2025-02,29,21
2025-03,36,20
2025-04,30,18
2025-05,30,21
2025-06,34,18
2025-07,34,19
2025-08,39,20
2025-09,40,19
