division_iso_two,topic,keywords[list],query url
BD-C,Economic,অর্থনীতি; রেমিট্যান্স; নিষেধাজ্ঞা; সরবরাহ,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF,%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A6%BF%E0%A6%9F%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%B8,%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7%E0%A6%BE%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE,%E0%A6%B8%E0%A6%B0%E0%A6%AC%E0%A6%B0%E0%A6%BE%E0%A6%B9,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,জোগান; চাহিদা; জিডিপি; বিনিয়োগ,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%9C%E0%A7%87%E0%A6%BE%E0%A6%97%E0%A6%BE%E0%A6%A8,%E0%A6%9A%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A6%E0%A6%BE,%E0%A6%9C%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AA%E0%A6%BF,%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%97,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,নিষেধাজ্ঞা; চাকরি; রোজগার; কর্মসংস্থান,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7%E0%A6%BE%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE,%E0%A6%9A%E0%A6%BE%E0%A6%95%E0%A6%B0%E0%A6%BF,%E0%A6%B0%E0%A7%8B%E0%A6%9C%E0%A6%97%E0%A6%BE%E0%A6%B0,%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,বাধা; বিধিনিষেধ; নিষেধাজ্ঞা; বেকারত্ব,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%AC%E0%A6%BE%E0%A6%A7%E0%A6%BE,%E0%A6%AC%E0%A6%BF%E0%A6%A7%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7,%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7%E0%A6%BE%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE,%E0%A6%AC%E0%A7%87%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%8D%E0%A6%AC,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,মুদ্রা; শ্রম বাজার; বাজার; বিনিময় হার,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%AE%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BE,%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A6%AE%20%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0,%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0,%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%AE%E0%A6%AF%E0%A6%BC%20%E0%A6%B9%E0%A6%BE%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,কর; করসমূহ; পণ্য; দ্রব্য,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%95%E0%A6%B0,%E0%A6%95%E0%A6%B0%E0%A6%B8%E0%A6%AE%E0%A7%82%E0%A6%B9,%E0%A6%AA%E0%A6%A3%E0%A7%8D%E0%A6%AF,%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A7%8D%E0%A6%AF,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,উৎপাদনের স্তর; ঋতুভিত্তিক কাজ; মৌসুমি কাজ; অস্থায়ী কাজ,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%89%E0%A7%8E%E0%A6%AA%E0%A6%BE%E0%A6%A6%E0%A6%A8%E0%A7%87%E0%A6%B0%20%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%B0,%E0%A6%8B%E0%A6%A4%E0%A7%81%E0%A6%AD%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%95%20%E0%A6%95%E0%A6%BE%E0%A6%9C,%E0%A6%AE%E0%A7%8C%E0%A6%B8%E0%A7%81%E0%A6%AE%E0%A6%BF%20%E0%A6%95%E0%A6%BE%E0%A6%9C,%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%80%20%E0%A6%95%E0%A6%BE%E0%A6%9C,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,নিষেধাজ্ঞা; প্রবাসী নেটওয়ার্ক; প্রবাসী জনগোষ্ঠী; আমদানি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%87%E0%A6%A7%E0%A6%BE%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%80%20%E0%A6%A8%E0%A7%87%E0%A6%9F%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%80%20%E0%A6%9C%E0%A6%A8%E0%A6%97%E0%A7%8B%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A7%80,%E0%A6%86%E0%A6%AE%E0%A6%A6%E0%A6%BE%E0%A6%A8%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,রপ্তানি; বাণিজ্য; স্থানীয় অর্থনীতি; ব্যবসায়ী,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%B0%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%BF,%E0%A6%AC%E0%A6%BE%E0%A6%A3%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%AF,%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%AF%E0%A6%BC%20%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF,%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%80,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,অপ্রাতিষ্ঠানিক খাত; অপ্রাতিষ্ঠানিক বাজার; কালোবাজার; বিদেশি মুদ্রা,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%85%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%95%20%E0%A6%96%E0%A6%BE%E0%A6%A4,%E0%A6%85%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%95%20%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0,%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0,%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%BF%20%E0%A6%AE%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BE,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,বৈদেশিক মুদ্রা; বৈদেশিক বাণিজ্য; তেল; ঋণ,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%AC%E0%A7%88%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%95%20%E0%A6%AE%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BE,%E0%A6%AC%E0%A7%88%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%95%20%E0%A6%AC%E0%A6%BE%E0%A6%A3%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%AF,%E0%A6%A4%E0%A7%87%E0%A6%B2,%E0%A6%8B%E0%A6%A3,%2Fm%2F02nf_&hl=en-US"
BD-C,Economic,ঋণ; দেনা; গবাদি পশু; ঋণসমূহ,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=%E0%A6%8B%E0%A6%A3,%E0%A6%A6%E0%A7%87%E0%A6%A8%E0%A6%BE,%E0%A6%97%E0%A6%AC%E0%A6%BE%E0%A6%A6%E0%A6%BF%20%E0%A6%AA%E0%A6%B6%E0%A7%81,%E0%A6%8B%E0%A6%A3%E0%A6%B8%E0%A6%AE%E0%A7%82%E0%A6%B9,%2Fm%2F02nf_&hl=en-US"
