Category: All categories

Month,church: (Dhaka Division),men: (Dhaka Division),women: (Dhaka Division),young men: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,53,0,0
2004-02,0,0,62,0,0
2004-03,0,0,100,0,0
2004-04,0,0,55,0,0
2004-05,0,0,69,0,41
2004-06,0,0,77,0,39
2004-07,0,0,64,0,63
2004-08,0,0,65,0,46
2004-09,0,0,70,0,43
2004-10,0,0,69,0,44
2004-11,0,0,65,0,0
2004-12,0,0,76,0,36
2005-01,0,0,71,0,38
2005-02,0,0,55,0,0
2005-03,0,0,49,0,36
2005-04,0,0,65,0,0
2005-05,0,0,66,0,35
2005-06,0,0,57,0,32
2005-07,0,0,67,0,23
2005-08,0,0,85,0,31
2005-09,0,0,51,0,24
2005-10,0,0,63,0,39
2005-11,0,0,56,0,0
2005-12,0,21,55,0,22
2006-01,0,0,51,0,0
2006-02,0,0,59,0,36
2006-03,0,0,59,0,0
2006-04,0,0,44,0,26
2006-05,0,0,55,0,33
2006-06,0,17,58,0,35
2006-07,0,0,51,0,27
2006-08,0,19,52,0,31
2006-09,0,13,43,0,13
2006-10,0,18,36,0,19
2006-11,0,11,48,0,35
2006-12,0,17,44,0,20
2007-01,0,11,39,0,26
2007-02,0,22,46,0,30
2007-03,0,10,57,0,19
2007-04,0,0,43,0,19
2007-05,0,13,47,0,19
2007-06,0,12,40,0,27
2007-07,0,9,46,0,19
2007-08,0,8,58,0,20
2007-09,0,8,42,0,20
2007-10,0,9,39,0,18
2007-11,0,11,55,0,23
2007-12,0,11,47,0,24
2008-01,0,13,45,0,19
2008-02,0,17,49,0,25
2008-03,0,15,50,0,25
2008-04,0,13,42,0,25
2008-05,0,13,58,0,22
2008-06,0,14,49,0,22
2008-07,5,11,45,0,19
2008-08,0,13,51,0,22
2008-09,0,13,43,0,21
2008-10,0,10,55,0,20
2008-11,0,9,49,0,17
2008-12,0,13,54,0,18
2009-01,0,12,42,0,15
2009-02,0,9,47,0,23
2009-03,0,12,54,0,21
2009-04,0,12,57,0,20
2009-05,0,17,51,0,21
2009-06,0,16,58,0,22
2009-07,0,15,53,0,27
2009-08,0,15,54,0,20
2009-09,0,14,49,0,22
2009-10,0,16,57,0,20
2009-11,0,11,54,0,21
2009-12,0,16,61,0,16
2010-01,0,14,57,0,19
2010-02,0,13,61,0,23
2010-03,3,15,54,0,17
2010-04,0,15,50,0,18
2010-05,0,18,51,0,16
2010-06,0,15,54,0,17
2010-07,0,17,52,0,19
2010-08,3,19,44,0,21
2010-09,0,15,45,0,16
2010-10,3,15,47,0,19
2010-11,2,16,56,0,20
2010-12,0,18,52,0,20
2011-01,1,16,66,0,20
2011-02,1,15,63,0,20
2011-03,1,14,56,0,18
2011-04,2,15,51,0,19
2011-05,1,17,49,0,19
2011-06,1,24,50,1,19
2011-07,2,23,47,0,20
2011-08,1,20,41,<1,20
2011-09,1,17,46,0,18
2011-10,1,16,44,0,17
2011-11,1,16,46,0,17
2011-12,1,16,43,<1,18
2012-01,1,15,39,0,18
2012-02,1,15,40,<1,17
2012-03,1,15,42,<1,17
2012-04,1,16,38,0,16
2012-05,1,15,38,0,17
2012-06,2,18,40,0,21
2012-07,1,17,39,0,18
2012-08,1,22,43,1,17
2012-09,1,18,38,0,19
2012-10,2,20,38,0,17
2012-11,1,21,37,0,18
2012-12,1,19,36,0,17
2013-01,1,18,41,0,19
2013-02,1,18,37,1,17
2013-03,1,17,35,0,16
2013-04,1,19,34,0,17
2013-05,1,17,35,0,16
2013-06,1,15,31,0,16
2013-07,1,18,30,0,17
2013-08,1,16,29,<1,14
2013-09,1,15,30,<1,15
2013-10,1,15,30,<1,15
2013-11,1,15,27,<1,15
2013-12,1,15,28,<1,14
2014-01,1,13,25,<1,14
2014-02,1,13,26,<1,15
2014-03,1,13,25,0,14
2014-04,1,13,28,<1,14
