Category: All categories

Month,teacher: (Dhaka Division),lawyer: (Dhaka Division),businessman: (Dhaka Division),professor: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,0,0,25,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,0,0,0,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,0,0,0,29,55
2006-12,0,0,0,0,31
2007-01,0,0,0,0,41
2007-02,0,0,0,0,48
2007-03,0,0,0,0,30
2007-04,0,0,0,0,30
2007-05,12,0,0,0,30
2007-06,0,0,0,0,42
2007-07,0,0,0,0,29
2007-08,10,0,0,0,32
2007-09,12,0,0,0,31
2007-10,18,0,0,0,29
2007-11,30,0,0,10,36
2007-12,13,0,0,9,37
2008-01,10,0,0,0,30
2008-02,17,0,0,0,39
2008-03,18,0,0,0,39
2008-04,14,0,0,8,40
2008-05,15,0,0,0,34
2008-06,14,0,0,0,35
2008-07,11,0,0,8,30
2008-08,13,0,0,7,34
2008-09,13,0,0,0,34
2008-10,15,0,0,0,32
2008-11,17,0,0,0,27
2008-12,15,0,0,0,28
2009-01,35,0,0,0,24
2009-02,18,0,0,0,36
2009-03,16,0,0,0,33
2009-04,24,0,0,0,31
2009-05,15,0,0,0,34
2009-06,16,0,0,7,35
2009-07,12,0,0,5,42
2009-08,10,0,0,0,32
2009-09,16,0,0,9,35
2009-10,13,0,0,9,32
2009-11,18,0,0,0,33
2009-12,14,0,0,5,25
2010-01,19,0,0,5,31
2010-02,26,0,0,0,36
2010-03,15,0,0,0,28
2010-04,78,0,0,5,28
2010-05,47,0,0,4,25
2010-06,21,0,0,5,27
2010-07,26,0,0,0,30
2010-08,35,0,0,5,34
2010-09,67,0,0,5,25
2010-10,20,0,0,4,29
2010-11,14,0,0,6,32
2010-12,22,0,0,3,32
2011-01,25,0,0,6,32
2011-02,22,1,0,6,31
2011-03,18,1,0,3,28
2011-04,15,1,0,4,31
2011-05,14,2,0,6,29
2011-06,16,2,0,7,30
2011-07,25,2,0,8,31
2011-08,37,2,0,8,32
2011-09,30,1,1,8,29
2011-10,22,2,0,8,27
2011-11,22,1,0,8,27
2011-12,19,1,1,6,28
2012-01,21,1,0,6,29
2012-02,31,1,1,5,27
2012-03,22,1,1,5,27
2012-04,62,1,1,3,25
2012-05,24,1,1,4,27
2012-06,18,0,0,5,33
2012-07,24,1,0,4,28
2012-08,30,2,1,4,27
2012-09,19,2,0,4,29
2012-10,18,1,1,4,26
2012-11,24,1,1,4,28
2012-12,23,1,1,4,26
2013-01,17,1,1,4,29
2013-02,16,1,1,3,28
2013-03,16,1,<1,4,26
2013-04,18,1,1,3,27
2013-05,20,1,1,3,25
2013-06,41,1,1,3,25
2013-07,32,1,1,3,27
2013-08,29,1,1,3,22
2013-09,25,1,1,3,23
2013-10,28,1,1,3,23
2013-11,25,1,1,3,23
2013-12,20,1,1,3,22
2014-01,20,1,<1,3,22
2014-02,21,1,<1,2,24
2014-03,26,1,1,2,22
2014-04,22,1,1,3,23
2014-05,21,1,1,3,22
2014-06,20,1,1,3,22
2014-07,28,1,1,2,21
2014-08,24,1,1,3,23
2014-09,31,1,1,3,23
2014-10,28,<1,1,3,22
2014-11,25,1,1,3,24
2014-12,25,1,1,3,24
2015-01,24,1,1,3,28
2015-02,19,1,1,3,27
2015-03,22,1,1,3,24
2015-04,24,1,1,3,24
2015-05,27,1,<1,3,24
2015-06,25,1,<1,3,24
2015-07,27,1,<1,2,21
2015-08,28,1,<1,3,24
2015-09,24,1,1,3,22
2015-10,30,1,<1,3,23
2015-11,32,1,1,3,23
2015-12,26,1,<1,3,32
2016-01,32,1,<1,2,24
2016-02,23,1,<1,2,18
2016-03,25,1,<1,2,19
2016-04,28,1,<1,2,20
2016-05,33,1,<1,2,17
2016-06,29,1,<1,2,18
2016-07,30,1,<1,2,16
2016-08,30,1,<1,2,17
2016-09,28,1,<1,2,16
2016-10,30,1,<1,2,17
2016-11,29,1,<1,2,17
2016-12,27,1,<1,2,17
2017-01,26,1,<1,2,17
2017-02,27,1,1,2,18
2017-03,28,1,1,2,17
2017-04,29,1,1,2,18
2017-05,28,1,<1,2,16
2017-06,29,<1,<1,1,14
2017-07,31,1,<1,2,17
2017-08,31,1,<1,2,16
2017-09,30,1,<1,2,18
2017-10,29,1,<1,3,18
2017-11,30,1,<1,3,19
2017-12,29,1,<1,3,18
2018-01,30,1,<1,3,19
2018-02,29,1,<1,3,19
2018-03,31,1,<1,3,21
2018-04,35,1,<1,3,20
2018-05,35,1,<1,3,19
2018-06,32,1,<1,2,19
2018-07,37,1,<1,3,20
2018-08,41,1,<1,3,19
2018-09,34,2,<1,3,20
2018-10,32,3,<1,3,20
2018-11,30,4,<1,3,21
2018-12,28,3,<1,3,16
2019-01,29,3,<1,3,20
2019-02,25,3,<1,3,20
2019-03,25,3,<1,3,23
2019-04,28,3,<1,3,24
2019-05,30,3,<1,4,22
2019-06,30,3,<1,3,18
2019-07,25,3,<1,4,21
2019-08,27,3,<1,4,22
2019-09,35,4,<1,4,22
2019-10,23,5,<1,4,23
2019-11,21,5,<1,4,22
2019-12,22,4,<1,3,19
2020-01,20,4,<1,4,21
2020-02,20,4,<1,4,23
2020-03,20,3,<1,3,24
2020-04,18,2,<1,5,24
2020-05,17,3,<1,4,23
2020-06,19,3,<1,4,29
2020-07,19,3,<1,4,31
2020-08,21,3,<1,3,27
2020-09,19,3,<1,4,28
2020-10,19,3,<1,4,25
2020-11,19,3,<1,3,22
2020-12,18,3,<1,4,23
2021-01,17,3,<1,4,22
2021-02,18,4,1,4,21
2021-03,15,5,<1,4,22
2021-04,15,4,<1,3,21
2021-05,16,5,<1,3,19
2021-06,17,4,1,3,21
2021-07,15,5,<1,3,19
2021-08,15,5,<1,3,20
2021-09,17,4,<1,4,20
2021-10,16,3,<1,4,19
2021-11,18,4,<1,3,25
2021-12,19,4,<1,4,18
2022-01,19,4,1,4,20
2022-02,19,3,1,4,24
2022-03,21,3,1,5,29
2022-04,19,2,1,4,25
2022-05,23,3,1,4,25
2022-06,21,3,<1,4,27
2022-07,17,3,<1,4,24
2022-08,19,3,<1,4,27
2022-09,18,2,<1,4,29
2022-10,17,2,<1,4,25
2022-11,17,1,<1,4,27
2022-12,16,1,<1,3,20
2023-01,18,2,1,4,22
2023-02,19,1,<1,4,23
2023-03,16,2,<1,4,22
2023-04,23,1,<1,3,19
2023-05,19,1,<1,4,24
2023-06,18,1,<1,3,23
2023-07,18,2,<1,4,20
2023-08,19,2,<1,5,26
2023-09,17,1,<1,4,21
2023-10,16,1,<1,4,20
2023-11,16,1,<1,4,21
2023-12,16,1,<1,4,18
2024-01,16,1,1,4,20
2024-02,15,1,<1,4,21
2024-03,14,1,<1,3,20
2024-04,14,1,<1,3,18
2024-05,16,1,<1,4,20
2024-06,15,1,<1,3,15
2024-07,14,1,<1,4,19
2024-08,14,1,<1,4,19
2024-09,17,1,<1,5,22
2024-10,16,1,<1,4,20
2024-11,18,2,<1,5,23
2024-12,15,1,<1,4,19
2025-01,15,1,<1,4,21
2025-02,15,2,<1,5,21
2025-03,14,2,<1,4,20
2025-04,14,1,<1,4,18
2025-05,15,2,<1,4,21
2025-06,14,2,<1,4,18
2025-07,14,1,<1,5,19
2025-08,14,1,<1,5,20
2025-09,16,1,<1,5,19
