Category: All categories

Month,minister: (Dhaka Division),employee: (Dhaka Division),employee: (Dhaka Division),worker: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,33,25,0,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,0,0,0,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,0,0,0,0,55
2006-12,0,16,0,0,31
2007-01,0,0,0,0,41
2007-02,0,0,0,0,48
2007-03,0,15,14,0,30
2007-04,0,25,15,0,30
2007-05,0,0,0,0,30
2007-06,0,0,0,0,42
2007-07,0,0,0,10,29
2007-08,0,10,0,0,32
2007-09,0,0,0,0,31
2007-10,0,0,10,0,29
2007-11,0,11,11,0,36
2007-12,0,0,0,0,37
2008-01,0,10,9,0,30
2008-02,0,10,12,0,39
2008-03,0,11,13,9,39
2008-04,0,11,13,0,40
2008-05,0,11,15,9,34
2008-06,0,7,0,9,35
2008-07,0,7,11,7,30
2008-08,0,13,14,0,34
2008-09,0,10,0,0,34
2008-10,0,11,9,0,32
2008-11,0,11,9,0,27
2008-12,0,0,0,0,28
2009-01,12,0,0,7,24
2009-02,10,0,0,0,36
2009-03,18,9,11,6,33
2009-04,13,6,9,0,31
2009-05,10,8,7,5,34
2009-06,8,6,0,6,35
2009-07,7,0,7,5,42
2009-08,7,8,8,0,32
2009-09,8,0,7,0,35
2009-10,10,6,6,6,32
2009-11,7,4,0,6,33
2009-12,7,16,15,0,25
2010-01,9,8,7,4,31
2010-02,7,7,7,0,36
2010-03,10,8,7,5,28
2010-04,10,6,7,4,28
2010-05,9,0,4,7,25
2010-06,11,5,5,6,27
2010-07,6,4,5,6,30
2010-08,7,5,5,6,34
2010-09,7,6,4,0,25
2010-10,9,6,6,3,29
2010-11,9,4,4,4,32
2010-12,10,5,6,4,32
2011-01,6,5,5,3,32
2011-02,6,4,4,4,31
2011-03,6,5,5,5,28
2011-04,5,8,7,6,31
2011-05,5,5,5,4,29
2011-06,8,5,5,3,30
2011-07,8,5,5,5,31
2011-08,9,4,4,3,32
2011-09,9,4,4,5,29
2011-10,7,3,4,5,27
2011-11,6,4,4,4,27
2011-12,7,3,4,3,28
2012-01,6,4,4,4,29
2012-02,6,4,3,4,27
2012-03,6,4,5,4,27
2012-04,6,5,5,4,25
2012-05,6,4,5,4,27
2012-06,8,8,9,5,33
2012-07,7,7,7,4,28
2012-08,6,3,3,4,27
2012-09,10,5,5,4,29
2012-10,7,5,5,3,26
2012-11,7,6,6,5,28
2012-12,7,5,5,4,26
2013-01,6,5,5,5,29
2013-02,6,5,5,4,28
2013-03,5,5,5,3,26
2013-04,6,5,5,4,27
2013-05,6,3,3,4,25
2013-06,5,3,3,3,25
2013-07,5,3,4,4,27
2013-08,4,3,3,3,22
2013-09,5,3,3,4,23
2013-10,5,3,3,3,23
2013-11,6,3,3,4,23
2013-12,5,3,3,3,22
2014-01,6,3,3,3,22
2014-02,5,3,3,3,24
2014-03,5,3,3,3,22
2014-04,5,4,4,4,23
2014-05,6,3,3,4,22
2014-06,5,3,3,3,22
2014-07,4,2,2,3,21
2014-08,5,3,3,3,23
2014-09,6,2,2,3,23
2014-10,6,2,2,3,22
2014-11,7,3,3,4,24
2014-12,6,3,3,3,24
2015-01,6,3,3,3,28
2015-02,6,3,3,3,27
2015-03,4,3,3,3,24
2015-04,5,3,3,3,24
2015-05,5,3,3,3,24
2015-06,5,3,3,3,24
2015-07,5,3,2,3,21
2015-08,7,3,3,3,24
2015-09,8,2,2,3,22
2015-10,5,3,3,3,23
2015-11,5,3,3,3,23
2015-12,6,3,3,3,32
2016-01,4,2,2,3,24
2016-02,4,3,3,2,18
2016-03,4,3,3,2,19
2016-04,4,3,3,3,20
2016-05,4,2,2,3,17
2016-06,4,2,2,2,18
2016-07,4,2,2,2,16
2016-08,4,2,2,3,17
2016-09,4,2,2,2,16
2016-10,4,2,2,2,17
2016-11,4,2,2,2,17
2016-12,5,2,2,2,17
2017-01,4,2,2,2,17
2017-02,4,2,2,2,18
2017-03,4,2,2,2,17
2017-04,4,2,2,2,18
2017-05,4,2,2,2,16
2017-06,3,1,1,2,14
2017-07,4,2,2,2,17
2017-08,5,2,2,2,16
2017-09,5,2,2,3,18
2017-10,5,2,2,3,18
2017-11,5,3,3,2,19
2017-12,6,2,3,3,18
2018-01,5,2,2,3,19
2018-02,5,2,2,2,19
2018-03,5,2,3,2,21
2018-04,5,3,3,3,20
2018-05,5,2,2,2,19
2018-06,5,2,2,2,19
2018-07,7,3,3,2,20
2018-08,7,2,2,3,19
2018-09,6,3,3,3,20
2018-10,6,3,3,3,20
2018-11,5,3,3,3,21
2018-12,5,3,3,3,16
2019-01,13,3,3,3,20
2019-02,7,3,3,2,20
2019-03,8,3,3,2,23
2019-04,8,3,3,2,24
2019-05,8,3,3,2,22
2019-06,7,2,2,2,18
2019-07,9,3,3,2,21
2019-08,9,3,3,3,22
2019-09,9,3,3,4,22
2019-10,8,3,3,2,23
2019-11,6,3,3,2,22
2019-12,7,4,4,2,19
2020-01,7,3,3,2,21
2020-02,7,3,3,2,23
2020-03,11,3,3,2,24
2020-04,10,2,2,3,24
2020-05,7,3,3,2,23
2020-06,8,3,3,3,29
2020-07,8,3,3,2,31
2020-08,6,3,3,2,27
2020-09,7,3,3,3,28
2020-10,6,3,3,2,25
2020-11,7,3,3,2,22
2020-12,7,3,3,2,23
2021-01,6,3,3,2,22
2021-02,9,3,3,2,21
2021-03,8,3,3,2,22
2021-04,7,3,3,2,21
2021-05,8,3,3,2,19
2021-06,7,3,3,2,21
2021-07,6,2,2,2,19
2021-08,5,3,3,2,20
2021-09,6,3,3,2,20
2021-10,5,2,2,2,19
2021-11,5,3,3,2,25
2021-12,6,3,3,2,18
2022-01,7,3,3,2,20
2022-02,8,4,4,3,24
2022-03,8,4,4,2,29
2022-04,10,3,3,2,25
2022-05,7,2,2,2,25
2022-06,7,3,3,2,27
2022-07,8,3,3,2,24
2022-08,7,3,3,3,27
2022-09,8,3,3,2,29
2022-10,7,3,3,3,25
2022-11,6,3,3,2,27
2022-12,6,3,3,2,20
2023-01,7,3,3,2,22
2023-02,6,3,3,3,23
2023-03,6,3,3,3,22
2023-04,6,2,2,2,19
2023-05,6,3,3,3,24
2023-06,7,3,2,3,23
2023-07,6,2,2,2,20
2023-08,6,3,3,3,26
2023-09,6,2,2,2,21
2023-10,5,2,2,2,20
2023-11,5,2,2,3,21
2023-12,5,2,2,2,18
2024-01,13,3,3,2,20
2024-02,7,2,2,2,21
2024-03,8,2,2,2,20
2024-04,6,2,2,2,18
2024-05,7,2,2,2,20
2024-06,7,2,2,2,15
2024-07,8,2,2,2,19
2024-08,18,2,2,2,19
2024-09,10,2,2,3,22
2024-10,4,2,2,3,20
2024-11,4,3,3,3,23
2024-12,3,2,2,3,19
2025-01,3,3,3,2,21
2025-02,3,3,3,2,21
2025-03,4,2,2,2,20
2025-04,4,2,2,2,18
2025-05,3,2,2,2,21
2025-06,4,2,2,2,18
2025-07,3,3,3,2,19
2025-08,3,3,3,2,20
2025-09,5,3,3,2,19
