Category: All categories

Month,doctor: (Dhaka Division),nurse: (Dhaka Division),nurse: (Dhaka Division),engineer: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,58,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,30,0,0,0,0
2006-04,29,0,0,0,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,18,0,0,26,42
2006-08,16,0,0,0,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,0,0,0,0,55
2006-12,15,0,0,0,31
2007-01,15,0,0,0,41
2007-02,21,0,0,0,48
2007-03,0,0,0,0,30
2007-04,0,0,0,14,30
2007-05,0,0,0,13,30
2007-06,16,0,0,13,42
2007-07,13,0,0,17,29
2007-08,11,0,0,0,32
2007-09,0,0,0,10,31
2007-10,16,0,0,0,29
2007-11,14,0,0,9,36
2007-12,13,0,0,0,37
2008-01,9,0,0,11,30
2008-02,11,0,0,21,39
2008-03,11,0,0,0,39
2008-04,17,0,0,8,40
2008-05,8,0,0,0,34
2008-06,11,0,6,13,35
2008-07,8,0,0,11,30
2008-08,12,0,0,10,34
2008-09,14,0,0,12,34
2008-10,13,0,0,0,32
2008-11,11,0,0,13,27
2008-12,11,0,0,9,28
2009-01,14,0,0,7,24
2009-02,11,0,0,6,36
2009-03,12,0,0,0,33
2009-04,15,0,7,9,31
2009-05,13,0,0,10,34
2009-06,15,0,0,8,35
2009-07,13,0,0,8,42
2009-08,14,0,0,10,32
2009-09,17,0,0,9,35
2009-10,15,6,4,7,32
2009-11,12,0,0,9,33
2009-12,9,0,0,7,25
2010-01,11,5,0,5,31
2010-02,8,0,4,8,36
2010-03,11,0,0,5,28
2010-04,9,0,6,5,28
2010-05,11,0,0,6,25
2010-06,10,0,0,5,27
2010-07,11,3,4,7,30
2010-08,11,4,5,6,34
2010-09,8,6,6,7,25
2010-10,11,0,3,7,29
2010-11,14,0,0,7,32
2010-12,9,0,0,5,32
2011-01,10,3,3,7,32
2011-02,10,4,4,6,31
2011-03,13,4,4,7,28
2011-04,12,4,4,7,31
2011-05,11,4,3,7,29
2011-06,11,3,3,7,30
2011-07,11,3,3,8,31
2011-08,11,3,3,5,32
2011-09,12,3,4,7,29
2011-10,11,4,4,7,27
2011-11,11,3,3,6,27
2011-12,11,3,3,7,28
2012-01,9,4,4,6,29
2012-02,10,3,3,5,27
2012-03,10,3,3,6,27
2012-04,11,4,3,6,25
2012-05,10,3,3,6,27
2012-06,13,3,3,7,33
2012-07,12,3,3,7,28
2012-08,10,4,4,5,27
2012-09,13,4,4,6,29
2012-10,10,4,4,6,26
2012-11,11,4,3,7,28
2012-12,12,3,4,7,26
2013-01,12,3,3,8,29
2013-02,11,4,4,5,28
2013-03,11,3,3,5,26
2013-04,11,3,3,5,27
2013-05,12,4,4,5,25
2013-06,12,4,4,5,25
2013-07,10,3,4,5,27
2013-08,12,3,4,5,22
2013-09,13,5,5,5,23
2013-10,11,4,4,4,23
2013-11,12,4,4,5,23
2013-12,11,4,4,4,22
2014-01,12,3,3,4,22
2014-02,11,4,4,5,24
2014-03,12,4,4,4,22
2014-04,13,4,4,5,23
2014-05,13,4,4,5,22
2014-06,14,4,4,4,22
2014-07,13,4,4,4,21
2014-08,15,4,4,4,23
2014-09,14,4,4,4,23
2014-10,14,4,4,4,22
2014-11,14,4,4,5,24
2014-12,13,4,4,4,24
2015-01,14,4,4,5,28
2015-02,14,3,3,5,27
2015-03,13,4,4,5,24
2015-04,15,4,4,5,24
2015-05,16,4,4,4,24
2015-06,14,4,4,5,24
2015-07,16,4,4,4,21
2015-08,17,4,4,5,24
2015-09,17,4,4,4,22
2015-10,17,4,4,5,23
2015-11,16,4,4,4,23
2015-12,16,4,4,5,32
2016-01,16,4,4,4,24
2016-02,22,4,4,4,18
2016-03,17,5,5,4,19
2016-04,18,5,5,4,20
2016-05,18,6,6,4,17
2016-06,18,6,6,4,18
2016-07,18,6,6,4,16
2016-08,18,5,5,4,17
2016-09,18,6,6,3,16
2016-10,19,5,5,3,17
2016-11,32,5,5,4,17
2016-12,19,6,6,3,17
2017-01,18,5,5,4,17
2017-02,21,5,5,3,18
2017-03,20,5,5,4,17
2017-04,20,5,5,3,18
2017-05,20,4,4,3,16
2017-06,21,5,5,2,14
2017-07,23,5,5,3,17
2017-08,20,5,5,3,16
2017-09,26,5,6,4,18
2017-10,22,5,5,4,18
2017-11,25,5,5,4,19
2017-12,26,5,5,4,18
2018-01,26,5,5,4,19
2018-02,27,7,6,4,19
2018-03,30,5,5,4,21
2018-04,30,5,5,4,20
2018-05,26,5,5,4,19
2018-06,29,6,6,3,19
2018-07,30,5,5,4,20
2018-08,31,7,7,3,19
2018-09,31,5,5,4,20
2018-10,30,5,5,4,20
2018-11,30,5,5,4,21
2018-12,27,5,5,3,16
2019-01,30,5,4,4,20
2019-02,28,4,4,4,20
2019-03,29,4,4,4,23
2019-04,32,4,4,4,24
2019-05,24,4,4,5,22
2019-06,27,4,4,3,18
2019-07,29,4,4,4,21
2019-08,32,4,4,4,22
2019-09,30,4,4,5,22
2019-10,31,4,4,5,23
2019-11,28,4,4,5,22
2019-12,27,4,4,5,19
2020-01,26,4,4,5,21
2020-02,30,5,5,5,23
2020-03,32,4,4,4,24
2020-04,29,4,4,3,24
2020-05,27,5,5,4,23
2020-06,28,4,4,4,29
2020-07,34,4,4,4,31
2020-08,33,4,4,4,27
2020-09,33,4,4,5,28
2020-10,31,4,4,4,25
2020-11,27,3,3,4,22
2020-12,28,3,3,5,23
2021-01,28,3,3,5,22
2021-02,27,3,3,5,21
2021-03,29,3,3,5,22
2021-04,22,3,3,4,21
2021-05,23,3,3,4,19
2021-06,27,3,3,4,21
2021-07,26,3,3,4,19
2021-08,30,4,4,4,20
2021-09,31,4,4,5,20
2021-10,29,3,3,4,19
2021-11,29,4,4,5,25
2021-12,29,4,4,5,18
2022-01,31,4,4,5,20
2022-02,33,4,4,6,24
2022-03,34,4,4,6,29
2022-04,27,3,3,6,25
2022-05,42,4,4,6,25
2022-06,34,3,3,6,27
2022-07,32,4,4,5,24
2022-08,32,3,3,6,27
2022-09,31,3,3,6,29
2022-10,33,3,3,6,25
2022-11,26,3,3,5,27
2022-12,24,3,3,4,20
2023-01,27,3,3,6,22
2023-02,27,3,3,6,23
2023-03,27,3,3,5,22
2023-04,23,3,3,4,19
2023-05,29,3,3,6,24
2023-06,28,3,3,5,23
2023-07,31,3,3,6,20
2023-08,32,3,3,6,26
2023-09,29,3,3,5,21
2023-10,26,3,3,4,20
2023-11,25,3,3,5,21
2023-12,28,3,2,5,18
2024-01,25,3,3,5,20
2024-02,30,3,3,5,21
2024-03,27,2,2,5,20
2024-04,25,2,2,5,18
2024-05,27,3,3,6,20
2024-06,24,2,2,4,15
2024-07,28,3,3,5,19
2024-08,31,3,3,4,19
2024-09,29,2,3,5,22
2024-10,27,2,2,5,20
2024-11,27,3,3,5,23
2024-12,27,3,3,4,19
2025-01,26,3,3,5,21
2025-02,27,3,3,5,21
2025-03,23,3,3,5,20
2025-04,28,3,3,5,18
2025-05,27,3,3,4,21
2025-06,25,3,3,5,18
2025-07,29,3,3,5,19
2025-08,30,3,3,5,20
2025-09,28,2,2,4,19
