Category: All categories

Month,director: (Dhaka Division),journalist: (Dhaka Division),human rights: (Dhaka Division),children: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,71,0
2004-05,0,0,0,0,65
2004-06,0,0,0,69,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,47,69
2004-11,0,0,0,0,0
2004-12,0,0,0,55,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,44,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,37,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,40,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,30,0
2006-04,0,0,0,42,41
2006-05,0,0,24,43,52
2006-06,0,0,0,28,56
2006-07,0,0,0,0,42
2006-08,0,0,0,26,48
2006-09,0,0,0,39,21
2006-10,0,0,0,26,30
2006-11,0,0,0,34,55
2006-12,0,0,0,29,31
2007-01,0,0,0,32,41
2007-02,0,0,0,34,48
2007-03,0,0,15,19,30
2007-04,0,0,0,29,30
2007-05,0,0,0,23,30
2007-06,0,0,13,14,42
2007-07,0,0,0,23,29
2007-08,0,0,11,18,32
2007-09,0,0,0,24,31
2007-10,0,0,0,29,29
2007-11,11,0,0,34,36
2007-12,0,0,0,33,37
2008-01,9,0,0,23,30
2008-02,0,0,0,25,39
2008-03,11,0,7,25,39
2008-04,0,0,0,20,40
2008-05,10,0,0,33,34
2008-06,8,0,11,28,35
2008-07,8,0,10,29,30
2008-08,0,0,0,20,34
2008-09,0,0,0,31,34
2008-10,0,0,0,20,32
2008-11,8,0,7,22,27
2008-12,10,0,0,22,28
2009-01,10,0,7,24,24
2009-02,10,0,0,25,36
2009-03,11,0,6,25,33
2009-04,7,0,10,28,31
2009-05,7,0,7,30,34
2009-06,10,0,7,24,35
2009-07,5,0,0,22,42
2009-08,7,0,8,24,32
2009-09,5,0,5,22,35
2009-10,9,0,0,24,32
2009-11,8,0,4,21,33
2009-12,9,0,7,22,25
2010-01,9,0,4,22,31
2010-02,11,0,0,21,36
2010-03,7,0,0,23,28
2010-04,7,0,0,22,28
2010-05,9,0,6,20,25
2010-06,9,0,0,21,27
2010-07,6,0,4,18,30
2010-08,8,0,0,21,34
2010-09,8,0,0,18,25
2010-10,8,0,5,21,29
2010-11,6,0,0,19,32
2010-12,9,0,5,13,32
2011-01,6,0,4,16,32
2011-02,7,0,5,16,31
2011-03,9,0,3,18,28
2011-04,7,1,4,18,31
2011-05,6,1,4,18,29
2011-06,8,1,2,17,30
2011-07,8,1,3,16,31
2011-08,9,1,3,18,32
2011-09,8,1,3,18,29
2011-10,6,1,3,16,27
2011-11,7,0,3,18,27
2011-12,7,1,3,14,28
2012-01,7,1,3,15,29
2012-02,6,3,3,13,27
2012-03,6,1,3,15,27
2012-04,5,1,3,14,25
2012-05,6,1,2,13,27
2012-06,6,0,6,18,33
2012-07,8,1,4,13,28
2012-08,9,0,2,12,27
2012-09,8,1,2,15,29
2012-10,8,1,3,15,26
2012-11,7,1,3,16,28
2012-12,8,1,3,15,26
2013-01,8,1,2,14,29
2013-02,6,1,3,14,28
2013-03,7,1,3,12,26
2013-04,8,1,3,12,27
2013-05,7,1,4,13,25
2013-06,7,1,2,11,25
2013-07,5,1,2,11,27
2013-08,6,1,2,10,22
2013-09,6,1,2,11,23
2013-10,5,1,2,10,23
2013-11,6,1,2,11,23
2013-12,5,1,2,9,22
2014-01,5,1,2,8,22
2014-02,5,<1,2,8,24
2014-03,5,1,2,8,22
2014-04,5,1,2,10,23
2014-05,5,1,2,12,22
2014-06,5,1,1,10,22
2014-07,5,1,1,10,21
2014-08,5,1,1,9,23
2014-09,4,1,1,8,23
2014-10,5,1,1,9,22
2014-11,5,1,2,10,24
2014-12,5,1,2,10,24
2015-01,5,1,1,10,28
2015-02,5,1,2,9,27
2015-03,5,1,2,9,24
2015-04,5,<1,1,9,24
2015-05,5,1,2,9,24
2015-06,5,1,2,8,24
2015-07,5,1,1,9,21
2015-08,5,1,1,10,24
2015-09,5,1,1,9,22
2015-10,6,1,1,9,23
2015-11,6,1,2,9,23
2015-12,6,1,2,9,32
2016-01,5,1,1,9,24
2016-02,4,<1,1,8,18
2016-03,5,1,1,9,19
2016-04,6,<1,1,9,20
2016-05,4,1,1,8,17
2016-06,4,<1,1,8,18
2016-07,4,<1,1,6,16
2016-08,3,<1,1,7,17
2016-09,3,<1,1,7,16
2016-10,3,<1,1,8,17
2016-11,3,<1,1,9,17
2016-12,4,<1,1,8,17
2017-01,4,<1,1,7,17
2017-02,4,<1,1,7,18
2017-03,3,<1,1,7,17
2017-04,4,<1,1,7,18
2017-05,4,<1,1,7,16
2017-06,3,<1,1,6,14
2017-07,4,<1,1,7,17
2017-08,4,<1,1,7,16
2017-09,4,<1,1,7,18
2017-10,5,1,1,8,18
2017-11,4,<1,1,8,19
2017-12,4,<1,1,7,18
2018-01,5,<1,1,8,19
2018-02,4,<1,1,7,19
2018-03,4,<1,1,8,21
2018-04,4,<1,1,7,20
2018-05,4,<1,1,8,19
2018-06,4,<1,1,7,19
2018-07,5,<1,1,8,20
2018-08,4,1,1,7,19
2018-09,4,<1,1,7,20
2018-10,5,1,1,7,20
2018-11,5,1,1,8,21
2018-12,4,1,1,7,16
2019-01,5,1,1,7,20
2019-02,5,1,1,7,20
2019-03,5,<1,1,7,23
2019-04,5,1,1,7,24
2019-05,5,<1,1,7,22
2019-06,4,<1,1,6,18
2019-07,5,<1,1,7,21
2019-08,6,1,1,7,22
2019-09,6,<1,1,7,22
2019-10,6,1,1,7,23
2019-11,5,1,1,7,22
2019-12,6,<1,1,7,19
2020-01,6,<1,1,7,21
2020-02,7,<1,1,7,23
2020-03,6,1,1,8,24
2020-04,6,1,1,8,24
2020-05,5,1,1,9,23
2020-06,6,1,1,8,29
2020-07,6,1,1,8,31
2020-08,5,1,1,8,27
2020-09,5,1,1,8,28
2020-10,5,<1,1,7,25
2020-11,5,1,1,9,22
2020-12,6,<1,1,7,23
2021-01,6,1,1,7,22
2021-02,5,1,1,7,21
2021-03,5,1,1,7,22
2021-04,5,1,1,7,21
2021-05,5,1,1,7,19
2021-06,5,1,1,7,21
2021-07,4,1,1,7,19
2021-08,5,1,1,7,20
2021-09,4,<1,1,6,20
2021-10,5,1,1,6,19
2021-11,5,1,1,7,25
2021-12,5,<1,1,6,18
2022-01,5,<1,1,6,20
2022-02,6,1,1,7,24
2022-03,6,1,1,8,29
2022-04,6,<1,1,7,25
2022-05,5,2,1,7,25
2022-06,6,1,1,7,27
2022-07,5,1,1,6,24
2022-08,6,<1,1,6,27
2022-09,6,1,1,7,29
2022-10,5,1,1,6,25
2022-11,5,<1,1,7,27
2022-12,4,1,1,7,20
2023-01,6,1,1,6,22
2023-02,5,1,1,7,23
2023-03,5,1,1,7,22
2023-04,4,1,1,5,19
2023-05,5,1,1,6,24
2023-06,5,1,1,6,23
2023-07,5,1,1,6,20
2023-08,6,1,1,6,26
2023-09,6,1,1,6,21
2023-10,5,1,1,5,20
2023-11,5,1,1,6,21
2023-12,6,1,1,6,18
2024-01,5,1,1,6,20
2024-02,5,1,1,6,21
2024-03,5,<1,1,6,20
2024-04,5,<1,1,6,18
2024-05,5,<1,1,6,20
2024-06,5,<1,1,5,15
2024-07,5,1,1,6,19
2024-08,5,1,1,6,19
2024-09,5,1,1,5,22
2024-10,5,1,1,5,20
2024-11,5,1,1,6,23
2024-12,5,1,1,6,19
2025-01,6,1,1,5,21
2025-02,5,1,1,5,21
2025-03,4,1,1,6,20
2025-04,5,1,1,5,18
2025-05,6,<1,1,6,21
2025-06,5,<1,1,6,18
2025-07,6,1,1,6,19
2025-08,6,1,1,6,20
2025-09,6,1,<1,5,19
