Category: All categories

Month,children: (Dhaka Division),child: (Dhaka Division),security guard: (Dhaka Division),security guard: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,84,0,0,0
2004-04,71,63,0,0,0
2004-05,0,69,0,0,65
2004-06,69,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,58,0,0,72
2004-09,0,0,0,0,68
2004-10,47,0,0,0,69
2004-11,0,78,0,0,0
2004-12,55,0,0,0,57
2005-01,0,50,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,52,0,0,0
2005-05,44,0,0,0,56
2005-06,0,34,0,0,51
2005-07,0,37,0,0,37
2005-08,0,0,0,0,48
2005-09,37,39,0,0,38
2005-10,0,0,0,0,62
2005-11,0,53,0,0,0
2005-12,40,33,0,0,35
2006-01,0,0,0,0,0
2006-02,0,37,0,0,56
2006-03,30,30,0,0,0
2006-04,42,30,0,0,41
2006-05,43,27,0,0,52
2006-06,28,34,0,0,56
2006-07,0,33,0,0,42
2006-08,26,38,0,0,48
2006-09,39,38,0,0,21
2006-10,26,30,0,0,30
2006-11,34,31,0,0,55
2006-12,29,27,0,0,31
2007-01,32,22,0,0,41
2007-02,34,18,0,0,48
2007-03,19,26,0,0,30
2007-04,29,39,0,0,30
2007-05,23,39,0,0,30
2007-06,14,28,0,0,42
2007-07,23,27,0,0,29
2007-08,18,21,0,0,32
2007-09,24,24,0,0,31
2007-10,29,29,0,0,29
2007-11,34,27,0,0,36
2007-12,33,22,0,0,37
2008-01,23,32,0,0,30
2008-02,25,35,0,0,39
2008-03,25,27,0,0,39
2008-04,20,33,0,0,40
2008-05,33,25,0,0,34
2008-06,28,37,0,0,35
2008-07,29,29,0,0,30
2008-08,20,26,0,0,34
2008-09,31,28,0,0,34
2008-10,20,33,0,0,32
2008-11,22,36,0,0,27
2008-12,22,24,0,0,28
2009-01,24,24,0,0,24
2009-02,25,22,0,0,36
2009-03,25,25,0,0,33
2009-04,28,20,0,0,31
2009-05,30,28,0,0,34
2009-06,24,27,0,0,35
2009-07,22,30,0,0,42
2009-08,24,21,0,0,32
2009-09,22,22,0,0,35
2009-10,24,22,0,0,32
2009-11,21,23,0,0,33
2009-12,22,26,0,0,25
2010-01,22,20,0,0,31
2010-02,21,26,0,0,36
2010-03,23,22,0,0,28
2010-04,22,22,0,0,28
2010-05,20,18,0,0,25
2010-06,21,18,0,0,27
2010-07,18,22,0,0,30
2010-08,21,23,0,0,34
2010-09,18,22,0,0,25
2010-10,21,18,0,0,29
2010-11,19,17,0,0,32
2010-12,13,17,0,0,32
2011-01,16,17,0,0,32
2011-02,16,14,0,0,31
2011-03,18,19,0,0,28
2011-04,18,20,0,0,31
2011-05,18,17,0,0,29
2011-06,17,18,0,0,30
2011-07,16,18,0,0,31
2011-08,18,15,0,0,32
2011-09,18,20,0,0,29
2011-10,16,17,0,1,27
2011-11,18,19,1,0,27
2011-12,14,16,0,0,28
2012-01,15,16,0,<1,29
2012-02,13,15,0,0,27
2012-03,15,16,0,1,27
2012-04,14,15,1,0,25
2012-05,13,15,1,1,27
2012-06,18,17,0,0,33
2012-07,13,17,0,0,28
2012-08,12,14,0,0,27
2012-09,15,16,0,0,29
2012-10,15,16,0,0,26
2012-11,16,17,0,0,28
2012-12,15,14,0,0,26
2013-01,14,15,1,0,29
2013-02,14,14,1,0,28
2013-03,12,15,0,0,26
2013-04,12,14,0,0,27
2013-05,13,12,0,0,25
2013-06,11,12,0,<1,25
2013-07,11,13,0,0,27
2013-08,10,12,0,0,22
2013-09,11,13,0,0,23
2013-10,10,12,<1,0,23
2013-11,11,13,<1,0,23
2013-12,9,15,0,<1,22
2014-01,8,13,0,<1,22
2014-02,8,12,<1,0,24
2014-03,8,13,0,<1,22
2014-04,10,14,<1,0,23
2014-05,12,14,0,<1,22
2014-06,10,16,0,0,22
2014-07,10,14,0,0,21
2014-08,9,13,<1,<1,23
2014-09,8,12,0,<1,23
2014-10,9,13,0,<1,22
2014-11,10,14,<1,<1,24
2014-12,10,14,<1,<1,24
2015-01,10,12,0,<1,28
2015-02,9,11,<1,<1,27
2015-03,9,13,<1,<1,24
2015-04,9,14,0,0,24
2015-05,9,14,<1,<1,24
2015-06,8,14,<1,<1,24
2015-07,9,15,0,0,21
2015-08,10,16,<1,<1,24
2015-09,9,15,<1,<1,22
2015-10,9,14,<1,<1,23
2015-11,9,13,<1,<1,23
2015-12,9,13,<1,<1,32
2016-01,9,11,<1,<1,24
2016-02,8,13,<1,<1,18
2016-03,9,13,<1,<1,19
2016-04,9,13,<1,<1,20
2016-05,8,12,<1,<1,17
2016-06,8,13,<1,<1,18
2016-07,6,11,<1,<1,16
2016-08,7,13,<1,<1,17
2016-09,7,11,<1,<1,16
2016-10,8,11,<1,<1,17
2016-11,9,12,<1,<1,17
2016-12,8,11,<1,<1,17
2017-01,7,10,<1,<1,17
2017-02,7,11,<1,<1,18
2017-03,7,11,<1,<1,17
2017-04,7,12,<1,<1,18
2017-05,7,10,<1,<1,16
2017-06,6,10,<1,<1,14
2017-07,7,10,<1,<1,17
2017-08,7,10,<1,<1,16
2017-09,7,11,<1,<1,18
2017-10,8,12,<1,<1,18
2017-11,8,12,<1,<1,19
2017-12,7,11,<1,<1,18
2018-01,8,11,<1,<1,19
2018-02,7,11,<1,<1,19
2018-03,8,12,<1,<1,21
2018-04,7,11,<1,<1,20
2018-05,8,11,<1,<1,19
2018-06,7,10,<1,<1,19
2018-07,8,11,<1,<1,20
2018-08,7,11,<1,<1,19
2018-09,7,11,<1,<1,20
2018-10,7,11,<1,<1,20
2018-11,8,12,<1,<1,21
2018-12,7,11,<1,<1,16
2019-01,7,11,<1,<1,20
2019-02,7,11,<1,<1,20
2019-03,7,11,<1,<1,23
2019-04,7,11,<1,<1,24
2019-05,7,10,<1,<1,22
2019-06,6,10,<1,<1,18
2019-07,7,12,<1,<1,21
2019-08,7,12,<1,<1,22
2019-09,7,12,<1,<1,22
2019-10,7,12,<1,<1,23
2019-11,7,12,<1,<1,22
2019-12,7,11,<1,<1,19
2020-01,7,11,<1,<1,21
2020-02,7,11,<1,<1,23
2020-03,8,11,<1,<1,24
2020-04,8,11,<1,<1,24
2020-05,9,13,<1,<1,23
2020-06,8,11,<1,<1,29
2020-07,8,12,<1,<1,31
2020-08,8,11,<1,<1,27
2020-09,8,11,<1,<1,28
2020-10,7,11,<1,<1,25
2020-11,9,11,<1,<1,22
2020-12,7,11,1,1,23
2021-01,7,11,<1,<1,22
2021-02,7,11,<1,<1,21
2021-03,7,11,<1,<1,22
2021-04,7,10,<1,<1,21
2021-05,7,11,<1,<1,19
2021-06,7,11,<1,<1,21
2021-07,7,10,<1,<1,19
2021-08,7,12,<1,<1,20
2021-09,6,11,<1,<1,20
2021-10,6,10,<1,1,19
2021-11,7,10,1,1,25
2021-12,6,10,1,1,18
2022-01,6,10,1,1,20
2022-02,7,10,<1,<1,24
2022-03,8,11,<1,<1,29
2022-04,7,11,<1,<1,25
2022-05,7,11,1,<1,25
2022-06,7,10,<1,<1,27
2022-07,6,10,<1,<1,24
2022-08,6,10,<1,<1,27
2022-09,7,10,<1,<1,29
2022-10,6,10,<1,<1,25
2022-11,7,10,<1,<1,27
2022-12,7,9,<1,<1,20
2023-01,6,10,<1,<1,22
2023-02,7,11,<1,<1,23
2023-03,7,10,<1,<1,22
2023-04,5,9,<1,<1,19
2023-05,6,9,<1,<1,24
2023-06,6,10,<1,<1,23
2023-07,6,9,<1,<1,20
2023-08,6,10,1,1,26
2023-09,6,10,<1,<1,21
2023-10,5,9,<1,<1,20
2023-11,6,9,1,1,21
2023-12,6,9,1,1,18
2024-01,6,10,<1,<1,20
2024-02,6,9,<1,<1,21
2024-03,6,9,<1,<1,20
2024-04,6,9,<1,<1,18
2024-05,6,9,<1,<1,20
2024-06,5,8,<1,<1,15
2024-07,6,8,<1,<1,19
2024-08,6,7,<1,<1,19
2024-09,5,9,<1,<1,22
2024-10,5,9,<1,<1,20
2024-11,6,9,<1,<1,23
2024-12,6,8,<1,<1,19
2025-01,5,8,<1,<1,21
2025-02,5,8,<1,<1,21
2025-03,6,8,<1,<1,20
2025-04,5,8,<1,<1,18
2025-05,6,8,1,1,21
2025-06,6,8,<1,<1,18
2025-07,6,8,<1,<1,19
2025-08,6,8,<1,<1,20
2025-09,5,7,<1,<1,19
