Category: All categories

Month,supply: (Dhaka Division),demand: (Dhaka Division),GDP: (Dhaka Division),investment: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,60,0
2004-05,67,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,55,56
2005-04,0,0,0,0,0
2005-05,0,0,0,37,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,41,38
2005-10,0,0,0,45,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,30,0,0,40,56
2006-03,29,28,0,0,0
2006-04,0,0,0,32,41
2006-05,25,0,0,26,52
2006-06,0,0,0,0,56
2006-07,19,0,0,26,42
2006-08,0,0,0,42,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,17,0,0,0,55
2006-12,21,14,0,0,31
2007-01,15,0,0,18,41
2007-02,18,0,0,14,48
2007-03,0,0,0,17,30
2007-04,21,18,0,23,30
2007-05,16,0,0,17,30
2007-06,16,0,23,23,42
2007-07,14,0,0,57,29
2007-08,21,0,0,21,32
2007-09,0,0,0,15,31
2007-10,11,0,0,0,29
2007-11,18,0,0,12,36
2007-12,16,0,0,15,37
2008-01,20,8,0,19,30
2008-02,17,13,12,18,39
2008-03,16,8,0,21,39
2008-04,22,9,10,16,40
2008-05,12,10,0,13,34
2008-06,14,9,9,9,35
2008-07,13,6,7,20,30
2008-08,17,13,12,21,34
2008-09,9,0,0,16,34
2008-10,12,9,0,17,32
2008-11,14,9,7,25,27
2008-12,17,9,0,0,28
2009-01,12,9,0,19,24
2009-02,8,9,8,22,36
2009-03,18,0,11,19,33
2009-04,20,0,8,13,31
2009-05,19,7,0,16,34
2009-06,18,6,8,16,35
2009-07,12,5,6,14,42
2009-08,17,7,6,19,32
2009-09,9,7,0,6,35
2009-10,14,7,7,13,32
2009-11,13,5,7,16,33
2009-12,8,7,0,11,25
2010-01,11,7,7,12,31
2010-02,10,7,6,15,36
2010-03,9,6,4,20,28
2010-04,17,5,7,19,28
2010-05,10,0,0,15,25
2010-06,14,8,0,16,27
2010-07,10,6,4,15,30
2010-08,13,5,0,13,34
2010-09,8,0,0,11,25
2010-10,10,5,0,14,29
2010-11,10,4,6,14,32
2010-12,12,0,4,13,32
2011-01,9,5,3,14,32
2011-02,10,6,4,12,31
2011-03,10,4,4,12,28
2011-04,12,6,4,15,31
2011-05,10,5,4,10,29
2011-06,11,5,5,11,30
2011-07,10,5,4,11,31
2011-08,9,4,2,10,32
2011-09,9,4,3,8,29
2011-10,9,4,3,8,27
2011-11,9,4,3,8,27
2011-12,9,3,3,8,28
2012-01,9,4,3,8,29
2012-02,8,4,3,8,27
2012-03,9,5,3,8,27
2012-04,9,4,3,9,25
2012-05,7,3,3,8,27
2012-06,12,7,5,13,33
2012-07,9,5,4,9,28
2012-08,7,3,3,7,27
2012-09,11,5,3,8,29
2012-10,9,5,4,6,26
2012-11,9,4,5,9,28
2012-12,9,5,3,8,26
2013-01,8,4,4,9,29
2013-02,7,4,4,7,28
2013-03,8,5,3,7,26
2013-04,8,5,4,7,27
2013-05,7,4,4,6,25
2013-06,7,4,3,7,25
2013-07,5,3,3,7,27
2013-08,5,3,2,9,22
2013-09,6,3,3,9,23
2013-10,5,3,2,4,23
2013-11,5,3,3,4,23
2013-12,4,3,2,4,22
2014-01,5,2,2,4,22
2014-02,5,3,2,5,24
2014-03,5,3,3,5,22
2014-04,6,4,3,6,23
2014-05,5,3,3,4,22
2014-06,5,3,3,5,22
2014-07,4,3,2,4,21
2014-08,5,2,2,5,23
2014-09,5,3,2,4,23
2014-10,4,2,2,4,22
2014-11,6,3,3,5,24
2014-12,5,2,3,4,24
2015-01,4,2,2,4,28
2015-02,5,3,2,4,27
2015-03,5,3,3,4,24
2015-04,5,3,3,4,24
2015-05,5,3,3,4,24
2015-06,5,3,3,4,24
2015-07,4,2,2,3,21
2015-08,5,3,3,4,24
2015-09,4,2,2,4,22
2015-10,5,3,2,3,23
2015-11,5,3,3,4,23
2015-12,6,3,3,4,32
2016-01,4,2,2,3,24
2016-02,4,2,2,3,18
2016-03,4,3,2,3,19
2016-04,5,2,3,3,20
2016-05,4,2,2,3,17
2016-06,4,2,2,3,18
2016-07,3,2,2,2,16
2016-08,4,2,2,3,17
2016-09,3,2,1,2,16
2016-10,3,2,2,3,17
2016-11,4,3,2,3,17
2016-12,4,2,2,3,17
2017-01,3,2,2,3,17
2017-02,4,2,2,3,18
2017-03,4,2,2,3,17
2017-04,4,2,2,3,18
2017-05,4,2,2,3,16
2017-06,3,1,2,2,14
2017-07,3,2,2,2,17
2017-08,4,2,2,3,16
2017-09,4,2,2,3,18
2017-10,5,3,2,4,18
2017-11,4,3,3,4,19
2017-12,4,2,2,3,18
2018-01,4,2,2,3,19
2018-02,4,3,2,3,19
2018-03,4,3,3,3,21
2018-04,4,2,3,3,20
2018-05,5,2,3,3,19
2018-06,3,2,2,2,19
2018-07,5,2,3,3,20
2018-08,4,2,3,3,19
2018-09,5,2,3,3,20
2018-10,5,2,3,3,20
2018-11,5,3,3,3,21
2018-12,4,2,3,3,16
2019-01,4,2,3,3,20
2019-02,5,3,3,3,20
2019-03,5,3,3,3,23
2019-04,5,3,3,3,24
2019-05,4,2,3,3,22
2019-06,4,2,2,2,18
2019-07,5,3,3,4,21
2019-08,5,2,3,3,22
2019-09,6,2,4,4,22
2019-10,6,3,3,4,23
2019-11,6,3,3,4,22
2019-12,5,3,3,4,19
2020-01,5,2,4,3,21
2020-02,5,3,3,3,23
2020-03,5,3,3,3,24
2020-04,4,2,3,2,24
2020-05,5,2,3,3,23
2020-06,6,3,3,3,29
2020-07,6,3,3,3,31
2020-08,7,3,3,3,27
2020-09,8,3,3,4,28
2020-10,7,3,4,3,25
2020-11,7,3,3,3,22
2020-12,6,3,4,3,23
2021-01,6,3,3,4,22
2021-02,7,3,3,4,21
2021-03,6,3,3,4,22
2021-04,6,3,3,4,21
2021-05,5,3,3,4,19
2021-06,6,3,3,4,21
2021-07,5,2,3,4,19
2021-08,6,3,3,4,20
2021-09,6,3,3,4,20
2021-10,5,3,3,3,19
2021-11,6,3,3,4,25
2021-12,6,3,3,3,18
2022-01,6,3,4,3,20
2022-02,7,4,5,4,24
2022-03,7,4,5,4,29
2022-04,6,4,5,4,25
2022-05,6,3,5,3,25
2022-06,7,3,4,3,27
2022-07,5,3,4,3,24
2022-08,7,3,4,4,27
2022-09,6,3,3,3,29
2022-10,6,3,4,3,25
2022-11,6,3,3,3,27
2022-12,6,3,3,2,20
2023-01,6,3,4,3,22
2023-02,5,3,4,3,23
2023-03,6,3,4,3,22
2023-04,5,3,3,2,19
2023-05,6,3,3,3,24
2023-06,6,3,3,3,23
2023-07,5,2,3,3,20
2023-08,6,3,3,3,26
2023-09,5,2,3,2,21
2023-10,5,2,3,3,20
2023-11,5,3,3,3,21
2023-12,5,2,3,2,18
2024-01,5,2,3,3,20
2024-02,5,2,3,3,21
2024-03,5,3,5,2,20
2024-04,5,2,3,2,18
2024-05,6,3,3,3,20
2024-06,4,2,3,2,15
2024-07,4,2,2,2,19
2024-08,4,2,2,2,19
2024-09,6,2,3,5,22
2024-10,5,2,3,4,20
2024-11,6,3,3,3,23
2024-12,5,2,4,3,19
2025-01,5,2,3,3,21
2025-02,5,2,3,3,21
2025-03,4,2,3,3,20
2025-04,5,2,4,4,18
2025-05,5,2,3,3,21
2025-06,5,2,3,3,18
2025-07,5,2,3,3,19
2025-08,5,2,3,3,20
2025-09,5,2,2,2,19
