Category: All categories

Month,contract: (Dhaka Division),smuggle: (Dhaka Division),smuggler: (Dhaka Division),business: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,78,0
2004-02,0,0,0,94,0
2004-03,0,0,0,60,0
2004-04,0,0,0,72,0
2004-05,0,0,0,90,30
2004-06,0,0,0,83,29
2004-07,0,0,0,89,47
2004-08,0,0,0,84,34
2004-09,0,0,0,96,32
2004-10,0,0,0,64,32
2004-11,0,0,0,72,0
2004-12,0,0,0,71,27
2005-01,0,0,0,83,28
2005-02,0,0,0,52,0
2005-03,0,0,0,84,26
2005-04,0,0,0,77,0
2005-05,0,0,0,62,26
2005-06,0,0,0,78,24
2005-07,0,0,0,100,17
2005-08,0,0,0,74,22
2005-09,0,0,0,52,18
2005-10,0,0,16,64,29
2005-11,0,0,0,46,0
2005-12,0,0,0,61,16
2006-01,0,0,0,63,0
2006-02,0,0,0,64,26
2006-03,0,0,0,77,0
2006-04,0,0,0,86,19
2006-05,0,0,0,67,24
2006-06,0,0,0,81,26
2006-07,0,0,0,74,20
2006-08,0,0,0,56,23
2006-09,0,0,0,55,10
2006-10,0,0,0,65,14
2006-11,0,0,0,58,26
2006-12,0,0,0,58,15
2007-01,0,0,0,48,19
2007-02,0,0,0,60,22
2007-03,0,0,0,59,14
2007-04,0,0,0,61,14
2007-05,0,0,0,63,14
2007-06,0,0,0,64,20
2007-07,0,0,0,57,14
2007-08,5,0,0,55,15
2007-09,5,0,0,54,15
2007-10,0,0,0,41,14
2007-11,0,0,0,59,17
2007-12,6,0,0,45,17
2008-01,3,0,0,53,14
2008-02,0,0,0,57,18
2008-03,0,0,0,58,18
2008-04,0,0,0,57,19
2008-05,0,0,0,52,16
2008-06,3,0,0,50,16
2008-07,4,0,0,50,14
2008-08,0,0,0,45,16
2008-09,0,0,0,45,16
2008-10,3,0,0,44,15
2008-11,0,0,0,48,12
2008-12,0,0,0,35,13
2009-01,3,0,0,43,11
2009-02,0,0,0,50,17
2009-03,0,0,0,44,15
2009-04,4,0,0,46,15
2009-05,4,0,0,42,16
2009-06,3,0,0,44,16
2009-07,0,0,0,43,20
2009-08,2,0,0,41,15
2009-09,3,0,0,37,16
2009-10,3,0,0,41,15
2009-11,3,0,0,39,15
2009-12,4,0,0,41,12
2010-01,0,0,0,39,14
2010-02,3,0,0,32,17
2010-03,0,0,0,37,13
2010-04,3,0,0,32,13
2010-05,3,0,0,32,11
2010-06,3,0,0,32,13
2010-07,2,0,0,30,14
2010-08,0,0,0,28,16
2010-09,2,0,0,25,12
2010-10,2,0,0,28,14
2010-11,3,0,0,25,15
2010-12,2,0,0,22,15
2011-01,2,0,0,25,15
2011-02,2,0,0,26,14
2011-03,2,0,0,26,13
2011-04,2,0,0,29,14
2011-05,2,0,0,25,14
2011-06,2,0,0,27,14
2011-07,3,0,0,27,14
2011-08,1,0,0,23,15
2011-09,2,0,0,22,13
2011-10,2,0,0,26,13
2011-11,2,0,0,23,13
2011-12,2,0,0,21,13
2012-01,2,0,0,22,13
2012-02,2,0,0,21,13
2012-03,2,0,0,22,13
2012-04,2,0,0,22,12
2012-05,2,0,0,20,13
2012-06,3,0,0,31,15
2012-07,2,0,0,24,13
2012-08,1,0,0,19,12
2012-09,2,0,0,23,14
2012-10,2,0,0,22,12
2012-11,2,0,0,26,13
2012-12,2,0,0,21,12
2013-01,2,0,0,22,14
2013-02,2,0,0,22,13
2013-03,2,0,0,22,12
2013-04,2,0,0,21,13
2013-05,2,0,0,17,12
2013-06,2,0,0,18,12
2013-07,2,0,0,16,13
2013-08,1,0,0,13,10
2013-09,1,0,0,15,11
2013-10,1,0,0,13,11
2013-11,2,0,0,16,11
2013-12,1,0,0,12,10
2014-01,1,0,0,14,10
2014-02,1,0,0,14,11
2014-03,2,0,0,14,10
2014-04,1,0,0,15,11
2014-05,1,0,0,14,10
2014-06,2,0,0,13,10
2014-07,1,0,0,12,10
2014-08,1,0,0,14,11
2014-09,1,0,0,12,11
2014-10,1,0,0,12,10
2014-11,2,0,0,14,11
2014-12,2,0,0,14,11
2015-01,1,0,0,13,13
2015-02,1,0,0,14,13
2015-03,1,0,0,16,11
2015-04,1,0,0,15,11
2015-05,1,0,0,14,11
2015-06,1,0,0,13,11
2015-07,1,0,0,10,10
2015-08,2,0,0,13,11
2015-09,1,0,0,12,10
2015-10,2,0,0,14,11
2015-11,1,0,0,14,11
2015-12,1,0,0,14,15
2016-01,1,0,0,9,11
2016-02,1,0,0,10,9
2016-03,1,0,0,12,9
2016-04,1,0,0,10,9
2016-05,1,0,0,9,8
2016-06,1,0,0,9,8
2016-07,1,0,0,8,7
2016-08,1,0,0,9,8
2016-09,1,0,0,8,8
2016-10,1,0,0,8,8
2016-11,1,0,0,9,8
2016-12,1,0,0,9,8
2017-01,1,0,0,9,8
2017-02,1,0,0,10,8
2017-03,1,0,0,9,8
2017-04,1,0,0,9,9
2017-05,1,0,0,8,7
2017-06,1,0,0,7,7
2017-07,1,0,0,8,8
2017-08,1,0,0,8,8
2017-09,1,0,0,8,9
2017-10,1,0,0,10,8
2017-11,1,0,0,11,9
2017-12,1,0,0,10,8
2018-01,1,0,0,10,9
2018-02,1,0,0,10,9
2018-03,1,0,0,11,10
2018-04,1,0,0,10,9
2018-05,1,0,0,10,9
2018-06,1,0,0,8,9
2018-07,1,0,0,11,9
2018-08,1,0,0,9,9
2018-09,1,0,0,11,9
2018-10,1,0,0,12,9
2018-11,1,0,0,12,10
2018-12,1,0,0,11,8
2019-01,1,0,0,12,9
2019-02,1,0,0,11,10
2019-03,1,0,0,12,11
2019-04,1,0,0,11,11
2019-05,1,0,0,11,10
2019-06,1,0,0,9,8
2019-07,1,0,0,13,10
2019-08,1,0,0,11,10
2019-09,1,0,0,14,10
2019-10,1,0,0,14,11
2019-11,1,0,0,15,10
2019-12,1,0,0,13,9
2020-01,1,0,0,14,10
2020-02,1,0,0,15,11
2020-03,1,0,0,13,11
2020-04,1,0,0,11,11
2020-05,1,0,0,13,11
2020-06,1,0,0,15,13
2020-07,2,0,0,16,14
2020-08,2,0,0,16,12
2020-09,2,0,0,18,13
2020-10,1,0,0,16,12
2020-11,1,0,0,15,10
2020-12,1,0,0,16,11
2021-01,1,0,0,15,10
2021-02,1,0,0,15,10
2021-03,3,0,<1,15,10
2021-04,2,0,0,15,10
2021-05,2,0,0,14,9
2021-06,2,0,0,15,10
2021-07,2,0,0,15,9
2021-08,2,0,0,17,9
2021-09,1,0,0,16,9
2021-10,1,0,0,13,9
2021-11,1,0,0,14,12
2021-12,1,0,0,15,8
2022-01,2,<1,0,15,9
2022-02,2,0,0,18,11
2022-03,2,0,0,21,13
2022-04,2,0,0,18,12
2022-05,1,0,<1,15,12
2022-06,2,0,<1,16,13
2022-07,1,0,0,15,11
2022-08,2,0,0,17,12
2022-09,2,0,0,17,13
2022-10,2,0,0,16,12
2022-11,1,0,0,15,13
2022-12,1,0,0,14,9
2023-01,2,0,0,16,10
2023-02,1,0,0,17,11
2023-03,1,<1,0,17,10
2023-04,1,0,0,16,9
2023-05,1,0,0,17,11
2023-06,2,0,<1,15,11
2023-07,1,0,0,16,9
2023-08,1,0,0,17,12
2023-09,1,0,0,16,10
2023-10,1,0,0,14,9
2023-11,1,0,0,15,10
2023-12,2,0,0,16,9
