Category: All categories

Month,foreign: (Dhaka Division),investor: (Dhaka Division),tariff: (Dhaka Division),warehouse: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,100,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,51
2004-06,36,0,0,0,49
2004-07,0,0,0,0,79
2004-08,0,0,0,0,57
2004-09,0,0,0,0,53
2004-10,42,0,0,0,54
2004-11,0,0,0,0,0
2004-12,0,0,0,0,45
2005-01,0,0,0,0,47
2005-02,0,0,0,0,0
2005-03,0,0,0,0,44
2005-04,52,0,0,0,0
2005-05,0,0,0,0,44
2005-06,0,0,0,0,40
2005-07,31,0,0,0,29
2005-08,0,0,0,0,38
2005-09,0,0,0,0,30
2005-10,0,0,0,0,49
2005-11,38,0,0,0,0
2005-12,0,0,0,0,27
2006-01,30,0,0,0,0
2006-02,44,0,0,0,44
2006-03,29,0,0,0,0
2006-04,22,0,0,0,32
2006-05,0,0,0,0,41
2006-06,34,0,0,0,44
2006-07,16,0,0,0,33
2006-08,21,0,0,0,38
2006-09,32,0,0,0,16
2006-10,25,0,0,0,23
2006-11,22,0,0,0,44
2006-12,19,0,0,0,25
2007-01,23,0,0,0,32
2007-02,30,0,0,0,38
2007-03,26,0,0,0,24
2007-04,12,0,0,0,24
2007-05,19,0,0,0,24
2007-06,15,0,0,0,33
2007-07,30,0,0,0,23
2007-08,26,0,0,0,25
2007-09,19,0,0,0,24
2007-10,16,0,0,0,23
2007-11,18,0,0,0,28
2007-12,22,0,0,0,29
2008-01,22,0,0,0,24
2008-02,17,0,0,0,31
2008-03,22,0,0,0,30
2008-04,17,0,0,0,32
2008-05,22,0,0,0,27
2008-06,18,5,0,0,27
2008-07,22,0,0,0,23
2008-08,20,0,0,0,27
2008-09,18,0,0,0,27
2008-10,15,0,0,0,25
2008-11,20,0,0,0,21
2008-12,12,0,0,0,22
2009-01,20,0,0,0,19
2009-02,16,0,0,0,28
2009-03,19,0,0,0,26
2009-04,20,0,0,0,24
2009-05,19,0,0,0,27
2009-06,20,0,0,0,28
2009-07,15,0,0,0,33
2009-08,16,0,0,0,25
