Category: All categories

Month,money: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,65
2004-06,0,62
2004-07,0,100
2004-08,0,72
2004-09,0,68
2004-10,0,69
2004-11,0,0
2004-12,0,57
2005-01,0,59
2005-02,51,0
2005-03,51,56
2005-04,0,0
2005-05,0,56
2005-06,0,51
2005-07,0,37
2005-08,0,48
2005-09,0,38
2005-10,40,62
2005-11,54,0
2005-12,0,35
2006-01,0,0
2006-02,0,56
2006-03,0,0
2006-04,33,41
2006-05,40,52
2006-06,30,56
2006-07,29,42
2006-08,29,48
2006-09,26,21
2006-10,34,30
2006-11,27,55
2006-12,38,31
2007-01,40,41
2007-02,23,48
2007-03,24,30
2007-04,33,30
2007-05,30,30
2007-06,22,42
2007-07,26,29
2007-08,29,32
2007-09,34,31
2007-10,32,29
2007-11,34,36
2007-12,25,37
2008-01,43,30
2008-02,23,39
2008-03,28,39
2008-04,27,40
2008-05,36,34
2008-06,34,35
2008-07,33,30
2008-08,36,34
2008-09,35,34
2008-10,33,32
2008-11,36,27
2008-12,34,28
2009-01,42,24
2009-02,38,36
2009-03,40,33
2009-04,38,31
2009-05,43,34
2009-06,38,35
2009-07,37,42
2009-08,34,32
2009-09,41,35
2009-10,46,32
2009-11,40,33
2009-12,30,25
2010-01,33,31
2010-02,34,36
2010-03,32,28
2010-04,30,28
2010-05,26,25
2010-06,29,27
2010-07,31,30
2010-08,28,34
2010-09,31,25
2010-10,33,29
2010-11,24,32
2010-12,25,32
2011-01,31,32
2011-02,31,31
2011-03,30,28
2011-04,33,31
2011-05,33,29
2011-06,36,30
2011-07,35,31
2011-08,32,32
2011-09,27,29
2011-10,30,27
2011-11,33,27
2011-12,32,28
2012-01,32,29
2012-02,34,27
2012-03,46,27
2012-04,39,25
2012-05,33,27
2012-06,30,33
2012-07,30,28
2012-08,27,27
2012-09,31,29
2012-10,25,26
2012-11,23,28
2012-12,23,26
2013-01,23,29
2013-02,22,28
2013-03,24,26
2013-04,22,27
2013-05,23,25
2013-06,23,25
2013-07,26,27
2013-08,22,22
2013-09,22,23
2013-10,21,23
2013-11,20,23
2013-12,19,22
2014-01,20,22
2014-02,19,24
2014-03,19,22
2014-04,20,23
2014-05,19,22
2014-06,22,22
2014-07,21,21
2014-08,19,23
2014-09,19,23
2014-10,19,22
2014-11,20,24
2014-12,19,24
2015-01,21,28
2015-02,20,27
2015-03,21,24
2015-04,19,24
2015-05,21,24
2015-06,23,24
2015-07,21,21
2015-08,23,24
2015-09,21,22
2015-10,21,23
2015-11,20,23
2015-12,21,32
2016-01,17,24
2016-02,17,18
2016-03,17,19
2016-04,18,20
2016-05,15,17
2016-06,20,18
2016-07,16,16
2016-08,16,17
2016-09,15,16
2016-10,15,17
2016-11,16,17
2016-12,15,17
2017-01,16,17
2017-02,17,18
2017-03,17,17
2017-04,16,18
2017-05,15,16
2017-06,17,14
2017-07,16,17
2017-08,17,16
2017-09,18,18
2017-10,18,18
2017-11,19,19
2017-12,19,18
2018-01,21,19
2018-02,19,19
2018-03,21,21
2018-04,22,20
2018-05,24,19
2018-06,20,19
2018-07,19,20
2018-08,18,19
2018-09,20,20
2018-10,19,20
2018-11,19,21
2018-12,19,16
2019-01,19,20
2019-02,20,20
2019-03,19,23
2019-04,19,24
2019-05,21,22
2019-06,20,18
2019-07,24,21
2019-08,22,22
2019-09,21,22
2019-10,21,23
2019-11,22,22
2019-12,23,19
2020-01,22,21
2020-02,23,23
2020-03,24,24
2020-04,56,24
2020-05,35,23
2020-06,30,29
2020-07,29,31
2020-08,29,27
2020-09,28,28
2020-10,26,25
2020-11,22,22
2020-12,25,23
2021-01,23,22
2021-02,23,21
2021-03,27,22
2021-04,29,21
2021-05,28,19
2021-06,26,21
2021-07,30,19
2021-08,29,20
2021-09,32,20
2021-10,24,19
2021-11,21,25
2021-12,32,18
2022-01,27,20
2022-02,29,24
2022-03,29,29
2022-04,27,25
2022-05,28,25
2022-06,31,27
2022-07,34,24
2022-08,34,27
2022-09,32,29
2022-10,30,25
2022-11,28,27
2022-12,30,20
2023-01,29,22
2023-02,30,23
2023-03,31,22
2023-04,29,19
2023-05,28,24
2023-06,31,23
2023-07,31,20
2023-08,39,26
2023-09,29,21
2023-10,26,20
2023-11,27,21
2023-12,31,18
2024-01,30,20
2024-02,27,21
2024-03,27,20
2024-04,26,18
2024-05,27,20
2024-06,25,15
2024-07,27,19
2024-08,28,19
2024-09,28,22
2024-10,27,20
2024-11,27,23
2024-12,26,19
2025-01,27,21
2025-02,23,21
2025-03,23,20
2025-04,22,18
2025-05,22,21
2025-06,24,18
2025-07,22,19
2025-08,21,20
2025-09,20,19
