Category: All categories

Month,currency: (Dhaka Division),labour market: (Dhaka Division),market: (Dhaka Division),exchange rate: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,70,0,0
2004-05,62,0,70,0,65
2004-06,0,0,67,0,62
2004-07,0,0,65,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,65,0,59
2005-02,0,0,0,0,0
2005-03,0,0,93,0,56
2005-04,0,0,88,0,0
2005-05,35,0,70,0,56
2005-06,52,0,47,0,51
2005-07,0,0,51,33,37
2005-08,33,0,68,0,48
2005-09,0,0,98,0,38
2005-10,35,0,0,0,62
2005-11,42,0,54,0,0
2005-12,42,0,50,0,35
2006-01,58,0,48,0,0
2006-02,35,0,56,0,56
2006-03,35,0,36,0,0
2006-04,30,0,83,0,41
2006-05,41,0,68,23,52
2006-06,29,0,57,22,56
2006-07,35,0,58,0,42
2006-08,48,0,73,0,48
2006-09,39,0,60,27,21
2006-10,44,0,38,0,30
2006-11,47,0,52,0,55
2006-12,39,0,55,0,31
2007-01,41,0,44,14,41
2007-02,33,0,45,0,48
2007-03,24,0,55,0,30
2007-04,24,0,52,0,30
2007-05,36,0,49,0,30
2007-06,23,0,48,0,42
2007-07,31,0,52,15,29
2007-08,32,0,51,0,32
2007-09,35,0,43,0,31
2007-10,29,0,55,11,29
2007-11,27,0,55,15,36
2007-12,42,0,56,12,37
2008-01,43,0,45,0,30
2008-02,40,0,46,14,39
2008-03,36,0,54,0,39
2008-04,33,0,54,8,40
2008-05,30,0,55,13,34
2008-06,28,0,57,0,35
2008-07,30,0,56,9,30
2008-08,29,0,55,10,34
2008-09,37,0,48,0,34
2008-10,49,0,62,14,32
2008-11,39,0,55,10,27
2008-12,45,0,37,7,28
2009-01,32,0,42,13,24
2009-02,38,0,35,16,36
2009-03,35,0,55,11,33
2009-04,28,0,58,11,31
2009-05,36,0,45,14,34
2009-06,36,0,51,12,35
2009-07,32,0,53,8,42
2009-08,31,0,54,9,32
2009-09,29,0,36,11,35
2009-10,27,0,49,11,32
2009-11,23,0,47,9,33
2009-12,27,0,54,6,25
2010-01,26,0,43,7,31
2010-02,27,0,51,8,36
2010-03,24,0,52,8,28
2010-04,20,0,59,6,28
2010-05,23,0,49,8,25
2010-06,18,0,58,8,27
2010-07,24,0,60,7,30
2010-08,21,0,60,8,34
2010-09,25,0,49,8,25
2010-10,20,0,55,11,29
2010-11,19,0,53,8,32
2010-12,18,0,49,6,32
2011-01,19,0,50,7,32
2011-02,17,0,43,5,31
2011-03,20,0,44,8,28
2011-04,19,0,50,7,31
2011-05,20,0,40,8,29
2011-06,20,0,41,8,30
2011-07,21,0,44,8,31
2011-08,19,0,42,9,32
2011-09,19,0,38,8,29
2011-10,20,0,43,7,27
2011-11,20,0,43,6,27
2011-12,21,0,42,8,28
2012-01,19,0,39,10,29
2012-02,18,0,37,9,27
2012-03,16,0,44,7,27
2012-04,14,0,41,6,25
2012-05,15,0,39,7,27
2012-06,28,0,46,13,33
2012-07,20,0,45,9,28
2012-08,17,0,39,6,27
2012-09,20,0,46,7,29
2012-10,20,0,44,7,26
2012-11,20,0,43,8,28
2012-12,17,0,39,7,26
2013-01,19,0,39,6,29
2013-02,17,0,36,7,28
2013-03,15,0,36,7,26
2013-04,14,0,36,7,27
2013-05,15,0,34,6,25
2013-06,14,0,34,6,25
2013-07,13,0,36,5,27
2013-08,12,<1,31,6,22
2013-09,14,0,32,6,23
2013-10,14,0,29,5,23
2013-11,12,0,31,5,23
2013-12,11,0,27,4,22
2014-01,11,0,27,4,22
2014-02,11,<1,29,4,24
2014-03,11,0,28,4,22
2014-04,11,0,30,5,23
2014-05,10,0,29,4,22
2014-06,10,0,29,5,22
2014-07,9,0,31,4,21
2014-08,10,0,30,4,23
2014-09,10,0,30,4,23
2014-10,10,0,30,4,22
2014-11,11,0,31,5,24
2014-12,10,0,32,5,24
2015-01,12,0,27,5,28
2015-02,11,0,28,5,27
2015-03,11,0,28,5,24
2015-04,11,0,33,5,24
2015-05,10,0,31,5,24
2015-06,10,0,28,5,24
2015-07,10,0,29,4,21
2015-08,12,0,30,5,24
2015-09,11,0,27,5,22
2015-10,12,0,26,5,23
2015-11,10,0,26,5,23
2015-12,12,0,27,5,32
2016-01,7,0,22,3,24
2016-02,7,0,22,3,18
2016-03,7,0,25,3,19
2016-04,7,<1,24,3,20
2016-05,6,0,23,3,17
2016-06,7,0,26,3,18
2016-07,6,0,21,3,16
2016-08,7,0,22,3,17
2016-09,6,0,21,2,16
2016-10,6,0,20,2,17
2016-11,7,0,24,3,17
2016-12,7,<1,21,3,17
2017-01,7,0,26,3,17
2017-02,6,0,28,3,18
2017-03,6,0,26,3,17
2017-04,6,0,26,3,18
2017-05,6,0,21,3,16
2017-06,6,0,22,2,14
2017-07,7,0,26,3,17
2017-08,7,0,27,3,16
2017-09,8,0,27,4,18
2017-10,9,0,31,4,18
2017-11,9,0,34,3,19
2017-12,9,0,31,3,18
2018-01,9,0,34,4,19
2018-02,9,0,30,3,19
2018-03,10,0,30,3,21
2018-04,9,0,35,3,20
2018-05,9,0,34,3,19
2018-06,9,0,28,3,19
2018-07,10,0,38,3,20
2018-08,10,0,37,4,19
2018-09,10,0,36,3,20
2018-10,11,0,38,4,20
2018-11,10,0,38,3,21
2018-12,10,<1,33,3,16
2019-01,11,0,48,4,20
2019-02,10,0,42,3,20
2019-03,11,0,42,3,23
2019-04,11,0,40,4,24
2019-05,10,0,39,3,22
2019-06,10,0,30,3,18
2019-07,11,0,38,3,21
2019-08,13,0,38,4,22
2019-09,13,<1,36,4,22
2019-10,12,<1,38,3,23
2019-11,13,0,37,3,22
2019-12,12,0,37,3,19
2020-01,12,0,36,4,21
2020-02,11,0,39,3,23
2020-03,10,0,36,3,24
2020-04,9,0,20,3,24
2020-05,9,0,27,2,23
2020-06,9,0,34,2,29
2020-07,9,0,39,2,31
2020-08,10,0,48,2,27
2020-09,9,0,56,2,28
2020-10,10,0,50,2,25
2020-11,9,<1,46,2,22
2020-12,10,0,56,2,23
2021-01,10,0,67,2,22
2021-02,9,0,55,2,21
2021-03,10,0,50,2,22
2021-04,8,0,41,2,21
2021-05,10,0,53,2,19
2021-06,8,0,58,2,21
2021-07,8,0,37,1,19
2021-08,9,0,47,2,20
2021-09,8,<1,56,2,20
2021-10,9,0,47,2,19
2021-11,9,0,47,2,25
2021-12,9,0,47,2,18
2022-01,12,0,46,2,20
2022-02,11,<1,47,2,24
2022-03,13,<1,50,3,29
2022-04,12,<1,41,2,25
2022-05,14,<1,38,4,25
2022-06,13,<1,40,4,27
2022-07,14,0,39,4,24
2022-08,18,0,43,5,27
2022-09,15,<1,42,6,29
2022-10,14,<1,37,4,25
2022-11,13,<1,33,4,27
2022-12,11,0,29,3,20
2023-01,13,0,33,3,22
2023-02,14,0,33,3,23
2023-03,15,<1,33,3,22
2023-04,12,<1,34,3,19
2023-05,15,0,32,3,24
2023-06,14,<1,33,3,23
2023-07,15,0,33,3,20
2023-08,15,<1,32,3,26
2023-09,14,<1,29,3,21
2023-10,14,0,25,2,20
2023-11,14,0,26,3,21
2023-12,16,0,31,3,18
2024-01,15,0,31,3,20
2024-02,12,0,30,2,21
2024-03,13,<1,30,2,20
2024-04,12,0,28,2,18
2024-05,12,<1,27,3,20
2024-06,10,0,25,2,15
2024-07,12,0,23,2,19
2024-08,11,<1,26,2,19
2024-09,13,<1,32,2,22
2024-10,12,0,29,2,20
2024-11,12,<1,29,2,23
2024-12,12,0,26,2,19
2025-01,12,0,25,2,21
2025-02,11,0,25,2,21
2025-03,11,0,25,2,20
2025-04,11,0,24,2,18
2025-05,12,0,23,2,21
2025-06,12,0,22,2,18
2025-07,11,0,23,2,19
2025-08,11,0,26,3,20
2025-09,11,<1,23,2,19
