Category: All categories

Month,tax: (Dhaka Division),taxes: (Dhaka Division),good: (Dhaka Division),good: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,79,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,52,55,72
2004-09,0,0,0,0,68
2004-10,0,0,0,57,69
2004-11,0,0,95,56,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,48,0,56
2005-04,0,0,49,47,0
2005-05,0,0,42,58,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,43,39,48
2005-09,0,0,37,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,42,0
2005-12,0,0,38,40,35
2006-01,0,0,0,34,0
2006-02,0,0,41,0,56
2006-03,0,0,44,42,0
2006-04,0,0,35,26,41
2006-05,0,0,0,0,52
2006-06,0,0,0,33,56
2006-07,0,0,35,37,42
2006-08,0,0,47,38,48
2006-09,0,0,41,41,21
2006-10,0,0,23,22,30
2006-11,0,0,35,43,55
2006-12,16,0,31,36,31
2007-01,0,0,26,20,41
2007-02,0,0,49,48,48
2007-03,0,0,33,38,30
2007-04,18,0,45,46,30
2007-05,18,0,30,25,30
2007-06,18,0,32,31,42
2007-07,14,0,41,39,29
2007-08,11,0,29,33,32
2007-09,18,0,41,38,31
2007-10,0,0,37,29,29
2007-11,15,0,34,35,36
2007-12,14,0,40,38,37
2008-01,0,0,37,34,30
2008-02,10,0,30,32,39
2008-03,12,0,33,32,39
2008-04,8,0,37,37,40
2008-05,9,0,36,33,34
2008-06,11,0,38,38,35
2008-07,9,0,39,39,30
2008-08,12,0,40,39,34
2008-09,7,0,33,31,34
2008-10,17,0,40,39,32
2008-11,13,0,36,35,27
2008-12,0,0,37,36,28
2009-01,7,0,34,35,24
2009-02,14,0,38,39,36
2009-03,11,0,42,42,33
2009-04,13,0,38,38,31
2009-05,9,0,33,33,34
2009-06,11,0,35,39,35
2009-07,13,0,33,33,42
2009-08,9,0,39,40,32
2009-09,8,0,39,40,35
2009-10,16,0,38,39,32
2009-11,10,0,30,30,33
2009-12,9,0,32,31,25
2010-01,6,0,35,34,31
2010-02,6,0,30,31,36
2010-03,8,0,36,38,28
2010-04,13,0,30,30,28
2010-05,10,0,31,34,25
2010-06,16,0,32,35,27
2010-07,12,0,29,26,30
2010-08,13,0,32,30,34
2010-09,35,0,25,25,25
2010-10,10,0,33,35,29
2010-11,9,0,32,33,32
2010-12,8,0,28,28,32
2011-01,7,0,31,32,32
2011-02,8,0,31,32,31
2011-03,10,0,32,32,28
2011-04,10,1,32,32,31
2011-05,11,1,34,33,29
2011-06,11,1,32,32,30
2011-07,12,1,35,36,31
2011-08,10,0,37,38,32
2011-09,23,1,34,34,29
2011-10,9,1,33,32,27
2011-11,7,0,38,38,27
2011-12,8,<1,39,39,28
2012-01,8,0,37,37,29
2012-02,7,1,33,32,27
2012-03,7,1,39,39,27
2012-04,7,1,38,38,25
2012-05,8,0,35,35,27
2012-06,17,0,37,37,33
2012-07,16,1,38,38,28
2012-08,11,0,41,41,27
2012-09,24,1,44,43,29
2012-10,10,1,41,41,26
2012-11,10,0,43,43,28
2012-12,8,1,42,42,26
2013-01,9,0,43,43,29
2013-02,7,1,41,41,28
2013-03,7,1,42,43,26
2013-04,9,1,39,39,27
2013-05,7,<1,41,40,25
2013-06,8,1,39,39,25
2013-07,11,<1,36,36,27
2013-08,8,<1,34,34,22
2013-09,20,1,35,35,23
2013-10,9,<1,36,36,23
2013-11,7,1,38,35,23
2013-12,6,<1,33,34,22
2014-01,6,<1,37,36,22
2014-02,6,<1,34,36,24
2014-03,6,<1,36,35,22
2014-04,8,<1,37,37,23
2014-05,9,0,35,35,22
2014-06,9,<1,34,35,22
2014-07,8,<1,36,33,21
2014-08,10,<1,33,32,23
2014-09,13,<1,33,33,23
2014-10,10,0,36,40,22
2014-11,9,<1,37,37,24
2014-12,7,<1,33,33,24
2015-01,6,0,35,34,28
2015-02,7,1,32,32,27
2015-03,7,<1,30,32,24
2015-04,7,<1,31,33,24
2015-05,7,<1,34,33,24
2015-06,9,<1,32,32,24
2015-07,8,<1,30,29,21
2015-08,9,<1,32,34,24
2015-09,14,<1,33,34,22
2015-10,9,1,31,35,23
2015-11,12,<1,30,29,23
2015-12,9,<1,32,33,32
2016-01,6,<1,32,33,24
2016-02,6,<1,31,30,18
2016-03,5,<1,28,29,19
2016-04,5,<1,30,32,20
2016-05,5,<1,29,29,17
2016-06,6,1,26,27,18
2016-07,6,1,27,27,16
2016-08,7,<1,29,27,17
2016-09,6,<1,26,28,16
2016-10,7,<1,28,28,17
2016-11,15,1,29,30,17
2016-12,6,<1,31,31,17
2017-01,5,<1,29,29,17
2017-02,4,<1,26,28,18
2017-03,6,<1,28,28,17
2017-04,6,<1,30,28,18
2017-05,5,<1,24,24,16
2017-06,4,<1,20,21,14
2017-07,5,<1,26,25,17
2017-08,5,<1,27,27,16
2017-09,6,1,28,27,18
2017-10,10,1,32,31,18
2017-11,17,1,35,35,19
2017-12,6,<1,34,34,18
2018-01,5,<1,32,32,19
2018-02,6,<1,30,30,19
2018-03,5,<1,34,33,21
2018-04,6,<1,29,29,20
2018-05,5,<1,28,27,19
2018-06,6,1,24,24,19
2018-07,7,1,28,29,20
2018-08,6,<1,29,30,19
2018-09,7,1,31,32,20
2018-10,9,1,35,32,20
2018-11,17,1,33,33,21
2018-12,8,1,30,30,16
2019-01,9,1,33,33,20
2019-02,8,1,28,29,20
2019-03,9,1,31,33,23
2019-04,9,1,30,30,24
2019-05,8,1,27,27,22
2019-06,8,1,27,26,18
2019-07,10,1,31,33,21
2019-08,9,1,34,33,22
2019-09,10,1,34,34,22
2019-10,13,1,33,32,23
2019-11,23,1,36,36,22
2019-12,10,1,36,36,19
2020-01,9,1,38,38,21
2020-02,9,1,36,37,23
2020-03,7,1,37,38,24
2020-04,4,<1,43,46,24
2020-05,6,<1,40,41,23
2020-06,9,1,41,41,29
2020-07,9,1,45,46,31
2020-08,10,1,43,43,27
2020-09,12,1,42,42,28
2020-10,14,1,40,39,25
2020-11,25,2,43,43,22
2020-12,10,1,42,40,23
2021-01,9,1,40,39,22
2021-02,8,1,41,39,21
2021-03,8,1,38,38,22
2021-04,8,1,39,40,21
2021-05,7,1,39,39,19
2021-06,9,1,40,38,21
2021-07,8,1,40,41,19
2021-08,9,1,42,42,20
2021-09,10,1,38,38,20
2021-10,12,1,35,35,19
2021-11,21,1,38,38,25
2021-12,10,1,37,38,18
2022-01,9,1,38,39,20
2022-02,9,1,41,41,24
2022-03,10,1,43,43,29
2022-04,9,1,39,37,25
2022-05,11,1,38,38,25
2022-06,11,1,38,39,27
2022-07,11,1,37,39,24
2022-08,12,1,39,40,27
2022-09,13,1,41,41,29
2022-10,12,1,41,40,25
2022-11,25,1,38,37,27
2022-12,10,<1,35,35,20
2023-01,11,<1,38,38,22
2023-02,11,1,37,36,23
2023-03,10,1,39,39,22
2023-04,9,<1,36,37,19
2023-05,12,1,38,40,24
2023-06,14,1,37,38,23
2023-07,13,1,36,37,20
2023-08,14,1,40,40,26
2023-09,12,<1,35,34,21
2023-10,15,1,35,34,20
2023-11,30,1,36,37,21
2023-12,12,1,38,38,18
2024-01,15,1,38,36,20
2024-02,14,1,33,32,21
2024-03,11,<1,32,33,20
2024-04,12,1,32,30,18
2024-05,14,1,31,32,20
2024-06,12,1,30,29,15
2024-07,15,1,30,29,19
2024-08,10,<1,28,29,19
2024-09,15,1,29,30,22
2024-10,16,1,31,31,20
2024-11,24,1,33,33,23
2024-12,21,1,31,30,19
2025-01,17,1,30,30,21
2025-02,14,1,30,31,21
2025-03,12,1,30,30,20
2025-04,12,1,30,30,18
2025-05,13,1,30,31,21
2025-06,13,1,32,32,18
2025-07,15,1,32,32,19
2025-08,16,1,31,31,20
2025-09,17,1,28,26,19
