Category: All categories

Month,export: (Dhaka Division),trade: (Dhaka Division),local economy: (Dhaka Division),trader: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,46,60,0,0,100
2004-08,41,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,67,0,0,59
2005-02,0,0,0,0,0
2005-03,0,58,0,0,56
2005-04,0,0,0,0,0
2005-05,52,56,0,0,56
2005-06,0,84,0,0,51
2005-07,35,74,0,0,37
2005-08,41,31,0,0,48
2005-09,0,0,0,0,38
2005-10,37,53,0,0,62
2005-11,0,44,0,0,0
2005-12,36,0,0,0,35
2006-01,38,33,0,0,0
2006-02,0,44,0,0,56
2006-03,31,33,0,0,0
2006-04,35,42,0,0,41
2006-05,36,30,0,0,52
2006-06,27,48,0,0,56
2006-07,27,38,0,0,42
2006-08,31,33,0,0,48
2006-09,38,48,0,0,21
2006-10,21,36,0,0,30
2006-11,23,33,0,0,55
2006-12,0,35,0,0,31
2007-01,0,28,0,0,41
2007-02,31,38,0,0,48
2007-03,20,34,0,0,30
2007-04,23,34,0,0,30
2007-05,30,39,0,0,30
2007-06,28,20,0,0,42
2007-07,29,38,0,0,29
2007-08,31,22,0,0,32
2007-09,24,21,0,0,31
2007-10,28,27,0,0,29
2007-11,23,30,0,0,36
2007-12,18,34,0,0,37
2008-01,23,30,0,0,30
2008-02,25,30,0,0,39
2008-03,26,32,0,0,39
2008-04,35,31,0,0,40
2008-05,24,31,0,0,34
2008-06,22,32,0,0,35
2008-07,23,28,0,0,30
2008-08,24,29,0,0,34
2008-09,26,23,0,0,34
2008-10,13,24,0,0,32
2008-11,16,29,0,0,27
2008-12,14,19,0,0,28
2009-01,14,24,0,0,24
2009-02,17,29,0,0,36
2009-03,22,30,0,0,33
2009-04,23,35,0,0,31
2009-05,16,25,0,0,34
2009-06,15,22,0,0,35
2009-07,21,21,0,0,42
2009-08,18,28,0,0,32
2009-09,12,16,0,0,35
2009-10,16,20,0,0,32
2009-11,16,19,0,0,33
2009-12,18,21,0,0,25
2010-01,11,27,0,0,31
2010-02,16,20,0,0,36
2010-03,14,21,0,0,28
2010-04,16,27,0,0,28
2010-05,19,17,0,0,25
2010-06,13,16,0,0,27
2010-07,11,16,0,0,30
2010-08,15,12,0,0,34
2010-09,9,12,0,0,25
2010-10,6,17,0,0,29
2010-11,7,13,0,0,32
2010-12,10,11,0,0,32
2011-01,10,17,0,1,32
2011-02,10,15,0,1,31
2011-03,10,13,0,1,28
2011-04,13,16,0,1,31
2011-05,9,14,0,1,29
2011-06,11,14,0,1,30
2011-07,10,13,0,2,31
2011-08,10,11,0,1,32
2011-09,9,11,0,1,29
2011-10,8,12,0,1,27
2011-11,9,12,0,0,27
2011-12,8,11,0,2,28
2012-01,8,13,0,1,29
2012-02,6,10,0,1,27
2012-03,7,10,0,1,27
2012-04,8,10,0,1,25
2012-05,6,9,0,1,27
2012-06,13,10,0,0,33
2012-07,9,13,0,1,28
2012-08,6,9,0,1,27
2012-09,9,11,0,1,29
2012-10,7,10,0,1,26
2012-11,10,13,0,1,28
2012-12,9,12,0,1,26
2013-01,8,18,0,1,29
2013-02,7,11,0,1,28
2013-03,7,11,0,1,26
2013-04,8,10,0,1,27
2013-05,6,8,0,1,25
2013-06,6,8,0,1,25
2013-07,6,8,0,1,27
2013-08,5,6,0,<1,22
2013-09,6,7,0,1,23
2013-10,4,6,0,<1,23
2013-11,5,8,0,1,23
2013-12,5,6,0,<1,22
2014-01,5,9,0,<1,22
2014-02,5,8,0,<1,24
2014-03,5,6,0,<1,22
2014-04,5,7,0,<1,23
2014-05,5,6,0,<1,22
2014-06,4,6,0,<1,22
2014-07,4,6,0,1,21
2014-08,5,6,0,<1,23
2014-09,4,6,0,<1,23
2014-10,4,6,0,1,22
2014-11,5,8,0,1,24
2014-12,5,7,0,<1,24
2015-01,4,9,0,<1,28
2015-02,4,6,0,<1,27
2015-03,5,6,0,<1,24
2015-04,5,7,0,<1,24
2015-05,5,7,0,<1,24
2015-06,4,6,0,<1,24
2015-07,3,5,0,<1,21
2015-08,5,7,0,<1,24
2015-09,4,5,0,<1,22
2015-10,4,6,0,<1,23
2015-11,5,7,0,<1,23
2015-12,5,7,0,<1,32
2016-01,3,8,0,<1,24
2016-02,3,6,0,<1,18
2016-03,4,5,0,<1,19
2016-04,3,5,0,<1,20
2016-05,3,4,0,<1,17
2016-06,2,4,0,<1,18
2016-07,3,4,0,<1,16
2016-08,4,4,0,<1,17
2016-09,3,3,0,<1,16
2016-10,3,4,0,<1,17
2016-11,3,5,0,<1,17
2016-12,3,5,0,<1,17
2017-01,3,8,0,<1,17
2017-02,3,6,0,<1,18
2017-03,3,5,0,<1,17
2017-04,3,5,0,<1,18
2017-05,3,5,0,<1,16
2017-06,2,3,0,<1,14
2017-07,3,5,0,<1,17
2017-08,3,5,0,<1,16
2017-09,3,5,0,<1,18
2017-10,3,6,0,<1,18
2017-11,4,7,0,<1,19
2017-12,3,7,0,<1,18
2018-01,3,10,0,<1,19
2018-02,3,7,0,<1,19
2018-03,3,6,0,<1,21
2018-04,4,6,0,<1,20
2018-05,3,6,0,<1,19
2018-06,3,5,0,<1,19
2018-07,4,7,0,<1,20
2018-08,3,6,0,<1,19
2018-09,3,8,0,<1,20
2018-10,3,7,0,<1,20
2018-11,4,7,0,<1,21
2018-12,3,7,0,<1,16
2019-01,3,14,0,<1,20
2019-02,3,9,0,<1,20
2019-03,3,7,0,<1,23
2019-04,4,7,0,<1,24
2019-05,3,7,0,<1,22
2019-06,3,5,0,<1,18
2019-07,4,7,0,<1,21
2019-08,4,7,0,<1,22
2019-09,5,8,0,<1,22
2019-10,4,8,0,<1,23
2019-11,4,9,0,1,22
2019-12,4,8,0,<1,19
2020-01,4,12,0,<1,21
2020-02,4,10,0,<1,23
2020-03,4,7,0,<1,24
2020-04,3,4,0,<1,24
2020-05,3,5,0,<1,23
2020-06,4,6,0,<1,29
2020-07,4,8,0,<1,31
2020-08,4,9,0,1,27
2020-09,5,14,0,1,28
2020-10,4,11,0,1,25
2020-11,4,11,0,1,22
2020-12,4,13,0,<1,23
2021-01,4,14,0,1,22
2021-02,3,12,0,<1,21
2021-03,4,10,0,<1,22
2021-04,3,8,0,<1,21
2021-05,3,10,0,<1,19
2021-06,3,11,0,<1,21
2021-07,3,8,0,<1,19
2021-08,3,10,0,1,20
2021-09,4,11,0,<1,20
2021-10,3,9,0,1,19
2021-11,4,10,0,<1,25
2021-12,3,9,0,<1,18
2022-01,4,12,0,<1,20
2022-02,4,10,0,1,24
2022-03,5,10,0,1,29
2022-04,4,8,0,<1,25
2022-05,4,8,0,<1,25
2022-06,4,9,0,1,27
2022-07,4,8,0,1,24
2022-08,4,9,0,1,27
2022-09,4,10,0,1,29
2022-10,4,8,0,<1,25
2022-11,4,8,0,<1,27
2022-12,3,7,0,1,20
2023-01,4,11,0,1,22
2023-02,4,9,0,<1,23
2023-03,4,8,0,1,22
2023-04,3,7,0,<1,19
2023-05,4,8,0,1,24
2023-06,4,8,0,1,23
2023-07,4,9,0,1,20
2023-08,4,9,0,1,26
2023-09,3,8,0,1,21
2023-10,3,7,0,1,20
2023-11,4,7,0,<1,21
2023-12,4,7,0,1,18
2024-01,4,9,0,1,20
2024-02,4,9,0,1,21
2024-03,4,7,0,1,20
2024-04,3,6,0,1,18
2024-05,4,7,0,1,20
2024-06,3,6,0,<1,15
2024-07,3,7,0,1,19
2024-08,3,7,0,1,19
2024-09,4,7,0,1,22
2024-10,3,7,0,1,20
2024-11,4,8,0,1,23
2024-12,4,7,0,1,19
2025-01,4,9,0,1,21
2025-02,3,7,0,1,21
2025-03,4,6,0,1,20
2025-04,4,7,0,1,18
2025-05,4,7,0,1,21
2025-06,4,6,0,1,18
2025-07,4,8,0,1,19
2025-08,4,9,0,1,20
2025-09,3,7,<1,1,19
