Category: All categories

Month,economy: (Dhaka Division),remittances: (Dhaka Division),ban: (Dhaka Division),supply: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,30,29
2004-06,0,0,0,0,28
2004-07,0,0,0,0,45
2004-08,0,0,0,0,32
2004-09,0,0,0,0,30
2004-10,0,0,0,0,31
2004-11,0,0,0,0,0
2004-12,0,0,0,0,25
2005-01,0,0,0,0,26
2005-02,0,0,0,0,0
2005-03,0,0,0,0,25
2005-04,25,0,0,0,0
2005-05,0,0,0,0,25
2005-06,0,0,0,0,23
2005-07,0,0,0,0,16
2005-08,0,0,0,0,21
2005-09,0,0,0,0,17
2005-10,0,0,0,0,28
2005-11,0,0,0,0,0
2005-12,0,0,0,0,16
2006-01,0,0,0,0,0
2006-02,13,0,0,14,25
2006-03,0,0,0,13,0
2006-04,19,0,0,0,18
2006-05,0,0,0,11,23
2006-06,0,0,0,0,25
2006-07,10,0,0,8,19
2006-08,7,0,0,0,22
2006-09,0,0,0,0,9
2006-10,0,0,0,0,13
2006-11,8,0,0,8,25
2006-12,0,0,0,9,14
2007-01,9,0,0,7,18
2007-02,7,0,0,8,21
2007-03,7,0,0,0,13
2007-04,7,0,0,10,13
2007-05,5,0,0,7,13
2007-06,0,0,0,7,19
2007-07,5,0,0,6,13
2007-08,8,0,0,9,14
2007-09,6,0,0,0,14
2007-10,10,0,0,5,13
2007-11,6,0,0,8,16
2007-12,10,0,0,7,17
2008-01,6,0,0,9,14
2008-02,7,0,0,7,17
2008-03,6,0,0,7,17
2008-04,7,0,4,10,18
2008-05,5,0,0,5,15
2008-06,5,0,0,6,15
2008-07,5,0,0,6,13
2008-08,6,0,0,8,15
2008-09,6,0,0,4,15
2008-10,6,0,4,5,14
2008-11,9,0,0,6,12
2008-12,3,0,0,7,13
2009-01,5,0,0,5,11
2009-02,5,0,0,4,16
2009-03,8,0,0,8,15
2009-04,7,0,0,9,14
2009-05,4,0,2,9,15
2009-06,6,0,0,8,16
2009-07,6,0,3,5,19
2009-08,7,0,3,7,14
2009-09,3,0,0,4,16
2009-10,5,0,2,6,14
2009-11,4,0,2,6,15
2009-12,4,0,2,4,11
2010-01,4,0,5,5,14
2010-02,3,0,3,4,16
2010-03,4,0,4,4,12
2010-04,3,0,2,8,13
2010-05,4,0,4,4,11
2010-06,3,0,4,6,12
2010-07,5,0,3,4,13
2010-08,3,0,3,6,15
2010-09,2,0,2,3,11
2010-10,4,0,5,5,13
2010-11,3,0,3,4,14
2010-12,3,0,4,5,14
2011-01,2,0,2,4,14
2011-02,3,0,5,4,14
2011-03,3,0,5,4,12
2011-04,4,0,5,5,14
2011-05,3,0,3,4,13
2011-06,2,0,3,5,13
2011-07,3,0,3,4,14
2011-08,3,0,7,4,14
2011-09,2,0,3,4,13
2011-10,3,0,7,4,12
2011-11,2,0,5,4,12
2011-12,3,0,7,4,12
2012-01,3,0,3,4,13
2012-02,2,0,3,3,12
2012-03,2,0,7,4,12
2012-04,2,0,3,4,11
2012-05,3,0,2,3,12
2012-06,4,0,5,5,15
2012-07,3,0,5,4,12
2012-08,2,0,3,3,12
2012-09,2,0,5,5,13
2012-10,2,0,3,4,12
2012-11,3,0,7,4,12
2012-12,3,0,7,4,12
2013-01,3,0,2,4,13
2013-02,2,0,3,3,12
2013-03,2,0,12,4,12
2013-04,3,0,7,3,12
2013-05,2,0,7,3,11
2013-06,2,0,3,3,11
2013-07,2,0,3,2,12
2013-08,1,0,3,2,10
2013-09,2,0,3,3,10
2013-10,1,0,13,2,10
2013-11,2,0,6,2,10
2013-12,1,0,3,2,10
2014-01,1,0,5,2,10
2014-02,2,0,15,2,11
2014-03,2,0,12,2,10
2014-04,2,0,3,3,10
2014-05,1,0,3,2,10
2014-06,1,0,7,2,10
2014-07,1,0,3,2,9
2014-08,1,0,7,2,10
2014-09,1,0,6,2,10
2014-10,2,0,7,2,10
2014-11,2,0,19,3,11
2014-12,2,0,4,2,10
2015-01,1,0,3,2,12
2015-02,1,0,13,2,12
2015-03,2,0,12,2,11
2015-04,2,0,21,2,11
2015-05,1,0,13,2,11
2015-06,2,0,21,2,11
2015-07,1,0,26,2,9
2015-08,2,0,6,2,11
2015-09,1,0,9,2,10
2015-10,2,0,5,2,10
2015-11,2,0,16,2,10
2015-12,2,0,4,3,14
2016-01,1,0,10,2,11
2016-02,2,0,10,2,8
2016-03,1,0,18,2,8
2016-04,1,0,4,2,9
2016-05,1,0,4,2,8
2016-06,1,0,4,2,8
2016-07,1,0,4,1,7
2016-08,1,0,4,2,8
2016-09,1,0,12,1,7
2016-10,1,0,27,1,8
2016-11,1,0,4,2,8
2016-12,1,0,11,2,7
2017-01,1,0,13,1,7
2017-02,1,<1,11,2,8
2017-03,1,0,25,2,7
2017-04,1,0,10,2,8
2017-05,1,0,14,2,7
2017-06,1,0,17,1,6
2017-07,1,0,5,1,8
2017-08,1,0,11,2,7
2017-09,1,0,15,2,8
2017-10,1,0,17,2,8
2017-11,1,<1,4,2,9
2017-12,1,0,4,2,8
2018-01,1,0,13,2,8
2018-02,1,0,13,2,8
2018-03,1,<1,14,2,10
2018-04,1,<1,4,2,9
2018-05,1,0,4,2,8
2018-06,1,0,8,1,8
2018-07,1,0,15,2,9
2018-08,1,0,9,2,8
2018-09,1,0,25,2,9
2018-10,1,0,11,2,9
2018-11,1,0,21,2,9
2018-12,1,0,22,2,7
2019-01,1,0,3,2,9
2019-02,1,0,10,2,9
2019-03,1,0,7,2,10
2019-04,1,0,3,2,11
2019-05,1,0,21,2,10
2019-06,1,0,37,2,8
2019-07,2,0,23,2,9
2019-08,1,0,5,2,10
2019-09,2,0,22,2,10
2019-10,2,0,7,3,10
2019-11,2,0,28,3,10
2019-12,1,0,4,2,8
2020-01,1,0,12,2,9
2020-02,2,0,24,2,10
2020-03,2,0,21,2,11
2020-04,2,0,4,2,11
2020-05,2,0,4,2,10
2020-06,2,<1,4,3,13
2020-07,2,0,4,3,14
2020-08,2,0,5,3,12
2020-09,2,0,4,3,13
2020-10,2,0,3,3,11
2020-11,2,0,3,3,10
2020-12,2,0,4,3,10
2021-01,1,0,14,3,10
2021-02,1,0,33,3,10
2021-03,1,0,21,3,10
2021-04,1,0,29,3,10
2021-05,1,0,49,2,8
2021-06,2,<1,6,3,9
2021-07,1,0,54,2,9
2021-08,1,0,28,3,9
2021-09,1,0,32,3,9
2021-10,1,0,57,2,9
2021-11,2,0,63,3,11
2021-12,1,0,16,3,8
2022-01,2,0,25,3,9
2022-02,2,0,23,3,11
2022-03,2,0,45,3,13
2022-04,2,0,37,3,11
2022-05,2,<1,38,3,11
2022-06,2,0,32,3,12
2022-07,2,<1,46,2,11
2022-08,2,<1,39,3,12
2022-09,2,<1,23,3,13
2022-10,2,0,52,3,11
2022-11,2,<1,25,3,12
2022-12,1,<1,73,3,9
2023-01,1,<1,8,3,10
2023-02,2,<1,9,2,10
2023-03,2,0,89,3,10
2023-04,1,0,25,2,9
2023-05,1,<1,31,3,11
2023-06,1,<1,29,3,10
2023-07,1,0,53,2,9
2023-08,1,<1,16,3,11
2023-09,1,0,91,2,9
2023-10,1,0,100,2,9
2023-11,1,<1,48,2,10
2023-12,1,<1,69,2,8
2024-01,1,<1,12,2,9
2024-02,1,0,8,2,9
2024-03,1,<1,61,2,9
2024-04,1,0,14,2,8
2024-05,1,0,35,3,9
2024-06,1,<1,51,2,6
2024-07,1,<1,6,2,9
2024-08,1,<1,24,2,8
2024-09,1,<1,49,3,10
2024-10,1,<1,34,2,9
2024-11,1,0,30,3,10
2024-12,1,<1,26,2,8
2025-01,1,0,4,2,9
2025-02,1,<1,24,2,9
2025-03,1,<1,11,2,9
2025-04,1,<1,16,2,8
2025-05,1,0,23,2,9
2025-06,1,0,35,2,8
2025-07,1,<1,43,2,9
2025-08,1,<1,8,2,9
2025-09,1,<1,22,2,9
