Category: All categories

Month,environmental degradation: (Dhaka Division),countryside: (Dhaka Division),rural: (Dhaka Division),agriculture: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,49,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,36,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,32,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,24,0,0
2006-04,0,0,0,0,41
2006-05,0,0,0,23,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,0,0,24,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,0,0,0,18,55
2006-12,0,0,19,19,31
2007-01,0,0,0,15,41
2007-02,0,0,0,21,48
2007-03,0,0,14,15,30
2007-04,0,0,13,0,30
2007-05,0,0,15,14,30
2007-06,0,0,0,0,42
2007-07,0,0,13,22,29
2007-08,0,0,0,12,32
2007-09,0,0,0,12,31
2007-10,0,0,11,12,29
2007-11,0,0,0,19,36
2007-12,0,0,0,14,37
2008-01,0,0,0,21,30
2008-02,0,0,8,14,39
2008-03,0,0,12,11,39
2008-04,0,0,17,17,40
2008-05,0,0,9,17,34
2008-06,0,0,10,14,35
2008-07,0,0,8,15,30
2008-08,0,0,9,19,34
2008-09,0,0,12,12,34
2008-10,0,0,6,12,32
2008-11,0,0,11,15,27
2008-12,0,0,0,10,28
2009-01,0,0,6,14,24
2009-02,0,0,9,20,36
2009-03,0,0,14,12,33
2009-04,0,0,11,13,31
2009-05,0,0,11,11,34
2009-06,0,0,10,8,35
2009-07,5,0,9,13,42
2009-08,0,0,8,11,32
2009-09,0,0,8,11,35
2009-10,0,0,9,15,32
2009-11,0,0,8,14,33
2009-12,0,0,9,12,25
2010-01,0,0,7,9,31
2010-02,0,0,4,11,36
2010-03,0,0,8,9,28
2010-04,0,0,6,14,28
2010-05,0,0,4,13,25
2010-06,0,0,8,13,27
2010-07,0,0,3,9,30
2010-08,0,0,7,10,34
2010-09,0,0,6,8,25
2010-10,3,0,6,10,29
2010-11,0,0,5,11,32
2010-12,0,0,5,11,32
2011-01,0,0,5,6,32
2011-02,0,0,4,6,31
2011-03,0,0,5,6,28
2011-04,0,0,6,7,31
2011-05,0,0,5,6,29
2011-06,0,0,6,6,30
2011-07,0,0,4,8,31
2011-08,0,0,3,6,32
2011-09,0,0,3,8,29
2011-10,0,0,4,10,27
2011-11,0,0,5,11,27
2011-12,0,0,3,8,28
2012-01,0,0,3,6,29
2012-02,0,0,3,5,27
2012-03,0,0,4,5,27
2012-04,0,0,4,5,25
2012-05,0,0,4,5,27
2012-06,0,0,5,7,33
2012-07,0,0,5,6,28
2012-08,0,0,3,5,27
2012-09,0,0,4,9,29
2012-10,0,0,4,7,26
2012-11,0,0,5,10,28
2012-12,0,0,3,8,26
2013-01,0,0,4,5,29
2013-02,0,0,3,6,28
2013-03,0,0,3,5,26
2013-04,0,0,3,7,27
2013-05,0,0,2,5,25
2013-06,0,0,3,5,25
2013-07,0,<1,3,5,27
2013-08,0,0,2,5,22
2013-09,0,0,2,5,23
2013-10,0,0,2,5,23
2013-11,0,0,3,6,23
2013-12,0,0,2,4,22
2014-01,0,0,2,4,22
2014-02,0,0,2,4,24
2014-03,0,0,2,4,22
2014-04,0,0,3,8,23
2014-05,0,0,2,4,22
2014-06,0,0,2,4,22
2014-07,0,0,2,4,21
2014-08,0,0,2,5,23
2014-09,0,0,2,6,23
2014-10,0,0,2,6,22
2014-11,0,0,2,7,24
2014-12,0,0,2,5,24
2015-01,0,0,2,4,28
2015-02,0,0,2,3,27
2015-03,0,0,2,4,24
2015-04,0,0,3,5,24
2015-05,0,<1,3,4,24
2015-06,0,0,2,5,24
2015-07,0,0,2,4,21
2015-08,0,0,2,4,24
2015-09,0,0,2,4,22
2015-10,0,0,2,5,23
2015-11,0,0,3,6,23
2015-12,0,0,2,6,32
2016-01,<1,0,2,3,24
2016-02,0,0,2,3,18
2016-03,0,0,2,3,19
2016-04,0,0,2,3,20
2016-05,0,0,2,3,17
2016-06,0,<1,2,3,18
2016-07,0,0,1,3,16
2016-08,0,0,1,3,17
2016-09,0,0,1,4,16
2016-10,<1,0,2,5,17
2016-11,0,0,2,5,17
2016-12,0,0,2,3,17
2017-01,0,0,1,3,17
2017-02,0,0,2,3,18
2017-03,0,0,2,3,17
2017-04,0,0,2,3,18
2017-05,0,<1,1,3,16
2017-06,0,0,1,2,14
2017-07,0,0,2,3,17
2017-08,0,0,2,3,16
2017-09,0,<1,2,4,18
2017-10,0,0,2,5,18
2017-11,0,<1,2,6,19
2017-12,0,0,2,4,18
2018-01,0,0,2,3,19
2018-02,0,0,2,3,19
2018-03,0,0,2,3,21
2018-04,0,0,2,3,20
2018-05,0,<1,1,3,19
2018-06,0,0,1,2,19
2018-07,0,<1,1,3,20
2018-08,0,0,1,3,19
2018-09,0,0,1,3,20
2018-10,0,0,2,5,20
2018-11,0,0,2,5,21
2018-12,0,0,1,3,16
2019-01,0,0,2,3,20
2019-02,0,<1,2,3,20
2019-03,0,0,2,3,23
2019-04,0,0,2,3,24
2019-05,0,0,1,4,22
2019-06,0,0,1,3,18
2019-07,0,<1,2,4,21
2019-08,0,0,2,5,22
2019-09,0,0,3,6,22
2019-10,0,<1,2,8,23
2019-11,0,<1,3,5,22
2019-12,0,0,2,7,19
2020-01,0,<1,2,4,21
2020-02,0,<1,2,4,23
2020-03,0,<1,1,3,24
2020-04,0,0,1,2,24
2020-05,0,0,1,3,23
2020-06,0,0,1,3,29
2020-07,0,0,1,3,31
2020-08,0,<1,1,3,27
2020-09,0,<1,2,3,28
2020-10,0,<1,2,3,25
2020-11,0,<1,1,6,22
2020-12,0,<1,2,6,23
2021-01,0,<1,2,3,22
2021-02,0,<1,1,3,21
2021-03,0,<1,2,3,22
2021-04,0,<1,1,4,21
2021-05,0,<1,1,5,19
2021-06,0,<1,1,5,21
2021-07,0,<1,1,4,19
2021-08,<1,<1,1,3,20
2021-09,0,<1,1,4,20
2021-10,0,<1,2,4,19
2021-11,0,<1,2,7,25
2021-12,0,<1,2,7,18
2022-01,0,<1,2,6,20
2022-02,0,<1,2,5,24
2022-03,0,<1,2,5,29
2022-04,0,<1,2,4,25
2022-05,0,<1,2,3,25
2022-06,0,<1,2,5,27
2022-07,0,<1,1,5,24
2022-08,0,<1,2,7,27
2022-09,0,<1,2,7,29
2022-10,0,<1,2,4,25
2022-11,<1,<1,2,4,27
2022-12,<1,<1,1,3,20
2023-01,0,<1,2,4,22
2023-02,0,0,2,4,23
2023-03,0,<1,2,4,22
2023-04,0,<1,1,3,19
2023-05,<1,<1,2,5,24
2023-06,0,<1,1,7,23
2023-07,0,<1,1,5,20
2023-08,0,<1,2,6,26
2023-09,0,<1,1,4,21
2023-10,0,<1,1,3,20
2023-11,0,<1,2,3,21
2023-12,0,<1,1,3,18
2024-01,0,<1,2,3,20
2024-02,0,0,1,5,21
2024-03,0,<1,1,4,20
2024-04,0,<1,1,4,18
2024-05,<1,<1,1,5,20
2024-06,0,<1,1,3,15
2024-07,0,<1,1,4,19
2024-08,0,<1,1,2,19
2024-09,0,<1,1,3,22
2024-10,0,<1,1,4,20
2024-11,0,<1,2,3,23
2024-12,0,<1,1,3,19
2025-01,<1,<1,1,3,21
2025-02,0,<1,1,4,21
2025-03,0,<1,1,4,20
2025-04,0,<1,1,4,18
2025-05,0,<1,1,3,21
2025-06,0,<1,1,2,18
2025-07,0,<1,1,3,19
2025-08,0,<1,1,3,20
2025-09,<1,<1,1,3,19
