Category: All categories

Month,land: (Dhaka Division),fertile: (Dhaka Division),grains: (Dhaka Division),cereals: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,82,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,32,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,36,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,33,0,0,0,41
2006-05,0,0,0,23,52
2006-06,23,0,0,0,56
2006-07,0,0,0,0,42
2006-08,26,0,0,0,48
2006-09,19,0,0,0,21
2006-10,0,0,0,0,30
2006-11,20,0,0,0,55
2006-12,16,0,0,0,31
2007-01,0,0,0,0,41
2007-02,19,0,0,0,48
2007-03,17,0,0,0,30
2007-04,14,0,0,0,30
2007-05,22,0,0,0,30
2007-06,18,0,0,0,42
2007-07,19,0,0,0,29
2007-08,12,0,0,0,32
2007-09,12,0,0,0,31
2007-10,13,0,0,0,29
2007-11,15,0,0,0,36
2007-12,16,0,0,0,37
2008-01,20,0,0,0,30
2008-02,19,0,0,0,39
2008-03,16,0,0,0,39
2008-04,17,0,0,0,40
2008-05,17,0,0,0,34
2008-06,15,0,0,0,35
2008-07,17,0,0,0,30
2008-08,16,0,0,0,34
2008-09,16,0,0,0,34
2008-10,15,0,0,0,32
2008-11,13,0,7,0,27
2008-12,13,0,0,0,28
2009-01,16,0,0,0,24
2009-02,16,0,0,0,36
2009-03,17,0,0,0,33
2009-04,16,0,0,0,31
2009-05,14,0,0,0,34
2009-06,21,0,0,0,35
2009-07,16,0,0,0,42
2009-08,15,0,0,0,32
2009-09,16,0,7,0,35
2009-10,14,0,0,0,32
2009-11,13,0,0,0,33
2009-12,16,0,0,0,25
2010-01,15,0,0,0,31
2010-02,15,0,0,0,36
2010-03,15,0,0,0,28
2010-04,14,0,0,0,28
2010-05,15,0,0,0,25
2010-06,16,0,0,0,27
2010-07,12,0,0,0,30
2010-08,11,0,0,0,34
2010-09,12,0,0,0,25
2010-10,13,0,0,0,29
2010-11,16,0,0,0,32
2010-12,10,0,0,0,32
2011-01,9,0,0,0,32
2011-02,14,0,0,0,31
2011-03,13,0,0,0,28
2011-04,14,0,0,0,31
2011-05,13,0,0,0,29
2011-06,13,0,0,0,30
2011-07,11,0,0,0,31
2011-08,13,0,0,0,32
2011-09,11,0,0,0,29
2011-10,12,0,0,0,27
2011-11,13,0,0,0,27
2011-12,11,0,0,0,28
2012-01,10,0,0,0,29
2012-02,11,0,0,0,27
2012-03,11,0,0,0,27
2012-04,10,0,0,0,25
2012-05,11,0,0,0,27
2012-06,15,2,0,0,33
2012-07,14,0,0,0,28
2012-08,11,0,0,0,27
2012-09,13,0,0,0,29
2012-10,12,0,0,0,26
2012-11,12,0,0,0,28
2012-12,10,0,0,0,26
2013-01,11,0,0,0,29
2013-02,11,0,0,0,28
2013-03,10,0,0,0,26
2013-04,10,0,0,0,27
2013-05,9,0,0,0,25
2013-06,8,0,0,0,25
2013-07,9,0,0,0,27
2013-08,7,0,0,0,22
2013-09,8,0,0,0,23
2013-10,9,0,0,0,23
2013-11,8,<1,0,0,23
2013-12,7,0,0,0,22
2014-01,7,<1,0,0,22
2014-02,7,<1,0,0,24
2014-03,8,0,0,0,22
2014-04,8,0,0,0,23
2014-05,8,0,0,0,22
2014-06,7,<1,0,0,22
2014-07,8,0,0,0,21
2014-08,8,0,0,0,23
2014-09,8,0,0,0,23
2014-10,7,0,0,0,22
2014-11,7,<1,<1,0,24
2014-12,7,<1,<1,0,24
2015-01,7,<1,0,0,28
2015-02,7,<1,0,0,27
2015-03,8,<1,0,0,24
2015-04,8,<1,0,0,24
2015-05,9,0,0,0,24
2015-06,7,0,<1,0,24
2015-07,8,0,0,0,21
2015-08,9,0,0,0,24
2015-09,8,<1,0,0,22
2015-10,8,0,0,0,23
2015-11,8,0,<1,0,23
2015-12,8,<1,0,0,32
2016-01,6,<1,0,0,24
2016-02,7,<1,0,0,18
2016-03,7,0,0,0,19
2016-04,7,<1,0,0,20
2016-05,6,<1,0,0,17
2016-06,6,0,0,0,18
2016-07,6,<1,0,<1,16
2016-08,7,<1,0,0,17
2016-09,6,0,0,0,16
2016-10,6,<1,<1,0,17
2016-11,7,<1,0,0,17
2016-12,7,<1,<1,0,17
2017-01,10,<1,<1,0,17
2017-02,12,<1,0,0,18
2017-03,10,<1,0,0,17
2017-04,8,<1,<1,0,18
2017-05,7,<1,<1,<1,16
2017-06,5,0,0,0,14
2017-07,6,<1,0,0,17
2017-08,6,<1,0,0,16
2017-09,8,<1,0,0,18
2017-10,8,<1,<1,0,18
2017-11,8,<1,0,0,19
2017-12,7,<1,<1,0,18
2018-01,7,0,<1,0,19
2018-02,7,0,0,0,19
2018-03,8,<1,<1,0,21
2018-04,8,<1,0,0,20
2018-05,7,<1,<1,0,19
2018-06,6,0,0,0,19
2018-07,8,<1,0,0,20
2018-08,8,<1,<1,0,19
2018-09,8,<1,<1,0,20
2018-10,8,<1,0,<1,20
2018-11,8,<1,<1,<1,21
2018-12,7,<1,<1,0,16
2019-01,8,<1,0,<1,20
2019-02,8,<1,0,0,20
2019-03,10,<1,0,0,23
2019-04,9,<1,0,0,24
2019-05,9,<1,0,0,22
2019-06,8,<1,0,0,18
2019-07,10,<1,<1,0,21
2019-08,9,<1,0,0,22
2019-09,11,<1,<1,0,22
2019-10,12,<1,<1,0,23
2019-11,12,<1,<1,0,22
2019-12,12,<1,<1,<1,19
2020-01,13,<1,<1,<1,21
2020-02,13,<1,<1,<1,23
2020-03,11,<1,<1,<1,24
2020-04,9,<1,0,0,24
2020-05,10,<1,<1,<1,23
2020-06,13,<1,<1,<1,29
2020-07,22,<1,<1,<1,31
2020-08,17,<1,<1,0,27
2020-09,19,<1,<1,<1,28
2020-10,16,<1,<1,<1,25
2020-11,17,<1,<1,<1,22
2020-12,16,<1,<1,<1,23
2021-01,16,<1,<1,0,22
2021-02,16,<1,<1,<1,21
2021-03,15,<1,<1,<1,22
2021-04,14,<1,<1,0,21
2021-05,14,<1,<1,<1,19
2021-06,17,<1,<1,<1,21
2021-07,12,<1,<1,<1,19
2021-08,13,<1,<1,0,20
2021-09,19,<1,<1,<1,20
2021-10,15,<1,<1,<1,19
2021-11,15,<1,<1,0,25
2021-12,16,<1,<1,<1,18
2022-01,19,<1,<1,<1,20
2022-02,22,<1,<1,<1,24
2022-03,22,<1,<1,<1,29
2022-04,19,<1,<1,<1,25
2022-05,20,<1,<1,<1,25
2022-06,23,<1,<1,<1,27
2022-07,22,<1,<1,<1,24
2022-08,24,<1,<1,<1,27
2022-09,26,<1,<1,<1,29
2022-10,27,<1,<1,<1,25
2022-11,25,<1,<1,<1,27
2022-12,24,<1,<1,<1,20
2023-01,30,<1,<1,<1,22
2023-02,29,<1,<1,<1,23
2023-03,27,<1,<1,<1,22
2023-04,26,<1,<1,<1,19
2023-05,32,<1,<1,<1,24
2023-06,30,<1,<1,<1,23
2023-07,38,<1,<1,0,20
2023-08,39,<1,<1,<1,26
2023-09,31,<1,<1,<1,21
2023-10,30,<1,<1,<1,20
2023-11,30,<1,<1,<1,21
2023-12,32,<1,<1,0,18
2024-01,29,<1,<1,<1,20
2024-02,30,<1,<1,<1,21
2024-03,31,<1,<1,<1,20
2024-04,31,<1,<1,0,18
2024-05,30,<1,<1,0,20
2024-06,25,<1,<1,<1,15
2024-07,31,<1,<1,<1,19
2024-08,26,<1,<1,0,19
2024-09,32,<1,<1,<1,22
2024-10,31,<1,<1,<1,20
2024-11,31,<1,<1,<1,23
2024-12,37,<1,<1,<1,19
2025-01,37,<1,<1,0,21
2025-02,39,<1,<1,<1,21
2025-03,33,<1,<1,0,20
2025-04,35,<1,<1,<1,18
2025-05,38,<1,<1,0,21
2025-06,36,<1,<1,0,18
2025-07,42,<1,<1,<1,19
2025-08,39,<1,<1,<1,20
2025-09,40,<1,<1,<1,19
