Category: All categories

Month,equipment: (Dhaka Division),production: (Dhaka Division),cooperative: (Dhaka Division),honey: (Dhaka Division),Email: (Dhaka Division)
2004-01,96,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,56,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,43,0,0,56
2005-04,0,0,0,0,0
2005-05,42,0,0,0,56
2005-06,34,37,0,0,51
2005-07,35,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,38,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,26,32,0,0,0
2006-04,0,43,24,0,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,18,30,0,0,42
2006-08,26,25,0,0,48
2006-09,20,18,0,0,21
2006-10,0,0,0,0,30
2006-11,0,14,0,0,55
2006-12,16,18,0,0,31
2007-01,0,17,0,0,41
2007-02,15,0,0,0,48
2007-03,25,0,0,0,30
2007-04,19,34,0,0,30
2007-05,14,17,0,0,30
2007-06,18,23,0,0,42
2007-07,17,29,0,0,29
2007-08,15,16,0,0,32
2007-09,14,20,0,0,31
2007-10,15,25,0,0,29
2007-11,16,21,0,0,36
2007-12,13,18,0,0,37
2008-01,11,20,0,9,30
2008-02,15,21,0,0,39
2008-03,19,24,0,0,39
2008-04,12,18,0,0,40
2008-05,14,22,0,0,34
2008-06,10,23,0,0,35
2008-07,10,20,0,0,30
2008-08,11,19,0,0,34
2008-09,10,16,0,0,34
2008-10,10,14,0,0,32
2008-11,11,18,0,0,27
2008-12,0,12,0,0,28
2009-01,8,17,0,0,24
2009-02,11,16,0,0,36
2009-03,13,19,0,0,33
2009-04,9,23,0,0,31
2009-05,10,16,0,0,34
2009-06,10,22,0,0,35
2009-07,7,19,0,5,42
2009-08,8,18,0,0,32
2009-09,8,12,0,0,35
2009-10,11,19,0,0,32
2009-11,8,14,0,0,33
2009-12,7,14,0,4,25
2010-01,9,14,0,6,31
2010-02,4,16,0,5,36
2010-03,6,11,0,0,28
2010-04,7,15,0,0,28
2010-05,8,17,0,7,25
2010-06,6,14,0,4,27
2010-07,6,10,0,5,30
2010-08,8,12,0,0,34
2010-09,0,8,0,0,25
2010-10,5,13,0,0,29
2010-11,6,15,0,4,32
2010-12,4,16,0,4,32
2011-01,6,10,0,4,32
2011-02,5,11,0,4,31
2011-03,5,13,1,3,28
2011-04,6,13,2,4,31
2011-05,5,10,2,3,29
2011-06,5,10,1,4,30
2011-07,4,11,0,4,31
2011-08,5,10,0,4,32
2011-09,5,9,1,3,29
2011-10,5,10,1,4,27
2011-11,5,9,1,4,27
2011-12,4,9,2,4,28
2012-01,4,9,1,5,29
2012-02,4,9,1,4,27
2012-03,5,9,1,3,27
2012-04,4,10,1,3,25
2012-05,4,8,1,4,27
2012-06,6,12,0,4,33
2012-07,6,10,0,3,28
2012-08,4,8,1,3,27
2012-09,5,10,2,5,29
2012-10,4,8,1,5,26
2012-11,4,9,1,6,28
2012-12,4,9,1,30,26
2013-01,5,8,1,18,29
2013-02,4,8,1,11,28
2013-03,3,7,1,9,26
2013-04,4,8,1,11,27
2013-05,4,8,1,8,25
2013-06,3,7,1,7,25
2013-07,3,7,1,8,27
2013-08,3,5,<1,12,22
2013-09,3,6,<1,10,23
2013-10,3,5,<1,9,23
2013-11,3,6,<1,29,23
2013-12,3,4,<1,27,22
2014-01,3,5,0,24,22
2014-02,3,6,<1,23,24
2014-03,3,6,<1,28,22
2014-04,3,6,<1,26,23
2014-05,3,5,<1,20,22
2014-06,3,6,<1,29,22
2014-07,2,5,<1,20,21
2014-08,3,5,<1,18,23
2014-09,3,5,<1,21,23
2014-10,3,5,<1,24,22
2014-11,3,6,<1,17,24
2014-12,3,5,1,16,24
2015-01,2,5,<1,15,28
2015-02,3,5,<1,13,27
2015-03,3,6,<1,14,24
2015-04,3,6,<1,12,24
2015-05,3,6,<1,11,24
2015-06,3,6,<1,9,24
2015-07,2,4,<1,10,21
2015-08,3,5,<1,10,24
2015-09,2,4,<1,34,22
2015-10,3,5,<1,17,23
2015-11,3,6,<1,12,23
2015-12,3,6,<1,11,32
2016-01,2,4,<1,20,24
2016-02,2,4,<1,19,18
2016-03,3,4,<1,20,19
2016-04,2,5,<1,28,20
2016-05,2,5,<1,25,17
2016-06,2,4,<1,23,18
2016-07,2,4,<1,23,16
2016-08,2,5,<1,25,17
2016-09,2,3,<1,32,16
2016-10,2,4,<1,33,17
2016-11,2,5,<1,32,17
2016-12,2,4,<1,35,17
2017-01,2,4,<1,35,17
2017-02,2,4,<1,26,18
2017-03,2,4,<1,7,17
2017-04,2,5,<1,6,18
2017-05,2,4,<1,6,16
2017-06,1,3,<1,6,14
2017-07,2,3,<1,6,17
2017-08,2,4,<1,6,16
2017-09,2,4,<1,5,18
2017-10,2,4,<1,5,18
2017-11,2,5,<1,6,19
2017-12,2,4,<1,5,18
2018-01,2,4,<1,6,19
2018-02,2,4,<1,5,19
2018-03,2,5,<1,5,21
2018-04,2,5,<1,4,20
2018-05,2,4,<1,4,19
2018-06,2,3,<1,4,19
2018-07,3,5,<1,3,20
2018-08,3,4,<1,4,19
2018-09,3,5,<1,4,20
2018-10,3,5,<1,5,20
2018-11,3,5,<1,4,21
2018-12,3,4,<1,4,16
2019-01,3,5,<1,4,20
2019-02,3,4,<1,4,20
2019-03,3,5,<1,4,23
2019-04,3,5,<1,4,24
2019-05,3,4,<1,3,22
2019-06,3,4,<1,3,18
2019-07,3,5,<1,4,21
2019-08,3,4,<1,4,22
2019-09,3,4,<1,4,22
2019-10,4,5,<1,4,23
2019-11,3,6,<1,4,22
2019-12,3,5,<1,5,19
2020-01,3,5,<1,4,21
2020-02,4,5,<1,4,23
2020-03,4,5,<1,5,24
2020-04,3,4,<1,6,24
