Category: All categories

Month,fish: (Dhaka Division),wheat: (Dhaka Division),plough: (Dhaka Division),vehicle: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,46,0,0,65
2004-06,0,0,0,0,62
2004-07,49,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,51,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,0,0,0,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,23,0,0,0,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,28,0,0,0,55
2006-12,22,0,0,0,31
2007-01,24,0,0,0,41
2007-02,0,0,0,0,48
2007-03,22,0,0,0,30
2007-04,14,0,0,0,30
2007-05,19,0,0,0,30
2007-06,16,0,0,0,42
2007-07,15,0,0,0,29
2007-08,19,0,0,0,32
2007-09,23,0,0,0,31
2007-10,19,0,0,11,29
2007-11,22,0,0,0,36
2007-12,14,0,0,11,37
2008-01,19,0,0,8,30
2008-02,17,0,0,0,39
2008-03,21,0,0,7,39
2008-04,21,0,0,0,40
2008-05,26,0,0,0,34
2008-06,13,0,0,6,35
2008-07,19,6,0,0,30
2008-08,15,0,0,0,34
2008-09,19,0,0,9,34
2008-10,17,0,0,0,32
2008-11,13,0,0,0,27
2008-12,14,0,0,0,28
2009-01,18,0,0,0,24
2009-02,16,0,0,0,36
2009-03,19,0,0,0,33
2009-04,19,0,0,0,31
2009-05,24,0,0,7,34
2009-06,18,0,0,6,35
2009-07,13,4,0,0,42
2009-08,18,0,0,0,32
2009-09,20,0,0,0,35
2009-10,20,0,0,0,32
2009-11,18,0,0,0,33
2009-12,15,4,0,0,25
2010-01,20,0,0,0,31
2010-02,16,0,0,4,36
2010-03,20,0,0,0,28
2010-04,21,0,0,0,28
2010-05,17,0,0,5,25
2010-06,17,0,0,0,27
2010-07,17,0,0,0,30
2010-08,14,0,0,4,34
2010-09,17,4,0,0,25
2010-10,13,0,0,0,29
2010-11,17,0,0,0,32
2010-12,12,0,0,0,32
2011-01,12,2,0,2,32
2011-02,15,1,0,3,31
2011-03,12,1,0,2,28
2011-04,14,1,0,2,31
2011-05,15,2,0,2,29
2011-06,15,1,0,2,30
2011-07,14,2,0,2,31
2011-08,14,1,0,2,32
2011-09,16,1,0,2,29
2011-10,13,2,0,3,27
2011-11,14,1,0,2,27
2011-12,12,1,0,2,28
2012-01,13,1,0,2,29
2012-02,10,1,0,2,27
2012-03,13,1,0,2,27
2012-04,12,1,0,2,25
2012-05,12,1,0,2,27
2012-06,14,0,0,3,33
2012-07,15,1,0,2,28
2012-08,14,1,0,2,27
2012-09,16,2,0,3,29
2012-10,14,1,0,2,26
2012-11,15,1,0,3,28
2012-12,14,1,0,3,26
2013-01,14,1,0,2,29
2013-02,12,1,0,2,28
2013-03,12,1,0,2,26
2013-04,13,1,0,2,27
2013-05,12,1,0,2,25
2013-06,12,1,0,1,25
2013-07,12,1,0,2,27
2013-08,11,1,0,1,22
2013-09,12,1,0,1,23
2013-10,10,1,0,1,23
2013-11,12,1,0,2,23
2013-12,11,<1,0,2,22
2014-01,10,1,0,1,22
2014-02,10,1,0,1,24
2014-03,11,1,0,2,22
2014-04,13,1,0,2,23
2014-05,11,1,0,2,22
2014-06,11,1,0,1,22
2014-07,11,1,0,1,21
2014-08,12,1,0,1,23
2014-09,13,1,0,1,23
2014-10,13,1,0,2,22
2014-11,13,1,0,2,24
2014-12,11,1,0,2,24
2015-01,11,1,0,2,28
2015-02,12,1,0,2,27
2015-03,12,1,0,2,24
2015-04,13,1,0,2,24
2015-05,13,1,0,2,24
2015-06,13,1,0,2,24
2015-07,12,1,0,1,21
2015-08,14,1,0,2,24
2015-09,13,1,0,1,22
2015-10,13,1,0,2,23
2015-11,12,1,0,2,23
2015-12,13,1,0,2,32
2016-01,10,1,0,1,24
2016-02,10,1,0,1,18
2016-03,10,1,0,1,19
2016-04,12,1,0,1,20
2016-05,10,1,0,1,17
2016-06,10,1,0,1,18
2016-07,10,<1,0,1,16
2016-08,11,<1,0,1,17
2016-09,10,<1,0,1,16
2016-10,10,1,0,1,17
2016-11,10,1,0,1,17
2016-12,10,1,0,1,17
2017-01,9,1,0,1,17
2017-02,10,1,0,1,18
2017-03,10,1,0,1,17
2017-04,10,1,<1,1,18
2017-05,9,1,0,1,16
2017-06,9,<1,0,1,14
2017-07,10,1,0,1,17
2017-08,10,1,0,1,16
2017-09,10,1,0,1,18
2017-10,11,1,0,2,18
2017-11,11,1,0,1,19
2017-12,10,<1,0,1,18
2018-01,10,1,<1,2,19
2018-02,9,1,<1,1,19
2018-03,10,1,0,1,21
2018-04,11,1,0,1,20
2018-05,11,1,0,1,19
2018-06,9,1,0,1,19
2018-07,12,1,0,2,20
2018-08,11,1,0,2,19
2018-09,11,1,0,2,20
2018-10,12,1,<1,2,20
2018-11,11,1,<1,2,21
2018-12,10,1,0,2,16
2019-01,11,1,0,2,20
2019-02,11,1,0,2,20
2019-03,12,1,<1,2,23
2019-04,11,1,0,2,24
2019-05,10,1,<1,2,22
2019-06,10,1,<1,2,18
2019-07,13,1,<1,2,21
2019-08,14,1,0,2,22
2019-09,15,1,<1,2,22
2019-10,14,1,0,2,23
2019-11,14,1,<1,2,22
2019-12,14,1,0,2,19
2020-01,13,1,0,2,21
2020-02,13,1,<1,2,23
2020-03,12,1,0,2,24
2020-04,15,1,<1,1,24
2020-05,13,1,<1,2,23
2020-06,14,1,<1,2,29
2020-07,14,1,0,2,31
2020-08,14,1,0,2,27
2020-09,16,1,<1,2,28
2020-10,14,1,<1,2,25
2020-11,13,1,<1,2,22
2020-12,12,1,<1,2,23
2021-01,12,1,0,2,22
2021-02,13,1,<1,2,21
2021-03,13,1,<1,2,22
2021-04,12,1,<1,2,21
2021-05,12,1,0,2,19
2021-06,13,1,<1,2,21
2021-07,12,1,<1,2,19
2021-08,13,1,<1,2,20
2021-09,12,1,<1,2,20
2021-10,11,1,<1,2,19
2021-11,11,1,<1,2,25
2021-12,12,1,<1,2,18
2022-01,12,1,<1,2,20
2022-02,12,1,<1,2,24
2022-03,12,1,<1,2,29
2022-04,11,1,<1,2,25
2022-05,11,1,<1,2,25
2022-06,12,1,<1,2,27
2022-07,11,1,<1,2,24
2022-08,11,1,<1,2,27
2022-09,11,1,<1,2,29
2022-10,11,1,<1,2,25
2022-11,11,1,<1,2,27
2022-12,9,1,<1,2,20
2023-01,12,1,<1,2,22
2023-02,11,1,<1,2,23
2023-03,11,1,<1,2,22
2023-04,11,1,<1,2,19
2023-05,10,1,<1,2,24
2023-06,11,1,<1,2,23
2023-07,11,1,<1,2,20
2023-08,12,1,<1,2,26
2023-09,12,1,<1,1,21
2023-10,11,1,<1,2,20
2023-11,10,1,<1,2,21
2023-12,10,1,<1,2,18
2024-01,12,1,<1,2,20
2024-02,11,1,<1,2,21
2024-03,10,1,<1,2,20
2024-04,10,1,<1,1,18
2024-05,11,1,<1,2,20
2024-06,9,1,0,1,15
2024-07,10,1,<1,2,19
2024-08,10,1,<1,2,19
2024-09,11,1,<1,2,22
2024-10,10,1,0,2,20
2024-11,11,1,0,2,23
2024-12,10,1,<1,2,19
2025-01,10,1,0,2,21
2025-02,10,1,<1,2,21
2025-03,10,1,<1,2,20
2025-04,10,1,<1,1,18
2025-05,9,1,<1,2,21
2025-06,9,1,<1,2,18
2025-07,10,1,<1,2,19
2025-08,11,1,<1,2,20
2025-09,10,1,<1,1,19
