Category: All categories

Month,seed: (Dhaka Division),potato: (Dhaka Division),tomato: (Dhaka Division),irrigation: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,0,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,37,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,0,0,0,41
2006-05,0,0,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,0,0,0,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,15,0,0,0,55
2006-12,0,0,0,0,31
2007-01,0,0,0,0,41
2007-02,14,0,0,0,48
2007-03,0,0,0,0,30
2007-04,0,0,0,0,30
2007-05,0,0,0,0,30
2007-06,0,0,0,0,42
2007-07,14,0,0,0,29
2007-08,15,0,0,0,32
2007-09,0,0,0,0,31
2007-10,12,0,0,0,29
2007-11,0,0,0,0,36
2007-12,0,0,0,0,37
2008-01,0,0,0,0,30
2008-02,0,0,0,0,39
2008-03,7,0,0,0,39
2008-04,9,0,0,0,40
2008-05,9,9,0,0,34
2008-06,0,9,0,0,35
2008-07,12,0,0,0,30
2008-08,0,0,0,0,34
2008-09,0,0,0,0,34
2008-10,8,0,0,0,32
2008-11,7,0,0,0,27
2008-12,0,0,0,0,28
2009-01,0,0,0,0,24
2009-02,7,6,0,0,36
2009-03,6,0,0,0,33
2009-04,8,0,0,6,31
2009-05,5,0,0,0,34
2009-06,7,5,0,0,35
2009-07,5,0,0,5,42
2009-08,7,0,0,0,32
2009-09,0,0,0,0,35
2009-10,7,0,4,0,32
2009-11,4,0,0,0,33
2009-12,0,0,0,0,25
2010-01,7,0,0,0,31
2010-02,7,0,0,0,36
2010-03,7,6,0,0,28
2010-04,5,5,0,0,28
2010-05,4,0,0,0,25
2010-06,0,0,0,0,27
2010-07,4,6,3,0,30
2010-08,0,0,0,0,34
2010-09,0,0,0,0,25
2010-10,0,0,0,0,29
2010-11,0,4,0,0,32
2010-12,3,0,0,0,32
2011-01,4,2,1,0,32
2011-02,3,4,2,0,31
2011-03,4,5,2,1,28
2011-04,4,4,2,0,31
2011-05,4,3,1,1,29
2011-06,3,2,2,0,30
2011-07,3,2,2,1,31
2011-08,4,2,2,0,32
2011-09,3,2,2,1,29
2011-10,3,3,1,0,27
2011-11,3,2,1,1,27
2011-12,3,3,2,0,28
2012-01,2,3,2,0,29
2012-02,3,3,1,<1,27
2012-03,3,2,2,<1,27
2012-04,3,2,1,1,25
2012-05,2,1,2,0,27
2012-06,3,2,0,0,33
2012-07,3,2,0,0,28
2012-08,2,3,1,0,27
2012-09,3,2,1,1,29
2012-10,3,1,1,1,26
2012-11,3,2,2,1,28
2012-12,3,2,2,0,26
2013-01,3,2,1,0,29
2013-02,2,2,2,0,28
2013-03,2,2,2,1,26
2013-04,2,2,2,1,27
2013-05,3,2,2,1,25
2013-06,2,2,1,<1,25
2013-07,2,1,1,<1,27
2013-08,2,2,1,<1,22
2013-09,2,1,1,<1,23
2013-10,2,1,1,0,23
2013-11,2,2,1,<1,23
2013-12,2,2,1,<1,22
2014-01,2,2,2,<1,22
2014-02,2,3,1,<1,24
2014-03,2,2,2,1,22
2014-04,2,2,1,1,23
2014-05,2,2,1,<1,22
2014-06,2,2,1,<1,22
2014-07,2,2,1,<1,21
2014-08,2,2,1,1,23
2014-09,2,2,1,<1,23
2014-10,2,2,1,<1,22
2014-11,3,2,1,<1,24
2014-12,2,2,1,<1,24
2015-01,2,2,2,<1,28
2015-02,2,2,2,<1,27
2015-03,2,2,2,<1,24
2015-04,2,2,1,1,24
2015-05,2,2,1,<1,24
2015-06,2,1,1,<1,24
2015-07,2,1,1,<1,21
2015-08,2,2,1,<1,24
2015-09,2,2,1,<1,22
2015-10,2,2,1,<1,23
2015-11,2,2,1,<1,23
2015-12,2,2,1,<1,32
2016-01,2,1,1,<1,24
2016-02,2,1,2,<1,18
2016-03,2,2,1,<1,19
2016-04,2,1,1,<1,20
2016-05,2,1,1,<1,17
2016-06,2,1,1,<1,18
2016-07,2,1,1,<1,16
2016-08,2,1,1,<1,17
2016-09,2,1,1,<1,16
2016-10,2,1,1,<1,17
2016-11,2,1,1,<1,17
2016-12,2,1,1,<1,17
2017-01,2,2,1,<1,17
2017-02,2,2,2,<1,18
2017-03,2,1,2,<1,17
2017-04,2,1,1,<1,18
2017-05,2,1,1,<1,16
2017-06,1,1,1,0,14
2017-07,2,1,1,<1,17
2017-08,2,1,1,<1,16
2017-09,2,1,1,<1,18
2017-10,2,1,1,<1,18
2017-11,2,1,1,<1,19
2017-12,2,1,1,<1,18
2018-01,2,1,1,<1,19
2018-02,2,2,2,<1,19
2018-03,2,2,2,<1,21
2018-04,2,2,1,<1,20
2018-05,2,2,1,<1,19
2018-06,2,1,1,<1,19
2018-07,2,1,1,<1,20
2018-08,2,1,1,<1,19
2018-09,2,1,1,<1,20
2018-10,2,1,1,1,20
2018-11,2,2,1,<1,21
2018-12,2,1,1,<1,16
2019-01,2,2,1,<1,20
2019-02,2,1,2,<1,20
2019-03,2,2,1,<1,23
2019-04,2,2,1,<1,24
2019-05,2,2,1,<1,22
2019-06,2,1,1,<1,18
2019-07,3,2,1,<1,21
2019-08,3,2,1,<1,22
2019-09,3,2,1,<1,22
2019-10,3,2,1,<1,23
2019-11,3,2,1,<1,22
2019-12,3,2,1,<1,19
2020-01,3,2,2,<1,21
2020-02,3,2,2,<1,23
2020-03,3,2,2,<1,24
2020-04,4,3,2,<1,24
2020-05,4,3,2,<1,23
2020-06,4,2,1,<1,29
2020-07,4,2,2,<1,31
2020-08,3,2,2,<1,27
2020-09,3,2,1,<1,28
2020-10,3,2,2,<1,25
2020-11,3,2,2,1,22
2020-12,3,2,2,<1,23
2021-01,3,2,2,<1,22
2021-02,3,2,2,<1,21
2021-03,3,2,3,<1,22
2021-04,3,2,2,<1,21
2021-05,3,2,1,<1,19
2021-06,3,2,1,1,21
2021-07,3,2,1,<1,19
2021-08,4,2,1,<1,20
2021-09,3,2,1,<1,20
2021-10,3,2,1,<1,19
2021-11,3,2,1,<1,25
2021-12,3,2,1,1,18
2022-01,3,2,2,<1,20
2022-02,3,2,2,<1,24
2022-03,4,2,2,1,29
2022-04,3,2,1,<1,25
2022-05,3,2,1,<1,25
2022-06,3,2,1,<1,27
2022-07,3,2,1,<1,24
2022-08,3,2,1,1,27
2022-09,3,2,1,<1,29
2022-10,3,2,1,<1,25
2022-11,3,1,1,<1,27
2022-12,2,1,1,<1,20
2023-01,3,2,1,<1,22
2023-02,3,2,2,<1,23
2023-03,3,2,2,<1,22
2023-04,3,1,1,<1,19
2023-05,3,2,1,<1,24
2023-06,3,2,1,<1,23
2023-07,3,1,1,<1,20
2023-08,3,2,1,<1,26
2023-09,3,1,1,<1,21
2023-10,3,1,1,<1,20
2023-11,3,2,1,<1,21
2023-12,3,1,1,<1,18
2024-01,3,2,1,<1,20
2024-02,3,2,1,1,21
2024-03,3,2,1,<1,20
2024-04,3,2,1,<1,18
2024-05,3,2,1,<1,20
2024-06,3,1,1,<1,15
2024-07,3,1,1,<1,19
2024-08,3,1,1,<1,19
2024-09,4,1,2,<1,22
2024-10,4,1,1,<1,20
2024-11,4,2,2,<1,23
2024-12,4,2,1,<1,19
2025-01,4,2,1,<1,21
2025-02,4,2,2,<1,21
2025-03,4,2,1,<1,20
2025-04,4,2,1,<1,18
2025-05,3,2,1,<1,21
2025-06,4,1,1,<1,18
2025-07,3,1,1,<1,19
2025-08,4,1,1,<1,20
2025-09,3,1,1,<1,20
