Category: All categories

Month,erratic: (Dhaka Division),erratic: (Dhaka Division),management: (Dhaka Division),soil: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,58,0,0
2004-02,0,0,66,0,0
2004-03,0,0,37,0,0
2004-04,0,0,86,0,0
2004-05,0,0,70,0,27
2004-06,0,0,100,0,25
2004-07,0,0,41,0,41
2004-08,0,0,63,0,30
2004-09,0,0,72,0,28
2004-10,0,0,59,0,28
2004-11,0,0,56,0,0
2004-12,0,0,64,0,23
2005-01,0,0,40,0,24
2005-02,0,0,48,0,0
2005-03,0,0,57,0,23
2005-04,0,0,62,0,0
2005-05,0,0,64,0,23
2005-06,0,0,54,0,21
2005-07,0,0,68,0,15
2005-08,0,0,50,0,20
2005-09,0,0,64,0,16
2005-10,0,0,54,0,25
2005-11,0,0,65,0,0
2005-12,0,0,71,0,14
2006-01,0,0,61,0,0
2006-02,0,0,65,0,23
2006-03,0,0,64,0,0
2006-04,0,0,82,0,17
2006-05,0,0,56,0,21
2006-06,0,0,60,0,23
2006-07,0,0,66,0,17
2006-08,0,0,51,0,20
2006-09,0,0,57,0,8
2006-10,0,0,57,0,12
2006-11,0,0,41,0,23
2006-12,0,0,44,0,13
2007-01,0,0,45,0,17
2007-02,0,0,54,0,20
2007-03,0,0,58,0,12
2007-04,0,0,62,0,12
2007-05,0,0,49,0,12
2007-06,0,0,47,5,17
2007-07,0,0,57,0,12
2007-08,0,0,49,0,13
2007-09,0,0,50,0,13
2007-10,0,0,39,0,12
2007-11,0,0,47,0,15
2007-12,0,0,40,0,15
2008-01,0,0,43,0,12
2008-02,0,0,49,4,16
2008-03,0,0,54,0,16
2008-04,0,0,49,0,16
2008-05,0,0,49,0,14
2008-06,0,0,46,0,14
2008-07,0,0,47,2,12
2008-08,0,0,48,3,14
2008-09,0,0,41,0,14
2008-10,0,0,39,3,13
2008-11,0,0,48,0,11
2008-12,0,0,31,0,12
2009-01,0,0,40,0,10
2009-02,0,0,40,3,15
2009-03,0,0,44,4,13
2009-04,0,0,48,3,13
2009-05,0,0,41,0,14
2009-06,0,0,43,3,14
2009-07,0,0,38,3,17
2009-08,0,0,42,0,13
2009-09,0,0,25,2,14
2009-10,0,0,37,2,13
2009-11,0,0,30,2,13
2009-12,0,0,33,2,10
2010-01,0,0,32,2,13
2010-02,0,0,32,3,15
2010-03,0,0,31,0,11
2010-04,0,0,37,2,12
2010-05,0,0,29,0,10
2010-06,0,0,35,2,11
2010-07,0,0,28,0,12
2010-08,0,0,29,0,14
2010-09,0,0,21,0,10
2010-10,0,0,26,1,12
2010-11,0,0,24,2,13
2010-12,0,0,25,2,13
2011-01,0,0,23,1,13
2011-02,0,0,23,1,13
2011-03,0,0,23,1,11
2011-04,0,0,27,2,13
2011-05,0,0,23,1,12
2011-06,0,0,24,2,12
2011-07,0,0,23,1,13
2011-08,0,0,18,1,13
2011-09,0,0,18,1,12
2011-10,0,0,22,1,11
2011-11,0,<1,20,1,11
2011-12,0,0,19,1,11
2012-01,0,0,17,1,12
2012-02,0,0,16,1,11
2012-03,0,0,16,1,11
2012-04,0,0,19,1,10
2012-05,0,0,17,1,11
2012-06,0,0,27,1,14
2012-07,0,0,23,2,11
2012-08,0,0,15,1,11
2012-09,0,0,21,2,12
2012-10,0,0,18,1,11
2012-11,0,0,21,1,11
2012-12,0,0,18,1,11
2013-01,0,0,21,1,12
2013-02,0,0,18,1,11
2013-03,0,0,18,1,11
2013-04,0,0,20,1,11
2013-05,0,0,16,1,10
2013-06,0,0,15,1,10
2013-07,0,0,14,1,11
2013-08,0,0,11,1,9
2013-09,0,0,13,1,9
2013-10,0,0,10,1,9
2013-11,0,0,14,1,10
2013-12,0,0,10,1,9
2014-01,0,0,11,1,9
2014-02,0,0,12,1,10
2014-03,0,0,12,1,9
2014-04,0,0,14,1,9
2014-05,0,0,12,1,9
2014-06,0,0,11,1,9
2014-07,0,0,9,1,8
2014-08,0,0,11,1,9
2014-09,0,0,10,1,9
2014-10,0,0,9,1,9
2014-11,0,0,12,1,10
2014-12,0,0,13,1,10
2015-01,0,0,11,1,11
2015-02,0,0,11,1,11
2015-03,0,0,11,1,10
2015-04,0,0,12,1,10
2015-05,0,0,11,1,10
2015-06,0,0,12,1,10
2015-07,0,0,8,1,9
2015-08,0,0,11,1,10
2015-09,0,0,8,1,9
2015-10,0,0,10,1,9
2015-11,0,0,11,1,9
2015-12,0,0,12,1,13
2016-01,0,0,8,1,10
2016-02,0,0,8,1,8
2016-03,0,0,8,1,8
2016-04,0,0,9,1,8
2016-05,0,0,7,1,7
2016-06,0,0,7,1,7
2016-07,0,0,7,1,7
2016-08,0,0,8,1,7
2016-09,0,0,6,<1,7
2016-10,0,0,7,1,7
2016-11,0,0,8,1,7
2016-12,0,0,7,1,7
2017-01,0,0,7,1,7
2017-02,0,0,7,1,7
2017-03,0,0,7,1,7
2017-04,0,0,7,1,8
2017-05,0,0,6,1,6
2017-06,0,<1,4,<1,6
2017-07,0,0,6,1,7
2017-08,0,0,7,1,7
2017-09,<1,0,6,1,8
2017-10,0,0,8,1,7
2017-11,0,0,8,1,8
2017-12,0,0,8,1,7
2018-01,0,0,8,1,8
2018-02,0,0,8,1,8
2018-03,0,0,8,1,9
2018-04,0,0,8,1,8
2018-05,0,0,8,1,8
2018-06,0,0,6,<1,8
2018-07,<1,<1,8,1,8
2018-08,0,0,7,1,8
2018-09,0,0,9,1,8
2018-10,0,0,9,1,8
2018-11,0,0,9,1,8
2018-12,0,0,8,1,7
2019-01,0,0,9,1,8
2019-02,0,0,9,1,8
2019-03,0,0,9,1,9
2019-04,0,0,10,1,10
2019-05,0,0,8,1,9
2019-06,0,0,7,1,7
2019-07,0,0,9,1,8
2019-08,0,0,8,1,9
2019-09,0,0,9,1,9
2019-10,0,0,10,1,9
2019-11,0,0,11,1,9
2019-12,0,0,11,1,8
2020-01,0,0,9,1,9
2020-02,0,0,10,1,9
2020-03,0,0,8,1,10
2020-04,<1,0,6,1,10
2020-05,0,0,6,1,10
2020-06,0,<1,7,1,12
2020-07,<1,0,8,1,13
2020-08,<1,<1,7,1,11
2020-09,0,<1,10,1,12
2020-10,<1,0,8,1,10
2020-11,<1,<1,8,1,9
2020-12,0,<1,8,1,9
2021-01,<1,0,9,1,9
2021-02,<1,<1,8,1,9
2021-03,0,0,8,1,9
2021-04,<1,<1,8,1,9
2021-05,<1,<1,7,1,8
2021-06,<1,0,9,1,9
2021-07,0,<1,7,1,8
2021-08,<1,0,10,1,8
2021-09,<1,<1,10,1,8
2021-10,0,<1,7,1,8
2021-11,0,<1,9,1,10
2021-12,0,0,9,1,7
2022-01,0,0,10,1,8
2022-02,<1,<1,11,1,10
2022-03,<1,<1,12,1,12
2022-04,<1,<1,10,1,10
2022-05,<1,<1,9,1,10
2022-06,<1,<1,10,1,11
2022-07,<1,<1,8,1,10
2022-08,<1,<1,10,1,11
2022-09,<1,<1,9,1,12
2022-10,<1,0,9,1,10
2022-11,<1,<1,9,1,11
2022-12,<1,<1,8,1,8
2023-01,<1,<1,9,1,9
2023-02,0,0,9,1,9
2023-03,<1,<1,9,1,9
2023-04,0,<1,7,1,8
2023-05,<1,0,9,1,10
2023-06,0,<1,8,1,9
2023-07,<1,<1,8,1,8
2023-08,<1,<1,9,1,11
2023-09,<1,<1,7,1,8
2023-10,<1,<1,7,1,8
2023-11,<1,<1,7,1,9
2023-12,0,<1,8,1,7
2024-01,<1,<1,8,1,8
2024-02,0,0,7,1,9
2024-03,0,0,7,1,8
2024-04,0,0,6,1,7
2024-05,<1,<1,8,1,8
2024-06,<1,0,6,1,6
2024-07,<1,<1,6,1,8
2024-08,<1,<1,5,<1,8
2024-09,<1,<1,6,1,9
2024-10,<1,<1,7,1,8
2024-11,0,<1,8,1,10
2024-12,0,0,7,1,8
2025-01,0,0,8,1,9
2025-02,<1,0,7,1,9
2025-03,<1,0,6,1,8
2025-04,0,<1,6,1,7
2025-05,0,0,6,1,9
2025-06,<1,<1,6,1,7
2025-07,<1,<1,7,1,8
2025-08,<1,<1,7,1,8
2025-09,<1,<1,6,1,8
