Category: All categories

Month,climate change: (Dhaka Division),water: (Dhaka Division),rain: (Dhaka Division),waters: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,66,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,81,0,0,0
2004-05,0,60,0,0,65
2004-06,0,94,0,0,62
2004-07,0,47,0,0,100
2004-08,0,0,0,0,72
2004-09,0,70,0,0,68
2004-10,0,63,0,0,69
2004-11,0,65,0,0,0
2004-12,0,42,0,0,57
2005-01,0,62,0,0,59
2005-02,0,0,0,0,0
2005-03,0,64,0,0,56
2005-04,0,76,0,0,0
2005-05,0,58,0,0,56
2005-06,0,63,0,0,51
2005-07,0,41,0,0,37
2005-08,0,58,0,0,48
2005-09,0,56,0,0,38
2005-10,0,50,0,0,62
2005-11,0,50,0,0,0
2005-12,0,55,0,0,35
2006-01,0,62,0,0,0
2006-02,0,86,0,0,56
2006-03,0,59,0,0,0
2006-04,0,49,0,0,41
2006-05,0,32,0,0,52
2006-06,0,50,0,0,56
2006-07,0,43,0,0,42
2006-08,0,56,0,0,48
2006-09,0,41,0,0,21
2006-10,0,40,0,0,30
2006-11,0,39,0,0,55
2006-12,0,53,0,0,31
2007-01,0,59,0,0,41
2007-02,0,42,0,0,48
2007-03,0,53,0,0,30
2007-04,0,55,0,0,30
2007-05,0,52,0,0,30
2007-06,0,61,11,0,42
2007-07,0,44,10,0,29
2007-08,0,56,10,0,32
2007-09,0,43,0,0,31
2007-10,0,30,0,0,29
2007-11,0,42,11,0,36
2007-12,0,27,0,0,37
2008-01,0,46,0,0,30
2008-02,0,45,0,0,39
2008-03,0,51,0,0,39
2008-04,9,47,0,0,40
2008-05,10,42,7,0,34
2008-06,6,45,8,0,35
2008-07,8,50,10,0,30
2008-08,12,49,9,0,34
2008-09,11,47,0,0,34
2008-10,9,39,0,0,32
2008-11,10,51,10,0,27
2008-12,9,29,0,0,28
2009-01,7,37,0,0,24
2009-02,9,41,0,0,36
2009-03,9,48,6,0,33
2009-04,9,50,9,0,31
2009-05,9,38,14,0,34
2009-06,12,38,9,0,35
2009-07,7,49,17,0,42
2009-08,13,44,13,0,32
2009-09,14,38,10,0,35
2009-10,14,39,9,0,32
2009-11,16,39,10,0,33
2009-12,23,36,8,0,25
2010-01,18,34,6,0,31
2010-02,10,40,10,0,36
2010-03,15,46,10,0,28
2010-04,9,48,21,0,28
2010-05,13,37,12,0,25
2010-06,16,35,13,0,27
2010-07,6,25,7,0,30
2010-08,8,28,9,0,34
2010-09,7,28,8,0,25
2010-10,7,31,11,0,29
2010-11,6,31,7,0,32
2010-12,4,25,6,0,32
2011-01,5,28,9,0,32
2011-02,4,28,8,0,31
2011-03,5,27,12,0,28
2011-04,5,30,11,0,31
2011-05,5,32,14,0,29
2011-06,5,30,16,0,30
2011-07,5,35,14,0,31
2011-08,4,29,16,0,32
2011-09,5,29,13,0,29
2011-10,5,31,11,0,27
2011-11,4,28,12,0,27
2011-12,3,24,21,0,28
2012-01,3,25,12,0,29
2012-02,3,25,10,<1,27
2012-03,4,29,12,<1,27
2012-04,3,25,17,0,25
2012-05,3,24,12,1,27
2012-06,4,36,19,0,33
2012-07,4,30,14,0,28
2012-08,2,25,11,0,27
2012-09,3,31,12,0,29
2012-10,3,28,10,0,26
2012-11,4,28,17,1,28
2012-12,3,23,9,0,26
2013-01,3,26,9,1,29
2013-02,2,25,9,0,28
2013-03,3,26,11,<1,26
2013-04,3,25,11,<1,27
2013-05,2,24,15,0,25
2013-06,3,24,12,<1,25
2013-07,3,22,10,<1,27
2013-08,2,18,10,<1,22
2013-09,2,22,9,<1,23
2013-10,2,18,9,<1,23
2013-11,3,21,7,<1,23
2013-12,1,17,7,0,22
2014-01,1,18,6,<1,22
2014-02,2,21,9,<1,24
2014-03,2,23,10,<1,22
2014-04,2,26,13,<1,23
2014-05,2,23,15,0,22
2014-06,2,21,14,<1,22
2014-07,2,20,10,<1,21
2014-08,2,20,12,<1,23
2014-09,2,19,10,<1,23
2014-10,2,19,8,<1,22
2014-11,2,21,7,<1,24
2014-12,2,20,7,<1,24
2015-01,2,20,7,0,28
2015-02,1,19,7,<1,27
2015-03,1,23,8,<1,24
2015-04,2,23,12,<1,24
2015-05,2,25,11,<1,24
2015-06,1,24,14,<1,24
2015-07,1,20,12,<1,21
2015-08,2,25,9,<1,24
2015-09,1,22,9,<1,22
2015-10,2,22,7,<1,23
2015-11,3,22,6,<1,23
2015-12,2,20,6,<1,32
2016-01,2,17,6,0,24
2016-02,2,18,7,<1,18
2016-03,1,22,9,<1,19
2016-04,2,21,9,<1,20
2016-05,1,19,12,<1,17
2016-06,1,17,8,<1,18
2016-07,1,16,9,<1,16
2016-08,1,19,8,<1,17
2016-09,1,17,8,<1,16
2016-10,1,17,6,<1,17
2016-11,2,19,8,<1,17
2016-12,1,17,5,<1,17
2017-01,1,16,5,<1,17
2017-02,1,18,6,<1,18
2017-03,1,18,9,<1,17
2017-04,2,19,9,<1,18
2017-05,1,19,9,<1,16
2017-06,1,14,9,<1,14
2017-07,1,17,10,<1,17
2017-08,1,17,8,<1,16
2017-09,1,20,7,<1,18
2017-10,1,20,7,<1,18
2017-11,2,19,6,<1,19
2017-12,1,19,6,0,18
2018-01,1,20,5,<1,19
2018-02,1,21,5,<1,19
2018-03,1,24,6,<1,21
2018-04,2,21,9,<1,20
