Category: All categories

Month,rice: (Dhaka Division),cotton: (Dhaka Division),cotton: (Dhaka Division),cotton: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,0,0,67,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,43,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,32,0,0,37
2005-08,0,0,0,0,48
2005-09,0,0,0,0,38
2005-10,0,0,0,0,62
2005-11,0,0,0,0,0
2005-12,37,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,0,0,0,41
2006-05,0,25,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,0,0,16,48
2006-09,0,0,0,0,21
2006-10,0,0,0,0,30
2006-11,0,0,18,0,55
2006-12,0,0,14,0,31
2007-01,0,0,0,0,41
2007-02,21,14,0,0,48
2007-03,0,0,14,13,30
2007-04,0,14,15,0,30
2007-05,0,0,0,0,30
2007-06,0,0,13,12,42
2007-07,12,10,0,13,29
2007-08,16,12,12,0,32
2007-09,0,0,0,0,31
2007-10,14,0,0,0,29
2007-11,18,10,0,0,36
2007-12,12,11,10,11,37
2008-01,14,10,12,0,30
2008-02,13,0,11,0,39
2008-03,13,14,13,14,39
2008-04,16,16,17,15,40
2008-05,13,12,13,15,34
2008-06,8,13,13,9,35
2008-07,14,12,16,15,30
2008-08,24,0,11,7,34
2008-09,13,7,10,0,34
2008-10,14,9,8,9,32
2008-11,10,8,8,0,27
2008-12,8,0,0,0,28
2009-01,10,8,8,8,24
2009-02,15,7,7,11,36
2009-03,7,10,10,10,33
2009-04,9,7,6,0,31
2009-05,11,6,6,6,34
2009-06,10,5,5,0,35
2009-07,10,6,5,5,42
2009-08,10,6,5,6,32
2009-09,14,0,0,0,35
2009-10,12,6,7,4,32
2009-11,11,5,5,7,33
2009-12,8,10,8,8,25
2010-01,10,5,6,0,31
2010-02,10,6,4,6,36
2010-03,10,6,7,10,28
2010-04,10,5,0,5,28
2010-05,13,8,6,7,25
2010-06,9,4,6,0,27
2010-07,8,7,6,5,30
2010-08,10,6,4,5,34
2010-09,8,7,8,11,25
2010-10,7,5,5,5,29
2010-11,6,5,4,4,32
2010-12,6,4,5,0,32
2011-01,8,6,6,6,32
2011-02,8,7,6,6,31
2011-03,8,5,5,5,28
2011-04,8,6,5,6,31
2011-05,8,6,6,6,29
2011-06,9,7,6,6,30
2011-07,7,5,5,5,31
2011-08,8,4,4,4,32
2011-09,7,4,5,5,29
2011-10,7,6,6,6,27
2011-11,8,4,4,4,27
2011-12,7,4,4,4,28
2012-01,6,4,4,4,29
2012-02,6,5,5,5,27
2012-03,8,6,6,6,27
2012-04,7,8,8,8,25
2012-05,6,6,5,5,27
2012-06,10,8,8,9,33
2012-07,9,5,5,5,28
2012-08,9,4,4,4,27
2012-09,8,4,4,4,29
2012-10,7,5,5,5,26
2012-11,8,4,4,4,28
2012-12,7,5,5,5,26
2013-01,7,4,4,4,29
2013-02,6,4,4,4,28
2013-03,7,5,5,5,26
2013-04,7,4,4,4,27
2013-05,6,4,4,3,25
2013-06,6,3,3,3,25
2013-07,5,3,3,3,27
2013-08,5,3,3,3,22
2013-09,6,3,3,3,23
2013-10,6,3,3,3,23
2013-11,6,3,3,3,23
2013-12,5,2,2,2,22
2014-01,5,3,3,3,22
2014-02,6,3,3,3,24
2014-03,5,3,3,3,22
2014-04,5,3,3,3,23
2014-05,6,3,3,3,22
2014-06,6,3,3,3,22
2014-07,6,3,2,2,21
2014-08,6,3,3,3,23
2014-09,6,3,3,3,23
2014-10,5,3,3,3,22
2014-11,6,4,3,4,24
2014-12,5,3,3,3,24
2015-01,6,3,3,3,28
2015-02,6,3,3,3,27
2015-03,6,3,3,3,24
2015-04,6,3,3,3,24
2015-05,6,3,4,4,24
2015-06,6,4,4,4,24
2015-07,6,3,3,3,21
2015-08,5,3,3,3,24
2015-09,6,3,3,3,22
2015-10,6,3,3,3,23
2015-11,5,3,3,3,23
2015-12,6,3,3,3,32
2016-01,5,3,3,3,24
2016-02,5,3,3,3,18
2016-03,4,3,3,3,19
2016-04,5,3,3,3,20
2016-05,5,3,3,3,17
2016-06,4,3,3,3,18
2016-07,4,2,2,2,16
2016-08,5,3,3,3,17
2016-09,4,2,2,2,16
2016-10,4,2,2,2,17
2016-11,5,3,3,3,17
2016-12,5,2,2,2,17
2017-01,5,3,3,3,17
2017-02,5,3,3,3,18
2017-03,5,3,3,2,17
2017-04,5,3,3,3,18
2017-05,5,2,2,2,16
2017-06,4,2,2,2,14
2017-07,5,2,2,2,17
2017-08,5,2,2,2,16
2017-09,5,3,3,2,18
2017-10,5,3,3,3,18
2017-11,6,3,3,3,19
2017-12,5,3,3,3,18
2018-01,5,3,3,3,19
2018-02,5,4,4,4,19
2018-03,5,4,4,4,21
2018-04,5,3,4,3,20
2018-05,6,4,3,4,19
2018-06,4,3,3,3,19
2018-07,5,4,3,4,20
2018-08,5,3,3,3,19
2018-09,5,3,3,3,20
2018-10,6,3,4,3,20
2018-11,6,3,3,3,21
2018-12,5,3,3,3,16
2019-01,6,3,3,3,20
2019-02,6,3,3,3,20
2019-03,6,4,4,4,23
2019-04,6,4,4,4,24
2019-05,6,3,3,3,22
2019-06,5,3,3,3,18
2019-07,6,4,4,4,21
2019-08,6,3,3,3,22
2019-09,6,4,4,4,22
2019-10,7,4,4,4,23
2019-11,7,4,4,4,22
2019-12,7,4,4,4,19
2020-01,7,4,4,4,21
2020-02,7,4,4,4,23
2020-03,7,3,3,3,24
2020-04,10,2,2,2,24
2020-05,10,3,3,3,23
2020-06,10,4,4,4,29
2020-07,9,4,4,4,31
2020-08,9,4,4,4,27
2020-09,9,5,5,5,28
2020-10,9,5,5,5,25
2020-11,9,4,4,4,22
2020-12,9,5,5,5,23
2021-01,9,5,5,5,22
2021-02,9,5,5,5,21
2021-03,9,5,5,5,22
2021-04,9,5,5,5,21
2021-05,10,4,4,4,19
2021-06,9,4,4,4,21
2021-07,8,4,4,4,19
2021-08,8,4,4,4,20
2021-09,8,4,4,4,20
2021-10,7,4,4,4,19
2021-11,8,4,5,4,25
2021-12,8,5,5,5,18
2022-01,8,5,5,5,20
2022-02,9,5,5,5,24
2022-03,9,6,6,6,29
2022-04,9,6,6,6,25
2022-05,9,5,5,5,25
2022-06,9,6,6,6,27
2022-07,8,5,5,5,24
2022-08,9,5,5,5,27
2022-09,9,5,5,5,29
2022-10,9,4,4,4,25
2022-11,8,4,4,4,27
2022-12,9,3,3,3,20
2023-01,9,5,5,5,22
2023-02,10,5,5,5,23
2023-03,10,5,5,5,22
2023-04,9,4,4,4,19
2023-05,9,4,4,4,24
2023-06,9,4,4,4,23
2023-07,9,4,4,4,20
2023-08,9,4,4,4,26
2023-09,8,4,4,4,21
2023-10,8,4,4,4,20
2023-11,8,3,4,4,21
2023-12,10,4,4,4,18
2024-01,10,4,4,4,20
2024-02,9,4,4,4,21
2024-03,9,5,5,5,20
2024-04,9,4,4,4,18
2024-05,9,4,4,4,20
2024-06,8,3,3,3,15
2024-07,8,3,3,3,19
2024-08,8,3,3,3,19
2024-09,11,4,4,4,22
2024-10,8,3,3,3,20
2024-11,9,4,4,4,23
2024-12,9,3,3,3,19
2025-01,9,4,4,4,21
2025-02,10,4,4,4,21
2025-03,9,4,4,4,20
2025-04,10,3,3,3,18
2025-05,9,4,4,4,21
2025-06,9,3,3,3,18
2025-07,8,4,4,4,19
2025-08,9,4,4,4,20
2025-09,9,4,4,4,19
