Category: All categories

Month,cotton: (Dhaka Division),date: (Dhaka Division),dates: (Dhaka Division),vegetables: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,65
2004-06,67,0,0,0,62
2004-07,0,0,0,0,100
2004-08,0,0,0,0,72
2004-09,0,0,0,0,68
2004-10,0,0,0,0,69
2004-11,0,0,0,0,0
2004-12,0,47,0,0,57
2005-01,0,0,0,0,59
2005-02,0,0,0,0,0
2005-03,0,0,0,0,56
2005-04,0,0,0,0,0
2005-05,0,0,0,0,56
2005-06,0,0,0,0,51
2005-07,0,0,0,0,37
2005-08,0,34,0,0,48
2005-09,0,0,0,0,38
2005-10,0,34,0,0,62
2005-11,0,0,0,0,0
2005-12,0,0,0,0,35
2006-01,0,0,0,0,0
2006-02,0,0,0,0,56
2006-03,0,0,0,0,0
2006-04,0,0,0,0,41
2006-05,0,35,0,0,52
2006-06,0,0,0,0,56
2006-07,0,0,0,0,42
2006-08,0,25,0,0,48
2006-09,0,0,0,0,21
2006-10,0,42,0,0,30
2006-11,18,30,0,0,55
2006-12,14,39,0,0,31
2007-01,0,23,0,0,41
2007-02,0,15,0,0,48
2007-03,14,32,0,0,30
2007-04,15,26,0,0,30
2007-05,0,21,11,0,30
2007-06,13,22,0,0,42
2007-07,0,28,0,0,29
2007-08,12,21,0,0,32
2007-09,0,30,0,0,31
2007-10,0,29,0,0,29
2007-11,0,29,0,0,36
2007-12,10,17,0,0,37
2008-01,12,29,0,0,30
2008-02,11,34,0,0,39
2008-03,13,27,0,0,39
2008-04,17,31,0,0,40
2008-05,13,24,0,0,34
2008-06,13,27,0,0,35
2008-07,16,23,0,0,30
2008-08,11,26,0,0,34
2008-09,10,24,0,0,34
2008-10,8,28,0,0,32
2008-11,8,28,0,0,27
2008-12,0,25,0,0,28
2009-01,8,29,0,0,24
2009-02,7,26,0,0,36
2009-03,10,28,0,0,33
2009-04,6,30,0,0,31
2009-05,6,28,5,0,34
2009-06,5,31,0,0,35
2009-07,5,29,4,0,42
2009-08,5,26,0,0,32
2009-09,0,33,5,0,35
2009-10,7,31,0,0,32
2009-11,5,31,0,0,33
2009-12,8,26,0,0,25
2010-01,6,30,0,0,31
2010-02,4,34,0,0,36
2010-03,7,31,0,0,28
2010-04,0,32,4,0,28
2010-05,6,42,0,0,25
2010-06,6,34,6,0,27
2010-07,6,35,0,5,30
2010-08,4,30,0,0,34
2010-09,8,36,0,0,25
2010-10,5,30,5,4,29
2010-11,4,32,0,0,32
2010-12,5,32,3,0,32
2011-01,6,31,3,1,32
2011-02,6,34,2,1,31
2011-03,5,28,3,2,28
2011-04,5,30,3,1,31
2011-05,6,33,4,1,29
2011-06,6,31,4,2,30
2011-07,5,32,3,2,31
2011-08,4,33,3,1,32
2011-09,5,38,2,1,29
2011-10,6,38,3,2,27
2011-11,4,32,3,1,27
2011-12,4,36,3,2,28
2012-01,4,31,3,1,29
2012-02,5,26,3,1,27
2012-03,6,29,2,1,27
2012-04,8,31,3,2,25
2012-05,5,34,3,1,27
2012-06,8,38,5,0,33
2012-07,5,42,4,1,28
2012-08,4,43,4,1,27
2012-09,4,45,4,2,29
2012-10,5,44,3,1,26
2012-11,4,42,4,2,28
2012-12,5,42,3,2,26
2013-01,4,37,3,1,29
2013-02,4,33,3,2,28
2013-03,5,33,3,1,26
2013-04,4,33,3,2,27
2013-05,4,35,3,1,25
2013-06,3,33,2,1,25
2013-07,3,35,3,1,27
2013-08,3,33,3,1,22
2013-09,3,36,3,1,23
2013-10,3,35,2,1,23
2013-11,3,39,2,1,23
2013-12,2,34,2,1,22
2014-01,3,34,2,1,22
2014-02,3,34,2,1,24
2014-03,3,31,2,1,22
2014-04,3,32,2,1,23
2014-05,3,35,2,1,22
2014-06,3,34,3,1,22
2014-07,2,33,3,1,21
2014-08,3,35,2,1,23
2014-09,3,39,2,1,23
2014-10,3,37,3,1,22
2014-11,3,35,2,1,24
2014-12,3,34,2,1,24
2015-01,3,39,2,1,28
2015-02,3,36,2,1,27
2015-03,3,34,3,1,24
2015-04,3,36,2,1,24
2015-05,4,42,2,1,24
2015-06,4,38,3,1,24
2015-07,3,33,2,1,21
2015-08,3,46,3,1,24
2015-09,3,41,3,1,22
2015-10,3,48,3,1,23
2015-11,3,39,2,1,23
2015-12,3,37,2,1,32
2016-01,3,30,2,1,24
2016-02,3,29,2,1,18
2016-03,3,29,2,1,19
2016-04,3,31,2,1,20
2016-05,3,34,2,1,17
2016-06,3,31,3,1,18
2016-07,2,29,2,1,16
2016-08,3,35,2,1,17
2016-09,2,32,2,1,16
2016-10,2,32,2,1,17
2016-11,3,33,2,1,17
2016-12,2,31,2,1,17
2017-01,3,27,2,1,17
2017-02,3,26,2,1,18
2017-03,3,25,2,1,17
2017-04,3,29,2,1,18
2017-05,2,31,2,1,16
2017-06,2,22,2,1,14
2017-07,2,30,2,1,17
2017-08,2,31,2,1,16
2017-09,3,37,2,1,18
2017-10,3,43,2,1,18
2017-11,3,37,2,1,19
2017-12,3,36,2,1,18
2018-01,3,34,2,1,19
2018-02,4,31,2,1,19
2018-03,4,32,2,1,21
2018-04,4,38,2,1,20
2018-05,3,43,3,1,19
2018-06,3,34,3,1,19
2018-07,3,41,3,1,20
2018-08,3,38,2,1,19
2018-09,3,56,2,1,20
2018-10,4,46,3,1,20
2018-11,3,41,2,1,21
2018-12,3,46,2,1,16
2019-01,3,38,3,1,20
2019-02,3,39,3,1,20
2019-03,4,39,3,1,23
2019-04,4,45,3,1,24
2019-05,3,59,3,1,22
2019-06,3,40,2,1,18
2019-07,4,47,3,1,21
2019-08,3,51,3,1,22
2019-09,4,66,3,2,22
2019-10,4,56,3,1,23
2019-11,4,48,3,2,22
2019-12,4,77,3,1,19
2020-01,4,44,3,1,21
2020-02,4,44,3,2,23
2020-03,3,41,3,2,24
2020-04,2,50,4,3,24
2020-05,3,59,3,2,23
2020-06,4,48,2,2,29
2020-07,4,50,3,2,31
2020-08,4,48,2,1,27
2020-09,5,47,2,2,28
2020-10,5,47,2,1,25
2020-11,4,46,2,2,22
2020-12,5,47,2,2,23
2021-01,5,53,3,1,22
2021-02,5,56,3,2,21
2021-03,5,60,3,1,22
2021-04,5,46,4,2,21
2021-05,4,53,3,1,19
2021-06,4,55,2,2,21
2021-07,4,53,2,1,19
2021-08,4,52,2,1,20
2021-09,4,54,3,1,20
2021-10,4,55,2,1,19
2021-11,5,50,2,1,25
2021-12,5,56,2,1,18
2022-01,5,62,3,1,20
2022-02,5,74,3,1,24
2022-03,6,66,4,1,29
2022-04,6,65,4,1,25
2022-05,5,65,3,1,25
2022-06,6,69,2,1,27
2022-07,5,64,2,1,24
2022-08,5,59,3,1,27
2022-09,5,59,2,1,29
2022-10,4,57,2,1,25
2022-11,4,60,3,1,27
2022-12,3,61,3,1,20
2023-01,5,67,3,1,22
2023-02,5,75,3,1,23
2023-03,5,64,4,1,22
2023-04,4,60,3,1,19
2023-05,4,68,2,1,24
2023-06,4,74,2,1,23
2023-07,4,68,2,1,20
2023-08,4,64,2,1,26
2023-09,4,65,2,1,21
2023-10,4,58,2,1,20
2023-11,4,61,2,1,21
2023-12,4,69,2,1,18
2024-01,4,71,3,1,20
2024-02,4,69,3,1,21
2024-03,5,65,4,1,20
2024-04,4,62,2,1,18
2024-05,4,66,2,1,20
2024-06,3,58,2,1,15
2024-07,3,57,2,1,19
2024-08,3,50,2,1,19
2024-09,4,64,2,1,22
2024-10,3,61,2,1,20
2024-11,4,58,2,1,23
2024-12,3,58,2,1,19
2025-01,4,69,3,1,21
2025-02,4,61,4,1,21
2025-03,4,61,4,1,20
2025-04,3,55,2,1,18
2025-05,4,59,2,1,21
2025-06,3,60,2,1,18
2025-07,4,66,2,1,19
2025-08,4,61,2,1,20
2025-09,4,59,2,1,19
