Category: All categories

Month,rural areas: (Dhaka Division),gas: (Dhaka Division),weather: (Dhaka Division),desert: (Dhaka Division),Email: (Dhaka Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,7
2004-06,0,0,0,0,7
2004-07,0,0,0,0,11
2004-08,0,0,5,0,8
2004-09,0,0,0,0,8
2004-10,0,0,0,0,8
2004-11,0,0,0,0,0
2004-12,0,5,5,0,6
2005-01,0,0,0,0,7
2005-02,0,0,0,0,0
2005-03,0,4,0,0,6
2005-04,0,0,0,0,0
2005-05,0,0,4,0,6
2005-06,0,4,0,0,6
2005-07,0,0,0,0,4
2005-08,0,0,4,0,5
2005-09,0,0,0,0,4
2005-10,0,6,4,0,7
2005-11,0,6,0,0,0
2005-12,0,4,4,0,4
2006-01,0,0,5,0,0
2006-02,0,0,4,0,6
2006-03,0,3,0,0,0
2006-04,0,5,4,0,5
2006-05,0,5,5,0,6
2006-06,0,6,0,0,6
2006-07,0,4,0,0,5
2006-08,0,3,0,0,5
2006-09,0,3,3,0,2
2006-10,0,0,0,0,3
2006-11,0,3,2,0,6
2006-12,0,2,2,0,4
2007-01,0,3,3,0,5
2007-02,0,0,3,0,5
2007-03,0,2,1,0,3
2007-04,0,2,4,0,3
2007-05,0,3,5,0,3
2007-06,0,1,4,0,5
2007-07,0,3,4,0,3
2007-08,0,3,2,0,4
2007-09,0,2,1,0,3
2007-10,0,2,3,0,3
2007-11,0,2,8,0,4
2007-12,0,2,4,0,4
2008-01,0,3,4,0,3
2008-02,0,4,3,0,4
2008-03,0,2,2,0,4
2008-04,0,2,4,0,4
2008-05,0,2,3,0,4
2008-06,0,3,2,0,4
2008-07,0,2,3,0,3
2008-08,0,2,3,0,4
2008-09,0,2,3,0,4
2008-10,0,1,4,0,4
2008-11,0,2,2,0,3
2008-12,0,1,2,0,3
2009-01,0,2,2,0,3
2009-02,0,2,2,0,4
2009-03,0,2,2,0,4
2009-04,0,2,5,1,3
2009-05,0,2,3,0,4
2009-06,0,1,3,0,4
2009-07,0,2,3,0,5
2009-08,0,2,2,0,4
2009-09,0,1,2,0,4
2009-10,0,1,2,<1,4
2009-11,0,2,2,0,4
2009-12,0,1,3,0,3
2010-01,0,1,6,<1,3
2010-02,0,1,2,1,4
2010-03,0,2,2,0,3
2010-04,0,2,3,1,3
2010-05,0,1,3,1,3
2010-06,0,1,2,0,3
2010-07,0,1,1,0,3
2010-08,0,1,1,0,4
2010-09,0,1,2,0,3
2010-10,0,1,3,0,3
2010-11,0,1,2,<1,4
2010-12,0,2,3,0,4
2011-01,0,1,5,<1,4
2011-02,0,1,2,<1,3
2011-03,0,2,4,<1,3
2011-04,0,2,4,<1,3
2011-05,0,1,4,<1,3
2011-06,0,1,5,<1,3
2011-07,0,1,6,<1,3
2011-08,0,1,6,<1,4
2011-09,0,1,5,<1,3
2011-10,0,1,4,<1,3
2011-11,0,1,2,<1,3
2011-12,0,1,4,<1,3
2012-01,0,1,2,<1,3
2012-02,0,1,2,<1,3
2012-03,0,1,1,<1,3
2012-04,0,1,2,<1,3
2012-05,0,1,2,<1,3
2012-06,0,2,3,<1,4
2012-07,0,1,2,<1,3
2012-08,0,1,2,<1,3
2012-09,0,1,1,<1,3
2012-10,0,1,2,<1,3
2012-11,0,1,2,<1,3
2012-12,0,1,4,<1,3
2013-01,0,1,6,<1,3
2013-02,0,1,2,<1,3
2013-03,0,1,2,<1,3
2013-04,0,1,2,<1,3
2013-05,0,1,4,<1,3
2013-06,0,1,3,<1,3
2013-07,0,1,2,<1,3
2013-08,0,1,2,<1,2
2013-09,0,1,2,<1,3
2013-10,0,1,2,<1,3
2013-11,0,1,2,<1,3
2013-12,0,1,2,<1,3
2014-01,0,1,3,<1,2
2014-02,<1,1,2,<1,3
2014-03,0,1,2,<1,2
2014-04,0,1,6,<1,3
2014-05,0,1,4,<1,2
2014-06,<1,1,3,<1,2
2014-07,0,1,2,<1,2
2014-08,<1,1,3,<1,3
2014-09,0,1,2,<1,3
2014-10,0,1,2,<1,2
2014-11,0,1,1,<1,3
2014-12,<1,1,3,<1,3
2015-01,0,1,3,<1,3
2015-02,0,1,2,<1,3
2015-03,0,1,2,<1,3
2015-04,0,1,3,<1,3
2015-05,0,1,4,<1,3
2015-06,0,1,4,<1,3
2015-07,<1,1,5,<1,2
2015-08,0,1,3,<1,3
2015-09,0,1,3,<1,3
2015-10,<1,1,3,<1,3
2015-11,0,1,2,<1,3
2015-12,0,1,3,<1,4
2016-01,0,1,3,<1,3
2016-02,<1,1,2,<1,2
2016-03,<1,1,3,<1,2
2016-04,<1,1,6,<1,2
2016-05,0,1,4,<1,2
2016-06,0,1,3,<1,2
2016-07,0,1,3,<1,2
2016-08,<1,1,2,<1,2
2016-09,0,1,2,<1,2
2016-10,0,1,2,<1,2
2016-11,0,1,2,<1,2
2016-12,0,1,2,<1,2
2017-01,0,1,2,<1,2
2017-02,0,1,1,<1,2
2017-03,<1,1,2,<1,2
2017-04,<1,1,3,<1,2
2017-05,<1,1,4,<1,2
2017-06,0,1,3,<1,2
2017-07,<1,1,2,<1,2
2017-08,0,1,2,<1,2
2017-09,0,1,2,<1,2
2017-10,<1,1,3,<1,2
2017-11,0,1,2,<1,2
2017-12,0,1,3,<1,2
2018-01,0,2,9,<1,2
2018-02,0,1,2,<1,2
2018-03,0,1,2,<1,2
2018-04,<1,1,4,<1,2
2018-05,<1,1,5,<1,2
2018-06,0,1,4,<1,2
2018-07,0,1,6,<1,2
2018-08,0,1,5,<1,2
2018-09,0,1,5,<1,2
2018-10,0,1,4,<1,2
2018-11,<1,1,3,<1,2
2018-12,0,1,6,<1,2
2019-01,0,1,5,<1,2
2019-02,<1,1,6,<1,2
2019-03,<1,1,11,<1,3
2019-04,0,1,14,<1,3
2019-05,0,1,22,<1,3
2019-06,0,1,18,<1,2
2019-07,0,1,14,<1,2
2019-08,<1,1,13,<1,2
2019-09,<1,1,9,<1,2
2019-10,<1,1,31,<1,3
2019-11,<1,1,32,<1,2
2019-12,0,1,47,<1,2
2020-01,<1,1,43,<1,2
2020-02,0,1,30,<1,3
2020-03,<1,1,35,<1,3
2020-04,0,1,46,<1,3
2020-05,0,1,47,<1,3
2020-06,0,1,41,<1,3
2020-07,0,1,37,<1,3
2020-08,<1,2,39,<1,3
2020-09,<1,2,41,<1,3
2020-10,<1,2,44,<1,3
2020-11,<1,1,34,<1,2
2020-12,<1,1,46,<1,3
2021-01,<1,2,45,<1,3
2021-02,<1,2,42,<1,2
2021-03,<1,2,38,<1,3
2021-04,0,2,48,<1,2
2021-05,<1,1,63,<1,2
2021-06,<1,1,48,<1,2
2021-07,<1,1,44,<1,2
2021-08,<1,1,40,<1,2
2021-09,0,2,40,<1,2
2021-10,<1,2,42,<1,2
2021-11,<1,2,37,<1,3
2021-12,<1,2,44,<1,2
2022-01,<1,2,38,<1,2
2022-02,<1,1,39,<1,3
2022-03,<1,2,34,<1,3
2022-04,<1,1,43,<1,3
2022-05,<1,1,52,<1,3
2022-06,<1,2,44,<1,3
2022-07,<1,1,47,<1,3
2022-08,<1,2,40,<1,3
2022-09,<1,1,41,<1,3
2022-10,<1,1,38,<1,3
2022-11,<1,1,28,<1,3
2022-12,<1,1,28,<1,2
2023-01,<1,1,46,<1,3
2023-02,<1,1,31,<1,3
2023-03,<1,1,40,<1,2
2023-04,<1,1,73,<1,2
2023-05,<1,1,62,<1,3
2023-06,<1,1,75,<1,3
2023-07,<1,1,52,<1,2
2023-08,<1,1,59,<1,3
2023-09,<1,1,51,<1,2
2023-10,<1,1,40,<1,2
2023-11,<1,1,31,<1,2
2023-12,<1,1,30,<1,2
2024-01,<1,1,46,<1,2
2024-02,<1,1,24,<1,2
2024-03,<1,1,27,<1,2
2024-04,0,1,77,<1,2
2024-05,<1,1,100,<1,2
2024-06,0,1,67,<1,2
2024-07,<1,1,60,<1,2
2024-08,<1,1,56,<1,2
2024-09,<1,1,66,<1,2
2024-10,<1,1,57,<1,2
2024-11,<1,1,45,<1,3
2024-12,<1,1,48,<1,2
2025-01,<1,1,47,<1,2
2025-02,0,1,48,<1,2
2025-03,<1,1,52,<1,2
2025-04,<1,1,66,<1,2
2025-05,<1,1,82,<1,2
2025-06,<1,1,80,<1,2
2025-07,0,1,69,<1,2
2025-08,<1,1,67,<1,2
2025-09,<1,1,66,<1,2
