division_iso_two,topic,keywords[list],query url
BD-C,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,desertification; livestock; cattle; land,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=desertification,livestock,cattle,land,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,land; fertile; grains; cereals,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=land,fertile,grains,cereals,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,cereals; cereals; sheep; horticulture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=cereals,cereals,sheep,horticulture,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,dairy; dairy; poultry; poultry,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=dairy,dairy,poultry,poultry,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,equipment; production; cooperative; honey,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=equipment,production,cooperative,honey,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,beekeeper; pesticide; animal; breeder,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=beekeeper,pesticide,animal,breeder,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,fish; wheat; plough; vehicle,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=fish,wheat,plough,vehicle,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,machinery; subsidy; subsidies; subsidise,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=machinery,subsidy,subsidies,subsidise,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,subsidize; natural fertilizer; chemical fertilizer; fertiliser,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=subsidize,natural%20fertilizer,chemical%20fertilizer,fertiliser,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,seed; potato; tomato; irrigation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=seed,potato,tomato,irrigation,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,drip irrigation; drip irrigation; technique; labourer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=drip%20irrigation,drip%20irrigation,technique,labourer,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,"pasture, grazing land; fodder; pest; arid","https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=pasture%2C%20grazing%20land,fodder,pest,arid,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,erratic; erratic; management; soil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=erratic,erratic,management,soil,%2Fm%2F02nf_&hl=en-US"
BD-C,Environmental,marsh; vegetation; drainage; drainage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=marsh,vegetation,drainage,drainage,%2Fm%2F02nf_&hl=en-US"
