division_iso_two,topic,keywords[list],query url
BD-C,Infrastructure,infrastructure; military; military; school,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=infrastructure,military,military,school,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,school; hospital; hospital; bridge,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=school,hospital,hospital,bridge,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,bridge; checkpoint; bus; university,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=bridge,checkpoint,bus,university,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,university; market; station; cafe,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=university,market,station,cafe,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,restaurant; restaurant; compound; port,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=restaurant,restaurant,compound,port,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,port; port; pipeline; border,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=port,port,pipeline,border,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,border; ministry; houses; house,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=border,ministry,houses,house,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,clinic; clinic; pharmacy; pharmacy,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=clinic,clinic,pharmacy,pharmacy,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,court; court; prison; prison,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=court,court,prison,prison,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,police; airport; airport; army,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=police,airport,airport,army,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,army; road; road; road,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=army,road,road,road,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,sewage; system; system; regime,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=sewage,system,system,regime,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,bakery; public; square; park,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=bakery,public,square,park,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,park; housing complex; housing complex; housing complex,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=park,housing%20complex,housing%20complex,housing%20complex,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,building; building; electricity; funding,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=building,building,electricity,funding,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,funding; recruitment; capacity; capacity,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=funding,recruitment,capacity,capacity,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,traffic; traffic; overcrowding; damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=traffic,traffic,overcrowding,damage,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,broken; open; close; project,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=broken,open,close,project,%2Fm%2F02nf_&hl=en-US"
BD-C,Infrastructure,project; wait; delay; delay,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-C&q=project,wait,delay,delay,%2Fm%2F02nf_&hl=en-US"
