Category: All categories

Month,অধিদপ্তর: (Khulna Division),পরিকল্পনা: (Khulna Division),সংসদ: (Khulna Division),সংসদ সদস্য: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,29
2012-06,1,0,1,0,38
2012-07,0,0,0,0,35
2012-08,0,0,0,0,34
2012-09,0,0,0,0,28
2012-10,0,0,0,0,28
2012-11,2,0,0,0,27
2012-12,5,0,0,0,28
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,73
2015-08,0,0,0,0,100
2015-09,0,0,0,0,85
2015-10,0,0,0,0,36
2015-11,0,0,0,0,62
2015-12,0,0,0,0,74
2016-01,0,0,0,0,72
2016-02,0,0,0,0,38
2016-03,0,0,0,0,58
2016-04,0,0,0,0,64
2016-05,15,0,0,0,53
2016-06,0,0,0,0,72
2016-07,0,0,0,0,33
2016-08,0,0,0,0,47
2016-09,0,0,0,0,35
2016-10,14,0,0,0,54
2016-11,0,0,0,0,53
2016-12,16,0,0,0,65
2017-01,12,0,0,0,50
2017-02,17,0,0,0,54
2017-03,10,0,0,0,63
2017-04,9,0,0,0,53
2017-05,10,0,0,0,35
2017-06,0,0,0,0,34
2017-07,11,0,0,0,36
2017-08,10,7,0,0,39
2017-09,7,0,0,0,41
2017-10,14,10,0,0,48
2017-11,9,0,0,0,54
2017-12,16,0,0,0,48
2018-01,14,0,0,0,42
2018-02,12,0,0,0,47
2018-03,11,0,0,0,48
2018-04,19,5,6,0,49
2018-05,21,8,0,0,48
2018-06,22,10,0,0,35
2018-07,38,7,0,0,42
2018-08,23,6,0,0,42
2018-09,23,5,3,0,42
2018-10,21,6,3,0,39
2018-11,9,7,9,0,47
2018-12,15,4,8,0,39
2019-01,18,4,7,0,32
2019-02,17,0,3,0,45
2019-03,15,5,3,0,68
2019-04,18,4,4,0,56
2019-05,20,4,3,0,61
2019-06,13,3,3,0,34
2019-07,16,3,3,0,58
2019-08,25,3,3,0,49
2019-09,38,3,3,0,47
2019-10,30,4,0,0,50
2019-11,29,0,3,0,38
2019-12,25,4,0,0,35
2020-01,28,4,2,0,40
2020-02,26,5,3,0,39
2020-03,22,7,3,0,36
2020-04,18,5,5,0,41
2020-05,23,2,4,0,36
2020-06,20,3,3,0,39
2020-07,21,2,2,0,44
2020-08,20,2,3,0,44
2020-09,36,5,3,0,47
2020-10,34,5,2,0,44
2020-11,40,17,3,0,44
2020-12,30,6,4,0,37
2021-01,30,4,3,0,33
2021-02,26,5,3,0,43
2021-03,36,5,5,0,44
2021-04,20,3,2,0,36
2021-05,19,3,2,0,36
2021-06,25,8,2,0,39
2021-07,22,7,2,0,44
2021-08,33,13,2,0,33
2021-09,36,17,3,1,37
2021-10,33,14,2,0,32
2021-11,38,6,2,0,36
2021-12,39,7,2,0,33
2022-01,31,6,2,0,25
2022-02,27,4,2,0,26
2022-03,36,8,3,0,30
2022-04,36,7,2,1,24
2022-05,30,6,2,0,24
2022-06,33,6,3,1,28
2022-07,24,4,2,1,24
2022-08,27,4,3,0,26
2022-09,25,5,2,0,31
2022-10,33,8,2,1,24
2022-11,30,18,3,1,24
2022-12,23,7,1,0,21
2023-01,34,12,2,0,23
2023-02,30,11,3,0,25
2023-03,33,8,3,1,24
2023-04,24,4,2,1,21
2023-05,29,10,2,0,25
2023-06,29,7,2,0,22
2023-07,30,7,2,0,21
2023-08,33,7,3,1,24
2023-09,39,6,3,0,23
2023-10,34,6,3,0,21
2023-11,26,6,7,1,21
2023-12,23,5,7,1,21
2024-01,28,8,23,3,21
2024-02,27,7,5,1,24
2024-03,32,8,3,1,25
2024-04,36,5,2,0,20
2024-05,33,5,3,1,22
2024-06,21,3,2,1,19
2024-07,34,4,2,1,22
2024-08,18,2,4,1,24
2024-09,19,4,3,0,25
2024-10,22,4,1,0,24
2024-11,21,4,2,0,26
2024-12,24,3,2,0,24
2025-01,23,5,2,0,24
2025-02,23,4,2,0,23
2025-03,26,2,1,0,23
2025-04,27,3,1,0,21
2025-05,22,3,2,0,21
2025-06,17,3,1,0,22
2025-07,20,4,2,0,19
2025-08,23,4,2,<1,23
2025-09,24,4,5,<1,20
