Category: All categories

Month,মন্ত্রণালয়: (Khulna Division),কর্মকর্তা: (Khulna Division),প্রার্থী: (Khulna Division),প্রধানমন্ত্রী: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,29
2012-06,0,0,0,0,38
2012-07,0,0,0,0,35
2012-08,0,0,0,0,34
2012-09,0,0,0,0,28
2012-10,0,0,0,0,28
2012-11,0,0,0,0,27
2012-12,4,0,0,0,28
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,73
2015-08,0,0,0,0,100
2015-09,0,0,0,0,85
2015-10,0,0,0,0,36
2015-11,0,0,0,0,62
2015-12,0,0,0,0,74
2016-01,0,0,0,0,72
2016-02,0,0,0,0,38
2016-03,0,0,0,0,58
2016-04,0,0,0,0,64
2016-05,0,0,0,0,53
2016-06,0,0,0,0,72
2016-07,0,0,0,0,33
2016-08,0,0,0,0,47
2016-09,0,0,0,0,35
2016-10,0,0,0,0,54
2016-11,0,0,0,0,53
2016-12,11,0,0,0,65
2017-01,9,0,0,0,50
2017-02,11,0,0,0,54
2017-03,0,0,0,0,63
2017-04,0,0,0,0,53
2017-05,12,0,0,0,35
2017-06,12,0,0,0,34
2017-07,0,0,0,0,36
2017-08,8,0,0,0,39
2017-09,8,0,0,0,41
2017-10,7,0,0,0,48
2017-11,8,0,0,0,54
2017-12,10,0,0,0,48
2018-01,10,0,0,0,42
2018-02,8,0,0,5,47
2018-03,0,0,0,0,48
2018-04,8,0,0,0,49
2018-05,7,0,0,0,48
2018-06,6,0,0,0,35
2018-07,12,0,0,4,42
2018-08,7,0,0,0,42
2018-09,11,0,0,0,42
2018-10,9,0,0,3,39
2018-11,8,0,8,0,47
2018-12,7,0,6,3,39
2019-01,12,0,0,3,32
2019-02,10,0,0,0,45
2019-03,11,0,0,3,68
2019-04,11,0,0,3,56
2019-05,13,0,0,5,61
2019-06,11,0,0,0,34
2019-07,14,3,0,4,58
2019-08,15,0,0,3,49
2019-09,17,4,0,5,47
2019-10,17,3,0,5,50
2019-11,11,0,0,4,38
2019-12,14,0,0,2,35
2020-01,13,2,0,3,40
2020-02,13,3,0,2,39
2020-03,12,2,0,5,36
2020-04,12,2,1,4,41
2020-05,13,2,0,3,36
2020-06,14,3,0,2,39
2020-07,12,2,0,2,44
2020-08,14,2,0,2,44
2020-09,18,2,0,2,47
2020-10,14,2,0,4,44
2020-11,13,2,0,3,44
2020-12,15,2,1,3,37
2021-01,17,2,2,7,33
2021-02,16,2,0,11,43
2021-03,22,2,2,7,44
2021-04,13,2,0,12,36
2021-05,11,1,1,11,36
2021-06,15,2,0,9,39
2021-07,11,1,0,5,44
2021-08,14,2,0,4,33
2021-09,13,3,0,6,37
2021-10,14,2,0,4,32
2021-11,11,2,1,5,36
2021-12,12,2,1,5,33
2022-01,17,2,0,4,25
2022-02,15,3,1,4,26
2022-03,17,3,0,7,30
2022-04,14,2,0,4,24
2022-05,11,3,1,5,24
2022-06,17,3,1,5,28
2022-07,16,2,0,5,24
2022-08,16,3,0,6,26
2022-09,16,3,0,12,31
2022-10,15,3,1,5,24
2022-11,14,3,0,6,24
2022-12,13,3,0,4,21
2023-01,17,2,0,4,23
2023-02,17,2,0,4,25
2023-03,16,3,1,4,24
2023-04,13,3,0,3,21
2023-05,15,3,1,6,25
2023-06,17,4,1,4,22
2023-07,20,3,0,4,21
2023-08,16,3,1,7,24
2023-09,16,3,0,5,23
2023-10,15,3,0,5,21
2023-11,13,2,6,5,21
2023-12,12,3,5,3,21
2024-01,18,3,5,5,21
2024-02,17,3,0,5,24
2024-03,16,3,0,3,25
2024-04,16,4,1,2,20
2024-05,13,4,1,3,22
2024-06,11,3,1,4,19
2024-07,13,2,0,3,22
2024-08,18,3,0,7,24
2024-09,17,4,0,3,25
2024-10,17,4,0,2,24
2024-11,15,2,0,2,26
2024-12,14,4,0,2,24
2025-01,14,4,1,2,24
2025-02,12,4,2,1,23
2025-03,10,3,1,2,23
2025-04,9,4,0,2,21
2025-05,10,3,1,1,21
2025-06,10,3,1,2,22
2025-07,10,4,1,2,19
2025-08,12,4,2,2,23
2025-09,13,5,3,3,20
