division_iso_two,topic,keywords[list],query url
BD-D,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,desertification; livestock; cattle; land,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=desertification,livestock,cattle,land,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,land; fertile; grains; cereals,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=land,fertile,grains,cereals,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,cereals; cereals; sheep; horticulture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=cereals,cereals,sheep,horticulture,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,dairy; dairy; poultry; poultry,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=dairy,dairy,poultry,poultry,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,equipment; production; cooperative; honey,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=equipment,production,cooperative,honey,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,beekeeper; pesticide; animal; breeder,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=beekeeper,pesticide,animal,breeder,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,fish; wheat; plough; vehicle,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=fish,wheat,plough,vehicle,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,machinery; subsidy; subsidies; subsidise,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=machinery,subsidy,subsidies,subsidise,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,subsidize; natural fertilizer; chemical fertilizer; fertiliser,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=subsidize,natural%20fertilizer,chemical%20fertilizer,fertiliser,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,seed; potato; tomato; irrigation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=seed,potato,tomato,irrigation,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,drip irrigation; drip irrigation; technique; labourer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=drip%20irrigation,drip%20irrigation,technique,labourer,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,"pasture, grazing land; fodder; pest; arid","https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=pasture%2C%20grazing%20land,fodder,pest,arid,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,erratic; erratic; management; soil,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=erratic,erratic,management,soil,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,marsh; vegetation; drainage; drainage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=marsh,vegetation,drainage,drainage,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,drainage; moderate; organic; dust,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=drainage,moderate,organic,dust,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,storm; sand; summer; summer,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=storm,sand,summer,summer,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,summer; winter; winter; autumn,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=summer,winter,winter,autumn,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,autumn; autumn; spring; spring,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=autumn,autumn,spring,spring,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,spring; earthquake; hurricane; hurricane,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=spring,earthquake,hurricane,hurricane,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,season; salinity; barley; barley,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=season,salinity,barley,barley,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,rice; cotton; cotton; cotton,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=rice,cotton,cotton,cotton,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,cotton; date; dates; vegetables,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=cotton,date,dates,vegetables,%2Fm%2F02nf_&hl=en-US"
BD-D,Environmental,man-made; man-made; pollution; polluted,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=man-made,man-made,pollution,polluted,%2Fm%2F02nf_&hl=en-US"
