division_iso_two,topic,keywords[list],query url
BD-D,Infrastructure,infrastructure; military; military; school,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=infrastructure,military,military,school,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,school; hospital; hospital; bridge,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=school,hospital,hospital,bridge,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,bridge; checkpoint; bus; university,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=bridge,checkpoint,bus,university,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,university; market; station; cafe,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=university,market,station,cafe,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,restaurant; restaurant; compound; port,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=restaurant,restaurant,compound,port,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,port; port; pipeline; border,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=port,port,pipeline,border,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,border; ministry; houses; house,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=border,ministry,houses,house,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,clinic; clinic; pharmacy; pharmacy,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=clinic,clinic,pharmacy,pharmacy,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,court; court; prison; prison,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=court,court,prison,prison,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,police; airport; airport; army,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=police,airport,airport,army,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,army; road; road; road,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=army,road,road,road,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,sewage; system; system; regime,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=sewage,system,system,regime,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,bakery; public; square; park,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=bakery,public,square,park,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,park; housing complex; housing complex; housing complex,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=park,housing%20complex,housing%20complex,housing%20complex,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,building; building; electricity; funding,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=building,building,electricity,funding,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,funding; recruitment; capacity; capacity,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=funding,recruitment,capacity,capacity,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,traffic; traffic; overcrowding; damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=traffic,traffic,overcrowding,damage,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,broken; open; close; project,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=broken,open,close,project,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,project; wait; delay; delay,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=project,wait,delay,delay,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,primary; primary; secondary; tertiary,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=primary,primary,secondary,tertiary,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,tertiary; neglect; settlement; shop,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=tertiary,neglect,settlement,shop,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,resettlement; slum; removal; gentrification,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=resettlement,slum,removal,gentrification,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,interruption; pharmacy; sewerage; hotel,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=interruption,pharmacy,sewerage,hotel,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,polling station; office; directorate; sanitation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=polling%20station,office,directorate,sanitation,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,suburb; suburb; suburbs; suburbs,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=suburb,suburb,suburbs,suburbs,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,insurance; power station; energy; fire,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=insurance,power%20station,energy,fire,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,mall; inadequate; improvement; polling centre,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=mall,inadequate,improvement,polling%20centre,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,housing; drinking water; salon; service,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=housing,drinking%20water,salon,service,%2Fm%2F02nf_&hl=en-US"
BD-D,Infrastructure,service; communications; power lines; liquor store,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-D&q=service,communications,power%20lines,liquor%20store,%2Fm%2F02nf_&hl=en-US"
