division_iso_two,topic,keywords[list],query url
BD-E,Environmental,প্রাকৃতিক সম্পদ; খরা; বন্যা; পরিবেশগত অবনতি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF%E0%A6%95%20%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%A6,%E0%A6%96%E0%A6%B0%E0%A6%BE,%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE,%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A7%87%E0%A6%B6%E0%A6%97%E0%A6%A4%20%E0%A6%85%E0%A6%AC%E0%A6%A8%E0%A6%A4%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,পরিবেশগত অবক্ষয়; গ্রামাঞ্চল; গ্রামীন; কৃষি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A7%87%E0%A6%B6%E0%A6%97%E0%A6%A4%20%E0%A6%85%E0%A6%AC%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%AF%E0%A6%BC,%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A6%B2,%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%80%E0%A6%A8,%E0%A6%95%E0%A7%83%E0%A6%B7%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,কৃষক; খামার; তাপমাত্রা; ফসল উৎপাদন,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%95%E0%A7%83%E0%A6%B7%E0%A6%95,%E0%A6%96%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%B0,%E0%A6%A4%E0%A6%BE%E0%A6%AA%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE,%E0%A6%AB%E0%A6%B8%E0%A6%B2%20%E0%A6%89%E0%A7%8E%E0%A6%AA%E0%A6%BE%E0%A6%A6%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,জলবায়ু পরিবর্তন; পানি; বৃষ্টি; জলরাশি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%9C%E0%A6%B2%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%81%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%A8,%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A6%BF,%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF,%E0%A6%9C%E0%A6%B2%E0%A6%B0%E0%A6%BE%E0%A6%B6%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,বৃষ্টিপাত; মুষলধারে বৃষ্টি; অত্যাধিক বৃষ্টিপাত; ভারী বৃষ্টিপাত,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%A4,%E0%A6%AE%E0%A7%81%E0%A6%B7%E0%A6%B2%E0%A6%A7%E0%A6%BE%E0%A6%B0%E0%A7%87%20%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF,%E0%A6%85%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A7%E0%A6%BF%E0%A6%95%20%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%A4,%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A7%80%20%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%A4,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,অতিবৃষ্টি; নদী; জলাধার; ফসলহানি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%85%E0%A6%A4%E0%A6%BF%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF,%E0%A6%A8%E0%A6%A6%E0%A7%80,%E0%A6%9C%E0%A6%B2%E0%A6%BE%E0%A6%A7%E0%A6%BE%E0%A6%B0,%E0%A6%AB%E0%A6%B8%E0%A6%B2%E0%A6%B9%E0%A6%BE%E0%A6%A8%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,পালক; মেষপালক; ফসলের রোগ; ফসলের ক্ষতি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%95,%E0%A6%AE%E0%A7%87%E0%A6%B7%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%95,%E0%A6%AB%E0%A6%B8%E0%A6%B2%E0%A7%87%E0%A6%B0%20%E0%A6%B0%E0%A7%8B%E0%A6%97,%E0%A6%AB%E0%A6%B8%E0%A6%B2%E0%A7%87%E0%A6%B0%20%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%A4%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,ফসল; ফসল কাটা; খাদ্য; ক্ষেত,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%AB%E0%A6%B8%E0%A6%B2,%E0%A6%AB%E0%A6%B8%E0%A6%B2%20%E0%A6%95%E0%A6%BE%E0%A6%9F%E0%A6%BE,%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF,%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%87%E0%A6%A4,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,ক্ষেতসমূহ; পাহাড়ি; বর্জ্য; শহরাঞ্চল,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%87%E0%A6%A4%E0%A6%B8%E0%A6%AE%E0%A7%82%E0%A6%B9,%E0%A6%AA%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF,%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A7%8D%E0%A6%AF,%E0%A6%B6%E0%A6%B9%E0%A6%B0%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A6%B2,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,গ্রামাঞ্চল; গ্যাস; আবহাওয়া; মরুভূমি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A6%B2,%E0%A6%97%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8,%E0%A6%86%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE,%E0%A6%AE%E0%A6%B0%E0%A7%81%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
