division_iso_two,topic,keywords[list],query url
BD-E,Economic,economy; remittances; ban; supply,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=economy,remittances,ban,supply,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,supply; demand; GDP; investment,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=supply,demand,GDP,investment,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,restriction; employment; employment; employment,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=restriction,employment,employment,employment,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,restrictions; restrictions; restrictions; unemployment,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=restrictions,restrictions,restrictions,unemployment,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,currency; labour market; market; exchange rate,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=currency,labour%20market,market,exchange%20rate,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,tax; taxes; good; good,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=tax,taxes,good,good,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,levels of production; seasonal work; seasonal work; temporary work,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=levels%20of%20production,seasonal%20work,seasonal%20work,temporary%20work,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,sanctions; diaspora network; diaspora; import,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=sanctions,diaspora%20network,diaspora,import,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,export; trade; local economy; trader,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=export,trade,local%20economy,trader,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,informal sector; informal market; black market; foreign currency,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=informal%20sector,informal%20market,black%20market,foreign%20currency,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,foreign currency; foreign trade; oil; loan,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=foreign%20currency,foreign%20trade,oil,loan,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,debt; debt; livestock; loans,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=debt,debt,livestock,loans,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,debts; debts; corruption; bribes,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=debts,debts,corruption,bribes,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,contract; smuggle; smuggler; business,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=contract,smuggle,smuggler,business,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,"freeze, suspension; freeze, suspension; fuel; foreign","https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=freeze%2C%20suspension,freeze%2C%20suspension,fuel,foreign,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,foreign; investor; tariff; warehouse,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=foreign,investor,tariff,warehouse,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,warehouse; customs; customs; licence,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=warehouse,customs,customs,licence,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,licence; shipment; shipment; shipment,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=licence,shipment,shipment,shipment,%2Fm%2F02nf_&hl=en-US"
BD-E,Economic,money,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=money,%2Fm%2F02nf_&hl=en-US"
