division_iso_two,topic,keywords[list],query url
BD-E,Environmental,natural resources; drought; flood; environmental degradation,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=natural%20resources,drought,flood,environmental%20degradation,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,environmental degradation; countryside; rural; agriculture,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=environmental%20degradation,countryside,rural,agriculture,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,farmer; farm; temperature; crop production,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=farmer,farm,temperature,crop%20production,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,climate change; water; rain; waters,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=climate%20change,water,rain,waters,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,rains; downpour; heavy rainfall; heavy rainfall,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=rains,downpour,heavy%20rainfall,heavy%20rainfall,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,heavy rainfall; river; reservoir; crop failure,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=heavy%20rainfall,river,reservoir,crop%20failure,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,shepherd; shepherd; crop disease; crop damage,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=shepherd,shepherd,crop%20disease,crop%20damage,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,crop; harvest; food; field,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=crop,harvest,food,field,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,fields; mountainous; waste; urban areas,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=fields,mountainous,waste,urban%20areas,%2Fm%2F02nf_&hl=en-US"
BD-E,Environmental,rural areas; gas; weather; desert,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-E&q=rural%20areas,gas,weather,desert,%2Fm%2F02nf_&hl=en-US"
