division_iso_two,topic,keywords[list],query url
BD-F,"Insecurities - Health, Food, Ph",খাদ্যের সংকট; খাদ্যের ঘাটতি; উচ্ছেদ; পুষ্টি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0%20%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A6%9F,%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%87%E0%A6%B0%20%E0%A6%98%E0%A6%BE%E0%A6%9F%E0%A6%A4%E0%A6%BF,%E0%A6%89%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87%E0%A6%A6,%E0%A6%AA%E0%A7%81%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",রোগ; ব্যর্থতা; পড়াশোনা ছেড়ে দেওয়া; পড়ালেখা বন্ধ করা,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%B0%E0%A7%8B%E0%A6%97,%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A4%E0%A6%BE,%E0%A6%AA%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%B6%E0%A7%8B%E0%A6%A8%E0%A6%BE%20%E0%A6%9B%E0%A7%87%E0%A6%A1%E0%A6%BC%E0%A7%87%20%E0%A6%A6%E0%A7%87%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE,%E0%A6%AA%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%96%E0%A6%BE%20%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%20%E0%A6%95%E0%A6%B0%E0%A6%BE,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",অপর্যাপ্ত; পর্যাপ্ত; প্রাপ্যতা; অভাব,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%85%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%A4,%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%A4,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A6%BE,%E0%A6%85%E0%A6%AD%E0%A6%BE%E0%A6%AC,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",সম্পদ; ঘাটতি; শিক্ষা; স্বাস্থ্য,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%A6,%E0%A6%98%E0%A6%BE%E0%A6%9F%E0%A6%A4%E0%A6%BF,%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE,%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",চাকরি; স্বাস্থ্যসেবা; প্রয়োজনীয় যত্ন; বিখণ্ডিত,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%9A%E0%A6%BE%E0%A6%95%E0%A6%B0%E0%A6%BF,%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF%E0%A6%B8%E0%A7%87%E0%A6%AC%E0%A6%BE,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%9C%E0%A6%A8%E0%A7%80%E0%A6%AF%E0%A6%BC%20%E0%A6%AF%E0%A6%A4%E0%A7%8D%E0%A6%A8,%E0%A6%AC%E0%A6%BF%E0%A6%96%E0%A6%A3%E0%A7%8D%E0%A6%A1%E0%A6%BF%E0%A6%A4,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",গৃহহীন; অভ্যন্তরীণ বাস্তুচ্যুত ব্যক্তি; বাস্তুহীন; পালিয়ে যাওয়া,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%97%E0%A7%83%E0%A6%B9%E0%A6%B9%E0%A7%80%E0%A6%A8,%E0%A6%85%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%80%E0%A6%A3%20%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%81%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4%20%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF,%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%81%E0%A6%B9%E0%A7%80%E0%A6%A8,%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%20%E0%A6%AF%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",বাস্তুচ্যুতি; শরণার্থী; বাস্তুচ্যুত; বাস্তুচ্যুত করা,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%81%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4%E0%A6%BF,%E0%A6%B6%E0%A6%B0%E0%A6%A3%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A7%80,%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%81%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4,%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%81%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4%20%E0%A6%95%E0%A6%B0%E0%A6%BE,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",অভিবাসন; অপসারণ করা; মুক্তি; বহিষ্কার,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%A8,%E0%A6%85%E0%A6%AA%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%A3%20%E0%A6%95%E0%A6%B0%E0%A6%BE,%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF,%E0%A6%AC%E0%A6%B9%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",পুনর্বাসন; নিষ্কাশন; চাকুরিচ্যুতি; নির্বাসন,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%AA%E0%A7%81%E0%A6%A8%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%A8,%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A6%A8,%E0%A6%9A%E0%A6%BE%E0%A6%95%E0%A7%81%E0%A6%B0%E0%A6%BF%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4%E0%A6%BF,%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-F,"Insecurities - Health, Food, Ph",স্থানান্তর; পালিয়ে যাওয়া; ফিরে আসা ব্যক্তি; প্রত্যাবাসিত,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0,%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%20%E0%A6%AF%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE,%E0%A6%AB%E0%A6%BF%E0%A6%B0%E0%A7%87%20%E0%A6%86%E0%A6%B8%E0%A6%BE%20%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%A4,%2Fm%2F02nf_&hl=en-US"
