division_iso_two,topic,keywords[list],query url
BD-F,Relief,ত্রাণ কার্যক্রম; দুর্যোগ; জরুরি পরিস্থিতি; জটিল মানবিক জরুরি পরিস্থিতি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A3%20%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE,%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%97,%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B0%E0%A6%BF%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BF%E0%A6%A4%E0%A6%BF,%E0%A6%9C%E0%A6%9F%E0%A6%BF%E0%A6%B2%20%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%95%20%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B0%E0%A6%BF%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BF%E0%A6%A4%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,মানবিক সংস্থাসমূহ; এনজিও সংস্থা; আন্তর্জাতিক এনজিও; মানবিক সংস্থাগুলি,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%95%20%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%B8%E0%A6%AE%E0%A7%82%E0%A6%B9,%E0%A6%8F%E0%A6%A8%E0%A6%9C%E0%A6%BF%E0%A6%93%20%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95%20%E0%A6%8F%E0%A6%A8%E0%A6%9C%E0%A6%BF%E0%A6%93,%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%95%20%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A6%BF,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,এনজিও সংস্থা; আন্তর্জাতিক এনজিও; শরণার্থী শিবির; তাঁবু,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%8F%E0%A6%A8%E0%A6%9C%E0%A6%BF%E0%A6%93%20%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%95%20%E0%A6%8F%E0%A6%A8%E0%A6%9C%E0%A6%BF%E0%A6%93,%E0%A6%B6%E0%A6%B0%E0%A6%A3%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A7%80%20%E0%A6%B6%E0%A6%BF%E0%A6%AC%E0%A6%BF%E0%A6%B0,%E0%A6%A4%E0%A6%BE%E0%A6%81%E0%A6%AC%E0%A7%81,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,স্বাগতিক সম্প্রদায়; শরণার্থী শিবিরসমূহ; তাঁবু; স্বাগতিক সম্প্রদায়সমূহ,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%97%E0%A6%A4%E0%A6%BF%E0%A6%95%20%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC,%E0%A6%B6%E0%A6%B0%E0%A6%A3%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A7%80%20%E0%A6%B6%E0%A6%BF%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A6%B8%E0%A6%AE%E0%A7%82%E0%A6%B9,%E0%A6%A4%E0%A6%BE%E0%A6%81%E0%A6%AC%E0%A7%81,%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%97%E0%A6%A4%E0%A6%BF%E0%A6%95%20%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%B8%E0%A6%AE%E0%A7%82%E0%A6%B9,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,মোকাবেলার কৌশল; মানিয়ে নেবার কৌশল; সহায়তা; জরুরি সহায়তা,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%AE%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%B0%20%E0%A6%95%E0%A7%8C%E0%A6%B6%E0%A6%B2,%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%20%E0%A6%A8%E0%A7%87%E0%A6%AC%E0%A6%BE%E0%A6%B0%20%E0%A6%95%E0%A7%8C%E0%A6%B6%E0%A6%B2,%E0%A6%B8%E0%A6%B9%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A6%BE,%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B0%E0%A6%BF%20%E0%A6%B8%E0%A6%B9%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A6%BE,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,ত্রাণ সহায়তা; ত্রাণ; প্রাদুর্ভাব; সংক্রমণের বিস্তার,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A3%20%E0%A6%B8%E0%A6%B9%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A6%BE,%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A3,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%BE%E0%A6%AC,%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%A3%E0%A7%87%E0%A6%B0%20%E0%A6%AC%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,সংক্রামক রোগ; মহামারি; রোগ; সংক্রামক,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%95%20%E0%A6%B0%E0%A7%8B%E0%A6%97,%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A6%BF,%E0%A6%B0%E0%A7%8B%E0%A6%97,%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%95,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,দাতা; সংস্থা; দাতা ব্যক্তি; টিকাদান,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%A6%E0%A6%BE%E0%A6%A4%E0%A6%BE,%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,%E0%A6%A6%E0%A6%BE%E0%A6%A4%E0%A6%BE%20%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF,%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%A6%E0%A6%BE%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,টিকা কার্যক্রম; অভিযান; ক্যাম্পেইন; প্রচারাভিযান,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A6%BE%20%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AF%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE,%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AF%E0%A6%BE%E0%A6%A8,%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A7%87%E0%A6%87%E0%A6%A8,%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%AD%E0%A6%BF%E0%A6%AF%E0%A6%BE%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
BD-F,Relief,পোলিও; কলেরা; অপারেশন; অভিযান,"https://trends.google.com/trends/explore?date=2004-01-01%202025-09-01&geo=BD-F&q=%E0%A6%AA%E0%A7%8B%E0%A6%B2%E0%A6%BF%E0%A6%93,%E0%A6%95%E0%A6%B2%E0%A7%87%E0%A6%B0%E0%A6%BE,%E0%A6%85%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B6%E0%A6%A8,%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AF%E0%A6%BE%E0%A6%A8,%2Fm%2F02nf_&hl=en-US"
